N_sqp,Np,adaptive_rollout_enabled,controller_kind,error,final_i_ref,final_infeasible,final_status,final_tip,hierarchical_mpc_enabled,hierarchy_policy,inverse_kp,inverse_sequence_mode,jacobian_variant,log_csv_path,max_jac_cond,mean_jac_cond,mean_sqp_iters,n_steps,num_infeasible_steps,plant_contact,python_success,rollout_steps,run_name,solver_mode
50,15,False,mpc,,70,1,primal infeasible,"[0.7767318552508875, -0.7043420242736432, -0.10002269765012167]",False,,nan,,contact,experiment3_sim/bends_p0_m110_jac_contact_plant_contact_1_ctrl_mpc_sqp_full_rollout10_Np15_sqp50_bends_0_-110/log.csv,455062546397162.8,138167954044325.28,0.8333333333333334,18,1,True,True,10,bends_p0_m110_jac_contact_plant_contact_1_ctrl_mpc_sqp_full_rollout10_Np15_sqp50_bends_0_-110,sqp_full
50,15,False,mpc,,97,0,solved; using_best_qp_feasible_candidate_with_model_warning,"[0.7802289366688421, -0.703404085719711, -0.09966376369302288]",False,,nan,,no_contact,experiment3_sim/bends_p0_m110_jac_no_contact_plant_contact_1_ctrl_mpc_sqp_full_rollout10_Np15_sqp50_bends_0_-110/log.csv,472647476486665.94,71849883608513.28,0.425,40,0,True,True,10,bends_p0_m110_jac_no_contact_plant_contact_1_ctrl_mpc_sqp_full_rollout10_Np15_sqp50_bends_0_-110,sqp_full
