step,t_s,tip_x_m,tip_y_m,tip_z_m,target_x_m,target_y_m,target_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,converged
1,21.7563,0.525575,-0.669441,0.016441,0.525575,-0.679432,0.011288,11.241,-0.632065,-2.067095,-1.603063,-1.060413,1.566225,-1.765257,0.040000,0
2,21.8563,0.525575,-0.669398,0.016231,0.525575,-0.679432,0.011288,11.185,-0.632068,-2.067111,-1.603051,-1.060428,1.566240,-1.765242,0.040000,0
