comparison_key,experiment,controller_variant,controller,solver,bend_deg,jacobian_contact,plant_contact,rollout_steps,Np,frame,progress,progress_available,first_applied_tracking_error_m,first_nonlinear_tracking_error_m,first_linear_tracking_error_m,first_linearisation_error_m,terminal_linearisation_error_m,max_linearisation_error_m,mean_linearisation_error_m,max_B_drift_relative,mean_B_drift_relative,max_B_change_from_stage0_relative,source_command_utilization_l2,source_command_utilization_max,dL_command_utilization_abs,source_contribution_sum_m,source_net_contribution_m,dL_contribution_m,source_scaled_authority_mean_m,dL_scaled_authority_m,normalized_command_change_l2
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,12,0.021818051023999724,True,0.0010292518347735358,,0.0010286862125871749,,,,,0.0,0.0,0.0,0.018944365263129044,0.015775827316879862,0.002675066333451593,5.0740484589599995e-06,4.202327335779353e-06,1.3462224284829686e-05,0.00012623403815030144,0.005032482416037738,0.006096551096111971
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,13,0.021818051023999724,True,0.001031218681051111,,0.0010312149081984974,,,,,0.0,0.0,0.0,0.013163768462996777,0.010706501051206985,0.0020369011771644023,4.174862217487799e-06,3.4931402057232477e-06,1.0268806249709235e-05,0.0001441662231461739,0.005041386575270469,0.005845483254205769
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,14,0.022222016432337587,True,0.0012310829857987283,,0.001229974850008088,,,,,0.0,0.0,0.0,0.029253801609576375,0.023583796063458017,0.0026468285016518697,8.11199647680966e-06,6.8101975237336415e-06,1.3324301075801819e-05,0.00012451011530762333,0.005034062867120481,0.01610398103694413
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,15,0.022222016432337587,True,0.0012525435566651984,,0.0012516001962930158,,,,,0.0,0.0,0.0,0.023247783467087838,0.018345581203048605,0.002182762718855296,6.796382142932033e-06,5.736368817522747e-06,1.0995648286868724e-05,0.00012786291820829384,0.005037491336958128,0.006078815280367186
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,16,0.022222016432337587,True,0.0012866642933084679,,0.0012866588903793913,,,,,0.0,0.0,0.0,0.016327468408251604,0.012685058779052526,0.0018021603265944077,5.705514580729268e-06,4.828235961800103e-06,9.100448706041447e-06,0.00015033893829413824,0.005049744227384484,0.0069435132109049915
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,17,0.022222016432337587,True,0.0013201353333686017,,0.0013193907783291463,,,,,0.0,0.0,0.0,0.01519181023844277,0.011722154064880612,0.001481421015547082,4.611613105417191e-06,3.903541515102204e-06,7.4682582941239445e-06,0.0001296913716317751,0.005041280105889379,0.0011900134065869477
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,18,0.022625974624213084,True,0.0015119753784407356,,0.0015106877723574475,,,,,0.0,0.0,0.0,0.03005493977171267,0.02303364644024256,0.002162610352391016,9.316902265296964e-06,7.886546670506738e-06,1.0906848665992858e-05,0.00013158368312635754,0.0050433720776070804,0.014880035073268235
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,19,0.022625974624213084,True,0.0015683914849401643,,0.0015683804428287449,,,,,0.0,0.0,0.0,0.02145111744901485,0.016120449594453832,0.001873535720539125,7.996981499253074e-06,6.781639701434008e-06,9.476485397562261e-06,0.00015524470447433428,0.005058075644714863,0.008630764658155089
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,20,0.022625974624213084,True,0.0016188355268973826,,0.0016178183085672616,,,,,0.0,0.0,0.0,0.02064427706784352,0.015466350005074556,0.0016115794304411813,6.671928085633562e-06,5.641619679571666e-06,8.136916946647099e-06,0.00013424383464400295,0.005049032516144462,0.0008552685946044623
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,21,0.022625974624213084,True,0.001675264972412189,,0.0016744351616122984,,,,,0.0,0.0,0.0,0.01680905933952201,0.012515595946955657,0.0013906610008126792,5.544581705724495e-06,4.6786774916199125e-06,7.025496146653135e-06,0.00013633481105930964,0.005051911387856245,0.0038443546041994734
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,22,0.022625974624213084,True,0.0017263914230666972,,0.0017257149620249765,,,,,0.0,0.0,0.0,0.01376568579074694,0.010203606776533135,0.0012000251262737442,4.6171201575765994e-06,3.88820254547533e-06,6.06541685288261e-06,0.00013814728717790738,0.005054408212031883,0.003050563282529429
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,23,0.023029937420478448,True,0.0018964018379986612,,0.0018963947788836373,,,,,0.0,0.0,0.0,0.024703332722890145,0.018196272418633634,0.0018854954814715953,9.70623692638472e-06,8.16712883268754e-06,9.557303356443252e-06,0.00016103886941057645,0.005068855083643027,0.010959933826443773
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,24,0.023029937420478448,True,0.0019627567100023945,,0.0019614027294777253,,,,,0.0,0.0,0.0,0.02408740453150427,0.017313011914047403,0.0016678307126379113,8.239550291005507e-06,6.952698654062223e-06,8.434946957282233e-06,0.0001378054952757595,0.0050574359216237035,0.0009205941485125732
