experiment,bend_deg,jacobian_contact,plant_contact,controller,solver,rollout_steps,Np_name,kp,failed,failure_text,num_frames,num_stage_rows,num_channel_rows,lin_nl_error_m_rms,lin_nl_error_m_median,lin_nl_error_m_max,tracking_linear_error_m_rms,tracking_linear_error_m_median,tracking_linear_error_m_max,tracking_nonlinear_error_m_rms,tracking_nonlinear_error_m_median,tracking_nonlinear_error_m_max,applied_linear_error_m_rms,applied_linear_error_m_median,applied_linear_error_m_max,applied_nonlinear_error_m_rms,applied_nonlinear_error_m_median,applied_nonlinear_error_m_max,applied_tracking_error_m_rms,applied_tracking_error_m_median,applied_tracking_error_m_max,B_drift_relative_rms,B_drift_relative_median,B_drift_relative_max,B_change_from_stage0_relative_rms,B_change_from_stage0_relative_median,B_change_from_stage0_relative_max,first_lin_nl_error_m_rms,first_lin_nl_error_m_median,first_tracking_nonlinear_error_m_rms,first_tracking_nonlinear_error_m_median,first_applied_linear_error_m_rms,first_applied_linear_error_m_median,first_applied_nonlinear_error_m_rms,first_applied_nonlinear_error_m_median,first_applied_tracking_error_m_rms,first_applied_tracking_error_m_median,first_utilization_median_vx,first_contribution_median_mm_vx,first_authority_median_mm_vx,first_utilization_median_vy,first_contribution_median_mm_vy,first_authority_median_mm_vy,first_utilization_median_vz,first_contribution_median_mm_vz,first_authority_median_mm_vz,first_utilization_median_wx,first_contribution_median_mm_wx,first_authority_median_mm_wx,first_utilization_median_wy,first_contribution_median_mm_wy,first_authority_median_mm_wy,first_utilization_median_wz,first_contribution_median_mm_wz,first_authority_median_mm_wz,first_utilization_median_dL,first_contribution_median_mm_dL,first_authority_median_mm_dL,dL_near_limit_fraction
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,10,15,1.0,False,,25,375,2625,,,,0.003567994691727874,0.003068119836123486,0.006498179129013636,,,,1.6771453441516095e-05,2.7531103855346525e-06,0.00016075974647668202,,,,0.0026101833978639548,0.0023416815215992325,0.00466405588098578,0.0,0.0,0.0,0.0,0.0,0.0,,,,,7.933858792179265e-07,6.657061994291434e-07,,,0.0013752885445872294,0.0011555463794795104,0.00940768215732423,0.003857592618281328,0.40398138477695034,0.012710351352654624,0.00030308050247742664,0.019211702587105257,0.0,0.0,0.0,0.0,0.0,0.0,0.001880200050324821,0.0001036316130288991,0.05409534728246886,0.0013683908868883908,0.0004820058694033406,0.2801157942552841,0.002675066333451593,0.013462224284829686,5.0324824160377375,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_lti_rollout10_Np15_sqp50_bends_0_-30,,True,True,mpc,lti,10,15,,False,,25,375,2625,0.000316904381141702,4.550176346386987e-05,0.0027299914376948324,0.0008909496497893155,0.0003867591099256766,0.002397714869576236,0.0009495291335341729,0.0004464059110351174,0.0029735229975419615,0.00014317854848586444,3.090860889807563e-05,0.0010281183451964094,0.0,0.0,0.0,0.0009929764548577448,0.00039245934721891503,0.002396013163597113,0.0,0.0,0.0,0.0,0.0,0.0,1.539647003416617e-05,1.8649112609981387e-06,0.0021511449241658574,0.0021664093915594236,1.539647003416617e-05,1.8649112609981387e-06,0.0,0.0,0.0021511449241658574,0.0021664093915594236,0.040381607729703305,0.02328449094882938,0.741806172665066,0.04644930798805357,0.006711558334903606,0.1974950513903536,0.0,0.0,0.0,0.0,0.0,0.0,0.08577039673066451,0.006243459344469944,0.10256550969323885,0.06830530667335798,0.04188257496691523,0.5037484518565425,0.01999959003383379,0.10125850048697212,5.0543868646332015,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_sqp_full_rollout10_Np15_sqp50_bends_0_-30,,True,True,mpc,sqp_full,10,15,,False,,25,375,2625,6.776674966388961e-05,1.2775114542327567e-06,0.00033601288957669546,0.0008746325547379115,0.0003910138940595179,0.0023601950228683776,0.0008743429204181786,0.0003937855191325795,0.002360196023148284,5.943743830339148e-05,4.3872504574831664e-07,0.0003349383753967201,1.7605857949659358e-12,0.0,2.175607273394091e-11,0.000967965769469714,0.0003637867626582903,0.002360196023148284,0.1367346104654005,0.0062830508209751725,1.1587562737492059,0.20566903079912485,0.06830170138751303,0.9898462396962844,1.3916534106477857e-05,4.32425290536754e-08,0.0021190588094483556,0.0021374578056240386,1.391653410835477e-05,4.32425290536754e-08,4.351214546788182e-12,0.0,0.0021190588092663697,0.0021374578056240386,0.016155754738118783,0.007394399281161123,0.7581881238376563,0.02431006355704073,0.0030079161037776187,0.19485746041077584,0.0,0.0,0.0,0.0,0.0,0.0,0.020646531350632318,0.0023857354905127224,0.10465471647315339,0.07021814371968925,0.03973350585778311,0.4632014668585382,0.01999998047828376,0.10142164512807665,5.061285863215472,0.0
bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,False,True,inverse_jacobian,held,10,15,1.0,False,,25,375,2625,,,,0.0035675496917551785,0.0030478628924006895,0.006498164718254495,,,,1.665808510731135e-05,2.7040170725874368e-06,0.00015946595937393245,,,,0.00261071837559875,0.0023374613908646305,0.004663748470328574,0.0,0.0,0.0,0.0,0.0,0.0,,,,,7.878271875556611e-07,6.760608038811965e-07,,,0.0013741121258117465,0.0011552750179523153,0.009479184496710728,0.0038772035963463582,0.40368827491904136,0.012691279860533778,0.00030112371091322936,0.019163805856347558,0.0,0.0,0.0,0.0,0.0,0.0,0.0018866951851657524,0.00010412752458102741,0.054055812425068815,0.001365663776643995,0.00048136818575393033,0.2801202776157152,0.0026694844181524547,0.013433913298940477,5.0323999674207,0.0
bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_mpc_lti_rollout10_Np15_sqp50_bends_0_-30,,False,True,mpc,lti,10,15,,False,,25,375,2625,0.0001653368121379088,4.408992077737165e-05,0.0006361782481528474,0.0008984495711121498,0.0003766848932657072,0.002403207554501399,0.0009134843569272408,0.0004012551962335241,0.002454902349775188,0.00014736631953966487,3.0061450029896316e-05,0.0006361782481528474,0.0,0.0,0.0,0.0010114724760856267,0.00037791005969264966,0.002454902349775188,0.0,0.0,0.0,0.0,0.0,0.0,7.611836221494458e-05,2.2078472861260106e-06,0.0021875944747662816,0.0021950139364766887,7.611836221494458e-05,2.2078472861260106e-06,0.0,0.0,0.0021875944747662816,0.0021950139364766887,0.04196972449526338,0.027452860136737322,0.7425888099721031,0.052674563203318765,0.007403136616918802,0.19773079035008848,0.0,0.0,0.0,0.0,0.0,0.0,0.06751137419927056,0.009602628824585369,0.10267419030025124,0.0424931199917416,0.027774214976394287,0.5521312714586607,0.019997949430512578,0.10126600613366257,5.054502283078158,0.0
