experiment,bend_deg,jacobian_contact,plant_contact,controller,solver,frame,stage,stage_1based,applied_stage,progress,lin_nl_error_m,tracking_linear_error_m,tracking_nonlinear_error_m,applied_linear_error_m,applied_nonlinear_error_m,applied_tracking_error_m,B_drift_relative,B_change_from_stage0_relative
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,1,4,5,True,0.014545454545455134,,0.0013546386167547853,,1.8290936695295815e-06,,0.0013548549628998258,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,1,5,6,True,0.014545454545455134,,0.0008592627871286441,,2.6278940629529363e-06,,0.0008597887957160764,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,1,6,7,True,0.014545454545455134,,0.00038677468744776976,,3.568704619247914e-06,,0.00038846532676676464,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,1,7,8,True,0.014545454545455134,,0.000262358812549375,,4.65051161416007e-06,,0.0002657928193111213,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,1,8,9,True,0.014545454545455134,,0.0007043046218505739,,5.872289240966691e-06,,0.0007060213178479381,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,1,9,10,True,0.014545454545455134,,0.0011963415985259416,,7.233001907175597e-06,,0.0011976533286379386,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,1,10,11,False,0.014545454545455134,,0.0016954046144012033,,,,,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,1,11,12,False,0.014545454545455134,,0.0021967102127653203,,,,,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,1,12,13,False,0.014545454545455134,,0.00269900909175352,,,,,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,1,13,14,False,0.014545454545455134,,0.003201833812369816,,,,,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,1,14,15,False,0.014545454545455134,,0.0037049701180523606,,,,,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,2,0,1,True,0.015757575757576442,,0.0011555731143661598,,2.0621943578278112e-07,,0.0011555463794795104,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,2,1,2,True,0.015757575757576442,,0.0006613822376680633,,3.2661963259635697e-07,,0.0006613066156659597,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,2,2,3,True,0.015757575757576442,,0.00021806053014464122,,3.6181471077726885e-07,,0.0002178063694905181,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,2,3,4,True,0.015757575757576442,,0.00040708845986857925,,3.1250916667355406e-07,,0.000406977536081273,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,2,4,5,True,0.015757575757576442,,0.000889909165227882,,1.8000036659041246e-07,,0.0008898895013326258,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,2,5,6,True,0.015757575757576442,,0.0013878769107533288,,5.1075264720763884e-08,,0.001387898000631998,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,2,6,7,True,0.015757575757576442,,0.001889050821257868,,3.4174498366941206e-07,,0.0018891020550276865,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,2,7,8,True,0.015757575757576442,,0.0023914159780420996,,7.234982219048072e-07,,0.002391494001637023,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,2,8,9,True,0.015757575757576442,,0.002894352163027443,,1.1874664485847938e-06,,0.002894455864815647,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,2,9,10,True,0.015757575757576442,,0.003397605803511637,,1.7326611817669994e-06,,0.0033977349719548464,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,2,10,11,False,0.015757575757576442,,0.003901054041837601,,,,,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,2,11,12,False,0.015757575757576442,,0.0044046297364403915,,,,,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,2,12,13,False,0.015757575757576442,,0.004504404390664042,,,,,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,2,13,14,False,0.015757575757576442,,0.005008062863796219,,,,,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,2,14,15,False,0.015757575757576442,,0.00551150612077247,,,,,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,3,0,1,True,0.0165656565656572,,0.00043163298396187546,,1.9095712905537515e-07,,0.0004317055356477199,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,3,1,2,True,0.0165656565656572,,0.0006651371134354942,,7.702083715242983e-07,,0.0006653469826923392,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,3,2,3,True,0.0165656565656572,,0.0009028191616554402,,1.74387250886079e-06,,0.0009032033762891128,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,3,3,4,True,0.0165656565656572,,0.0011420736446449606,,3.1180101249324655e-06,,0.0011426661248634285,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,3,4,5,True,0.0165656565656572,,0.0013820841845164416,,4.898624092277528e-06,,0.0013829190888529671,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,3,5,6,True,0.0165656565656572,,0.0016225152968603385,,7.091655758869499e-06,,0.0016236278606988747,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,3,6,7,True,0.0165656565656572,,0.0018632041745761947,,9.702986375732093e-06,,0.001864631018947434,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,3,7,8,True,0.0165656565656572,,0.0021040623602755545,,1.2738437012628764e-05,,0.0021058416438838514,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,3,8,9,True,0.0165656565656572,,0.002345037685807199,,1.6203765360706653e-05,,0.0023472091993577645,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,3,9,10,True,0.0165656565656572,,0.0025860972807254176,,2.0104665579724198e-05,,0.002588702536461071,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,3,10,11,False,0.0165656565656572,,0.002827195565066517,,,,,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,3,11,12,False,0.0165656565656572,,0.003068119836123486,,,,,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,3,12,13,False,0.0165656565656572,,0.0033084286361606684,,,,,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,3,13,14,False,0.0165656565656572,,0.003547338135897616,,,,,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,3,14,15,False,0.0165656565656572,,0.0037842172240073997,,,,,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,4,0,1,True,0.017777777777778503,,0.0002945722763439422,,6.521950237544941e-09,,0.000294578291114497,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,4,1,2,True,0.017777777777778503,,0.0005711069966169004,,2.6332916078318434e-08,,0.0005711204229000042,0.0,0.0
