s,px,py,pz,qw,qx,qy,qz
0.000000000000000000e+00,7.981328220229531034e-01,-7.112731669220015984e-01,-1.000000000000000056e-01,-1.591549349476097951e-07,9.999998986788191102e-01,3.183098539322571177e-04,3.183098539322571177e-04
1.041666666666666652e-03,7.970911557784579049e-01,-7.112738300673578928e-01,-1.000006631455673811e-01,4.600133468420966983e-06,9.999174363529037546e-01,1.284603203868787957e-02,3.160967202293044499e-04
2.083333333333333304e-03,7.960498331127418004e-01,-7.113005904275193636e-01,-1.000013215029187802e-01,9.479049521890174629e-06,9.996956996742900614e-01,2.466597069489434579e-02,3.128139351611413429e-04
3.125000000000000173e-03,7.950094341709977863e-01,-7.113519622354300687e-01,-1.000019725132017395e-01,1.350136493131213331e-05,9.993688574362186161e-01,3.552169704082704799e-02,3.092631239742725221e-04
4.166666666666666609e-03,7.939703964347568643e-01,-7.114259190728495774e-01,-1.000026154055839445e-01,1.784718015680206439e-05,9.989636604969016620e-01,4.551385889130302176e-02,3.055109353861677670e-04
5.208333333333333044e-03,7.929330456111903791e-01,-7.115206413572952027e-01,-1.000032495348095601e-01,2.244665871874090154e-05,9.984977606744941392e-01,5.479170074878415148e-02,3.015845220053251733e-04
6.250000000000000347e-03,7.918976335724907667e-01,-7.116346192682759808e-01,-1.000038743297663735e-01,2.765644695052989818e-05,9.979817161267943160e-01,6.350122091679431813e-02,2.974118630616582487e-04
7.291666666666666782e-03,7.908643679339735222e-01,-7.117666464883843913e-01,-1.000044890284816773e-01,3.295201298759978443e-05,9.974203572207435142e-01,7.178122365408648453e-02,2.929957875254959290e-04
8.333333333333333218e-03,7.898334359129648430e-01,-7.119158049537877009e-01,-1.000050929339550976e-01,3.794401477343491808e-05,9.968138123342454859e-01,7.976302043925510843e-02,2.875244796434727195e-04
9.374999999999999653e-03,7.888050238756729726e-01,-7.120814484775318531e-01,-1.000056837294623219e-01,4.258329446438099503e-05,9.961580110287326928e-01,8.757360148309660530e-02,2.820872600040297924e-04
1.041666666666666609e-02,7.877793347407769931e-01,-7.122631925539573139e-01,-1.000062613842777476e-01,4.717565065182978596e-05,9.954450026573840038e-01,9.533713108525455893e-02,2.754910738823620293e-04
1.145833333333333252e-02,7.867566040000664174e-01,-7.124609068950051860e-01,-1.000068233397393841e-01,5.107390590148606560e-05,9.946628714712937303e-01,1.031779895090494947e-01,2.683073002653506333e-04
1.250000000000000069e-02,7.857371160198746152e-01,-7.126747138304659890e-01,-1.000073683514201978e-01,5.471625882394001191e-05,9.937957728119302114e-01,1.112200132768058347e-01,2.599884163789111728e-04
1.354166666666666713e-02,7.847212201010147492e-01,-7.129049846497830245e-01,-1.000078939552663387e-01,5.898229796055965291e-05,9.928232935810628046e-01,1.195903063376712039e-01,2.507468867431131699e-04
1.458333333333333356e-02,7.837093490681896757e-01,-7.131523431010500236e-01,-1.000083979003473234e-01,6.266819000765193651e-05,9.917197729189697331e-01,1.284205217954919043e-01,2.401166772080168396e-04
1.562500000000000000e-02,7.827020405016776872e-01,-7.134176705713850541e-01,-1.000088772348784322e-01,6.685102698383755561e-05,9.904533720387300733e-01,1.378479643550801492e-01,2.281911691340336398e-04
1.666666666666666644e-02,7.816999615711527349e-01,-7.137021122305079457e-01,-1.000093288962012467e-01,7.034441817836644924e-05,9.889844952128612476e-01,1.480189749837788338e-01,2.152323775394759074e-04
1.770833333333333287e-02,7.807039400363198212e-01,-7.140070882438342981e-01,-1.000097506653170321e-01,7.398983201918359726e-05,9.872642300885963174e-01,1.590889510288983344e-01,2.004335316769473925e-04
1.874999999999999931e-02,7.797150011498886757e-01,-7.143343025054659234e-01,-1.000101383942578054e-01,7.889074551787517468e-05,9.852319583704374217e-01,1.712248468254476130e-01,1.838787779486211076e-04
1.979166666666666574e-02,7.787344136123507399e-01,-7.146857529339364357e-01,-1.000104876759092265e-01,8.413591088825552269e-05,9.828673672969441277e-01,1.843141440799763997e-01,1.658794388969312924e-04
2.083333333333333218e-02,7.777635213857339025e-01,-7.150631620412362111e-01,-1.000107950301779708e-01,8.954075996481750284e-05,9.804113086201530214e-01,1.969610017220971288e-01,1.473526363545640762e-04
2.187499999999999861e-02,7.768026748397175441e-01,-7.154654595550686835e-01,-1.000110592596639286e-01,9.407921412861713212e-05,9.782622765246975494e-01,2.073713870216562227e-01,1.316150912277594702e-04
2.291666666666666505e-02,7.758505975677962851e-01,-7.158880920916023127e-01,-1.000112868528756915e-01,9.715682018243652364e-05,9.767386069763123180e-01,2.144333686395580307e-01,1.208983732036126061e-04
2.395833333333333148e-02,7.749047260765515865e-01,-7.163244365947697423e-01,-1.000114894621348394e-01,9.885074802725444046e-05,9.758768734351297436e-01,2.183215630689638309e-01,1.149875204162630505e-04
2.500000000000000139e-02,7.739623600726411867e-01,-7.167683011275568505e-01,-1.000116782796600240e-01,9.936294992840912811e-05,9.756128922428629613e-01,2.194982045548320160e-01,1.131977258964485483e-04
