x,y,z
7.981328220229531034e-01,-7.112731669220015984e-01,-1.000000000000000056e-01
7.971328224282377972e-01,-7.112738035415434590e-01,-1.000006366197447039e-01
7.961328228335223800e-01,-7.112744401610853195e-01,-1.000012732394894022e-01
7.951328232388070738e-01,-7.112750767806271801e-01,-1.000019098592341005e-01
7.941328236440917676e-01,-7.112757134001690407e-01,-1.000025464789788127e-01
7.931328240493763504e-01,-7.112763500197109012e-01,-1.000031830987235110e-01
7.921328249761176998e-01,-7.112774378832968925e-01,-1.000038197184682093e-01
7.911328372599932823e-01,-7.112820370933963243e-01,-1.000044563382129076e-01
7.901329135092973743e-01,-7.112940368111603240e-01,-1.000050929579576059e-01
7.891331872553229987e-01,-7.113171231388701887e-01,-1.000057295777023042e-01
7.881339175089900895e-01,-7.113550232212717539e-01,-1.000063661974470025e-01
7.871354851190704993e-01,-7.114106683944860787e-01,-1.000070028171917147e-01
7.861384234054572540e-01,-7.114869582312557394e-01,-1.000076394369364130e-01
7.851434210016460247e-01,-7.115865348021936931e-01,-1.000082760566811113e-01
7.841513777441793120e-01,-7.117121772029031401e-01,-1.000089126764258096e-01
7.831632964694427157e-01,-7.118658505955176574e-01,-1.000095492961705079e-01
7.821802919962079770e-01,-7.120491744955282920e-01,-1.000101859159152062e-01
7.812036176713145208e-01,-7.122636667123362075e-01,-1.000108225356599045e-01
7.802346655573608736e-01,-7.125107120958044105e-01,-1.000114591554046167e-01
7.792749983040785366e-01,-7.127916552489724777e-01,-1.000120957751493150e-01
7.783259405135145581e-01,-7.131065570684450572e-01,-1.000127323948940133e-01
7.773889522987691425e-01,-7.134557311225872001e-01,-1.000133690146387117e-01
7.764654642158603792e-01,-7.138391995165220827e-01,-1.000140056343834100e-01
7.755571152147764380e-01,-7.142572684432294539e-01,-1.000146422541281083e-01
7.746650204099703174e-01,-7.147089725760636947e-01,-1.000152788738728066e-01
7.737902347268287295e-01,-7.151933452510598199e-01,-1.000159154936175188e-01
7.729337191003854413e-01,-7.157093471968228870e-01,-1.000165521133622171e-01
7.720963809064746997e-01,-7.162559320844995581e-01,-1.000171887331069154e-01
7.712789135586212153e-01,-7.168318148491099606e-01,-1.000178253528516137e-01
7.704813228111864198e-01,-7.174349253427710904e-01,-1.000184619725963120e-01
7.697036245541688526e-01,-7.180634864277571916e-01,-1.000190985923410103e-01
7.689455525535218161e-01,-7.187155977215450298e-01,-1.000197352120857086e-01
7.682068997758583206e-01,-7.193896347078437836e-01,-1.000203718318304208e-01
7.674864520840701809e-01,-7.200830995524494238e-01,-1.000210084515751191e-01
7.667829801305077186e-01,-7.207937860578447209e-01,-1.000216450713198174e-01
7.660949966643877396e-01,-7.215194860628750817e-01,-1.000222816910645157e-01
7.654208276589887783e-01,-7.222580454616661649e-01,-1.000229183108092140e-01
7.647583541134554963e-01,-7.230071189072366789e-01,-1.000235549305539123e-01
7.641050390413438587e-01,-7.237641977783457747e-01,-1.000241915502986245e-01
7.634582478237393888e-01,-7.245268617148823420e-01,-1.000248281700433228e-01
7.628151038283313978e-01,-7.252926062228679527e-01,-1.000254647897879934e-01
