case,n_steps,final_i_ref,final_i_ref_mpc,mean_tracking_err_mm,median_tracking_err_mm,max_tracking_err_mm,mean_tip_step_xy_mm,max_tip_step_xy_mm,min_clearance_mm,mean_clearance_mm,mean_vessel_tip_angle_deg,max_vessel_tip_angle_deg,mean_jac_pred_mm,mean_jac_actual_mm,mean_jac_gain_actual_over_jac,median_jac_gain_actual_over_jac,mean_jac_gain_abs_error,mean_jac_angle_actual_deg,median_jac_angle_actual_deg,max_jac_angle_actual_deg,mean_u_trans_norm,mean_u_rot_norm,mean_u_dL_abs
BC,179.0,40.0,40.0,0.07447791666297778,0.0273259816375074,0.8964741836278775,0.14843992934544784,0.6442769004987807,2.527753104361519,3.39000587210395,22.815883490300134,68.87325753884899,0.22392078882322622,0.15150019732231834,1.0331450805005977,1.0010597712856306,0.3175393548318606,28.432381747089934,15.968542534373425,131.18279870809627,0.12921445209561627,0.0048024417396827475,0.009791119376010547
nonBC,171.0,40.0,40.0,0.1905531642320598,0.1457795206104228,0.8353022422086734,0.13609192644764592,0.6442062340256118,2.52779542679592,3.3251734065383234,22.22333153671305,68.40840433855725,0.26021191397210375,0.13936762996029575,0.7136170074649304,0.6239804818769942,0.41204646728447086,38.999520968579425,36.445837542300985,103.9930946230712,0.11733398411652339,0.00672968915832242,0.010137556999314613
BC_minus_nonBC,8.0,0.0,0.0,-0.11607524756908204,-0.11845353897291538,0.06117194141920401,0.012348002897801913,7.066647316888996e-05,-4.232243440105421e-05,0.0648324655656265,0.5925519535870833,0.46485320029174204,-0.03629112514887753,0.01213256736202259,0.3195280730356673,0.37707928940863644,-0.09450711245261029,-10.56713922148949,-20.47729500792756,27.18970408502507,0.011880467979092882,-0.0019272474186396724,-0.00034643762330406613
