comparison_key,controller_variant,experiment,num_frames_used,common_progress_used,common_progress_start,common_progress_end,rms_first_applied_tracking_error_m,rms_first_nonlinear_tracking_error_m,rms_first_linearisation_error_m,rms_terminal_linearisation_error_m,rms_max_linearisation_error_m,mean_max_B_drift_relative,mean_max_B_change_from_stage0_relative,mean_source_command_utilization_l2,mean_source_command_utilization_max,mean_dL_command_utilization_abs,rms_normalized_command_change_l2,mean_source_net_contribution_m,mean_source_contribution_sum_m,mean_dL_contribution_m,mean_source_scaled_authority_mean_m,mean_dL_scaled_authority_m
"(None, True, True, 10, 15)",Inverse Jacobian,bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,25,True,0.013737373737374261,0.023029937420478448,0.0013752885445872294,,,,,0.0,0.0,0.016808752160968596,0.013583956873413947,0.010814099146299425,0.02995800476782263,3.7710201717896422e-06,4.533087596404368e-06,5.420083404274459e-05,0.00011766071701610538,0.005032840747279646
"(None, True, True, 10, 15)",MPC-LTI,bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_lti_rollout10_Np15_sqp50_bends_0_-30,10,True,0.013737373737374261,0.023029937420478448,0.0020670718885630692,0.0020670718885630692,2.3377329983243515e-06,0.0002884460666521968,0.0002884460666521968,0.0,0.0,0.47913450877717134,0.3679063791561303,0.026010718340192,0.7176059586495186,0.0001342781258748212,0.0001743874320249134,0.00013037486308060711,0.00012555785863466412,0.005015665143433025
"(None, True, True, 10, 15)",MPC-SQP,bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_sqp_full_rollout10_Np15_sqp50_bends_0_-30,10,True,0.013737373737374261,0.023029937420478448,0.0020551635158882944,0.0020551635158882944,1.6603883315572068e-07,5.735799843092529e-06,5.735799843092529e-06,0.07224965115531053,0.31692558245796465,0.19828225364256155,0.1899500781050626,0.026008647617553067,0.11116968333430569,6.904512152586947e-05,7.852651915987558e-05,0.00013037572469474783,0.00012512286963573075,0.005016225542958363
