i_idx,j_idx,L_m,cmd_x,cmd_y,cmd_z,cmd_rx,cmd_ry,cmd_rz,act_x,act_y,act_z,act_rx,act_ry,act_rz,pred_base_x_mm,pred_base_y_mm,pred_base_z_mm,meas_base_x_mm,meas_base_y_mm,meas_base_z_mm,pred_tip_angle_deg,meas_tip_angle_deg,err_x_mm,err_y_mm,err_z_mm,err_xy_mm,err_xyz_mm
0,0,0.02,0.6458941096487977,-0.7112731669220016,-0.1,-3.1426596953947454,-0.0010003396494852076,-0.0010003396494852076,0.6459030279380549,-0.7112756882143862,-0.1,3.140507851508293,0.000983742271696237,0.0010369230524598678,-20.00000000000006,-1.5282919971187862e-13,8.371803347232067e-15,-26.47406842073194,-3.3281517802864964,0.0,-4.3782340649262973e-13,-7.165277328007388,-6.4740684207318795,-3.328151780286344,-8.371803347232067e-15,7.279433782166093,7.279433782166093
0,-5,0.02,0.6464734239115053,-0.6980046888700852,-0.1,3.138618262378458,-0.13603408898115182,0.0009990611471675055,0.6464494221078114,-0.6980346322400041,-0.1,3.138612105806544,-0.13608605854097375,0.0009955295139166816,-20.00000000000006,-1.5282919971187862e-13,8.371803347232067e-15,-26.44956993619442,-3.9141779047903844,0.0,-4.3782340649262973e-13,-8.41790765053388,-6.449569936194361,-3.914177904790232,-8.371803347232067e-15,7.544384735166294,7.544384735166294
0,-10,0.02,0.6482069577682892,-0.6848371919478695,-0.1,3.1296698313868756,-0.27280682871486867,0.0009962206825054108,0.6481951044093142,-0.6848493809553512,-0.1,3.129681474431044,-0.27283860930931275,0.001050967046191461,-20.00000000000006,-1.5282919971187862e-13,8.371803347232067e-15,-26.509713111987534,-4.271592028046779,0.0,-4.3782340649262973e-13,-9.153571256647437,-6.509713111987475,-4.271592028046627,-8.371803347232067e-15,7.78606853646005,7.78606853646005
0,-15,0.02,0.6510815179797632,-0.6718708887576854,-0.1,3.114763994748915,-0.40905785703352265,0.0009914838869901836,0.6511031108349885,-0.6718499422581936,-0.1,3.114745629562127,-0.40899239815280836,0.0010286215048472662,-20.00000000000006,-1.5282919971187862e-13,8.371803347232067e-15,-26.335318106610046,-4.948994876445816,0.0,-4.3782340649262973e-13,-10.643035443396048,-6.3353181066099875,-4.9489948764456635,-8.371803347232067e-15,8.039204301361286,8.039204301361286
0,-20,0.02,0.655075227407011,-0.6592044606960777,-0.1,3.093929570743036,-0.5445278688548257,0.0009848599181184353,0.6550890259383434,-0.65920921739196,-0.1,3.093915480685404,-0.5445016109185112,0.0010644525904064824,-20.00000000000006,-1.5282919971187862e-13,8.371803347232067e-15,-26.337789419561183,-5.478665952342053,0.0,-4.3782340649262973e-13,-11.750834695159398,-6.337789419561125,-5.478665952341901,-8.371803347232067e-15,8.377550676901414,8.377550676901414
0,-25,0.02,0.6601576915098232,-0.6469343069287938,-0.1,3.0672062621669873,-0.6789590229605379,0.0009763613992272138,0.6601346715864034,-0.6469532525787097,-0.1,3.0672230956758906,-0.6789657617934677,0.0009152297216954659,-20.00000000000006,-1.5282919971187862e-13,8.371803347232067e-15,-26.219458492227652,-6.04326265665428,0.0,-4.3782340649262973e-13,-12.979306070767125,-6.219458492227592,-6.043262656654127,-8.371803347232067e-15,8.671948308993326,8.671948308993326
0,-30,0.02,0.6662902296675022,-0.6351538107349239,-0.1,3.0346451303614104,-0.8120954901128086,0.0009660045678406846,0.6662851006948838,-0.6351625966949758,-0.1,3.0346276854696517,-0.8120930412252962,0.0009573801938201989,-20.00000000000006,-1.5282919971187862e-13,8.371803347232067e-15,-26.040262291968283,-6.196660788846293,0.0,-4.3782340649262973e-13,-13.385419780395823,-6.040262291968225,-6.19666078884614,-8.371803347232067e-15,8.65351798332889,8.65351798332889
0,-35,0.02,0.6734261695617398,-0.6239526288037616,-0.1,2.996308277111807,-0.9436839056496638,0.00095380917877516,0.6734543353438863,-0.6239326640986618,-0.1,2.996330612845112,-0.9436266196925754,0.0009999189915738417,-20.00000000000006,-1.5282919971187862e-13,8.371803347232067e-15,-25.985952595172304,-6.642459428412398,0.0,-4.3782340649262973e-13,-14.33876240728424,-5.985952595172244,-6.642459428412245,-8.371803347232067e-15,8.941694231506245,8.941694231506245
0,-40,0.02,0.6815112023811429,-0.6134160088932618,-0.1,2.9522688256963416,-1.0734738720885235,0.0009397984919158199,0.6815169145071838,-0.6134252489334483,-0.1,2.952257303309909,-1.0735164756239137,0.0009792081258386495,-20.00000000000006,-1.5282919971187862e-13,8.371803347232067e-15,-25.796567550457063,-6.989260588933939,0.0,-4.3782340649262973e-13,-15.159640245782557,-5.796567550457002,-6.989260588933786,-8.371803347232067e-15,9.080195975144708,9.080195975144708
0,-45,0.02,0.6904837961440794,-0.6036241410431279,-0.1,2.902610721687631,-1.2012184189514101,0.0009239992124621371,0.6904684396980494,-0.6036363273109862,-0.1,2.902615966744151,-1.2012477867697968,0.0009065558270403268,-20.00000000000006,-1.5282919971187862e-13,8.371803347232067e-15,-25.740719904344274,-7.4454225222776165,0.0,-4.3782340649262973e-13,-16.132352689662763,-5.740719904344216,-7.445422522277464,-8.371803347232067e-15,9.401605264813577,9.401605264813577
