comparison_key,experiment,controller_variant,controller,solver,bend_deg,jacobian_contact,plant_contact,rollout_steps,Np,frame,progress,progress_available,first_applied_tracking_error_m,first_nonlinear_tracking_error_m,first_linear_tracking_error_m,first_linearisation_error_m,terminal_linearisation_error_m,max_linearisation_error_m,mean_linearisation_error_m,max_B_drift_relative,mean_B_drift_relative,max_B_change_from_stage0_relative,source_command_utilization_l2,source_command_utilization_max,dL_command_utilization_abs,source_contribution_sum_m,source_net_contribution_m,dL_contribution_m,source_scaled_authority_mean_m,dL_scaled_authority_m,normalized_command_change_l2
"(None, False, True, 10, 15)",bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,False,True,10,15,0,0.013737373737374261,True,0.00023746346120498364,,0.0002374591930713113,,,,,0.0,0.0,0.0,0.025622358631184488,0.02231716265266584,0.1,2.076065564899879e-06,2.075107920676428e-06,0.0005001329905010416,4.0591651859071914e-05,0.005001329905010415,
"(None, False, True, 10, 15)",bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,False,True,10,15,1,0.014545454545455134,True,0.003361667882717538,,0.003361665443631529,,,,,0.0,0.0,0.0,0.026854402731544776,0.02541923049280179,0.02,3.0026948663920313e-06,2.195730755981539e-06,0.00010026522056583227,9.407957334620748e-05,0.005013261028291614,0.12443587308337667
"(None, False, True, 10, 15)",bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,False,True,10,15,2,0.015757575757576442,True,0.0011552750179523153,,0.0011553012667327156,,,,,0.0,0.0,0.0,0.024070045762579713,0.01987328015050843,0.02,4.112185610223815e-06,3.0670880123218915e-06,0.00010016384627090631,7.459296835804863e-05,0.005008192313545315,0.0092360948512348
"(None, False, True, 10, 15)",bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,False,True,10,15,3,0.0165656565656572,True,0.00042939322988626955,,0.00042932019760891633,,,,,0.0,0.0,0.0,0.002897214462309313,0.0019833569166827474,0.03295887984195296,6.024654710974238e-07,4.809920242357142e-07,0.000165024986586348,6.994888544557239e-05,0.00500699621400026,0.05938042956856495
"(None, False, True, 10, 15)",bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,False,True,10,15,4,0.017777777777778503,True,0.0002870447007572122,,0.00028704003150872826,,,,,0.0,0.0,0.0,0.001795018830370905,0.0014676481729670933,0.004526355967647315,3.705832211223287e-07,2.9029527744379954e-07,2.268888253504848e-05,8.961027842776865e-05,0.005012615600103053,0.02881175140348792
"(None, False, True, 10, 15)",bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,False,True,10,15,5,0.01858585858585937,True,0.0006707564467140018,,0.0006702286887647329,,,,,0.0,0.0,0.0,6.397453833114612e-05,5.9832059378821405e-05,0.02270523016323675,7.251744106812245e-09,5.110254062164852e-09,0.00011376470843555583,7.925644718352761e-05,0.005010506725439777,0.01826141062840229
"(None, False, True, 10, 15)",bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,False,True,10,15,6,0.01939393939394013,True,0.0005359806989856953,,0.0005359645770249786,,,,,0.0,0.0,0.0,0.0002176905085494426,0.00018316908056477377,0.009296977744450041,5.03319626121386e-08,4.025437441295324e-08,4.6664550759924814e-05,0.00010767188983716173,0.005019324778719822,0.013411165392955823
"(None, False, True, 10, 15)",bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,False,True,10,15,7,0.020202020078144416,True,0.0008084674271284514,,0.000807972956096218,,,,,0.0,0.0,0.0,0.0001969185325739965,0.0001846072296687705,0.015600183741362003,2.8832735238728774e-08,2.107584577760336e-08,7.827733385625007e-05,0.00010001459104807674,0.005017718711139739,0.006316633564952476
"(None, False, True, 10, 15)",bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,False,True,10,15,8,0.021010069885121038,True,0.0009231288350669274,,0.0009228693041483689,,,,,0.0,0.0,0.0,0.013958792594475827,0.012691279860533778,0.008486431730077413,2.8043407090381255e-06,2.163025243662577e-06,4.263836377838691e-05,0.00011734652473541338,0.005024298213260706,0.015492656145951092
"(None, False, True, 10, 15)",bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,False,True,10,15,9,0.02141407059843531,True,0.0009757389849535009,,0.0009757272715758062,,,,,0.0,0.0,0.0,0.01838271593906176,0.016389869256818942,0.005277887672195539,4.43050950595459e-06,3.500530639473154e-06,2.655171068380495e-05,0.00013196485312661998,0.005030745694661545,0.005529369112201986
"(None, False, True, 10, 15)",bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,False,True,10,15,10,0.02141407059843531,True,0.0008679892022812963,,0.0008674637259721066,,,,,0.0,0.0,0.0,0.014065286456561351,0.012174289296237654,0.003396575309116191,3.2690969238232954e-06,2.6477808508222052e-06,1.7073832463301184e-05,0.00011777334693856101,0.005026778713687315,0.004817339171128829
"(None, False, True, 10, 15)",bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,False,True,10,15,11,0.021818051023999724,True,0.0010592104835702722,,0.0010585252905177928,,,,,0.0,0.0,0.0,0.024907186142769662,0.021205389448571237,0.0035136364557619227,6.193303496024485e-06,5.0720905495890975e-06,1.7670683711379886e-05,0.000121809336165226,0.005029172463873484,0.010859205504642575
"(None, False, True, 10, 15)",bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,False,True,10,15,12,0.021818051023999724,True,0.001026898501973457,,0.0010263228633896173,,,,,0.0,0.0,0.0,0.018971249335614896,0.015713147647730383,0.0026694844181524547,5.127589636415159e-06,4.258300694211928e-06,1.3433913298940478e-05,0.00012617136180269548,0.0050323999674207,0.006084994132649686
"(None, False, True, 10, 15)",bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,False,True,10,15,13,0.021818051023999724,True,0.0010295069567017381,,0.0010295016715409393,,,,,0.0,0.0,0.0,0.013175976101503123,0.010762952412825101,0.0020315588509394085,4.149749141027636e-06,3.4644814438514017e-06,1.0241770333021041e-05,0.0001441606298274563,0.005041335784235425,0.0058418402890849635
"(None, False, True, 10, 15)",bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,False,True,10,15,14,0.022222016432337587,True,0.0012292270485844998,,0.0012281160867612503,,,,,0.0,0.0,0.0,0.02926527860151191,0.023531345165419423,0.002644406974227785,8.149608578179351e-06,6.850094880389501e-06,1.3312062183441783e-05,0.000124536057861471,0.005034044424016522,0.016107700703994615
"(None, False, True, 10, 15)",bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,False,True,10,15,15,0.022222016432337587,True,0.0012510813181056428,,0.0012501363114340626,,,,,0.0,0.0,0.0,0.023262774351071203,0.018315804618406494,0.0021806514250784204,6.823316588731122e-06,5.764986287177303e-06,1.0984995781115038e-05,0.00012788812812867018,0.005037483595398561,0.006073202372654924
"(None, False, True, 10, 15)",bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,False,True,10,15,16,0.022222016432337587,True,0.001285511125850589,,0.0012855021929510332,,,,,0.0,0.0,0.0,0.016346856522910864,0.012672223913842207,0.0018002998547586612,5.723804183446054e-06,4.848202207561923e-06,9.09094989723159e-06,0.00015024702281022227,0.0050496865137226125,0.006938915824797327
"(None, False, True, 10, 15)",bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,False,True,10,15,17,0.022222016432337587,True,0.0013192403338992316,,0.001318496673814108,,,,,0.0,0.0,0.0,0.015207375183223527,0.011683905595836232,0.0014801744197490948,4.644077278912411e-06,3.938657249883983e-06,7.46209196369627e-06,0.00012976017865528545,0.00504135989930239,0.0011988847948660477
