comparison_key,controller_variant,experiment,num_frames_used,common_progress_used,common_progress_start,common_progress_end,rms_first_applied_tracking_error_m,rms_first_nonlinear_tracking_error_m,rms_first_linearisation_error_m,rms_terminal_linearisation_error_m,rms_max_linearisation_error_m,mean_max_B_drift_relative,mean_max_B_change_from_stage0_relative,mean_source_command_utilization_l2,mean_source_command_utilization_max,mean_dL_command_utilization_abs,rms_normalized_command_change_l2,mean_source_net_contribution_m,mean_source_contribution_sum_m,mean_dL_contribution_m,mean_source_scaled_authority_mean_m,mean_dL_scaled_authority_m
"(None, False, True, 10, 15)",Inverse Jacobian,bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,25,True,0.013737373737374261,0.023029937420478448,0.0013741121258117465,,,,,0.0,0.0,0.016840533146398207,0.013597506743589692,0.010814222710823877,0.0301020202606754,3.7882727393164817e-06,4.549357947771063e-06,5.420095204403551e-05,0.00011773206260397736,0.0050328662536832545
"(None, False, True, 10, 15)",MPC-LTI,bends_p0_m30_jac_no_contact_plant_contact_1_ctrl_mpc_lti_rollout10_Np15_sqp50_bends_0_-30,10,True,0.013737373737374261,0.023029937420478448,0.002067081478062483,0.002067081478062483,2.327176295863245e-06,0.0002881636024526843,0.0002881636024526843,0.0,0.0,0.47857388214670304,0.36732788330790045,0.026010702908946415,0.7167565677354768,0.00013419429147110455,0.0001742588676884636,0.00013037504551251984,0.0001255838074053427,0.005015677925342103
