k,status,infeasible,solver_mode,rollout_steps,i_ref,i_ref_mpc,idx_ref_0,idx_ref_terminal,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_now_x,p_now_y,p_now_z,p_now_qw,p_now_qx,p_now_qy,p_now_qz,p_now_L,tip_x,tip_y,tip_z,tip_tx,tip_ty,tip_tz,pred1_err_xy_m,pred1_err_xy_mm,pred1_err_xyz_m,pred1_err_xyz_mm,sqp_iters_done,sqp_du_final,sqp_du_rel_final,frame_path,i_seg,u_seg,rho_m,rho_mm,clearance_m,clearance_mm,tip_vessel_angle_deg,trust_vx,trust_vy,trust_vz,trust_wx,trust_wy,trust_wz,trust_dL,sqp_status_0,sqp_du_0,sqp_du_rel_0,sqp_status_1,sqp_du_1,sqp_du_rel_1,sqp_status_2,sqp_du_2,sqp_du_rel_2,sqp_status_3,sqp_du_3,sqp_du_rel_3,sqp_status_4,sqp_du_4,sqp_du_rel_4,u_applied_0_vx,u_applied_0_vy,u_applied_0_vz,u_applied_0_wx,u_applied_0_wy,u_applied_0_wz,u_applied_0_dL,x_rollout_0_x,x_rollout_0_y,x_rollout_0_z,x_rollout_0_tx,x_rollout_0_ty,x_rollout_0_tz,x_pred_0_x,x_pred_0_y,x_pred_0_z,x_pred_0_tx,x_pred_0_ty,x_pred_0_tz,rollout_err_xy_0_m,rollout_err_xy_0_mm,rollout_err_xyz_0_m,rollout_err_xyz_0_mm,u_applied_1_vx,u_applied_1_vy,u_applied_1_vz,u_applied_1_wx,u_applied_1_wy,u_applied_1_wz,u_applied_1_dL,x_rollout_1_x,x_rollout_1_y,x_rollout_1_z,x_rollout_1_tx,x_rollout_1_ty,x_rollout_1_tz,x_pred_1_x,x_pred_1_y,x_pred_1_z,x_pred_1_tx,x_pred_1_ty,x_pred_1_tz,rollout_err_xy_1_m,rollout_err_xy_1_mm,rollout_err_xyz_1_m,rollout_err_xyz_1_mm,u_applied_2_vx,u_applied_2_vy,u_applied_2_vz,u_applied_2_wx,u_applied_2_wy,u_applied_2_wz,u_applied_2_dL,x_rollout_2_x,x_rollout_2_y,x_rollout_2_z,x_rollout_2_tx,x_rollout_2_ty,x_rollout_2_tz,x_pred_2_x,x_pred_2_y,x_pred_2_z,x_pred_2_tx,x_pred_2_ty,x_pred_2_tz,rollout_err_xy_2_m,rollout_err_xy_2_mm,rollout_err_xyz_2_m,rollout_err_xyz_2_mm,u_applied_3_vx,u_applied_3_vy,u_applied_3_vz,u_applied_3_wx,u_applied_3_wy,u_applied_3_wz,u_applied_3_dL,x_rollout_3_x,x_rollout_3_y,x_rollout_3_z,x_rollout_3_tx,x_rollout_3_ty,x_rollout_3_tz,x_pred_3_x,x_pred_3_y,x_pred_3_z,x_pred_3_tx,x_pred_3_ty,x_pred_3_tz,rollout_err_xy_3_m,rollout_err_xy_3_mm,rollout_err_xyz_3_m,rollout_err_xyz_3_mm,u_applied_4_vx,u_applied_4_vy,u_applied_4_vz,u_applied_4_wx,u_applied_4_wy,u_applied_4_wz,u_applied_4_dL,x_rollout_4_x,x_rollout_4_y,x_rollout_4_z,x_rollout_4_tx,x_rollout_4_ty,x_rollout_4_tz,x_pred_4_x,x_pred_4_y,x_pred_4_z,x_pred_4_tx,x_pred_4_ty,x_pred_4_tz,rollout_err_xy_4_m,rollout_err_xy_4_mm,rollout_err_xyz_4_m,rollout_err_xyz_4_mm,u_applied_5_vx,u_applied_5_vy,u_applied_5_vz,u_applied_5_wx,u_applied_5_wy,u_applied_5_wz,u_applied_5_dL,x_rollout_5_x,x_rollout_5_y,x_rollout_5_z,x_rollout_5_tx,x_rollout_5_ty,x_rollout_5_tz,x_pred_5_x,x_pred_5_y,x_pred_5_z,x_pred_5_tx,x_pred_5_ty,x_pred_5_tz,rollout_err_xy_5_m,rollout_err_xy_5_mm,rollout_err_xyz_5_m,rollout_err_xyz_5_mm,u_applied_6_vx,u_applied_6_vy,u_applied_6_vz,u_applied_6_wx,u_applied_6_wy,u_applied_6_wz,u_applied_6_dL,x_rollout_6_x,x_rollout_6_y,x_rollout_6_z,x_rollout_6_tx,x_rollout_6_ty,x_rollout_6_tz,x_pred_6_x,x_pred_6_y,x_pred_6_z,x_pred_6_tx,x_pred_6_ty,x_pred_6_tz,rollout_err_xy_6_m,rollout_err_xy_6_mm,rollout_err_xyz_6_m,rollout_err_xyz_6_mm,u_applied_7_vx,u_applied_7_vy,u_applied_7_vz,u_applied_7_wx,u_applied_7_wy,u_applied_7_wz,u_applied_7_dL,x_rollout_7_x,x_rollout_7_y,x_rollout_7_z,x_rollout_7_tx,x_rollout_7_ty,x_rollout_7_tz,x_pred_7_x,x_pred_7_y,x_pred_7_z,x_pred_7_tx,x_pred_7_ty,x_pred_7_tz,rollout_err_xy_7_m,rollout_err_xy_7_mm,rollout_err_xyz_7_m,rollout_err_xyz_7_mm,u_applied_8_vx,u_applied_8_vy,u_applied_8_vz,u_applied_8_wx,u_applied_8_wy,u_applied_8_wz,u_applied_8_dL,x_rollout_8_x,x_rollout_8_y,x_rollout_8_z,x_rollout_8_tx,x_rollout_8_ty,x_rollout_8_tz,x_pred_8_x,x_pred_8_y,x_pred_8_z,x_pred_8_tx,x_pred_8_ty,x_pred_8_tz,rollout_err_xy_8_m,rollout_err_xy_8_mm,rollout_err_xyz_8_m,rollout_err_xyz_8_mm,u_applied_9_vx,u_applied_9_vy,u_applied_9_vz,u_applied_9_wx,u_applied_9_wy,u_applied_9_wz,u_applied_9_dL,x_rollout_9_x,x_rollout_9_y,x_rollout_9_z,x_rollout_9_tx,x_rollout_9_ty,x_rollout_9_tz,x_pred_9_x,x_pred_9_y,x_pred_9_z,x_pred_9_tx,x_pred_9_ty,x_pred_9_tz,rollout_err_xy_9_m,rollout_err_xy_9_mm,rollout_err_xyz_9_m,rollout_err_xyz_9_mm,u_plan_0_vx,u_plan_0_vy,u_plan_0_vz,u_plan_0_wx,u_plan_0_wy,u_plan_0_wz,u_plan_0_dL,u_plan_1_vx,u_plan_1_vy,u_plan_1_vz,u_plan_1_wx,u_plan_1_wy,u_plan_1_wz,u_plan_1_dL,u_plan_2_vx,u_plan_2_vy,u_plan_2_vz,u_plan_2_wx,u_plan_2_wy,u_plan_2_wz,u_plan_2_dL,u_plan_3_vx,u_plan_3_vy,u_plan_3_vz,u_plan_3_wx,u_plan_3_wy,u_plan_3_wz,u_plan_3_dL,u_plan_4_vx,u_plan_4_vy,u_plan_4_vz,u_plan_4_wx,u_plan_4_wy,u_plan_4_wz,u_plan_4_dL,u_plan_5_vx,u_plan_5_vy,u_plan_5_vz,u_plan_5_wx,u_plan_5_wy,u_plan_5_wz,u_plan_5_dL,u_plan_6_vx,u_plan_6_vy,u_plan_6_vz,u_plan_6_wx,u_plan_6_wy,u_plan_6_wz,u_plan_6_dL,u_plan_7_vx,u_plan_7_vy,u_plan_7_vz,u_plan_7_wx,u_plan_7_wy,u_plan_7_wz,u_plan_7_dL,u_plan_8_vx,u_plan_8_vy,u_plan_8_vz,u_plan_8_wx,u_plan_8_wy,u_plan_8_wz,u_plan_8_dL,u_plan_9_vx,u_plan_9_vy,u_plan_9_vz,u_plan_9_wx,u_plan_9_wy,u_plan_9_wz,u_plan_9_dL,u_plan_10_vx,u_plan_10_vy,u_plan_10_vz,u_plan_10_wx,u_plan_10_wy,u_plan_10_wz,u_plan_10_dL,u_plan_11_vx,u_plan_11_vy,u_plan_11_vz,u_plan_11_wx,u_plan_11_wy,u_plan_11_wz,u_plan_11_dL
0,solved,0,sqp_full,10,18,18,18,29,-0.02140432572639985,0.049997009471402516,2.6086967275708854e-07,0.0,0.0,2.6179938343813,0.09999985300050981,0.6634006053144419,-0.6999280377608637,-0.1,0.0004331107406719909,0.9660079773445952,-0.25851151148650187,0.00044559023194945985,0.02372195967084311,0.7744539801720611,-0.7112108955060173,-0.10000124603715588,-0.9966135220936303,-0.08222788782899024,0.0002490849493002067,0.0058141617618852,5.8141617618852,0.005814162390725483,5.814162390725483,5,1.7374551436605887,0.24758548056964494,,16,0.07022126997139456,0.0013440098893618185,1.3440098893618184,0.0026559901106381813,2.6559901106381814,2.9935908737154655,0.01,0.01,0.0001,0.17453292519943295,0.17453292519943295,0.5235987755982988,0.02,solved,1.8155777418332948,26.205607449175393,solved,1.7635989413085698,0.9693774425656373,solved,1.7377424781658688,0.48636179282328007,solved,1.7426655168384009,0.33001761241416255,solved,1.7374551436605887,0.24758548056964494,-0.02140432572639985,0.049997009471402516,2.6086967275708854e-07,0.0,0.0,2.6179938343813,0.09999985300050981,0.7801331324521726,-0.7100231733238636,-0.10000391348502136,-0.999968684514643,-0.007913900051414771,1.326765253428581e-05,0.7801330165914427,-0.7099646923361027,-0.10000395017447561,-0.9999799622825788,-0.00633047651624931,1.0020443267381744e-05,5.8481102530585325e-05,0.058481102530585326,5.84811140395674e-05,0.0584811140395674,-0.029978024329477337,0.049996795258523664,2.596708977559911e-07,0.0,0.0,2.6179938266715377,0.05269861705733881,0.7790802400773034,-0.710134764331949,-0.1000034799440386,-0.9998642106652277,-0.016478959943302725,6.41091901401445e-05,0.7790794621748904,-0.7100020873821246,-0.10000355751141883,-0.9999134706062592,-0.013154769098109467,5.788022969097221e-05,0.00013267923027693857,0.13267923027693856,0.00013267925295078867,0.13267925295078867,-0.029975489266663144,0.049996658968132233,2.5865912946939573e-07,0.0,0.0,2.6179938230190043,0.04606511777622057,0.7781610361285167,-0.7102629709031438,-0.10000304451127397,-0.9996740593049821,-0.025529659485245677,0.00010788543251303823,0.7781588717966211,-0.7100466402307463,-0.10000316415769578,-0.9997927430364614,-0.020358315074235907,9.989477602061192e-05,0.0002163414989144213,0.2163414989144213,0.0002163415319993015,0.2163415319993015,-0.029973708577867658,0.04999657807465718,2.5781688187329333e-07,0.0,0.0,2.617993821232826,0.0417202481135135,0.7773299708107647,-0.7104061293543755,-0.10000260581516554,-0.9993883156548102,-0.03497102974217598,0.00014700820844688848,0.7773255292974008,-0.710097387118908,-0.1000027690073049,-0.9996122508678241,-0.027844731369684496,0.00013729498285918398,0.00030877418124324323,0.30877418124324324,0.00030877422436808026,0.3087742243680803,-0.029972764065953856,0.04999646581706255,2.571366678654268e-07,0.0,0.0,2.6179938175520503,0.03640548301356989,0.7766066128355793,-0.7105613640722477,-0.10000218416595466,-0.9989996714059617,-0.044717152298522224,0.00018116592171149424,0.7765988584417846,-0.7101523073945755,-0.10000238851369479,-0.9993684809265249,-0.03553323001558474,0.00016998608639808328,0.00040913017020424475,0.40913017020424475,0.00040913022123689806,0.4091302212368981,0.04155659938456142,0.04999629049207967,2.5660566103695674e-07,0.0,0.0,2.617993810626108,0.03027202261001086,0.7760074069548667,-0.710724794245359,-0.10000164064446182,-0.9985095381983333,-0.054577045822579655,0.00021953640049733828,0.7759952016243529,-0.71020860083435,-0.10000188973994924,-0.9990629836930534,-0.04327947285374934,0.00020455765733258188,0.0005163376876250693,0.5163376876250693,0.0005163377477103194,0.5163377477103194,0.05002091693998381,0.04999614975458829,2.5622391903007663e-07,0.0,0.0,2.6179938003001855,0.025477472922199373,0.7755056432290016,-0.7108944657590957,-0.10000110210374398,-0.9979153630804626,-0.06453575073275927,0.00025496146306695756,0.7754877380245431,-0.7102644774070381,-0.10000139654418001,-0.9986956655341968,-0.05105792572961863,0.0002363543875509519,0.0006302427469434711,0.630242746943471,0.0006302428157226566,0.6302428157226566,0.04707610476794268,0.049996018209599,2.5597258768779e-07,0.0,0.0,2.617993788586743,0.022155523664905176,0.7750719901555684,-0.7110703857382894,-0.10000058779582638,-0.9972110870398251,-0.07463220111901933,0.00028712537427750477,0.775047020522268,-0.7103201549478935,-0.10000092993674653,-0.9982642161236712,-0.0588938409181495,0.00026515825461405004,0.000750646202578326,0.7506462025783259,0.0007506462805514128,0.7506462805514128,0.03604045905965938,0.04999595531567649,2.5582829356192355e-07,0.0,0.0,2.617993777200744,0.02082062793254421,0.7746669615000059,-0.7112550036913368,-0.10000010334804087,-0.9963832838413843,-0.08497206386607288,0.0003162970117690259,0.7746333961382054,-0.7103777693920731,-0.10000048690396676,-0.997762126461842,-0.06686295062559806,0.00029125930383090524,0.0008778762152589798,0.8778762152589797,0.0008778762990493472,0.8778762990493473,0.029999396388657555,0.049996025205100436,2.5576432367578456e-07,0.0,0.0,2.617993769198529,0.010483017451343331,0.7744539801720611,-0.7112108955060173,-0.10000124603715588,-0.9966135220936303,-0.08222788782899024,0.0002490849493002067,0.7744264328583632,-0.7104243272284488,-0.10000015521786758,-0.9972016449504035,-0.07475817602008447,0.0003072887231018769,0.000787050512844675,0.787050512844675,0.0007870512687594027,0.7870512687594028,-0.02140432572639985,0.049997009471402516,2.6086967275708854e-07,0.0,0.0,2.6179938343813,0.09999985300050981,-0.029978024329477337,0.049996795258523664,2.596708977559911e-07,0.0,0.0,2.6179938266715377,0.05269861705733881,-0.029975489266663144,0.049996658968132233,2.5865912946939573e-07,0.0,0.0,2.6179938230190043,0.04606511777622057,-0.029973708577867658,0.04999657807465718,2.5781688187329333e-07,0.0,0.0,2.617993821232826,0.0417202481135135,-0.029972764065953856,0.04999646581706255,2.571366678654268e-07,0.0,0.0,2.6179938175520503,0.03640548301356989,0.04155659938456142,0.04999629049207967,2.5660566103695674e-07,0.0,0.0,2.617993810626108,0.03027202261001086,0.05002091693998381,0.04999614975458829,2.5622391903007663e-07,0.0,0.0,2.6179938003001855,0.025477472922199373,0.04707610476794268,0.049996018209599,2.5597258768779e-07,0.0,0.0,2.617993788586743,0.022155523664905176,0.03604045905965938,0.04999595531567649,2.5582829356192355e-07,0.0,0.0,2.617993777200744,0.02082062793254421,0.029999396388657555,0.049996025205100436,2.5576432367578456e-07,0.0,0.0,2.617993769198529,0.010483017451343331,0.015106709452024058,0.04999821932670588,2.5572632192049736e-07,0.0,0.0,2.617993837941054,0.0054063746986469045,-0.05000898027241891,0.04999919909356002,2.554192311111432e-07,0.0,0.0,0.9765356555359416,0.10000844399211213
1,solved,0,sqp_full,10,24,24,24,35,-0.03491179139506669,0.07999899209745544,-1.5702254553085852e-08,0.0,0.0,4.188790109093948,0.0365440749291878,0.6458262111625743,-0.684727977769669,-0.1,0.0003337466742548786,0.8935097377924216,-0.44904338580425585,0.0005241647888956507,0.03171797857129905,0.7683258885658963,-0.7013838993059793,-0.10001909226658989,-0.8484525457413264,0.5292712479384291,-0.0004730018605431612,0.010430786616602671,10.43078661660267,0.010430794528941256,10.430794528941256,5,1.4447176799759593,0.24748547885156108,,21,1.0,0.0029798760581935396,2.9798760581935397,0.0010201239418064605,1.0201239418064605,46.240202188149304,0.01,0.01,0.0001,0.17453292519943295,0.17453292519943295,0.5235987755982988,0.02,solved,1.7730736288975173,0.42370626095009933,solved,1.0100442822169748,0.3837804587391703,solved,1.432768459805248,0.4326062431141981,solved,1.4278648807527958,0.3157950326568644,solved,1.4447176799759593,0.24748547885156108,-0.03491179139506669,0.07999899209745544,-1.5702254553085852e-08,0.0,0.0,4.188790109093948,0.0365440749291878,0.7736844299793382,-0.710334577033056,-0.10000616795817338,-0.99954057502883,-0.030309042238020365,-2.880363959687844e-05,0.7736748433050764,-0.710338785828951,-0.10000624454720311,-0.9990180013191203,-0.04430612135635147,2.5508949356305158e-05,1.0469875180111357e-05,0.010469875180111358,1.0470155307663145e-05,0.010470155307663145,-0.08363445560307309,0.08000047285843047,-1.5621074410482667e-08,0.0,0.0,2.5473319479224874,8.205377079668178e-06,0.773684292731823,-0.7103347219313667,-0.10000645562095223,-0.9995321078129354,-0.030586982451905657,-4.4221229307253973e-05,0.7736802613578375,-0.7103005881627731,-0.10000653508671263,-0.9998988587903032,-0.014221941499607711,-9.25733827589905e-05,3.43710071806792e-05,0.0343710071806792,3.437109904296599e-05,0.03437109904296599,-0.0800264849988603,0.08000067255312925,-1.539354980447935e-08,0.0,0.0,2.547329629601554,0.059943128669263296,0.7725226895547611,-0.7086042002494892,-0.10001073719372384,-0.9977249919509981,0.0674149440255256,-0.0002564340382415035,0.7725222719714958,-0.7085536563866437,-0.10001023140147423,-0.9976222744016282,0.06891832368366757,-0.0002495563182860183,5.054558781072125e-05,0.05054558781072125,5.0548118391598904e-05,0.0505481183915989,-0.08002553108849142,0.08000065491253491,-1.4909691071672993e-08,0.0,0.0,2.3506663671699477,0.05950061331650104,0.7715066480672826,-0.7068717382180212,-0.10001299224629838,-0.9874334745148002,0.15803485622819088,-0.00034296437749308634,0.771508333361335,-0.7068222860113234,-0.10001236396653423,-0.9872302199506533,0.15929965401844406,-0.00033622282604909854,4.9480915142383416e-05,0.04948091514238342,4.9484903746393025e-05,0.04948490374639303,-0.100024336558029,0.08000064307503053,-1.414401326178727e-08,0.0,0.0,2.191583438106317,0.04491063246747127,0.7708107711064174,-0.7056761146281086,-0.10001459715412139,-0.9729094400446627,0.2311862208105339,-0.0003908699576483171,0.7708150066675608,-0.7056308301366259,-0.10001392957193163,-0.9721259345265127,0.23445899336420764,-0.00038451475500632067,4.5482140968219786e-05,0.045482140968219786,4.548704005574673e-05,0.04548704005574673,-0.10002291840207653,0.0800005998560828,-1.3099997144778784e-08,0.0,0.0,2.0706057146956787,0.031149888642248002,0.7703641762869787,-0.7049089745845478,-0.10001569308775284,-0.9574113877778384,0.2887269617220445,-0.00041967614975702905,0.770368610806489,-0.7048633185730149,-0.10001496456874158,-0.9572341086534207,0.28931417623915917,-0.0004106793734489257,4.58708660522499e-05,0.0458708660522499,4.587665084041351e-05,0.04587665084041351,-0.10002134156684525,0.08000049662178076,-1.1811963227596752e-08,0.0,0.0,1.9696422947068286,0.039724380686017184,0.7698370944068196,-0.7039977617089369,-0.10001657264053422,-0.9357418069974819,0.3526855206524687,-0.0004406349787123304,0.7698476716174423,-0.7039619623415247,-0.10001577531528745,-0.9330051200373122,0.35986283425826043,-0.00043186082519225107,3.7329239098428964e-05,0.03732923909842897,3.733775326953693e-05,0.03733775326953693,-0.10001958056991295,0.060000344938018785,-1.0288722179949047e-08,0.0,0.0,1.3196327000583483,0.04079600704956766,0.7693333861024502,-0.7031285100120637,-0.10001751334422532,-0.9082592718443285,0.4184075594493065,-0.00045749807134007656,0.7693463797035578,-0.703096617599472,-0.10001667920861389,-0.9063032085246714,0.42262784391952846,-0.00044694721900187507,3.443776489065948e-05,0.03443776489065948,3.44478654328914e-05,0.0344478654328914,-0.1000176589258692,0.06000016424732453,-8.548160873855339e-09,0.0,0.0,0.740045855433887,0.04287235427099001,0.7688291082512522,-0.7022560898937272,-0.10001834131116895,-0.8786979404085156,0.4773779538880464,-0.00046761468653667764,0.7688435312671281,-0.7022265116643835,-0.100017485842106,-0.8766856899348685,0.48106339795202957,-0.0004563050196840186,3.290737057356044e-05,0.03290737057356044,3.2918488200148174e-05,0.03291848820014817,-0.10001560848514834,0.07999995839994127,-6.615271747178283e-09,0.0,0.0,0.49571711946991737,0.04435165961447121,0.7683258885658963,-0.7013838993059793,-0.10001909226658989,-0.8484525457413264,0.5292712479384291,-0.0004730018605431612,0.7683408572850093,-0.7013551077058157,-0.10001823135310077,-0.8467691222547586,0.5319603752362266,-0.00046127479729733695,3.245025102935785e-05,0.032450251029357856,3.246166914846023e-05,0.03246166914846023,-0.03491179139506669,0.07999899209745544,-1.5702254553085852e-08,0.0,0.0,4.188790109093948,0.0365440749291878,-0.08363445560307309,0.08000047285843047,-1.5621074410482667e-08,0.0,0.0,2.5473319479224874,8.205377079668178e-06,-0.0800264849988603,0.08000067255312925,-1.539354980447935e-08,0.0,0.0,2.547329629601554,0.059943128669263296,-0.08002553108849142,0.08000065491253491,-1.4909691071672993e-08,0.0,0.0,2.3506663671699477,0.05950061331650104,-0.100024336558029,0.08000064307503053,-1.414401326178727e-08,0.0,0.0,2.191583438106317,0.04491063246747127,-0.10002291840207653,0.0800005998560828,-1.3099997144778784e-08,0.0,0.0,2.0706057146956787,0.031149888642248002,-0.10002134156684525,0.08000049662178076,-1.1811963227596752e-08,0.0,0.0,1.9696422947068286,0.039724380686017184,-0.10001958056991295,0.060000344938018785,-1.0288722179949047e-08,0.0,0.0,1.3196327000583483,0.04079600704956766,-0.1000176589258692,0.06000016424732453,-8.548160873855339e-09,0.0,0.0,0.740045855433887,0.04287235427099001,-0.10001560848514834,0.07999995839994127,-6.615271747178283e-09,0.0,0.0,0.49571711946991737,0.04435165961447121,-0.10001346070352025,0.05999971670146001,-4.5222523664069265e-09,0.0,0.0,0.31754633190908893,0.044916946889583954,-0.10001123844286698,0.059999463447761935,-2.3040037743106656e-09,0.0,0.0,0.34284452741125354,0.0446690032900946
2,solved,0,sqp_full,10,35,35,35,45,-0.15001493526906454,0.1099999812162235,-1.1536629469652981e-07,0.0,0.0,0.39874992687982436,0.08961204716341582,0.6158234227992498,-0.6627280097961696,-0.1,0.0003169064544353184,0.8787755997974189,-0.47723480495990483,0.0005345146093713901,0.042100669787323956,0.7628258004008734,-0.6918283237970743,-0.10002615569227719,-0.6277969788521739,0.7783769837972663,-0.00047374967345521107,0.009015213424660766,9.015213424660766,0.009015215241847,9.015215241847,5,0.05069739425717389,0.039884709826690165,,32,0.9749830807246254,0.0030398500989094663,3.0398500989094663,0.0009601499010905338,0.9601499010905338,28.00728862425623,0.01,0.01,0.0001,0.17453292519943295,0.17453292519943295,0.5235987755982988,0.02,solved,0.06096089895304449,0.048482631863766,solved,0.0613637611460868,0.0484322067337181,solved,0.05608040414326711,0.04412110150926045,solved,0.07096002623994532,0.055698655722703175,solved,0.05069739425717389,0.039884709826690165,-0.15001493526906454,0.1099999812162235,-1.1536629469652981e-07,0.0,0.0,0.39874992687982436,0.08961204716341582,0.7673218965116623,-0.6996424102946897,-0.10002043684341641,-0.7956224687384179,0.605792590003403,-0.0004744845141282736,0.7673218972397975,-0.6996423615693915,-0.10002043165115523,-0.7957078538154622,0.6056804327356154,-0.00047410714893366334,4.8730738335424475e-08,4.873073833542447e-05,4.9006575424541744e-08,4.900657542454175e-05,-0.15001269252980903,0.10999972602786359,-1.1599576607887691e-07,0.0,0.0,0.3251972486744941,0.04409216038912036,0.7668184304219787,-0.6987662070817455,-0.10002109353799093,-0.7748168102723629,0.6321856386953041,-0.00047827478659680955,0.7668184459474876,-0.698766117659079,-0.1000210940342285,-0.7749892682997133,0.6319742096635828,-0.0004820169759785367,9.076042479406949e-08,9.076042479406949e-05,9.076178138688548e-08,9.076178138688547e-05,-0.1500127664133456,0.10999973134331015,-1.1730045604741283e-07,0.0,0.0,0.30126671606925814,0.0425777155810627,0.766318776023515,-0.6978965368321682,-0.1000217213428316,-0.7593818456381499,0.6506450498246678,-0.0004813043242465759,0.766318827534949,-0.6978964233175842,-0.10002171537113687,-0.7596413712274481,0.6503420304120557,-0.00048020746285077585,1.2465547973961566e-07,0.00012465547973961567,1.247984365572456e-07,0.00012479843655724561,-0.15001307096834984,0.10999975932358137,-1.1933427460730554e-07,0.0,0.0,0.2943362088923492,0.041307233563417825,0.7658340097295739,-0.6970515019173703,-0.10002218436600836,-0.7524651301177255,0.6586319130073218,-0.0004807548542968113,0.7658339839295035,-0.6970511552905685,-0.10002224671594484,-0.7527804623713428,0.6582714827784548,-0.0004800340007651117,3.475856489719767e-07,0.0003475856489719767,3.531335412418965e-07,0.00035313354124189646,-0.15001361762159576,0.10999981340514581,-1.2213246612143006e-07,0.0,0.0,0.30082138272016423,0.05158255277926643,0.7652996864584909,-0.6961213211380708,-0.10002284735678571,-0.737577574485251,0.6752622401607367,-0.0004781522324719593,0.7652995846036745,-0.6961207206248976,-0.10002284684963454,-0.7380651789887577,0.6747292521269059,-0.0004773767478304355,6.090898741464077e-07,0.0006090898741464077,6.090900852829524e-07,0.0006090900852829523,-0.15001414521129644,0.10999985910440578,-1.2573746556280048e-07,0.0,0.0,0.3089861404802401,0.04888680959857806,0.7648240770983157,-0.6952957439529556,-0.1000235051085403,-0.7112424214561549,0.7029466496233651,-0.0004750836468357981,0.7648239779917416,-0.6952950248281955,-0.10002350052088083,-0.7118705613565405,0.7023105283769655,-0.00047497872737436075,7.259218508713025e-07,0.0007259218508713025,7.259363472039899e-07,0.0007259363472039899,-0.1500144701740725,0.10999987421660484,-1.3018252335874454e-07,0.0,0.0,0.30869872071006843,0.051227417279471964,0.7643240151071669,-0.694427863096116,-0.10002418266712612,-0.6863466170847754,0.7272744327900416,-0.00046970864152314477,0.7643239086570199,-0.6944270051592498,-0.1000241818510157,-0.6870997684757392,0.726562925347115,-0.0004729393494265009,8.645156448512352e-07,0.0008645156448512352,8.645160300588747e-07,0.0008645160300588747,-0.15001473440802912,0.10999989497774271,-1.3549164441660062e-07,0.0,0.0,0.31045170745317413,0.050817441247909184,0.7638250077259148,-0.6935619368087417,-0.10002484258600207,-0.6637516137523959,0.747952919383941,-0.0004750011893465105,0.7638249254662968,-0.6935609902193486,-0.10002484981670678,-0.6646179634576186,0.7471832038546206,-0.00047172766738268825,9.501568943432211e-07,0.0009501568943432211,9.501844068172442e-07,0.0009501844068172441,-0.1500147707271436,0.10999990438267519,-1.4161728540894054e-07,0.0,0.0,0.3140600497000532,0.05014262164130127,0.7633254037072806,-0.6926950791830065,-0.10002551321416993,-0.6440310056231922,0.7649992410307525,-0.000474360993956178,0.76332535853783,-0.6926940720048833,-0.1000254990289267,-0.6450060270864987,0.764177337667086,-0.0004707633539045954,1.0081904835864496e-06,0.0010081904835864497,1.0082902718561628e-06,0.0010082902718561628,-0.15001421484351743,0.10999985467741971,-1.4843798911087654e-07,0.0,0.0,0.3185270855356722,0.04888856155770131,0.7628258004008734,-0.6918283237970743,-0.10002615569227719,-0.6277969788521739,0.7783769837972663,-0.00047374967345521107,0.762825802332682,-0.6918272758253522,-0.10002614882210892,-0.6288693682351655,0.7775108340723643,-0.000469676058585744,1.047973502593707e-06,0.0010479735025937069,1.0479960216291604e-06,0.0010479960216291605,-0.15001493526906454,0.1099999812162235,-1.1536629469652981e-07,0.0,0.0,0.39874992687982436,0.08961204716341582,-0.15001269252980903,0.10999972602786359,-1.1599576607887691e-07,0.0,0.0,0.3251972486744941,0.04409216038912036,-0.1500127664133456,0.10999973134331015,-1.1730045604741283e-07,0.0,0.0,0.30126671606925814,0.0425777155810627,-0.15001307096834984,0.10999975932358137,-1.1933427460730554e-07,0.0,0.0,0.2943362088923492,0.041307233563417825,-0.15001361762159576,0.10999981340514581,-1.2213246612143006e-07,0.0,0.0,0.30082138272016423,0.05158255277926643,-0.15001414521129644,0.10999985910440578,-1.2573746556280048e-07,0.0,0.0,0.3089861404802401,0.04888680959857806,-0.1500144701740725,0.10999987421660484,-1.3018252335874454e-07,0.0,0.0,0.30869872071006843,0.051227417279471964,-0.15001473440802912,0.10999989497774271,-1.3549164441660062e-07,0.0,0.0,0.31045170745317413,0.050817441247909184,-0.1500147707271436,0.10999990438267519,-1.4161728540894054e-07,0.0,0.0,0.3140600497000532,0.05014262164130127,-0.15001421484351743,0.10999985467741971,-1.4843798911087654e-07,0.0,0.0,0.3185270855356722,0.04888856155770131,-0.1163658923943601,0.09970903438334695,-1.5527345923154023e-07,0.0,0.0,0.3230909325064025,0.046900399429504164,-0.09242044344042791,0.06825493625651785,-8.613368503140969e-08,0.0,0.0,0.3263565752684505,-0.00018968322186132267
