k,i_ref,i_ref_mpc,ref_advanced,dist_to_ref_m,dist_to_ref_mm,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_x,p_y,p_z,p_qw,p_qx,p_qy,p_qz,p_L,y_x,y_y,y_z,y_tx,y_ty,y_tz,status,infeasible,pred1_err_xy_m,pred1_err_xy_mm,pred1_err_xyz_m,pred1_err_xyz_mm,vessel_tip_alignment_deg,i_seg,u_seg,rho_m,rho_mm,clearance_m,clearance_mm,jac_pred_mm,jac_mpc_pred_mm,jac_actual_mm,jac_gain_actual_over_jac,jac_gain_actual_over_mpc,jac_angle_actual_deg,jac_cos_actual,jac_actual_along_pred_mm,jac_dp_pred_x_mm,jac_dp_pred_y_mm,jac_dp_pred_z_mm,mpc_dp_pred_x_mm,mpc_dp_pred_y_mm,mpc_dp_pred_z_mm,actual_dp_x_mm,actual_dp_y_mm,actual_dp_z_mm,jac_dir_pred_x,jac_dir_pred_y,jac_dir_pred_z,mpc_dir_pred_x,mpc_dir_pred_y,mpc_dir_pred_z,actual_dir_x,actual_dir_y,actual_dir_z,frame_path,case,tracking_err_mm,clearance_plot_mm,vessel_tip_angle_deg,u_trans_norm,u_rot_norm,u_dL_abs,tip_step_mm,tip_step_xy_mm,jac_gain_error_abs,jac_angle_abs_deg
0,17,17,1,0.0016127806542639,1.6127806542639933,-0.0003122921989157,-0.6328410519356286,-9.036026487786692e-12,0.0,0.0,-0.0254852126441743,0.0101369059348238,0.662129699100964,-0.7162557272115564,-0.1,-0.0005337206427676,-0.9999997075919546,-0.0004457358376874,-0.0003182418011165,0.0161013690593482,0.7820495629583455,-0.7106192866561336,-0.1000007695151091,-0.998053991101224,-0.0623552852333433,0.000221924280603,solved,0,3.073650603139208e-05,0.030736506031392,3.0736508551171645e-05,0.0307365085511716,4.489020516618247,16,0.1058205208410053,0.001342558824308,1.3425588243080666,0.0026574411756919,2.6574411756919334,0.6740643672684202,0.6740643617636282,0.6961814534424514,1.0328115343993904,1.0328115428339155,1.7852724645025124,0.9995146012928284,0.6958435278649936,-0.1014250687735829,-0.6663900702140226,3.1070880973469e-05,-0.1014250687735307,-0.666390064646083,3.106575928446542e-05,-0.0832603404444798,-0.6911847303576746,1.8619938868535968e-05,-0.1504679281365934,-0.9886148898724658,4.609482785654536e-05,-0.1504679293653224,-0.9886148896858068,4.608723001344364e-05,-0.1195957462422724,-0.9928226713595008,2.6745812857358967e-05,mpc_1np1s_bc_90/frames/frame_000000.png,BC,0.030736506031392,2.6574411756919334,4.489020516618247,0.6328411289900574,0.0254852126441743,0.0101369059348238,,,0.03281153439939044,1.7852724645025124
1,18,18,1,0.0019223413645038,1.922341364503841,0.0108434710834055,-0.1293033249556491,-4.219886784150864e-11,0.0,0.0,-0.0052246846161155,0.0101496527174346,0.6622381338117981,-0.7175487604611129,-0.1,-0.0005337289561507,-0.9999996956065922,-0.0004718592529742,-0.0003182278583977,0.0162028655865225,0.7819566055628279,-0.7107690469446414,-0.1000007391266671,-0.9971574937074156,-0.0753450894653738,0.0002241352279757,solved,0,5.4352673097053855e-06,0.0054352673097053,5.435292311032504e-06,0.0054352923110325,8.076557066515644,16,0.1345929923554625,0.000647007962715,0.6470079627150479,0.0033529920372849,3.352992037284952,0.1723357819874628,0.1723357819875021,0.1762646371760608,1.0227976752319714,1.0227976752317378,1.234725275265808,0.9997678072747264,0.1762237098095855,-0.0940194466120827,-0.1444297933900824,1.3902738267106055e-05,-0.0940194466122479,-0.1444297933900218,1.390273852985846e-05,-0.0929573955176232,-0.149760288507772,3.0388441943363095e-05,-0.5455596367034359,-0.8380719994678152,8.067238333660426e-05,-0.5455596367042699,-0.8380719994672721,8.067238486123963e-05,-0.5273740496499781,-0.8496332044083517,0.000172402374238,mpc_1np1s_bc_90/frames/frame_000001.png,BC,0.0054352673097053,3.352992037284952,8.076557066515644,0.12975719906703767,0.0052246846161155,0.0101496527174346,0.1762646371760608,0.17626463455654104,0.022797675231971404,1.234725275265808
2,18,18,0,0.0018075409268403,1.8075409268403124,0.0049905183876064,-0.0472830777075447,-3.55313524105988e-11,0.0,0.0,-0.0019106129145428,0.0101478426566018,0.6622880389956741,-0.7180215912381884,-0.1,-0.0005337319961776,-0.9999996910532598,-0.0004814123146173,-0.000318222759636,0.0163043440130886,0.781858940299116,-0.7108301065311248,-0.1000007096376863,-0.9967760293649904,-0.0802340084450567,0.0002262127370838,solved,0,1.9004624636119895e-06,0.0019004624636119,1.9004636717409904e-06,0.0019004636717409,8.822581707967474,16,0.215553431155365,0.0004904378885794,0.4904378885794846,0.0035095621114205,3.5095621114205153,0.114387354687115,0.1143873546871059,0.1151814989789582,1.0069425881384826,1.006942588138563,0.8618554059007367,0.9998868680245364,0.1151684682684418,-0.097893020358792,-0.0591728208685432,2.734608363440593e-05,-0.0978930203587857,-0.059172820868536,2.7346083453227976e-05,-0.0976652637119102,-0.0610595864833918,2.948898081278628e-05,-0.8558028168984225,-0.5173021181440836,0.000239065617954,-0.8558028168984358,-0.5173021181440622,0.0002390656163701,-0.8479249235135586,-0.5301162688857384,0.0002560218531117,mpc_1np1s_bc_90/frames/frame_000002.png,BC,0.0019004624636119,3.5095621114205153,8.822581707967474,0.04754571180742537,0.0019106129145428,0.0101478426566018,0.11518149897895824,0.11518149520404643,0.006942588138482586,0.8618554059007367
3,18,18,0,0.0017041091475046,1.7041091475046743,0.0020820820707992,-0.0165475246397411,-2.9338150029109956e-11,0.0,0.0,-0.0006680732112054,0.0101458387614093,0.6623088598163821,-0.7181870664845859,-0.1,-0.0005337330591552,-0.9999996894395874,-0.0004847526796387,-0.000318220976774,0.0164058024007026,0.7817591475024271,-0.7108574963349217,-0.1000006805259587,-0.9966264321312712,-0.0820713268713253,0.0002282167231029,solved,0,6.257525207648578e-07,0.0006257525207648,6.25760493563089e-07,0.000625760493563,9.103544183931817,16,0.3081750078382173,0.0004219187804942,0.421918780494244,0.0035780812195057,3.578081219505756,0.1033738010053011,0.1033738010052496,0.103483353591293,1.0010597712856306,1.001059771286129,0.3412960458053184,0.9999822586783936,0.1034815176598361,-0.0998483597261428,-0.0267665229885201,3.2270534416648814e-05,-0.0998483597260957,-0.0267665229884972,3.2270534411349416e-05,-0.0997927966888134,-0.0273898037969066,2.911172755637459e-05,-0.9658961821576292,-0.258929464992271,0.0003121732402486,-0.9658961821576542,-0.2589294649921786,0.0003121732401975,-0.9643367094860936,-0.2646783549853108,0.0002813179757524,mpc_1np1s_bc_90/frames/frame_000003.png,BC,0.0006257525207648,3.578081219505756,9.103544183931817,0.01667799860452034,0.0006680732112054,0.0101458387614093,0.10348335359129307,0.10348334949646684,0.0010597712856306174,0.3412960458053184
4,18,18,0,0.0016023930466426,1.6023930466426368,0.0008920567904387,-0.0050790790572151,-2.4040273897530486e-11,0.0,0.0,-0.000204631579958,0.0101436398004928,0.6623177803842865,-0.718237857275158,-0.1,-0.0005337333847452,-0.9999996889430854,-0.0004857758372204,-0.0003182204306806,0.0165072387987076,0.7816585143123833,-0.7108721604969881,-0.1000006517045634,-0.996569215959323,-0.082763185245102,0.000230152786397,solved,0,1.5275342054467298e-07,0.0001527534205446,1.52754379310047e-07,0.00015275437931,9.209162231962132,16,0.4055626321807585,0.0003867937527741,0.3867937527741401,0.0036132062472258,3.61320624722586,0.1016852346263643,0.1016852346263756,0.1016960049273352,1.000105918042187,1.000105918042076,0.0858525614576371,0.9999988773841428,0.1016958907617875,-0.1006443899463816,-0.0145118197883884,2.8280183492300557e-05,-0.1006443899463915,-0.0145118197883986,2.8280183445028584e-05,-0.1006331900438306,-0.0146641620664134,2.8821395325895335e-05,-0.9897640529246234,-0.1427131465223164,0.0002781149455593,-0.9897640529246116,-0.1427131465224009,0.0002781149450944,-0.9895490989615172,-0.1441960485752746,0.0002834073506278,mpc_1np1s_bc_90/frames/frame_000004.png,BC,0.0001527534205446,3.61320624722586,9.209162231962132,0.0051568216361251844,0.000204631579958,0.0101436398004928,0.10169600492733527,0.10169600084323756,0.00010591804218695877,0.0858525614576371
5,18,18,0,0.001500946186771,1.50094618677104,0.0004280413629261,-0.0008316168091041,-1.947554664311771e-11,0.0,0.0,-3.315273806703884e-05,0.0101412257415616,0.6623220607979157,-0.718246173443249,-0.1,-0.0005337334374946,-0.9999996888625476,-0.0004859416008592,-0.000318220342207,0.0166086510561232,0.7815575735075796,-0.7108820375070364,-0.1000006230602253,-0.9965473138525172,-0.0830264862249525,0.0002320311847711,solved,0,2.1555422207000677e-08,2.1555422207000677e-05,2.1561201737375233e-08,2.156120173737523e-05,9.248938141769846,16,0.5047877956657365,0.0003642868896208,0.3642868896208241,0.0036357131103791,3.635713110379176,0.1014226037038721,0.1014226037038273,0.101422888059916,1.0000028036752515,1.000002803675693,0.0121793037301677,0.9999999774072208,0.1014228857684911,-0.1009384204016418,-0.0098984331865547,2.9143531318926483e-05,-0.1009384204015972,-0.0098984331865503,2.9143531310449333e-05,-0.1009408048037174,-0.009877010048287,2.8644338123662297e-05,-0.995226080927246,-0.09759592857087,0.0002873474970532,-0.9952260809272464,-0.0975959285708698,0.0002873474969697,-0.9952468001511278,-0.0973844290694238,0.0002824247925846,mpc_1np1s_bc_90/frames/frame_000005.png,BC,2.1555422207000677e-05,3.635713110379176,9.248938141769846,0.0009353106037889867,3.315273806703884e-05,0.0101412257415616,0.10142288805991605,0.10142288401498036,2.803675251517035e-06,0.0121793037301677
6,19,19,1,0.0023313026288823,2.331302628882328,-0.0234700068554422,0.226908955666331,-5.7951100591560114e-11,0.0,0.0,0.0091452575533632,0.0101558229189616,0.6620873607293613,-0.7159770838865858,-0.1,-0.0005337188859016,-0.9999997100374068,-0.0004402153268275,-0.0003182447475231,0.0167102092853128,0.7814404181238039,-0.7106273558127513,-0.100000599960365,-0.9981753745472428,-0.0603810163532667,0.0002334772322174,solved,0,9.239794320909069e-06,0.009239794320909,9.239869563959208e-06,0.0092398695639592,9.264076639566069,16,0.6046957035627486,0.0003465276475682,0.3465276475682568,0.0036534723524317,3.653472352431743,0.2729722692346547,0.2729722692345318,0.2803357806009759,1.0269753092025309,1.0269753092029932,1.1560792569311482,0.9997964433838004,0.2802787163980771,-0.1190582431528482,0.2456399618581327,6.038881693048854e-05,-0.1190582431528364,0.2456399618580018,6.03888167804989e-05,-0.1171553837756578,0.2546816942851082,2.309986028847799e-05,-0.4361550844950568,0.8998714871178861,0.0002212269293866,-0.4361550844952099,0.8998714871178118,0.0002212269288372,-0.4179109192715371,0.9084880058447364,8.24006847750835e-05,mpc_1np1s_bc_90/frames/frame_000006.png,BC,0.009239794320909,3.653472352431743,9.264076639566069,0.22811951995254479,0.0091452575533632,0.0101558229189616,0.28033578060097597,0.2803357796492538,0.026975309202530884,1.1560792569311482
7,19,19,0,0.0021956590119575,2.1956590119575115,-0.0055671899321215,0.0765841032843883,-5.258446432460376e-11,0.0,0.0,0.0030798584617778,0.010154428904716,0.66203168883004,-0.7152112428537419,-0.1,-0.0005337139850945,-0.9999997166978422,-0.0004248160389322,-0.0003182529663785,0.01681175357436,0.7813347965776859,-0.710544290901907,-0.100000572666186,-0.9986048413474212,-0.052804502923163,0.0002351776550707,solved,0,3.0983833943792886e-06,0.0030983833943792,3.0983872647678127e-06,0.0030983872647678,7.963232433995025,16,0.7415514753424568,0.0005911717635228,0.59117176352286,0.0034088282364771,3.40882823647714,0.1325839242268022,0.1325839242268633,0.134371467071364,1.013482349802107,1.0134823498016396,1.0863740273343538,0.9998202493471146,0.1343473137124287,-0.1057516585479615,0.0799692606033099,3.219151601677124e-05,-0.1057516585479811,0.0799692606033852,3.219151605005077e-05,-0.1056215461180398,0.0830649108443104,2.729417901414788e-05,-0.7976205197174537,0.6031595539932275,0.0002428010500104,-0.7976205197172342,0.6031595539935177,0.0002428010502613,-0.7860414745784144,0.6181737288035641,0.0002031248122017,mpc_1np1s_bc_90/frames/frame_000007.png,BC,0.0030983833943792,3.40882823647714,7.963232433995025,0.07678618677610036,0.0030798584617778,0.010154428904716,0.13437146707136405,0.13437146429930152,0.013482349802107052,1.0863740273343538
8,19,19,0,0.0020900622586644,2.090062258664451,-0.0015295689291213,0.0261808757464329,-4.526033959266502e-11,0.0,0.0,0.0010519044133217,0.0101529319360844,0.6620163931407488,-0.7149494340962776,-0.1,-0.0005337123112286,-0.9999997189183402,-0.0004195565183498,-0.0003182557734546,0.0169132828937208,0.7812320817203084,-0.7105190689058617,-0.1000005443704199,-0.9987354458518544,-0.0502737811294295,0.0002369178081015,solved,0,1.0687255592027008e-06,0.0010687255592027,1.068728652795172e-06,0.0010687286527951,7.528441983022452,16,0.8534265075855079,0.0006656828394225,0.6656828394225897,0.0033343171605774,3.3343171605774105,0.1055022684190604,0.1055022684190385,0.1057662129946411,1.002501790525795,1.002501790526004,0.5617221118612512,0.999951942154059,0.1057611300982713,-0.1027002550845418,0.0241533702483073,3.0867227103381166e-05,-0.1027002550845201,0.0241533702483032,3.086722720480051e-05,-0.1027148573774505,0.0252219960452659,2.8295766091313013e-05,-0.9734412029569932,0.2289369755763815,0.0002925740608796,-0.9734412029569908,0.2289369755763905,0.000292574061841,-0.9711499964800177,0.2384693119961088,0.0002675312397991,mpc_1np1s_bc_90/frames/frame_000008.png,BC,0.0010687255592027,3.3343171605774105,7.528441983022452,0.026225518792944626,0.0010519044133217,0.0101529319360844,0.10576621299464116,0.1057662092096404,0.0025017905257949113,0.5617221118612512
9,19,19,0,0.00198805750188,1.988057501880015,-0.0004056144853889,0.0093289390756934,-3.8447314423908765e-11,0.0,0.0,0.0003748118925328,0.0101513198959323,0.6620123369958949,-0.7148561447055207,-0.1,-0.0005337117147974,-0.999999719702858,-0.0004176824594131,-0.0003182567736626,0.0170147960926801,0.7811302459848426,-0.710513333863008,-0.1000005158840176,-0.9987775350456628,-0.0494305426060188,0.0002386331584053,solved,0,3.991656960716312e-07,0.0003991656960716,3.991661046407561e-07,0.0003991661046407,15.35479830753021,17,0.0530412923242038,0.0006820092209679,0.6820092209679414,0.003317990779032,3.317990779032059,0.1019622666885739,0.1019622666885252,0.10199710067389,1.0003416360428954,1.0003416360433732,0.2234101463783993,0.999992397963062,0.1019963252881632,-0.1018225371400201,0.0053360954172231,2.9057518454058784e-05,-0.1018225371399728,0.0053360954171965,2.9057518460828824e-05,-0.1018357354658494,0.0057350428537272,2.848640225094901e-05,-0.9986295955053592,0.052334021109214,0.000284983056946,-0.9986295955053716,0.0523340211089786,0.0002849830570125,-0.99841794318687,0.0562275085844217,0.0002792863920909,mpc_1np1s_bc_90/frames/frame_000009.png,BC,0.0003991656960716,3.317990779032059,15.35479830753021,0.009337752801866012,0.0003748118925328,0.0101513198959323,0.1019971006738901,0.10199709669595776,0.00034163604289538796,0.2234101463783993
