i_idx,j_idx,L_m,act_x,act_y,act_z,act_rx,act_ry,act_rz,pred_base_x_mm,pred_base_y_mm,pred_base_z_mm,meas_base_x_mm,meas_base_y_mm,meas_base_z_mm,pred_tip_angle_deg,meas_tip_angle_deg,err_x_mm,err_y_mm,err_z_mm,err_xy_mm,err_xyz_mm
0,0,0.027,0.6311301958213625,-0.681242755387884,-0.1,3.1405364888539746,0.001005832905040842,0.0010166507893903665,-25.94499178784974,-1.4197758323331038,-0.010435515527789103,-29.1056648245734,0.4239862023977264,0.0,-3.132246475202589,0.8345773326886002,-3.160673036723658,1.8437620347308303,0.010435515527789103,3.659140949155515,3.659155829664959
0,-5,0.027,0.6318902609296396,-0.664080825814036,-0.1,3.1386405152890675,-0.13602506840880266,0.0009866038624975091,-25.84167795095361,-2.40522083323893,-0.011828635875655245,-29.120538912455878,-1.0614259966282742,0.0,-5.317499579896836,-2.087471755933844,-3.278860961502265,1.3437948366106558,0.011828635875655245,3.5435453669686545,3.5435651093766705
0,-10,0.027,0.6341261687986115,-0.6470424703625985,-0.1,3.1296807287925215,-0.2728037121143539,0.0009719784225358154,-25.686630014563104,-3.376331913015494,-0.012762157333688923,-29.029269421797622,-2.542413810158504,0.0,-7.488210072509421,-5.005252693776272,-3.3426394072345182,0.8339181028569898,0.012762157333688923,3.4450918143163807,3.4451154525980034
0,-15,0.027,0.6378405217273522,-0.6302520565600401,-0.1,3.1147884141369397,-0.4090404355397018,0.000972102992026168,-25.482054599704654,-4.327784394033607,-0.013673475190492258,-28.915553399607607,-4.081381286051148,0.0,-9.638943457877362,-8.034128447807745,-3.433498799902953,0.24640310798245985,0.013673475190492258,3.442328935554886,3.4423560920512304
0,-20,0.027,0.6429936644498488,-0.6138884777050237,-0.1,3.093921821636409,-0.5445436474979339,0.0009723104356501958,-25.232215479391467,-5.249870786444892,-0.014543403043017315,-28.77967396170529,-5.438100403142159,0.0,-11.753400674918543,-10.700239822971962,-3.5474584823138207,-0.18822961669726687,0.014543403043017315,3.5524487430985228,3.55247851266047
0,-25,0.027,0.6496182756932674,-0.5980026827129016,-0.1,3.067199531050047,-0.678926266589901,0.0010453600882284412,-24.938057869897122,-6.147306877064677,-0.015573384248809686,-28.434861736886077,-7.038082809185655,0.0,-13.847513323185442,-13.902214534057363,-3.496803866988956,-0.8907759321209775,0.015573384248809686,3.6084787716480906,3.6085123771066483
0,-30,0.027,0.6575568405314339,-0.5827507148301638,-0.1,3.03464207177295,-0.8120659977015265,0.001054484231549118,-24.607061397754478,-7.005515434109585,-0.01633734137760428,-28.03033434501603,-8.363245690871674,0.0,-15.891405634862734,-16.613216050444695,-3.4232729472615517,-1.3577302567620897,0.01633734137760428,3.682693188629762,3.682729426702881
0,-35,0.027,0.6667683451130181,-0.5682689374827196,-0.1,2.9963108606089555,-0.9436879434476021,0.0009981907632169345,-24.244854086245585,-7.820498106291093,-0.016812299388602056,-27.56188976677857,-9.858311092052356,0.0,-17.87779209591881,-19.681068134061142,-3.3170356805329835,-2.0378129857612626,0.016812299388602056,3.89299466617489,3.893030968830954
0,-40,0.027,0.677222522813235,-0.5546247461719637,-0.1,2.9522895607331505,-1.0734412134037747,0.0009363615392305104,-23.855225342027236,-8.593157593021592,-0.017190542915299412,-26.97025247213957,-11.149914637697082,0.0,-19.81009466024216,-22.460950987103036,-3.1150271301123333,-2.556757044675489,0.017190542915299412,4.02993804007377,4.029974704833685
0,-45,0.027,0.6888351780733051,-0.5419441090904097,-0.1,2.9026279535087744,-1.2012066749077344,0.000870214202385496,-23.444832584466383,-9.319057763720037,-0.017486730061743484,-26.46313312257118,-12.517460811501705,0.0,-21.677265417368027,-25.314856920875098,-3.018300538104795,-3.1984030477816683,0.017486730061743484,4.397717611941762,4.397752378216742
0,-50,0.027,0.7014833509059267,-0.5303700054917444,-0.1,2.847411897332421,-1.3267318451745302,0.0009562392287883243,-23.02152651203516,-9.993600527591953,-0.01818379816720485,-25.7628666474198,-13.86761449987603,0.0,-23.465572352993348,-28.292657201550814,-2.741340135384639,-3.874013972284077,0.01818379816720485,4.745832908491714,4.745867744242218
