Metric,With BC,Without BC,Change
Mean predicted-measured error [mm],0.001073233401157681,0.0010504416918427476,1.02x higher
Median predicted-measured error [mm],0.0010562040153824,0.0010848910151556,1.03x lower
Max predicted-measured error [mm],0.0013195283275921,0.0013390904524757,1.01x lower
Mean one-step prediction error [mm],0.0003971464779966842,0.0003997054822218337,1.01x lower
Max one-step prediction error [mm],0.000917665060091,0.0008504287489603,1.08x higher
Mean raw model error [mm],0.0012090456166994812,0.0009198576627368143,1.31x higher
Median raw model error [mm],0.0012790472226484,0.0009691137988651,1.32x higher
Max raw model error [mm],0.001953118153865,0.0017939323081761,1.09x higher
Mean wall clearance [mm],3.061684596017585,3.0931743338657043,-0.031 mm
Minimum wall clearance [mm],2.4384797402843787,2.5414695375841347,-0.103 mm
Mean Jacobian gain,0.8101316564557999,0.8439903934618647,farther from 1
Median Jacobian gain,0.7600480961926985,0.7913396473872589,farther from 1
Mean Jacobian directional cosine,0.9200879648505124,0.9152182755837446,+0.005
Mean Jacobian XY error [mm],0.4299760810724683,0.41102456249459596,1.05x higher
Max Jacobian XY error [mm],1.0537385395114869,0.8504287489603091,1.24x higher
