Condition,Steps,Step min,Step max,Mean measured-reference error [mm],Max measured-reference error [mm],Mean predicted-measured error [mm],Median predicted-measured error [mm],Max predicted-measured error [mm],Mean one-step prediction error [mm],Max one-step prediction error [mm],Mean raw model error [mm],Median raw model error [mm],Max raw model error [mm],Mean prediction-reference error [mm],Max prediction-reference error [mm],Mean wall clearance [mm],Minimum wall clearance [mm],Mean Jacobian gain,Median Jacobian gain,Mean Jacobian directional cosine,Mean Jacobian XY error [mm],Max Jacobian XY error [mm],Final reference index
With boundary conditions,21,0,20,0.001112426347660467,0.0014034262468505,0.001073233401157681,0.0010562040153824,0.0013195283275921,0.0003971464779966842,0.000917665060091,0.0012090456166994812,0.0012790472226484,0.001953118153865,5.7274120834029686e-05,0.0005838581853823,3.061684596017585,2.4384797402843787,0.8101316564557999,0.7600480961926985,0.9200879648505124,0.4299760810724683,1.0537385395114869,157
Without boundary conditions,21,0,20,0.001104294924801557,0.0013390904524388,0.0010504416918427476,0.0010848910151556,0.0013390904524757,0.0003997054822218337,0.0008504287489603,0.0009198576627368143,0.0009691137988651,0.0017939323081761,6.926334606971519e-05,0.0008960647481849,3.0931743338657043,2.5414695375841347,0.8439903934618647,0.7913396473872589,0.9152182755837446,0.41102456249459596,0.8504287489603091,155
