x_src,y_src,z_src,rx,ry,rz,L
-1.001410065981644948e-08,-3.980004881221077540e-06,-4.000890729827233372e-06,-6.106226635438360972e-13,1.604133492705273056e-07,-1.595772958218333315e-07,-9.999999834531257958e-01
8.990909844408534468e-05,1.133536973775273182e-01,-1.238159574867836454e-08,-2.891095751689221061e-06,1.177873354407665829e-07,4.554965465752847109e-03,3.215996358107986453e-04
8.988516461000406466e-05,-1.803825144808257619e-08,1.133536961563999523e-01,2.894219849891577212e-06,-4.554962994063327386e-03,8.391382033678951302e-08,3.206947554734718153e-04
