s,px,py,pz,qw,qx,qy,qz
0.000000000000000000e+00,7.981328220229531034e-01,-7.112731669220015984e-01,-1.000000000000000056e-01,-1.591549349476097951e-07,9.999998986788191102e-01,3.183098539322571177e-04,3.183098539322571177e-04
8.333333333333333868e-04,7.972994890273570334e-01,-7.112736974382866117e-01,-1.000005305164539116e-01,-1.591587726507324491e-07,9.999999218567280357e-01,2.795352285492744217e-04,2.795470775569192188e-04
1.666666666666666774e-03,7.964661559545012093e-01,-7.112741633302236410e-01,-1.000009964282875807e-01,-1.591624158565095545e-07,9.999999405990624979e-01,2.437116381572043244e-04,2.437344532856377925e-04
2.500000000000000052e-03,7.956328228191709151e-01,-7.112745695161984960e-01,-1.000014026524169153e-01,-1.591656250022826481e-07,9.999999555165266507e-01,2.108945899433028581e-04,2.109274556658055654e-04
3.333333333333333547e-03,7.947994896341157300e-01,-7.112749210071100947e-01,-1.000017541982166636e-01,-1.591685655387577655e-07,9.999999672611703527e-01,1.809176842047477115e-04,1.809597321652741146e-04
4.166666666666666609e-03,7.939661564099117497e-01,-7.112752225365258640e-01,-1.000020557978083952e-01,-1.591712963163588696e-07,9.999999764073342901e-01,1.535737855284637023e-04,1.536242102858902006e-04
5.000000000000000104e-03,7.931328231552206010e-01,-7.112754784927882712e-01,-1.000023118381935666e-01,-1.591738153245998440e-07,9.999999834382450326e-01,1.286634009890349974e-04,1.287214575189113094e-04
5.833333333333333599e-03,7.922994898770930883e-01,-7.112756929317521903e-01,-1.000025263739866832e-01,-1.591761114315966661e-07,9.999999887564751111e-01,1.060029245936095122e-04,1.060679240636613229e-04
6.666666666666667095e-03,7.914661565812380895e-01,-7.112758696032630557e-01,-1.000027031538862632e-01,-1.591781399316334588e-07,9.999999926964568964e-01,8.542503585078311981e-05,8.549634060430826271e-05
7.500000000000000590e-03,7.906328232722498184e-01,-7.112760119782990387e-01,-1.000028456478088967e-01,-1.591800182859155072e-07,9.999999955355703962e-01,6.677777286039354992e-05,6.685479187626659303e-05
8.333333333333333218e-03,7.897994899537978952e-01,-7.112761232745689055e-01,-1.000029570724792483e-01,-1.591816712974154229e-07,9.999999975035294142e-01,4.992345902669895132e-05,5.000564362506625452e-05
9.166666666666666713e-03,7.889661566287861083e-01,-7.112762064803205275e-01,-1.000030404152316560e-01,-1.591831979036864845e-07,9.999999987902599141e-01,3.473769059425744197e-05,3.482452980621297708e-05
1.000000000000000021e-02,7.881328232994851968e-01,-7.112762643764621862e-01,-1.000030984561238179e-01,-1.591845764788668503e-07,9.999999995524968543e-01,2.110841284932382124e-05,2.119943006993771245e-05
1.083333333333333370e-02,7.872994899676435399e-01,-7.112762995571446645e-01,-1.000031337885128463e-01,-1.591858256613797437e-07,9.999999999193005529e-01,8.935086705413468715e-06,9.029836021172889208e-06
1.166666666666666720e-02,7.864661566345791943e-01,-7.112763144489534506e-01,-1.000031488382419204e-01,-1.591868734021497206e-07,9.999999999966615594e-01,-1.872059132425496860e-06,-1.773996204127272283e-06
1.250000000000000069e-02,7.856328233012569440e-01,-7.112763113288553818e-01,-1.000031458815810875e-01,-1.591877944997312571e-07,9.999999998713392513e-01,-1.139269705436606975e-05,-1.129171466805401030e-05
1.333333333333333419e-02,7.847994899683524705e-01,-7.112762923410299587e-01,-1.000031270620536233e-01,-1.591885952987424823e-07,9.999999996140497283e-01,-1.969699504963590467e-05,-1.959346581207851209e-05
1.416666666666666768e-02,7.839661566363056444e-01,-7.112762595127101184e-01,-1.000030944062720584e-01,-1.591892894943176546e-07,9.999999992821047012e-01,-2.684614117303439683e-05,-2.674041913269748692e-05
1.500000000000000118e-02,7.831328233053652665e-01,-7.112762147691485959e-01,-1.000030498388997519e-01,-1.591898771916767154e-07,9.999999989215833107e-01,-3.289280736652917814e-05,-3.278523068372795745e-05
1.583333333333333467e-02,7.822994899756265941e-01,-7.112761599478117924e-01,-1.000029951968399444e-01,-1.591903624726357564e-07,9.999999985691008231e-01,-3.788157507551001069e-05,-3.777246842498462948e-05
1.666666666666666644e-02,7.814661566470628706e-01,-7.112760968118634342e-01,-1.000029322427159473e-01,-1.591907491568297138e-07,9.999999982532233878e-01,-4.184943111991548193e-05,-4.173910799475182123e-05
1.750000000000000167e-02,7.806328233195520827e-01,-7.112760270628227799e-01,-1.000028626775249785e-01,-1.591910400865792332e-07,9.999999979955174201e-01,-4.482689149536311408e-05,-4.471565614755933541e-05
1.833333333333333343e-02,7.797994899929002743e-01,-7.112759523513489945e-01,-1.000027881514196498e-01,-1.591912359393469568e-07,9.999999978109884724e-01,-4.684263232656179457e-05,-4.673078021694424873e-05
1.916666666666666866e-02,7.789661566668636405e-01,-7.112758742803076961e-01,-1.000027102667736950e-01,-1.591913427381040957e-07,9.999999977066273971e-01,-4.794510091808036606e-05,-4.783291226959698059e-05
2.000000000000000042e-02,7.781328233411748396e-01,-7.112757943718190923e-01,-1.000026305452407088e-01,-1.591913755068814791e-07,9.999999976747890873e-01,-4.827642297816016386e-05,-4.816413345723224618e-05
