Condition,Steps,Mean measured-reference error [mm],Max measured-reference error [mm],Mean predicted-measured error [mm],Max predicted-measured error [mm],Mean one-step prediction error [mm],Max one-step prediction error [mm],Mean raw model error [mm],Max raw model error [mm],Mean prediction-reference error [mm],Max prediction-reference error [mm],Mean wall clearance [mm],Minimum wall clearance [mm],Mean Jacobian gain,Mean Jacobian directional cosine,Mean Jacobian XY error [mm],Max Jacobian XY error [mm],Final reference index
With boundary conditions,29,0.0024530027484107654,0.0055110966540653,0.0009397152972277724,0.0016170595741063,0.0003049315297479512,0.001210228915982,0.0013812491957179446,0.0030057882354532,0.0015470417665601336,0.0045225246796974,3.9504020957850132,1.356736074272817,1.0421715234371338,0.9434852664313407,0.30493152974799653,1.210228915982027,170
Without boundary conditions,34,0.0022450018909319176,0.0051623207404367,0.001105570947658094,0.0029214442710114,0.0005169411535769456,0.0021178415746215,0.004780045334281306,0.0137524020259687,0.0012616584560921646,0.00418411535183,4.024237685051578,1.6583281763522848,0.8124356863078986,0.9157147228569624,0.516941153576984,2.1178415746215444,171
