N_sqp,Np,bend_angle_deg,error,final_i_ref,final_infeasible,final_status,final_tip,jacobian_variant,log_csv_path,max_jac_cond,mean_jac_cond,mean_sqp_iters,n_steps,num_infeasible_steps,plant_contact,rollout_steps,run_name,solver_mode,success
5,10,-90.0,,41,0,solved,"[0.7738793943195991, -0.6858773690059796, -0.10002487619972379]",no_contact,run_experiment_3_extra/bend_m90_jac_no_contact_plant_contact_1_ltv_oneshot_rollout10_Np10_sqp5/log.csv,28091.416512699383,14535.434998673907,1.0,8,0,True,10,bend_m90_jac_no_contact_plant_contact_1_ltv_oneshot_rollout10_Np10_sqp5,ltv_oneshot,True
5,10,-90.0,,35,1,primal infeasible,"[0.7766648601406148, -0.6974603851891801, -0.10001135018905156]",no_contact,run_experiment_3_extra/bend_m90_jac_no_contact_plant_contact_1_sqp_full_rollout3_Np10_sqp5/log.csv,13504.732529505656,5846.373192193817,4.285714285714286,7,1,True,3,bend_m90_jac_no_contact_plant_contact_1_sqp_full_rollout3_Np10_sqp5,sqp_full,True
5,10,-90.0,,38,1,primal infeasible,"[0.773847838553469, -0.6946546283276614, -0.10002382371651322]",no_contact,run_experiment_3_extra/bend_m90_jac_no_contact_plant_contact_1_sqp_full_rollout5_Np10_sqp5/log.csv,44531.242005362205,13465.83272769666,4.166666666666667,6,1,True,5,bend_m90_jac_no_contact_plant_contact_1_sqp_full_rollout5_Np10_sqp5,sqp_full,True
5,10,-90.0,,30,0,solved,"[0.7769165711918657, -0.7099448097140987, -0.1000135088132879]",no_contact,run_experiment_3_extra/bend_m90_jac_no_contact_plant_contact_1_sqp_full_rollout10_Np10_sqp5/log.csv,481384710.4054152,426812161.56389064,5.0,100,0,True,10,bend_m90_jac_no_contact_plant_contact_1_sqp_full_rollout10_Np10_sqp5,sqp_full,True
5,10,-90.0,,23,0,solved,"[0.7769089525399978, -0.7099448189102395, -0.10001351366578905]",contact,run_experiment_3_extra/bend_m90_jac_contact_plant_contact_1_lti_rollout3_Np10_sqp5/log.csv,480857448.87707895,293733817.58509105,1.0,100,0,True,3,bend_m90_jac_contact_plant_contact_1_lti_rollout3_Np10_sqp5,lti,True
5,10,-90.0,,41,0,solved,"[0.7760301107873838, -0.682524311968103, -0.1000555450028132]",contact,run_experiment_3_extra/bend_m90_jac_contact_plant_contact_1_lti_rollout5_Np10_sqp5/log.csv,248399.60181681957,47196.3496909845,1.0,9,0,True,5,bend_m90_jac_contact_plant_contact_1_lti_rollout5_Np10_sqp5,lti,True
5,10,-90.0,,45,0,solved,"[0.7761959526141169, -0.6843028588639272, -0.0972966886185627]",contact,run_experiment_3_extra/bend_m90_jac_contact_plant_contact_1_lti_rollout10_Np10_sqp5/log.csv,38655.805982032405,19435.935793646317,1.0,7,0,True,10,bend_m90_jac_contact_plant_contact_1_lti_rollout10_Np10_sqp5,lti,True
5,10,-90.0,,40,0,solved,"[0.7738796609852631, -0.6874880895760276, -0.10002937794591464]",contact,run_experiment_3_extra/bend_m90_jac_contact_plant_contact_1_ltv_oneshot_rollout3_Np10_sqp5/log.csv,440732.02180134633,79201.80724013127,1.0,12,0,True,3,bend_m90_jac_contact_plant_contact_1_ltv_oneshot_rollout3_Np10_sqp5,ltv_oneshot,True
5,10,-90.0,,41,0,solved,"[0.7738933646748275, -0.6858047746616187, -0.1000327750371447]",contact,run_experiment_3_extra/bend_m90_jac_contact_plant_contact_1_ltv_oneshot_rollout5_Np10_sqp5/log.csv,141141.0311388923,38454.93869668116,1.0,8,0,True,5,bend_m90_jac_contact_plant_contact_1_ltv_oneshot_rollout5_Np10_sqp5,ltv_oneshot,True
5,10,-90.0,,45,0,solved,"[0.7739344567757912, -0.6848820269494664, -0.10003161168788692]",contact,run_experiment_3_extra/bend_m90_jac_contact_plant_contact_1_ltv_oneshot_rollout10_Np10_sqp5/log.csv,178240.79095373087,53951.957499212665,1.0,7,0,True,10,bend_m90_jac_contact_plant_contact_1_ltv_oneshot_rollout10_Np10_sqp5,ltv_oneshot,True
5,10,-90.0,,29,1,primal infeasible,"[0.7762315794885335, -0.7035283220411263, -0.10001253439009544]",contact,run_experiment_3_extra/bend_m90_jac_contact_plant_contact_1_sqp_full_rollout3_Np10_sqp5/log.csv,199793.89847931557,42709.91359816721,4.166666666666667,6,1,True,3,bend_m90_jac_contact_plant_contact_1_sqp_full_rollout3_Np10_sqp5,sqp_full,True
5,10,-90.0,,28,1,primal infeasible,"[0.7744690597014646, -0.7054955997515207, -0.10001512633196968]",contact,run_experiment_3_extra/bend_m90_jac_contact_plant_contact_1_sqp_full_rollout5_Np10_sqp5/log.csv,100876.09980726974,30604.919806606882,4.166666666666667,6,1,True,5,bend_m90_jac_contact_plant_contact_1_sqp_full_rollout5_Np10_sqp5,sqp_full,True
5,10,-90.0,,44,0,solved,"[0.7739056304167278, -0.685041304773559, -0.1000310570804574]",contact,run_experiment_3_extra/bend_m90_jac_contact_plant_contact_1_sqp_full_rollout10_Np10_sqp5/log.csv,168248.77498776928,62376.472626429226,5.0,5,0,True,10,bend_m90_jac_contact_plant_contact_1_sqp_full_rollout10_Np10_sqp5,sqp_full,True
