N_sqp,Np,adaptive_rollout_enabled,controller_kind,error,final_i_ref,final_infeasible,final_status,final_tip,hierarchical_mpc_enabled,hierarchy_policy,inverse_kp,inverse_sequence_mode,jacobian_variant,log_csv_path,max_jac_cond,mean_jac_cond,mean_sqp_iters,n_steps,num_infeasible_steps,plant_contact,python_success,rollout_steps,run_name,solver_mode
50,15,False,mpc,,62,1,primal infeasible inaccurate,"[0.7783727540061413, -0.7031936039022919, -0.10001462076935565]",False,,nan,,contact,experiment3_sim_2/bends_p0_m120_jac_contact_plant_contact_1_ctrl_mpc_sqp_full_rollout10_Np15_sqp50_bends_0_-120/log.csv,482208423080788.6,102811269850552.47,3.6,15,1,True,True,10,bends_p0_m120_jac_contact_plant_contact_1_ctrl_mpc_sqp_full_rollout10_Np15_sqp50_bends_0_-120,sqp_full
50,15,False,mpc,,59,0,solved; using_best_qp_feasible_candidate_with_model_warning,"[0.7788609505393869, -0.705205888774505, -0.09997994242721556]",False,,nan,,no_contact,experiment3_sim_2/bends_p0_m120_jac_no_contact_plant_contact_1_ctrl_mpc_sqp_full_rollout10_Np15_sqp50_bends_0_-120/log.csv,482309709892114.44,73110195137608.7,0.1,40,0,True,True,10,bends_p0_m120_jac_no_contact_plant_contact_1_ctrl_mpc_sqp_full_rollout10_Np15_sqp50_bends_0_-120,sqp_full
