controller,bend_angle_deg,log_csv,n_steps,success,num_failed_steps,num_infeasible_steps,first_failure_k,final_status,final_i_ref,max_i_ref,mean_pred_err_xy_mm,max_pred_err_xy_mm,mean_clearance_mm,min_clearance_mm,mean_tip_vessel_angle_deg,max_tip_vessel_angle_deg,mean_cond_H_beam,max_cond_H_beam,mean_cond_H_mpc,max_cond_H_mpc,mean_sqp_du_final,max_sqp_du_final,mean_sqp_du_rel_final,max_sqp_du_rel_final,mean_curvature_ahead_1pm,max_curvature_ahead_1pm,mean_rollout_steps_used,max_rollout_steps_used,mean_hierarchy_level,max_hierarchy_level,mean_hierarchy_confidence,min_hierarchy_confidence,mean_hierarchy_risk,max_hierarchy_risk,frac_lti,frac_ltv_oneshot,frac_sqp_full,frac_vxy_saturated,frac_wz_saturated,frac_dL_saturated,num_hier_curvature,num_hier_tip_angle,num_hier_sqp_step,num_hier_saturation,num_level_switches,num_rollout_switches,num_solver_switches,unique_rollout_steps,unique_solver_modes,num_rollout_good_increase,num_rollout_bad_tip_angle,num_rollout_bad_low_clearance
fixed_lti_rollout5,-90.0,/Users/jackhilton-jones/Proper-Research/run_baseline_lti_rollout5_np5/bend_m90_jac_contact_plant_contact_1_lti_rollout5_Np5_sqp5/log.csv,9,True,0,0,-1,solved,41.0,41.0,1.7091773666198642,4.29074632160601,1.5006430047490233,0.8579968993525519,38.31413008096517,71.2872199344952,1057.2388949501726,5497.238909792025,12334430.29709143,66775034.37278724,2.7594236624559247,4.686077998182361,10.737699359389092,93.74950843116166,139.45852096144446,233.18519139449108,5.0,5.0,,,,,,,1.0,0.0,0.0,0.0,0.4444444444444444,0.3333333333333333,0,0,0,0,0,0,0,5,lti,0,1,4
fixed_sqp_rollout1,-90.0,/Users/jackhilton-jones/Proper-Research/run_baseline_sqp_rollout1_np5/bend_m90_jac_contact_plant_contact_1_sqp_full_rollout1_Np5_sqp5/log.csv,21,True,0,0,-1,solved,41.0,41.0,0.0424928927746221,0.333207091263463,2.278770405390177,0.9871032615298424,44.18175453498391,67.53332329155157,1611.5290784606332,8237.884884454466,6587632.393687267,13441440.292116515,1.137853554533367,3.1328807695474876,0.0971838059549874,0.2797175559227411,71.0075932667466,233.18519139449108,1.0,1.0,,,,,,,0.0,0.0,1.0,0.47619047619047616,0.9523809523809523,0.23809523809523808,0,0,0,0,0,0,0,1,sqp_full,2,12,4
hierarchy_simple,-90.0,/Users/jackhilton-jones/Proper-Research/run_hierarchy_simple_v1/bend_m90_jac_contact_plant_contact_1_lti_rollout5_Np5_sqp5/log.csv,20,True,0,0,-1,solved,41.0,41.0,0.11687853119871083,0.6669827224961886,2.4128321782846807,0.977167085154375,43.708092547422,67.53332329155157,2110.4963916781394,12641.051785504977,11575386.886533674,58459567.8183012,1.4690191418026928,4.601327385444137,0.23844049212234983,2.195186449605373,75.75279324059687,233.18519139449108,1.0,1.0,1.6,2.0,0.2,0.0,0.8,1.0,0.0,0.4,0.6,0.4,0.75,0.25,9,0,0,0,2,0,2,1,"ltv_oneshot,sqp_full",1,11,6
fixed_lti_rollout5,-60.0,/Users/jackhilton-jones/Proper-Research/run_baseline_lti_rollout5_np5/bend_m60_jac_contact_plant_contact_1_lti_rollout5_Np5_sqp5/log.csv,6,True,0,0,-1,solved,42.0,42.0,0.6410045078492347,2.345482456361935,1.3876389848814004,0.9603076175744176,31.781889406047938,55.97139605192311,1838.7261939851205,6618.305579532659,7304601.110167977,14523901.303942824,3.0638615237310796,4.685750151670041,17.139331039726777,99.77400737753436,66.28780012835382,155.41949702483305,5.0,5.0,,,,,,,1.0,0.0,0.0,0.0,0.16666666666666666,0.5,0,0,0,0,0,0,0,5,lti,0,1,4
fixed_sqp_rollout1,-60.0,/Users/jackhilton-jones/Proper-Research/run_baseline_sqp_rollout1_np5/bend_m60_jac_contact_plant_contact_1_sqp_full_rollout1_Np5_sqp5/log.csv,13,True,0,0,-1,solved,40.0,40.0,0.055222699718861464,0.2731266035800569,3.6052657196534224,2.879380138757872,24.29158971402562,47.434642988779075,707.7442291148291,1422.4097586548378,5650210.433482076,9681454.126818214,1.7831860451096184,4.676548909121227,0.18955367559096933,0.5153069974433817,56.91954243350547,155.41949702483305,1.0,1.0,,,,,,,0.0,0.0,1.0,0.46153846153846156,0.7692307692307693,0.3076923076923077,0,0,0,0,0,0,0,1,sqp_full,7,4,0
hierarchy_simple,-60.0,/Users/jackhilton-jones/Proper-Research/run_hierarchy_simple_v1/bend_m60_jac_contact_plant_contact_1_lti_rollout5_Np5_sqp5/log.csv,11,True,0,0,-1,solved,42.0,42.0,0.22886817960153813,0.9948109485876576,2.7000657248589257,0.9977001171786264,30.335702226566013,50.41975565768232,12175.159638384082,125645.5847930944,5328608.3834882025,8851203.2911301,1.6331582546452474,4.360397639040223,8.893661403010055,96.78872011294462,65.8809986941094,155.41949702483305,1.7272727272727273,4.0,1.0,2.0,0.5,0.0,0.5,1.0,0.2727272727272727,0.45454545454545453,0.2727272727272727,0.0,0.6363636363636364,0.2727272727272727,4,0,0,0,5,5,5,"1,2,3,4","lti,ltv_oneshot,sqp_full",2,4,2
fixed_lti_rollout5,-30.0,/Users/jackhilton-jones/Proper-Research/run_baseline_lti_rollout5_np5/bend_m30_jac_contact_plant_contact_1_lti_rollout5_Np5_sqp5/log.csv,6,True,0,0,-1,solved,45.0,45.0,1.1697858053369778,2.2170062920880533,1.6259714800150988,0.9909558490694818,21.194448157290307,27.880316783551592,22473.64725309047,128810.00498196248,5094604.459052849,5856277.740273888,3.7799531527100196,4.685488900908654,14.836533195083781,81.79016626206892,24.28650320411579,77.6985621902522,5.0,5.0,,,,,,,1.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0,0,0,0,0,0,0,5,lti,1,0,2
fixed_sqp_rollout1,-30.0,/Users/jackhilton-jones/Proper-Research/run_baseline_sqp_rollout1_np5/bend_m30_jac_contact_plant_contact_1_sqp_full_rollout1_Np5_sqp5/log.csv,13,True,0,0,-1,solved,41.0,41.0,0.13238111085426535,0.4410290000291591,3.4598499521072674,2.745722480870152,17.71096802951936,30.515694407102004,778.3297712960576,7601.436002958118,4769026.900250674,5027593.85095223,2.5694199317067614,4.6858786113135995,0.30382479652885536,1.0303857064663535,27.862738751138522,77.6985621902522,1.0,1.0,,,,,,,0.0,0.0,1.0,0.0,0.6153846153846154,0.6153846153846154,0,0,0,0,0,0,0,1,sqp_full,12,0,0
hierarchy_simple,-30.0,/Users/jackhilton-jones/Proper-Research/run_hierarchy_simple_v1/bend_m30_jac_contact_plant_contact_1_lti_rollout5_Np5_sqp5/log.csv,11,True,0,0,-1,solved,42.0,42.0,0.24903046354515118,0.4713547415629303,3.597304175131214,2.7855807583163457,16.398519910195038,27.258886805640767,382.773013528825,857.1731611791049,4792436.054820914,5332867.138192253,2.0394304501055953,4.68587841082804,7.947325022192976,81.79016626206892,26.567222225071987,77.6985621902522,1.5454545454545454,3.0,0.9090909090909091,2.0,0.5454545454545454,0.0,0.45454545454545453,1.0,0.2727272727272727,0.5454545454545454,0.18181818181818182,0.0,0.2727272727272727,0.45454545454545453,0,0,0,0,5,3,5,"1,2,3","lti,ltv_oneshot,sqp_full",11,0,0
