direction,zrot_deg,theta_y_deg,theta_z_deg,theta_total_deg,energy,success
forward,20.0,74.54043389837183,-0.060681134933869875,74.54043452984943,-9.967300191367788e-05,True
forward,20.25,74.65400965414997,-0.060961043753542145,74.65401027751682,-9.90350329969725e-05,True
forward,20.5,74.76790112053635,-0.06124605922162675,74.76790173583406,-9.839654472560016e-05,True
forward,20.75,74.88210436225457,-0.06153628910588252,74.88210496952489,-9.775754693026176e-05,True
forward,21.0,74.9966215814408,-0.06183187181933899,74.9966221807255,-9.711805076860887e-05,True
forward,21.25,75.11145498859122,-0.06213295074786081,75.11145557993196,-9.647806740939636e-05,True
forward,21.5,75.2266068024748,-0.06243967447631356,75.22660738591325,-9.583760803220695e-05,True
forward,21.75,75.34207925003955,-0.06275219702724569,75.34207982561735,-9.519668382717472e-05,True
forward,22.0,75.45787456631227,-0.06307067811289965,75.45787513407102,-9.455530599470709e-05,True
forward,22.25,75.57399499429191,-0.06339528340142582,75.57399555427322,-9.391348574520645e-05,True
forward,22.5,75.6904427848356,-0.06372618479822967,75.69044333708104,-9.327123429878984e-05,True
forward,22.75,75.80722019653797,-0.06406356074351555,75.80722074108907,-9.262856288500814e-05,True
forward,23.0,75.92432949560275,-0.06440759652709088,75.92433003250106,-9.198548274256366e-05,True
forward,23.25,76.04177277975909,-0.06475848374889727,76.04177330904615,-9.134200511938954e-05,True
forward,23.5,76.15955268091804,-0.06511642414590761,76.15955320263534,-9.069814127091703e-05,True
forward,23.75,76.27767131230128,-0.06548162478023518,76.27767182649033,-9.005390246195811e-05,True
forward,24.000000000000004,76.39613096911198,-0.0658543018769092,76.39613147581433,-8.940929996497538e-05,True
forward,24.25,76.51493395340306,-0.06623468038852609,76.51493445266021,-8.876434506015365e-05,True
forward,24.5,76.63408257389953,-0.0666229944421653,76.634083065753,-8.811904903511087e-05,True
forward,24.75,76.75357914581218,-0.06701948781414394,76.75357963030352,-8.747342318460679e-05,True
forward,25.0,76.8734259906417,-0.06742441443474732,76.87342646781245,-8.682747881025123e-05,True
forward,25.25,76.99362543597317,-0.06783803892507947,76.99362590586493,-8.618122722021025e-05,True
forward,25.5,77.11417981526071,-0.06826063716852034,77.11418027791504,-8.553467972891168e-05,True
forward,25.75,77.23509146760186,-0.06869249691939681,77.23509192306035,-8.488784765674848e-05,True
forward,26.0,77.35636273750121,-0.06913391845175876,77.35636318580555,-8.42407423297813e-05,True
forward,26.250000000000004,77.47799597462398,-0.069585215251359,77.4779964158158,-8.35933750794394e-05,True
forward,26.5,77.59999353353737,-0.07004671475429618,77.5999939676584,-8.294575724222022e-05,True
forward,26.75,77.72235777344149,-0.0705187591359723,77.72235820053348,-8.229790015938711e-05,True
forward,27.0,77.84509105788791,-0.07100170615451136,77.84509147799265,-8.164981517666593e-05,True
forward,27.25,77.96819575448646,-0.07149593005300976,77.96819616764581,-8.100151364394016e-05,True
forward,27.5,78.09167401491386,-0.07200182111383505,78.09167442116971,-8.035300691524472e-05,True
forward,27.75,78.21552865208785,-0.07251979230782639,78.21552905148214,-7.970430634725661e-05,True
forward,28.0,78.33976182546226,-0.07305027203103957,78.33976221803701,-7.905542330078415e-05,True
forward,28.25,78.46437591569354,-0.07359371084703455,78.4643763014908,-7.840636913925789e-05,True
forward,28.500000000000004,78.58937330583679,-0.07415058138657425,78.58937368489872,-7.775715522871636e-05,True
forward,28.75,78.71475638097334,-0.07472137972360725,78.71475675334217,-7.7107792937491e-05,True
forward,29.000000000000004,78.84052752782286,-0.0753066268560336,78.84052789354088,-7.645829363588951e-05,True
forward,29.25,78.96668913434162,-0.07590687030074925,78.96668949345121,-7.580866869587746e-05,True
forward,29.500000000000004,79.09324358930473,-0.07652268581336064,79.09324394184837,-7.51589294907577e-05,True
forward,29.75,79.2201932818732,-0.0771546792441871,79.22019362789345,-7.450908739484837e-05,True
forward,29.999999999999996,79.34754060114481,-0.07780348854338372,79.34754094068434,-7.385915378315862e-05,True
forward,30.25,79.47528793568885,-0.07846978592931647,79.47528826879042,-7.320914003106283e-05,True
forward,30.5,79.6034376730635,-0.07915428023608823,79.60343799976998,-7.25590575139723e-05,True
forward,30.750000000000004,79.73199219931703,-0.07985771945768796,79.73199251967145,-7.190891760700537e-05,True
forward,31.0,79.86095389847044,-0.08058089350838214,79.86095421251588,-7.125873168465526e-05,True
forward,31.250000000000004,79.99032515198283,-0.08132463722115142,79.99032545976254,-7.060851112045595e-05,True
forward,31.5,80.12010833819794,-0.08208983360857806,80.12010863975529,-6.995826728664565e-05,True
forward,31.750000000000004,80.25030583177237,-0.08287741741345772,80.25030612715089,-6.930801155382861e-05,True
forward,32.0,80.38092000308423,-0.08368837897975877,80.38092029232756,-6.865775529063405e-05,True
forward,32.25,80.51195321762255,-0.08452376847824913,80.51195350077451,-6.800750986337327e-05,True
forward,32.5,80.64340768242356,-0.08538469905469916,80.64340795952812,-6.735728663616645e-05,True
forward,32.75,80.77528605621428,-0.08627235772347293,80.77528632731557,-6.670709696870989e-05,True
forward,33.0,80.9075905339464,-0.0871880022185636,80.90759079908877,-6.605695221874864e-05,True
forward,33.25,81.04032345503842,-0.08813297282830708,81.0403237142663,-6.540686373984538e-05,True
forward,33.5,81.17348715065751,-0.08910869765596856,81.17348740401557,-6.47568428814942e-05,True
forward,33.75,81.30708394298307,-0.0901166999838873,81.30708419051624,-6.410690098876303e-05,True
forward,34.0,81.44111614444653,-0.09115860639512297,81.44111638619985,-6.345704940193353e-05,True
forward,34.25,81.57558605695002,-0.09223615574540024,81.57558629296877,-6.280729945613826e-05,True
forward,34.5,81.71049597106011,-0.09335120909138343,81.71049620138986,-6.215766248099513e-05,True
forward,34.75,81.84584816517908,-0.09450576069676617,81.84584838986551,-6.150814980023945e-05,True
forward,35.0,81.98164490469127,-0.0957019502556181,81.98164512378041,-6.085877273135267e-05,True
forward,35.25,82.11788844108555,-0.09694207649353563,82.11788865462364,-6.020954258518856e-05,True
forward,35.5,82.25458101105272,-0.09822861233180334,82.25458121908625,-5.956047066559684e-05,True
forward,35.75,82.39172483555754,-0.09956422182884554,82.39172503813327,-5.891156826904314e-05,True
forward,36.0,82.5293221188854,-0.10095177914759575,82.52932231605041,-5.826284668422693e-05,True
forward,36.25,82.66737499097705,-0.10239438899305357,82.6673751827787,-5.7614317193707465e-05,True
forward,36.5,82.80588573332143,-0.10389541390081287,82.80588591980737,-5.696599106545879e-05,True
forward,36.75,82.9448564373486,-0.10545849622780057,82.94485661856682,-5.631787956457593e-05,True
forward,37.0,83.08428923056755,-0.10708759194990526,83.08428940656634,-5.566999394480624e-05,True
forward,37.25,83.22418621864448,-0.10878700439406076,83.22418638947254,-5.5022345450171957e-05,True
forward,37.5,83.3645494842882,-0.11056142349398773,83.36454964999456,-5.437494531456887e-05,True
forward,37.75,83.50538108610832,-0.11241597051605534,83.5053812467424,-5.372780476136207e-05,True
forward,38.0,83.6466830574445,-0.11435624916789636,83.64668321305611,-5.308093500297802e-05,True
forward,38.25,83.78845740516792,-0.11638840418095053,83.78845755580727,-5.243434724049378e-05,True
forward,38.5,83.93070610845373,-0.11851918867696061,83.9307062541715,-5.178805266322244e-05,True
forward,38.75,84.0734311175247,-0.12075604189789042,84.073431258372,-5.1142062448295944e-05,True
forward,39.0,84.21663435236563,-0.12310717921234134,84.21663448839402,-5.049638776024347e-05,True
forward,39.25,84.36031770140889,-0.12558169672653938,84.36031783267046,-4.985103975056763e-05,True
forward,39.5,84.50448302018988,-0.12818969334713434,84.50448314673723,-4.920602955731675e-05,True
forward,39.75,84.64913212997388,-0.13094241379633081,84.64913225186015,-4.8561368304653626e-05,True
forward,40.0,84.79426681635222,-0.13385241690679417,84.79426693363109,-4.791706710242181e-05,True
forward,40.25,84.93988882780965,-0.1369337745772934,84.93988894053545,-4.727313704570754e-05,True
forward,40.5,85.08599987426126,-0.14020230812129214,85.08599998248889,-4.66295892143995e-05,True
forward,40.75,85.23260162556001,-0.14367587048623445,85.23260172934502,-4.598643467274471e-05,True
forward,41.0,85.3796957099747,-0.14737468509322854,85.37969580937337,-4.534368446890186e-05,True
forward,41.25,85.52728371263768,-0.1513217550277349,85.52728380770698,-4.470134963449114e-05,True
forward,41.5,85.67536717396344,-0.15554336025654578,85.67536726476109,-4.4059441184142075e-05,True
forward,41.75,85.82394758803748,-0.16006966581362417,85.82394767462203,-4.34179701150378e-05,True
forward,42.0,85.97302640097652,-0.16493547099968853,85.97302648340732,-4.277694740645736e-05,True
forward,42.25,86.12260500925838,-0.17018113931608828,86.12260508759569,-4.213638401931585e-05,True
forward,42.5,86.27268475802457,-0.1758537621828168,86.27268483232956,-4.1496290895702136e-05,True
forward,42.75,86.42326693935307,-0.18200862807313956,86.42326700968792,-4.085667895841521e-05,True
forward,43.0,86.57435279050388,-0.18871109493945695,86.57435285693178,-4.021755911049903e-05,True
