placement,placement_label,distance_m,distance_mm,zrot_rad,zrot_deg,Bnorm_tip_T,Fnorm_N,Tnorm_Nm,J_norm,Jtrans_norm,Jrot_norm,cond_xyz,manip_xyz,sigma1_xyz,sigma2_xyz,sigma3_xyz,cond_xy,manip_xy,sigma1_xy,sigma2_xy,theta_y_deg,theta_z_deg,theta_total_deg
above,Above tip,0.2,200.0,-3.141592653589793,-180.0,0.0036754657885049113,0.0005274837738485952,6.760201171291072e-06,1.0666393587495482,0.2676990898393383,0.03984917708923232,3573378.133928608,3.626119926454428e-10,0.27006505992333235,0.017765782394824705,7.557696101599527e-08,16.80762513984539,1.8778561603686907e-05,0.017765782394824705,0.0010570072956177395,3.777675491642433e-08,-0.32659412326061704,0.32659414336137277
above,Above tip,0.2,200.0,-3.0787608005179976,-176.4,0.0036767064806580052,0.000524413346402234,7.793371335803933e-06,1.0748942341232557,0.2691134012451062,0.03970998843381894,95491.84495886545,2.698216440773359e-08,0.26971161864189985,0.0354196085906161,2.824446619060321e-06,26.51671542297886,4.921032943761825e-05,0.03612334842686046,0.001362285933632515,3.8716762156687317,-0.41613500959242083,3.893840410141599
above,Above tip,0.2,200.0,-3.0159289474462017,-172.8,0.0036802976976949174,0.0005153532274588331,1.0224144932065155e-05,1.0981196401099105,0.2729201206630098,0.039293896497562916,43897.265791318496,1.0195885898409558e-07,0.2686726246017837,0.06200341375119338,6.120486544173755e-06,27.998744796492566,0.00014516272581900527,0.06375244398585478,0.0022769750733197553,7.651601728346957,-0.6761954304428097,7.680720704119715
above,Above tip,0.2,200.0,-2.9530970943744053,-169.2,0.0036858747717863575,0.000500733536182692,1.3168426295720637e-05,1.1321980254841166,0.2780062922900836,0.03860854663818928,29051.967746435246,2.1238156621499148e-07,0.2669955426085826,0.08655344342705297,9.190273957995278e-06,24.522469408983728,0.00032810338120727744,0.08969896949597352,0.0036578277660369958,11.257154600072285,-1.0826212066003982,11.306475962507209
above,Above tip,0.2,200.0,-2.8902652413026098,-165.6,0.003692913132700222,0.00048119922022875827,1.6186046480063915e-05,1.1716856732672527,0.283030179220098,0.03767414505363632,21962.833050621502,3.4144205382503116e-07,0.2647121699362429,0.1070181783495704,1.2052733330263699e-05,21.065211587814826,0.0005957255718382317,0.1120226995704189,0.0053179005159016985,14.622075171447143,-1.5998605673750887,14.702018413782064
above,Above tip,0.2,200.0,-2.827433388230814,-162.0,0.0037008256966770212,0.00045752304364773255,1.9081453223888133e-05,1.2112387218900533,0.28685288328650405,0.036527606588319016,17796.0378170039,4.729295631089481e-07,0.2618034215777267,0.12279173802265209,1.4711332054350698e-05,18.422091607069163,0.0009186945738247182,0.1300933341794126,0.007061811272803111,17.700033348765256,-2.186774269922848,17.81832068317206
above,Above tip,0.2,200.0,-2.7646015351590183,-158.4,0.003709051053888709,0.0004305171138280261,2.17627166189391e-05,1.2466736670071374,0.2887710508618915,0.03522035819985169,15035.693515501138,5.942480467537158e-07,0.2581993150191872,0.1340235310545775,1.7172424720748335e-05,16.50213060184683,0.0012547905088295523,0.14389828648966987,0.008719982283594675,20.464668642791406,-2.802328520319715,20.62525973010621
above,Above tip,0.2,200.0,-2.7017696820872223,-154.8,0.003717114283919256,0.00040096111570928067,2.4187921459724652e-05,1.2754179166373592,0.28853741686643347,0.03381094885175524,13054.90663379727,6.974100905276965e-07,0.2538224407960197,0.14131945854886063,1.9442685261257248e-05,15.122903825651901,0.0015641013263076437,0.15379776959151611,0.010169857017184751,22.90697494531472,-3.4100464826092876,23.109911401642687
above,Above tip,0.2,200.0,-2.638937829015426,-151.2,0.003724654543063763,0.00036955688249389713,2.634266074577781e-05,1.2964240093724515,0.2862521029731622,0.032356374837397874,11552.089452308,7.785492149045386e-07,0.24864504784248695,0.1454745378728142,2.1523816004801622e-05,14.138172440823496,0.0018184462253687304,0.1603418420395241,0.011341058592307336,25.03124050417897,-3.980615140778087,25.273307353748066
above,Above tip,0.2,200.0,-2.5761059759436304,-147.6,0.003731425665161252,0.00033690904249688994,2.822842309061917e-05,1.3097832976466925,0.2822164932521836,0.030905427217426697,10367.92703498712,8.368223146646637e-07,0.24271894946156577,0.14727119718149617,2.3410557254357385e-05,13.444069945659473,0.002003847368893074,0.16413367779899465,0.01220863015905288,26.850834243735136,-4.492743514160397,27.12660180712992
above,Above tip,0.2,200.0,-2.5132741228718345,-144.0,0.0037372800139213827,0.00030352645805078527,2.9855637211876578e-05,1.3162774825097896,0.27680935501500936,0.029495539238590586,9411.970494304474,8.733201194938322e-07,0.236166856428954,0.1473723893870527,2.509217985456575e-05,12.968397671108617,0.002118300044552555,0.16574364954496637,0.012780580434714384,28.384522972023788,-4.93271721723707,28.687388892617435
above,Above tip,0.2,200.0,-2.450442269800039,-140.4,0.0037421465527817644,0.0002698377130201343,3.1239296913761884e-05,1.317003446159105,0.2704049968851114,0.028152545449515617,8629.068791687721,8.902241077117971e-07,0.22915072957576071,0.14629207287278737,2.6555673052056192e-05,12.660743214112115,0.002167759530650221,0.16566667367792065,0.013085067035658909,29.653661280382476,-5.293268514483033,29.97668869715458
above,Above tip,0.2,200.0,-2.387610416728243,-136.8,0.00374600970266281,0.0002362161751984656,3.239624524830526e-05,1.3131195777280564,0.2633306658726626,0.026892204941396998,7982.963010653885,8.902317651880644e-07,0.22183903627080032,0.1444080035516062,2.778905977326199e-05,12.485504066804198,0.002162312190425705,0.16430933524075994,0.01316000814717741,30.680293591633863,-5.572225111291424,31.016788589834775
above,Above tip,0.2,200.0,-2.3247785636564466,-133.2,0.003748891269290021,0.00020301580415885335,3.3343537961431494e-05,1.3057022050504687,0.25585158324216223,0.02572243190900323,7448.092063809552,8.761880261900546e-07,0.21438456207862563,0.14198920685982383,2.878382278870116e-05,12.417314660260786,0.0021133417298711313,0.16199391730700782,0.013045809157549822,31.48591250423632,-5.771167964265696,31.829763867765628
above,Above tip,0.2,200.0,-2.261946710584651,-129.6,0.003750837092243648,0.0001706261860298371,3.4097541782881933e-05,1.2956795928064169,0.24817138168245317,0.024645466777660035,7005.414726306599,8.508576018055675e-07,0.20691364951399832,0.1392234696136935,2.9536245546891058e-05,12.437976871650807,0.002031792084187793,0.15896975483132306,0.012780997783783794,32.09077360973423,-5.894290556828989,32.436615013057114
above,Above tip,0.2,200.0,-2.199114857512855,-126.0,0.0037519075550934903,0.00013957392262669847,3.467348737580149e-05,1.28381748173449,0.24044052042087496,0.023659775803140493,6640.234569762959,8.167974706266348e-07,0.19952463765858808,0.13624003418838804,3.0047829720827264e-05,12.53442443571574,0.0019272950546365035,0.15542694176901858,0.01240000628398566,32.51355516798472,-5.947474609803588,32.856808731714914
above,Above tip,0.2,200.0,-2.1362830044410597,-122.40000000000002,0.0037521712898657897,0.00011074250916718036,3.5085301148608296e-05,1.2707260825990927,0.23276599681455784,0.022761421038921932,6340.969414024361,7.762864372996548e-07,0.19229015372899258,0.1331262086144504,3.032504041159752e-05,12.697338518855982,0.0018078502499995293,0.15150870145190487,0.011932319613823737,32.771251855264374,-5.937585191188095,33.108101586961865
above,Above tip,0.2,200.0,-2.0734511513692633,-118.79999999999998,0.0037517010238361788,8.588851095788439e-05,3.534559361815058e-05,1.256881961041475,0.22522160395199978,0.02194512449045149,6098.4244307850995,7.313027423929086e-07,0.18526223894739624,0.1299394523343275,3.0378705360713295e-05,12.920214456456083,0.0016798390428538596,0.14732236994428166,0.011402470945106206,32.87919313289374,-5.871942811405185,33.20652172139287
above,Above tip,0.2,200.0,-2.0106192982974678,-115.2,0.003750570979252348,6.864272522866816e-05,3.546573298242747e-05,1.2426504261066842,0.21785621205955857,0.02120495171744565,5905.30192987,6.835240371584428e-07,0.1784772609325929,0.12671560885240007,3.022322364752007e-05,13.198719562802735,0.0015481893979029885,0.14294795449052763,0.010830441075010824,32.8511391688883,-5.757945939796937,33.16645025357049
