node_index,s_m,insertion_m,position_error_m,position_error_mm,tangent_error_rad,tangent_error_deg,feasible,solver_success,termination_reason,function_evaluations,objective_value,jacobian_condition,jacobian_effective_rank,minimum_joint_margin_rad,minimum_state_margin,minimum_clearance_m,contact_active,source_magnet_lumen_distance_m,source_magnet_lumen_exclusion_radius_m,source_magnet_lumen_margin_m,source_magnet_lumen_segment_index,source_magnet_lumen_constraint_satisfied,delta_q_norm_rad,delta_insertion_m,attempt_count,chain_rule_relative_error,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,magnet_pose_x,magnet_pose_y,magnet_pose_z,magnet_pose_rx,magnet_pose_ry,magnet_pose_rz,tip_x,tip_y,tip_z,tip_tangent_x,tip_tangent_y,tip_tangent_z,desired_x,desired_y,desired_z,desired_tangent_x,desired_tangent_y,desired_tangent_z
0,0.0,0.012,0.0,0.0,0.2008538964236623,11.50808056383363,1,1,fixed_initial_state_feasible_and_committed,1,3.982924895738326e-07,57422105.9191135,5,4.049384780753959,0.012,nan,0,nan,nan,nan,-1,1,0.0,0.0,1,0.006888126681413319,-0.6630042419633321,-2.06246693867009,-1.5014596263248075,-1.148462413776906,1.5707963002583372,-2.2338005264256275,0.6261328223029851,-0.7099273163336116,-0.0999999999999997,3.1415926316823786,-6.649589382169308e-08,-2.365890440696754e-08,0.7861328220229973,-0.7099273377698192,-0.10000002103952352,-0.9999999999947197,-2.3004252669433893e-06,-2.295390044704231e-06,0.7861328220229973,-0.7099273377698192,-0.10000002103952352,-0.9798970347810554,0.19950252410668387,-0.0007376329421743174
1,0.00025,0.012208107390480158,3.699759427913465e-05,0.03699759427913465,0.19740506500962127,11.310477079556943,1,1,scipy_status_1: `gtol` termination condition is satisfied.; fresh_postvalidated_and_committed,4,0.009086977009506645,72472094.93398532,5,4.049303833380387,0.012208107390480158,nan,0,nan,nan,nan,-1,1,0.0014401066061378936,0.00020810739048015767,1,nan,-0.6619468956446014,-2.062174574706899,-1.5018204363897232,-1.1489040152460905,1.571530262705958,-2.233881473799199,0.6267745076969252,-0.7086344784621635,-0.10001203271128095,-3.1406997439655946,-0.0017871591466580416,-7.742076437342048e-05,0.7859248408286352,-0.7098780246608526,-0.10000034235141765,-0.9999797769730266,0.006359537129292087,-4.395994945588531e-05,0.785887847764302,-0.7098774621387925,-0.10000020544775906,-0.9793116914040106,0.2023562826583764,-0.0007388830076827046
2,0.0005,0.012447836097323525,4.261768204428402e-05,0.042617682044284025,0.1941704221167042,11.125145693560809,1,1,scipy_status_2: `ftol` termination condition is satisfied.; fresh_postvalidated_and_committed,5,0.012048620675198459,64121562.15817661,5,4.04923162912219,0.012447836097323525,nan,0,nan,nan,nan,-1,1,0.001303046894039902,0.00023972870684336664,1,nan,-0.6609799101658602,-2.0619174001018523,-1.5021332941098575,-1.1492886956542911,1.5721978397352863,-2.233953678057397,0.6273759316273526,-0.7074670753056665,-0.10001890100474647,-3.1399011207100425,-0.0034174306231211037,-0.0001757885934758282,0.7856854847515478,-0.7098283192797307,-0.10000049750094038,-0.9999217820930556,0.012507028416803588,-6.273778058684322e-05,0.7856428735056068,-0.7098275865077659,-0.1000003898559946,-0.9787180368797193,0.20520832463285757,-0.0007401268029303259
3,0.00075,0.012691914893422841,4.339049696914081e-05,0.04339049696914081,0.20129929973041383,11.533600293491663,1,1,scipy_status_2: `ftol` termination condition is satisfied.; fresh_postvalidated_and_committed,4,0.012488342450230294,59716369.54369395,5,4.049162581250877,0.012691914893422841,nan,0,nan,nan,nan,-1,1,0.0012636509787722107,0.00024407879609931668,1,nan,-0.6600330104423636,-2.061678170119687,-1.502426405476839,-1.1496484700389868,1.5728481044779545,-2.2340227259287095,0.6279756090180304,-0.7063355930101207,-0.1000265143388595,-3.139131720201235,-0.005010041702871605,-0.00028940178681458566,0.7854420651582881,-0.7097749483032046,-0.100000674587787,-0.9998223247657362,0.018849720175177404,-8.3362799843287e-05,0.7853986851472403,-0.709773999554365,-0.10000057587423689,-0.9758646361544117,0.21837503449325393,-0.000745797082390231
4,0.001,0.012936428235550627,4.346774888234313e-05,0.04346774888234313,0.20904178235657647,11.977211870924148,1,1,scipy_status_2: `ftol` termination condition is satisfied.; fresh_postvalidated_and_committed,5,0.01253140437920046,53104856.00989457,5,4.049097891172976,0.012936428235550627,nan,0,nan,nan,nan,-1,1,0.0012000372232292683,0.0002445133421277862,1,nan,-0.6591258433161047,-2.061459670234372,-1.5026951683146155,-1.1499780905137245,1.5734680456169134,-2.23408741600661,0.628559955322977,-0.7052621384339112,-0.10003394325486847,-3.1384062643825645,-0.006532470610685031,-0.0004146049868574506,0.7851985148681919,-0.7097190471719205,-0.10000084381802238,-0.9996814765777734,0.02523757018543716,-0.0001021685760140298,0.7851550619627247,-0.7097179141846078,-0.10000076295331095,-0.9726812185072069,0.23214366728728697,-0.0007515994576824433
5,0.00125,0.013180731801898642,4.343076128855779e-05,0.04343076128855779,0.2196072240243731,12.582567087180557,1,1,scipy_status_2: `ftol` termination condition is satisfied.; fresh_postvalidated_and_committed,4,0.012508843389889383,49660782.96471986,5,4.049036897765701,0.013180731801898642,nan,0,nan,nan,nan,-1,1,0.0011464755459465318,0.0002443035663480149,1,nan,-0.6582521675438266,-2.061259142841363,-1.5029433540573982,-1.1502820199140198,1.574062348694497,-2.2341484094138853,0.6291313638099895,-0.7042376259835121,-0.10004160950234664,-3.1377177590666117,-0.007995695662326852,-0.0005492542516910031,0.7849555048240499,-0.7096604787904849,-0.10000102424182825,-0.9994979571696653,0.03168310028540156,-0.0001215317703398688,0.7849120949468574,-0.70965913408034,-0.1000009511468999,-0.9685910100110947,0.2486581592803576,-0.0007583857803895055
6,0.0015,0.013424100108120663,4.3265120590008424e-05,0.04326512059000842,0.23885220712854263,13.685223395850048,1,1,scipy_status_4: Both `ftol` and `xtol` termination conditions are satisfied.; fresh_postvalidated_and_committed,5,0.01241394049518591,44327745.56114924,5,4.04897535159979,0.013424100108120663,nan,0,nan,nan,nan,-1,1,0.0011727609566751134,0.00024336830622202071,1,nan,-0.6573513655780634,-2.061062355419515,-1.5031879943786504,-1.1505813137663539,1.5746722545587213,-2.2342099555797965,0.6297297352535325,-0.7031911118014569,-0.10004963634052305,-3.1370187576739896,-0.009501320677578562,-0.0007033885723639668,0.7847138916323583,-0.709595840699427,-0.10000120620734287,-0.9992555642195766,0.03857846151386939,-0.00014029767788738493,0.7846706548883897,-0.7095942752967477,-0.10000114182476005,-0.9617596261671598,0.273893831727177,-0.0007683857169320804
7,0.00175,0.013665963999367689,4.2998345835480415e-05,0.042998345835480414,0.263130046642744,15.076241135709726,1,1,scipy_status_2: `ftol` termination condition is satisfied.; fresh_postvalidated_and_committed,4,0.012262276153936505,41516506.452880524,5,4.048911946549222,0.013665963999367689,nan,0,nan,nan,nan,-1,1,0.001225516112295787,0.00024186389124702598,1,nan,-0.6564026604435995,-2.060865848809256,-1.5034337374836932,-1.1508815337965081,1.5753115444153931,-2.2342733606303646,0.6303696532009906,-0.7020992954004566,-0.10005839232097902,-3.1362940210384833,-0.011083818698493073,-0.0008817323330607887,0.7844743863668256,-0.7095235648331507,-0.10000139915733744,-0.9989378907284913,0.04607672949408024,-0.00015958083312499872,0.7844314268460401,-0.7095217391110821,-0.10000133545970726,-0.9525702062891633,0.3043179159181413,-0.0007798342516458761
8,0.002,0.013906044392545116,4.2682618517621725e-05,0.04268261851762172,0.2947236261057012,16.88641989864837,1,1,scipy_status_4: Both `ftol` and `xtol` termination conditions are satisfied.; fresh_postvalidated_and_committed,5,0.012083436424934587,37127876.221085064,5,4.048847163139355,0.013906044392545116,nan,0,nan,nan,nan,-1,1,0.0012714870287479094,0.00024008039317742653,1,nan,-0.655410457574865,-2.0606719817131736,-1.5036775213613272,-1.1511789779531179,1.5759767720344202,-2.234338144040231,0.6310497900936727,-0.7009688967059572,-0.10006764683434877,-3.135548853861864,-0.012735458589286253,-0.0010863039272104708,0.7842373913995797,-0.709443535846239,-0.10000158823269999,-0.9985324602808328,0.05415620179115963,-0.0001776881044349965,0.7841947596142502,-0.7094414541098465,-0.10000153187017821,-0.9397470764761736,0.3418695707009283,-0.0007930215934366984
9,0.0022500000000000003,0.014143664155479668,4.2246539478157474e-05,0.04224653947815747,0.3352034421651654,19.20574251432156,1,1,scipy_status_2: `ftol` termination condition is satisfied.; fresh_postvalidated_and_committed,4,0.011839145689643038,34778701.26780189,5,4.048779719924055,0.014143664155479668,nan,0,nan,nan,nan,-1,1,0.001345126726035548,0.00023761976293455202,1,nan,-0.6543524938549787,-2.0604780591306744,-1.5039232962021536,-1.1514782678891973,1.5766824237778352,-2.234405587255531,0.6317865916474704,-0.6997758240168139,-0.10007788988918975,-3.1347678762318916,-0.014492908552287407,-0.0013234687863781579,0.7840038113398573,-0.7093538220011892,-0.10000178734616005,-0.9980134968252744,0.06300017183186264,-0.0001962237086086062,0.7839616317149254,-0.7093514458223424,-0.10000173155574402,-0.9217427600458595,0.3878010210990806,-0.0008076741617841882
10,0.0025000000000000005,0.014377881366321772,4.164375529481563e-05,0.04164375529481563,0.38535349630302124,22.07912895877329,1,1,scipy_status_4: Both `ftol` and `xtol` termination conditions are satisfied.; fresh_postvalidated_and_committed,5,0.011505661287876726,31128331.47680993,5,4.048708509511546,0.014377881366321772,nan,0,nan,nan,nan,-1,1,0.0014457641992831924,0.0002342172108421043,1,nan,-0.653205967753089,-2.060282772003448,-1.504172907291568,-1.1517815885036262,1.5774428150860498,-2.23447679766804,0.6325988561473015,-0.6984973267115376,-0.10008923551617871,-3.1339376573668853,-0.016393329655414384,-0.0016032182791328035,0.7837748932452805,-0.7092523425433445,-0.10000198534045694,-0.9973469858860363,0.07279384563022923,-0.00021396822393013535,0.7837333354259106,-0.7092496690707659,-0.10000193485632965,-0.8968448220851089,0.4423445354523576,-0.000822833256292037
11,0.0027500000000000007,0.014606126729385776,4.058397149652404e-05,0.04058397149652404,0.4508054142776144,25.82924761975393,1,1,scipy_status_2: `ftol` termination condition is satisfied.; fresh_postvalidated_and_committed,4,0.010932347936820075,29119288.71937073,5,4.04863009543577,0.014606126729385776,nan,0,nan,nan,nan,-1,1,0.0016221142405815898,0.0002282453630640044,1,nan,-0.6519092912951183,-2.060079032704401,-1.5044362337620036,-1.152100670172683,1.5782978427826924,-2.2345552117438165,0.6335329312972324,-0.6970676265934614,-0.10010255004628571,-3.1330167614929194,-0.018537868068966703,-0.0019450236005978743,0.7835538129607769,-0.7091339241484139,-0.10000219577457266,-0.9964615484439117,0.08404955945898283,-0.00023243819165299657,0.7835133406509814,-0.7091309161513142,-0.10000214252326477,-0.8602918214342414,0.5098012160410519,-0.0008379119405781552
12,0.003000000000000001,0.014825946126492566,3.908898568440928e-05,0.03908898568440928,0.532346807015712,30.501225279265622,1,1,scipy_status_3: `xtol` termination condition is satisfied.; fresh_postvalidated_and_committed,6,0.010147749749173566,26047588.489760287,5,4.048544534484272,0.014825946126492566,nan,0,nan,nan,nan,-1,1,0.0018086980976450943,0.00021981939710678973,1,nan,-0.6504509376575849,-2.0598715690039477,-1.5047081128083186,-1.1524289411845852,1.5792531184182084,-2.234640772695315,0.6346033533092448,-0.6954803988995413,-0.10011796524542504,-3.132004244592826,-0.020943984492772766,-0.0023622154781983555,0.7833436044877623,-0.7089967464415452,-0.1000024027089268,-0.9952937232775779,0.09690377656111474,-0.00024998489924606983,0.7833046568440152,-0.7089934256824831,-0.10000235364127048,-0.8083790016632575,0.5886617600060239,-0.000849692018040057
13,0.003250000000000001,0.015034293045413883,3.705035404521948e-05,0.03705035404521948,0.6308966178519965,36.147713511997345,1,1,scipy_status_3: `xtol` termination condition is satisfied.; fresh_postvalidated_and_committed,6,0.009125944437270396,24323020.837914657,5,4.048451810215489,0.015034293045413883,nan,0,nan,nan,nan,-1,1,0.0020057707599559944,0.0002083469189213174,1,nan,-0.6488201506781307,-2.0596646512701717,-1.504984555795121,-1.1527610434442643,1.5803140259517516,-2.234733496964097,0.6358226458814231,-0.6937288172233522,-0.10013605605438441,-3.1308979961005186,-0.02362796406039615,-0.002865390840893517,0.7831480292919151,-0.7088391334292263,-0.10000261595099076,-0.9937659258398405,0.11148638031724074,-0.00026766293049800417,0.7831111567329941,-0.7088355084177439,-0.10000256670415497,-0.7367024429058164,0.6762165197594122,-0.0008538273072992149
14,0.0035000000000000014,0.015226876487743138,3.4254023357712094e-05,0.03425402335771209,0.745134131264953,42.693040892628886,1,1,scipy_status_3: `xtol` termination condition is satisfied.; fresh_postvalidated_and_committed,5,0.0078118247170356515,22220821.20689077,5,4.0483508513309605,0.015226876487743138,nan,0,nan,nan,nan,-1,1,0.00223991346744808,0.00019258344232925446,1,nan,-0.6469838046797387,-2.0594613525380425,-1.5052625018886905,-1.153092949299861,1.5814998198280574,-2.234834455848626,0.6372225683434309,-0.691784406126673,-0.100156919569454,-3.129683719608986,-0.02664250762840094,-0.0034767129803913157,0.7829722812256875,-0.7086593063592488,-0.10000282691642245,-0.9917787146237478,0.12796444848576685,-0.0002848561044552912,0.7829382455310869,-0.7086554453571997,-0.10000277924648145,-0.6421852887284407,0.7665489814273052,-0.000844993213095607
15,0.0037500000000000016,0.015397489371749572,3.98680649496048e-05,0.0398680649496048,0.8706926117094058,49.887011904171914,1,1,scipy_status_3: `xtol` termination condition is satisfied.; fresh_postvalidated_and_committed,16,0.007101244529748018,18825700.818018224,5,4.04809813494848,0.015397489371749572,nan,0,nan,nan,nan,-1,1,0.006152677526666105,0.00017061288400643457,1,nan,-0.6418096659954815,-2.0591825811777684,-1.5056938131870092,-1.1535946323879687,1.5847408744750793,-2.235087172231106,0.6414742808298769,-0.6866138257590644,-0.10020902160668071,-3.1266200198095886,-0.03508023024759607,-0.005694599406649175,0.7828208602993454,-0.7084805975335595,-0.10000238841268189,-0.9893892273479052,0.14528904674961834,-0.00022294058008121806,0.7827916683440387,-0.7084534510152103,-0.10000298748672744,-0.5263469277652473,0.8502695109020603,-0.000818817718974867
16,0.004000000000000002,0.015517374309667204,0.00023191715790942506,0.23191715790942505,1.0099581556543515,57.866339803811,1,1,scipy_status_3: `xtol` termination condition is satisfied.; fresh_postvalidated_and_committed,20,0.0581570045146494,13502161.454298902,5,4.047634693483378,0.015517374309667204,nan,0,nan,nan,nan,-1,1,0.014293134706765078,0.00011988493791763137,1,nan,-0.6295516532443597,-2.0600580801134436,-1.5050024856783302,-1.1525810010263038,1.5919205795177336,-2.2355506136962084,0.6530633471287547,-0.6758362104865827,-0.10038639723356402,-3.1210624911108567,-0.05485387739291513,-0.013338536180761246,0.7827031817613813,-0.708462619567135,-0.10000396895712674,-0.9884749462501755,0.1513841290646026,-0.00035510993298242997,0.782675995785337,-0.7082323026565981,-0.10000318693407707,-0.39757230907546764,0.9175705195414907,-0.0007750643584749625
17,0.004250000000000002,0.015603195057036988,0.000461802289394686,0.461802289394686,1.1375893712169893,65.17906978967459,1,1,scipy_status_3: `xtol` termination condition is satisfied.; fresh_postvalidated_and_committed,16,0.21668627786839934,9695436.120220574,5,4.0472764150904155,0.015603195057036988,nan,0,nan,nan,nan,-1,1,0.015425787895339776,8.582074736978446e-05,1,nan,-0.6167695821360433,-2.062734868567122,-1.5021764884646653,-1.1492661946337328,1.59887081900062,-2.2359088920891703,0.6668726675510612,-0.6661420823450733,-0.1005730931520154,-3.117019104018028,-0.07531852344021048,-0.023937346955502644,0.7826191077219368,-0.7084579122421394,-0.10000287231787212,-0.9870488367745742,0.1604199546123648,-0.00017884106611590505,0.7825931151106632,-0.7079968423045673,-0.10000337363274707,-0.2687458687795288,0.9632108497680746,-0.0007189596650369906
18,0.004500000000000002,0.015661835611485903,0.0007031945445270936,0.7031945445270936,1.2456016222327717,71.36771590858655,1,1,scipy_status_3: `xtol` termination condition is satisfied.; fresh_postvalidated_and_committed,21,0.4970937670801306,7026141.806453628,5,4.047054412082186,0.015661835611485903,nan,0,nan,nan,nan,-1,1,0.014998024651142436,5.864055444891429e-05,1,nan,-0.6054110326626628,-2.066764792810868,-1.4978520761664984,-1.1437347282258152,1.6043787097225382,-2.2361308950974,0.6808857946322676,-0.659089211766148,-0.10078860789494981,-3.1153489292077263,-0.09347500605357827,-0.036125885941107376,0.782563069442812,-0.7084553933642915,-0.10000116329081393,-0.9849884693158892,0.1726201326384951,7.157241088225484e-05,0.7825416470980314,-0.7077525292406095,-0.10000354535660999,-0.15112443921660873,0.9885145271291382,-0.0006584270057603214
19,0.0047500000000000025,0.01568435603659439,0.0009494130318529645,0.9494130318529644,1.329929426982447,76.19934321634621,1,1,scipy_status_3: `xtol` termination condition is satisfied.; fresh_postvalidated_and_committed,22,0.9037365220298695,4386028.8550827885,5,4.046955208028292,0.01568435603659439,nan,0,nan,nan,nan,-1,1,0.015948232778343452,2.2520425108488173e-05,1,nan,-0.5954972880783266,-2.0727452561464195,-1.4915723415607447,-1.1356599738110722,1.6083348806414288,-2.2362300991512947,0.6954650254402208,-0.654979347654389,-0.10125954268555476,-3.1162660747322364,-0.1093782489734967,-0.05013705156085667,0.7825446807405464,-0.7084529876264158,-0.10000521255076192,-0.9819696617873463,0.1890383206978293,-0.0003108649055500839,0.7825178543219098,-0.7075039548734643,-0.10000370187522678,-0.05066233101186465,0.9987156592010816,-0.0006002357813127041
20,0.004875000000000003,0.015701875540688602,0.0010718663395604482,1.0718663395604482,1.3471829393187345,77.18789665499237,0,1,scipy_status_3: `xtol` termination condition is satisfied.,19,1.1514384860632672,3199133.727287309,5,4.046963568833903,0.015701875540688602,nan,0,nan,nan,nan,-1,1,0.016723727825341043,1.751950409421138e-05,14,nan,-0.5882635372023068,-2.0802554346462725,-1.4833176544639861,-1.1256914707998131,1.6101901860842525,-2.236221738345683,0.7094852831281795,-0.6548281497901578,-0.10166332587444299,-3.120219462394557,-0.12115254291790085,-0.06532419760158864,0.7825362887870636,-0.7084507797150583,-0.10000777550660549,-0.9764238856720985,0.21586112528639095,-0.0006083412642995525,0.7825134797661736,-0.7073791635526963,-0.10000377562996343,-0.006039369728663869,0.9999815989410727,-0.0005725316900032311
