s,px,py,pz,qw,qx,qy,qz
0.000000000000000000e+00,7.981328220229531034e-01,-7.099273166922001055e-01,-1.000000000000000056e-01,-1.591549349476097951e-07,9.999998986788191102e-01,3.183098539322571177e-04,3.183098539322571177e-04
2.777777777777777884e-03,7.953550453709660184e-01,-7.099290850798168906e-01,-1.000017683881796737e-01,-4.703000783011247597e-05,9.891141397875901076e-01,-1.471500626934665878e-01,2.744262068385851911e-04
5.555555555555555768e-03,7.926975632390795834e-01,-7.091204838543335720e-01,-1.000032379346958433e-01,-8.550824522068953390e-05,9.633694145179693136e-01,-2.681777574405589948e-01,2.329673749073339314e-04
8.333333333333333218e-03,7.903193374827442996e-01,-7.076851823593730550e-01,-1.000043573915520706e-01,-1.158883711386540018e-04,9.315195337265216313e-01,-3.636912237498142186e-01,1.965277890673915835e-04
1.111111111111111154e-02,7.882764005097210314e-01,-7.058030406819111313e-01,-1.000051402909460652e-01,-1.391983453763998338e-04,8.994924139050890499e-01,-4.369363229935649962e-01,1.661321149257671327e-04
1.388888888888888985e-02,7.865592526094489223e-01,-7.036195910651465990e-01,-1.000056325896343246e-01,-1.565783151627244676e-04,8.708801428243383436e-01,-4.914954040168839633e-01,1.419428455875161490e-04
1.666666666666666644e-02,7.851235179001017084e-01,-7.012416265658526493e-01,-1.000058917989863627e-01,-1.690284397883234295e-04,8.476578166347322751e-01,-5.305432894843331582e-01,1.237358805898970150e-04
1.944444444444444475e-02,7.839094967741430109e-01,-6.987431866363560395e-01,-1.000059762922192452e-01,-1.773341879601110917e-04,8.308057558484700511e-01,-5.565624423615204153e-01,1.111495277798087237e-04
2.222222222222222307e-02,7.828526176885965970e-01,-6.961743238568357528e-01,-1.000059409928785448e-01,-1.820414961632754779e-04,8.207508664737519499e-01,-5.712862428391884961e-01,1.038564534754593213e-04
2.500000000000000139e-02,7.818879953666159066e-01,-6.935694144250524884e-01,-1.000058367843885132e-01,-1.835493075697555536e-04,8.174528237621609961e-01,-5.759955181518486844e-01,1.014982990862606775e-04
