i_idx,j_idx,L_m,act_x,act_y,act_z,act_rx,act_ry,act_rz,pred_base_x_mm,pred_base_y_mm,pred_base_z_mm,meas_base_x_mm,meas_base_y_mm,meas_base_z_mm,pred_tip_angle_deg,meas_tip_angle_deg,err_x_mm,err_y_mm,err_z_mm,err_xy_mm,err_xyz_mm
0,0,0.015,0.6716276442240442,-0.6813011605848444,0.17004385189190344,3.1404852864765913,0.0009573054195254934,0.001069762087160412,-13.999981926918267,-4.555759981590191e-06,-0.018706707723365287,-14.01600458662699,0.057467124680888944,0.0,-1.8644725456239528e-05,0.23491066902561028,-0.01602265970872263,0.05747168044087053,0.018706707723365287,0.05966338640103379,0.06252727877244041
0,-5,0.015,0.671642321157314,-0.6812819524480302,0.1700329421575707,3.137422313425053,0.1379716958346823,0.0009559657459507222,-13.999981967631257,-0.0013155922310242392,-0.018639257567107912,-14.05844947397177,-0.4119872218084847,0.0,-0.005384141376059681,-1.6785966339157157,-0.0584675063405142,-0.4106716295774604,0.018639257567107912,0.4148127729922078,0.4152313313806389
0,-10,0.015,0.6716307328167029,-0.6812715700058584,0.1700330039873422,3.1284305756086632,0.2746901322033028,0.0008454924135458974,-13.99998211015887,-0.0026155150847953974,-0.018426944854607306,-14.045083657140381,-0.8936104072274066,0.0,-0.010704154668837132,-3.6405101852959274,-0.04510154698151268,-0.8909948921426112,0.018426944854607306,0.8921356664568169,0.892325949225407
0,-15,0.015,0.671643123309694,-0.6812840551176632,0.17004707875049796,3.113423698820868,0.4108381440731155,0.0008575601135966953,-13.999982351246814,-0.003893379803439337,-0.01807116833291719,-14.069743999059083,-1.2524033995762767,0.0,-0.01593389330293707,-5.086722461355003,-0.06976164781226889,-1.2485100197728372,0.01807116833291719,1.2504574990693018,1.2505880713102817
0,-20,0.015,0.6716563306715152,-0.6812780736543516,0.17004118380372152,3.0924914946451603,0.5463151537766185,0.0007279137517179086,-13.999982666984842,-0.005144593526120119,-0.017582538884326742,-14.102777545740876,-1.7168988986467624,0.0,-0.021054560573443383,-6.941144976976923,-0.10279487875603475,-1.7117543051206423,0.017582538884326742,1.7148380647155932,1.7149282007918407
0,-25,0.015,0.6716472170352784,-0.681280351716157,0.17002093829336815,3.0657013508854516,0.6806866799297372,0.0006009204372170916,-13.999983053475114,-0.0063558332169439844,-0.016962696517287004,-14.156041464239289,-1.8779629877559825,0.0,-0.02601163102914679,-7.556829510288709,-0.15605841076417498,-1.8716071545390385,0.016962696517287004,1.8781021187603075,1.8781787192823514
0,-30,0.015,0.6716563392589892,-0.6812704089135082,0.17003172211402218,3.033083927510645,0.8137559235786281,0.0005466928214368983,-13.999983515791445,-0.0075182274592443515,-0.016206635310642568,-14.145964801400096,-2.107776856373302,0.0,-0.030768797758896106,-8.474838726463947,-0.1459812856086512,-2.1002586289140575,0.016206635310642568,2.1053258284825915,2.1053882062707587
0,-35,0.015,0.6716372080464635,-0.6812908597738508,0.17001031882254047,2.9947216704799886,0.9452540562703458,0.0004561641726423973,-13.99998401534198,-0.008622468890723918,-0.015334927641287606,-14.172669840612945,-2.3918031728952833,0.0,-0.035287969858702285,-9.57907674367946,-0.1726858252709667,-2.3831807040045594,0.015334927641287606,2.389428940602583,2.3894781485075245
0,-40,0.015,0.6716610045403416,-0.6812752325677481,0.1700282453924984,2.950585968448945,1.0750239955932215,0.0004057409571237162,-13.99998456228191,-0.009662587607047893,-0.014337086121242869,-14.173318239534678,-2.6856911340167646,0.0,-0.03954471511655797,-10.729723485877559,-0.17333367725276722,-2.676028546409717,0.014337086121242869,2.6816363185319645,2.681674644118506
0,-45,0.015,0.6716475492571649,-0.6812833325562875,0.17002748312475835,2.900897877205794,1.2026510291015662,0.0003173714832417984,-13.999985120189875,-0.010626763464053203,-0.0132358551332725,-14.087340708960463,-2.9380679417580526,0.0,-0.04349065904075579,-11.780786833128353,-0.0873555887705886,-2.927441178293999,0.0132358551332725,2.928744244767852,2.9287741529728653
