step,t_s,tip_x_m,tip_y_m,tip_z_m,target_x_m,target_y_m,target_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,converged
1,10.4912,0.525575,-0.670312,0.014361,0.525575,-0.680357,0.009587,11.122,-0.703590,-1.974159,-1.746948,-1.008934,1.564780,-1.836491,0.040000,0
2,10.5912,0.525575,-0.670427,0.014496,0.525575,-0.680357,0.009587,11.078,-0.703553,-1.974175,-1.746956,-1.008896,1.564764,-1.836460,0.040000,0
