pair_index,contact_frame,no_contact_frame,contact_progress,no_contact_progress,mean_progress,progress_difference,pose_position_difference_mm,pose_rotation_difference_deg,pose_length_difference_mm,full_matrix_relative_change,source_matrix_relative_change,dL_column_relative_change
0,0,0,0.013737373737374261,0.013737373737374261,0.013737373737374261,0.0,0.0,0.0,0.0,0.0002886073645747007,0.0002946557288539883,0.00028090222274579417
1,1,1,0.014545454545455134,0.014545454545455134,0.014545454545455134,0.0,0.03706273229811661,0.0005147143503693451,0.0,0.0018240760271724039,0.0006369607053489672,0.002277373322391126
2,2,2,0.015757575757576442,0.015757575757576442,0.015757575757576442,0.0,0.035886128002171336,0.0020437479395038795,0.0,0.0020614107079344863,0.0006247218682567782,0.002596917925312251
3,3,3,0.0165656565656572,0.0165656565656572,0.0165656565656572,0.0,0.03454927107179806,0.0028195266808389774,0.0,0.002068839782036213,0.0006116544198155818,0.002629581838643197
4,4,4,0.017777777777778503,0.017777777777778503,0.017777777777778503,0.0,0.05056491139189809,0.0008338095228316055,0.018647424096518428,0.0011561097041064066,0.0015818770542680941,0.0007960933456158824
5,5,5,0.01858585858585937,0.01858585858585937,0.01858585858585937,0.0,0.042505453326250636,0.0009784454584740225,0.011952103907766909,0.003650384597685697,0.001692336800222363,0.004368976154387263
6,6,6,0.01939393939394013,0.01939393939394013,0.01939393939394013,0.0,0.04408706965611252,0.0007008561246836362,0.020422604345808615,0.0008769944490908151,0.0013483808475250351,0.00042721774248467826
7,7,7,0.020202020078144416,0.020202020078144416,0.020202020078144416,0.0,0.04308835884020582,0.000845301449469326,0.0026292941176370155,0.0022977852845285926,0.000963806470018938,0.0027408460684769866
8,8,8,0.021010069885121038,0.021010069885121038,0.021010069885121038,0.0,0.04237229642549298,0.0009824749922148972,0.005651282056103046,0.0011482463789113328,0.0009549289285183822,0.001236339476092963
9,9,9,0.02141407059843531,0.02141407059843531,0.02141407059843531,0.0,0.04676731879210041,0.0012559669077195717,0.003225139466080107,0.0014932645973175702,0.0007301531598391182,0.0017629303129854433
10,10,10,0.02141407059843531,0.02141407059843531,0.02141407059843531,0.0,0.04505575884376592,0.0014071650562098225,0.002308697824617012,0.0017382308227957533,0.000775483382606802,0.0020317461762377506
11,11,11,0.021818051023999724,0.021818051023999724,0.021818051023999724,0.0,0.0393623510327901,0.001351251558100118,0.0016513190578826276,0.0014665088552039947,0.0007028580815048081,0.0017001807057391391
12,12,12,0.021818051023999724,0.021818051023999724,0.021818051023999724,0.0,0.03272895848952315,0.0012291778918283264,0.001327893307395689,0.000999889650739776,0.000561417857096619,0.0011367355195630606
13,13,13,0.021818051023999724,0.021818051023999724,0.021818051023999724,0.0,0.030456284059453966,0.001131279399172883,0.0010487975424244844,0.0007746842751838423,0.0006138886514665714,0.0008360691057734433
14,14,14,0.022222016432337587,0.022222016432337587,0.022222016432337587,0.0,0.030032606935712042,0.001408250392375766,0.0007816812311670085,0.0005664437461322926,0.0008238697054358709,0.00042711882807643895
15,15,15,0.022222016432337587,0.022222016432337587,0.022222016432337587,0.0,0.029460506948307066,0.0013774107810154612,0.000660604859946401,0.0005033422920521413,0.0007986271758934369,0.0003358267185325298
16,16,16,0.022222016432337587,0.022222016432337587,0.022222016432337587,0.0,0.029326311042724047,0.0013590907285966772,0.0005550401711157393,0.0008949191653310672,0.0010294060711459694,0.0008369022886125713
17,17,17,0.022222016432337587,0.022222016432337587,0.022222016432337587,0.0,0.02905917019973714,0.0013575344628446648,0.0004620165793348119,0.0007801247614155334,0.0011463027609639634,0.0006110239298475354
18,18,18,0.022625974624213084,0.022625974624213084,0.022625974624213084,0.0,0.029957990851096565,0.0012717639828040976,0.00039968678942903235,0.0008551677105315126,0.0011401472415003703,0.0007394107951663793
19,19,19,0.022625974624213084,0.022625974624213084,0.022625974624213084,0.0,0.03367413704828758,0.0010593263391475058,0.0003857007115429245,0.00043529075363490867,0.00046627197785110075,0.0004240558414240229
20,20,20,0.022625974624213084,0.022625974624213084,0.022625974624213084,0.0,0.02952063744824281,0.0012795523609709027,0.0003180031749039358,0.0014298431718244749,0.0022818281358158027,0.0010598223973756849
21,21,21,0.022625974624213084,0.022625974624213084,0.022625974624213084,0.0,0.027194588149644372,0.001410081553689356,0.00024938410770475317,0.001427680055990055,0.0022840007052245623,0.0010692314193415636
22,22,22,0.022625974624213084,0.022625974624213084,0.022625974624213084,0.0,0.02536276713076461,0.0015163039186662914,0.00019359055587753193,0.001487191143309372,0.0022859073325202602,0.0011769406068823898
23,23,23,0.023029937420478448,0.023029937420478448,0.023029937420478448,0.0,0.02386751357791122,0.0016035596534188265,0.00014774594006561337,0.00034480964644490115,0.0006325115842339624,0.00018238929975320637
24,24,24,0.023029937420478448,0.023029937420478448,0.023029937420478448,0.0,0.025833640626156902,0.0015224447994599218,0.00012573208113542123,0.009821204565319914,0.014078923983067674,0.008402840745102662
