k,status,infeasible,solver_mode,rollout_steps,i_ref,i_ref_mpc,idx_ref_0,idx_ref_terminal,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_now_x,p_now_y,p_now_z,p_now_qw,p_now_qx,p_now_qy,p_now_qz,p_now_L,tip_x,tip_y,tip_z,tip_tx,tip_ty,tip_tz,pred1_err_xy_m,pred1_err_xy_mm,pred1_err_xyz_m,pred1_err_xyz_mm,sqp_iters_done,sqp_du_final,sqp_du_rel_final,frame_path,i_seg,u_seg,rho_m,rho_mm,clearance_m,clearance_mm,tip_vessel_angle_deg,trust_vx,trust_vy,trust_vz,trust_wx,trust_wy,trust_wz,trust_dL,sqp_status_0,sqp_du_0,sqp_du_rel_0,u_applied_0_vx,u_applied_0_vy,u_applied_0_vz,u_applied_0_wx,u_applied_0_wy,u_applied_0_wz,u_applied_0_dL,x_rollout_0_x,x_rollout_0_y,x_rollout_0_z,x_rollout_0_tx,x_rollout_0_ty,x_rollout_0_tz,x_pred_0_x,x_pred_0_y,x_pred_0_z,x_pred_0_tx,x_pred_0_ty,x_pred_0_tz,rollout_err_xy_0_m,rollout_err_xy_0_mm,rollout_err_xyz_0_m,rollout_err_xyz_0_mm,u_applied_1_vx,u_applied_1_vy,u_applied_1_vz,u_applied_1_wx,u_applied_1_wy,u_applied_1_wz,u_applied_1_dL,x_rollout_1_x,x_rollout_1_y,x_rollout_1_z,x_rollout_1_tx,x_rollout_1_ty,x_rollout_1_tz,x_pred_1_x,x_pred_1_y,x_pred_1_z,x_pred_1_tx,x_pred_1_ty,x_pred_1_tz,rollout_err_xy_1_m,rollout_err_xy_1_mm,rollout_err_xyz_1_m,rollout_err_xyz_1_mm,u_applied_2_vx,u_applied_2_vy,u_applied_2_vz,u_applied_2_wx,u_applied_2_wy,u_applied_2_wz,u_applied_2_dL,x_rollout_2_x,x_rollout_2_y,x_rollout_2_z,x_rollout_2_tx,x_rollout_2_ty,x_rollout_2_tz,x_pred_2_x,x_pred_2_y,x_pred_2_z,x_pred_2_tx,x_pred_2_ty,x_pred_2_tz,rollout_err_xy_2_m,rollout_err_xy_2_mm,rollout_err_xyz_2_m,rollout_err_xyz_2_mm,u_applied_3_vx,u_applied_3_vy,u_applied_3_vz,u_applied_3_wx,u_applied_3_wy,u_applied_3_wz,u_applied_3_dL,x_rollout_3_x,x_rollout_3_y,x_rollout_3_z,x_rollout_3_tx,x_rollout_3_ty,x_rollout_3_tz,x_pred_3_x,x_pred_3_y,x_pred_3_z,x_pred_3_tx,x_pred_3_ty,x_pred_3_tz,rollout_err_xy_3_m,rollout_err_xy_3_mm,rollout_err_xyz_3_m,rollout_err_xyz_3_mm,u_applied_4_vx,u_applied_4_vy,u_applied_4_vz,u_applied_4_wx,u_applied_4_wy,u_applied_4_wz,u_applied_4_dL,x_rollout_4_x,x_rollout_4_y,x_rollout_4_z,x_rollout_4_tx,x_rollout_4_ty,x_rollout_4_tz,x_pred_4_x,x_pred_4_y,x_pred_4_z,x_pred_4_tx,x_pred_4_ty,x_pred_4_tz,rollout_err_xy_4_m,rollout_err_xy_4_mm,rollout_err_xyz_4_m,rollout_err_xyz_4_mm,u_plan_0_vx,u_plan_0_vy,u_plan_0_vz,u_plan_0_wx,u_plan_0_wy,u_plan_0_wz,u_plan_0_dL,u_plan_1_vx,u_plan_1_vy,u_plan_1_vz,u_plan_1_wx,u_plan_1_wy,u_plan_1_wz,u_plan_1_dL,u_plan_2_vx,u_plan_2_vy,u_plan_2_vz,u_plan_2_wx,u_plan_2_wy,u_plan_2_wz,u_plan_2_dL,u_plan_3_vx,u_plan_3_vy,u_plan_3_vz,u_plan_3_wx,u_plan_3_wy,u_plan_3_wz,u_plan_3_dL,u_plan_4_vx,u_plan_4_vy,u_plan_4_vz,u_plan_4_wx,u_plan_4_wy,u_plan_4_wz,u_plan_4_dL,u_plan_5_vx,u_plan_5_vy,u_plan_5_vz,u_plan_5_wx,u_plan_5_wy,u_plan_5_wz,u_plan_5_dL,u_plan_6_vx,u_plan_6_vy,u_plan_6_vz,u_plan_6_wx,u_plan_6_wy,u_plan_6_wz,u_plan_6_dL,u_plan_7_vx,u_plan_7_vy,u_plan_7_vz,u_plan_7_wx,u_plan_7_wy,u_plan_7_wz,u_plan_7_dL,u_plan_8_vx,u_plan_8_vy,u_plan_8_vz,u_plan_8_wx,u_plan_8_wy,u_plan_8_wz,u_plan_8_dL,u_plan_9_vx,u_plan_9_vy,u_plan_9_vz,u_plan_9_wx,u_plan_9_wy,u_plan_9_wz,u_plan_9_dL,u_plan_10_vx,u_plan_10_vy,u_plan_10_vz,u_plan_10_wx,u_plan_10_wy,u_plan_10_wz,u_plan_10_dL,u_plan_11_vx,u_plan_11_vy,u_plan_11_vz,u_plan_11_wx,u_plan_11_wy,u_plan_11_wz,u_plan_11_dL
0,solved,0,lti,5,18,18,18,29,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.04000000000000001,0.663132822022953,-0.7089273166922002,-0.1,0.0005251648278964623,0.9996654137100977,-0.02585874119617632,0.0003321708476592932,0.019999999999999997,0.7781332133609363,-0.7100414367742424,-0.10000320528825193,-0.9999645634215789,-0.008418028067713697,9.329813536740285e-05,0.003203112604305964,3.203112604305964,0.003203112802637872,3.203112802637872,1,1.8156576688762311,26.206761096669247,,16,0.10553101260549143,0.0013388390566160297,1.3388390566160298,0.0026611609433839704,2.6611609433839702,4.506128471329384,0.01,0.01,0.0001,0.17453292519943295,0.17453292519943295,0.5235987755982988,0.02,solved,1.8156576688762311,26.206761096669247,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.04000000000000001,0.7813328360389381,-0.7099477343908983,-0.10000428891664274,-0.9999988141696607,-0.0015394298077953338,-4.2604448830471074e-05,0.7813328162756479,-0.7098915316574749,-0.10000433247896728,-0.9999999959501414,-6.354948829362931e-05,-6.372738420047624e-05,5.6202736898248186e-05,0.05620273689824819,5.6202753780662984e-05,0.05620275378066299,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.039999999999999994,0.7805328727950315,-0.7099666937761976,-0.10000405209511341,-0.9999951201507711,-0.0031240421834103586,-5.9229209676030654e-06,0.7805328087322456,-0.7098512455880236,-0.10000416215831869,-0.9999999977960579,-4.6854826685205367e-05,-4.703732184258412e-05,0.0001154482059483756,0.1154482059483756,0.00011544825841305577,0.11544825841305577,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.04,0.779732942440801,-0.709988674500042,-0.10000379033068695,-0.9999884173343714,-0.004812936160592353,2.9027800564055554e-05,0.7797328011920213,-0.7098109544090265,-0.10000398673020328,-0.9999999990574056,-3.06080412759437e-05,-3.079507701894173e-05,0.00017772014714647027,0.17772014714647028,0.00017772025566753236,0.17772025566753236,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.04000000000000002,0.778933053311527,-0.7100136195569875,-0.10000350698656149,-0.9999783195179806,-0.006584575453580936,6.212963763905592e-05,0.7789327936550958,-0.7097706585354007,-0.1000038066078778,-0.9999999997772817,-1.482776026961976e-05,-1.501912472940952e-05,0.00024296116033633447,0.24296116033633447,0.00024296134508376268,0.2429613450837627,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.04,0.7781332133609363,-0.7100414367742424,-0.10000320528825193,-0.9999645634215789,-0.008418028067713697,9.329813536740285e-05,0.77813278612155,-0.7097303583720697,-0.10000362219719798,-0.9999999999998476,4.7573422978786714e-07,2.801541706953829e-07,0.0003110786955608113,0.3110786955608113,0.00031107897493222713,0.31107897493222714,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.04000000000000001,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.039999999999999994,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.04,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.04000000000000002,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.04,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.04,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.02025237628351844,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.0012492711699316887,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,5.484588834018518e-05,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,4.025582603467205e-05,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,4.025595640431233e-05,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,4.025589200619156e-05
1,solved,0,lti,5,22,22,22,33,0.02,0.02,5.053522357418191e-08,0.0,0.0,1.0471975511965976,0.03975943013154334,0.6651328220229528,-0.7069273166922004,-0.1,0.0005070606288034317,0.9969420650558128,-0.0781417480395925,0.00035920062251015476,0.021181559642011155,0.7769551796208628,-0.7102946588998177,-0.10000215515155184,-0.9996604140894828,-0.026058120973237262,0.00017559552405244788,0.0004785636528787783,0.47856365287877833,0.00047856418741336055,0.47856418741336054,1,1.8144558428255058,0.9996918634119,,20,0.16817577125568187,0.0002574403724800341,0.2574403724800341,0.003742559627519966,3.742559627519966,49.766741167317385,0.01,0.01,0.0001,0.17453292519943295,0.17453292519943295,0.5235987755982988,0.02,solved,1.8144558428255058,0.9996918634119,0.02,0.02,5.053522357418191e-08,0.0,0.0,1.0471975511965976,0.03975943013154334,0.7773384587951744,-0.7100955322689687,-0.1000028223636249,-0.9999277220988215,-0.012022246876925363,0.00012711527146090792,0.7773377885048725,-0.710007198273412,-0.10000287042627547,-0.9999470141207234,-0.01029339303149288,0.00012251917863661602,8.833653864685753e-05,0.08833653864685753,8.833655172195785e-05,0.08833655172195785,0.02,0.02,5.05352235741819e-08,0.0,0.0,1.0471975511965976,0.013348240775599273,0.7770720645072292,-0.7101468764494883,-0.10000259941569778,-0.9998789131238255,-0.015560792706902292,0.00014429362537723194,0.7770706147868759,-0.709969684977138,-0.10000269433563812,-0.999926616703527,-0.012113707714941984,0.00013890008885587563,0.00017719740281044402,0.17719740281044402,0.00017719742823348717,0.17719742823348716,0.02,0.02,5.05352235741819e-08,0.0,0.0,1.0471975511965976,0.005546504085366207,0.7769618431691958,-0.7101971370790806,-0.10000242639105253,-0.9998180044489564,-0.019077038184689525,0.0001568241262472528,0.7769594992718931,-0.7099303229679867,-0.10000257215047252,-0.9999038914169276,-0.013863156080869087,0.00014433559047543249,0.0002668244061801178,0.26682440618011777,0.00026682444599245584,0.26682444599245586,0.02,0.02,5.05352235741819e-08,0.0,0.0,1.0471975511965976,0.0008083151959192298,0.7769465155816346,-0.710246107031605,-0.10000228606466002,-0.9997452416680956,-0.02257042338222988,0.00016658435730647347,0.7769431777768409,-0.7098900604524003,-0.10000247985052672,-0.9998781833249081,-0.015607571387281789,0.0001490847829340776,0.00035606222420267843,0.3560622242026784,0.0003560622769363817,0.3560622769363817,0.02,0.02,5.05352235741819e-08,0.0,0.0,1.0471975511965976,-0.0003845080878701415,0.7769551796208628,-0.7102946588998177,-0.10000215515155184,-0.9996604140894828,-0.026058120973237262,0.00017559552405244788,0.7769507467711979,-0.7098495996377036,-0.10000239517031628,-0.9998494301022233,-0.01735204506876099,0.00015380569217465607,0.0004450813374538733,0.4450813374538733,0.00044508140217126114,0.44508140217126113,0.02,0.02,5.053522357418191e-08,0.0,0.0,1.0471975511965976,0.03975943013154334,0.02,0.02,5.05352235741819e-08,0.0,0.0,1.0471975511965976,0.013348240775599273,0.02,0.02,5.05352235741819e-08,0.0,0.0,1.0471975511965976,0.005546504085366207,0.02,0.02,5.05352235741819e-08,0.0,0.0,1.0471975511965976,0.0008083151959192298,0.02,0.02,5.05352235741819e-08,0.0,0.0,1.0471975511965976,-0.0003845080878701415,0.02,0.02,5.05352235741819e-08,0.0,0.0,1.0471975511965976,-0.0003973499957641626,0.02,0.02,5.05352235741819e-08,0.0,0.0,1.0471975511965976,-0.00039559875852650136,0.02,0.02,5.05352235741819e-08,0.0,0.0,1.0471975511965976,-0.00039384299830895003,0.02,0.02,5.0535223574162465e-08,0.0,0.0,1.0471975511965976,-0.0003920821174513947,0.017510345237601126,0.02,5.053520413342456e-08,0.0,0.0,1.0471975511965976,-0.0004232259809485748,0.0011090607501428704,0.02,3.1094426386317576e-08,0.0,0.0,1.0471975511965976,-0.00039168512832719204,0.0011605842467908335,0.02,1.4073983527111442e-08,0.0,0.0,1.0471975511965976,-0.0003898407547770981
2,solved,0,lti,5,23,23,23,34,0.03,0.03,1.431337284430599e-06,0.0,0.0,1.5707963267948966,-0.005,0.6672626686891268,-0.7039273166922002,-0.1,0.00047731497408073464,0.9877378944920601,-0.1561200360262059,0.00039787684528321297,0.021048376494916886,0.7771002111602847,-0.7106593910951543,-0.10000133548779204,-0.9986186669450683,-0.0525423994558427,0.0002329984494596524,0.0003951496771978448,0.39514967719784483,0.0003951503030072123,0.39515030300721227,1,1.8142804307006124,0.5000050051916031,,20,0.7462094155771098,0.001315383152480315,1.315383152480315,0.002684616847519685,2.6846168475196848,50.77761136543529,0.01,0.01,0.0001,0.17453292519943295,0.17453292519943295,0.5235987755982988,0.02,solved,1.8142804307006124,0.5000050051916031,0.03,0.03,1.431337284430599e-06,0.0,0.0,1.5707963267948966,-0.005,0.7770568597003047,-0.7103648792010802,-0.10000199419982461,-0.9995115778408801,-0.0312501360568014,0.00018643622456507886,0.7770546712002617,-0.7102668743701213,-0.10000203874957173,-0.9995633038842393,-0.029549407413800657,0.00018452511252890433,9.802926309893473e-05,0.09802926309893474,9.802927322182969e-05,0.0980292732218297,0.03,0.03,1.4313372844305988e-06,0.0,0.0,1.5707963267948966,0.001388319935795585,0.7770311491157353,-0.7104389453371428,-0.10000178843585218,-0.9993329066263217,-0.03651987711926964,0.00020077096629302234,0.777026582968601,-0.710242431870036,-0.10000187698281941,-0.9994538165690604,-0.03304589458914719,0.00019338133804920152,0.00019656650898357552,0.19656650898357553,0.00019656652892737227,0.19656652892737225,0.028981988071095227,0.03,1.4313372844305988e-06,0.0,0.0,1.5707963267948966,-1.7624689072703197e-05,0.7770338724630034,-0.7105125337602551,-0.10000159771988752,-0.9991260586521028,-0.04179800384334736,0.00021400239768930762,0.777026746940836,-0.710217370068007,-0.10000172865857708,-0.9993318374342486,-0.03654911517315947,0.00020216416032534283,0.00029524968803998765,0.29524968803998763,0.00029524971707463234,0.2952497170746323,0.01,0.03,1.4313372844301027e-06,0.0,0.0,1.5707963267948966,-0.0012052023001653809,0.7770606813211718,-0.7105860277684996,-0.10000145934594797,-0.9988878765465881,-0.04714827600201513,0.000223960456826006,0.7770508047513768,-0.710192055786685,-0.10000162817342752,-0.9991972284874949,-0.04006063049891273,0.0002108718531464425,0.0003940957613141928,0.39409576131419277,0.0003940957974763637,0.3940957974763637,0.007510345237601126,0.03,1.4313367883539797e-06,0.0,0.0,1.5707963267948966,-0.0018246503012708385,0.7771002111602847,-0.7106593910951543,-0.10000133548779204,-0.9986186669450683,-0.0525423994558427,0.0002329984494596524,0.7770873958491954,-0.7101666103533009,-0.1000015384724318,-0.9990495086586377,-0.04358934739241356,0.00021918676560788637,0.0004929473518946427,0.4929473518946427,0.0004929473936868971,0.4929473936868971,0.03,0.03,1.431337284430599e-06,0.0,0.0,1.5707963267948966,-0.005,0.03,0.03,1.4313372844305988e-06,0.0,0.0,1.5707963267948966,0.001388319935795585,0.028981988071095227,0.03,1.4313372844305988e-06,0.0,0.0,1.5707963267948966,-1.7624689072703197e-05,0.01,0.03,1.4313372844301027e-06,0.0,0.0,1.5707963267948966,-0.0012052023001653809,0.007510345237601126,0.03,1.4313367883539797e-06,0.0,0.0,1.5707963267948966,-0.0018246503012708385,0.0025286565457691068,0.03,9.352596483844047e-07,0.0,0.0,1.5707963267948966,-0.0008446762241898467,0.003065074540539363,0.03,7.602820472196408e-07,0.0,0.0,1.5707963267948966,-0.0012290069045439373,0.003210623915174232,0.03,5.935990912495189e-07,0.0,0.0,1.5707963267948966,-0.0012212419615139657,0.003356615144441183,0.03,4.3923547218409604e-07,0.0,0.0,1.5707963267948966,-0.001213301987695924,0.003503080941813744,0.03,3.0046355934431315e-07,0.0,0.0,1.5707963267948966,-0.001205172100150846,0.0036500511157711193,0.03,1.7985058899488927e-07,0.0,0.0,1.5707963267948966,-0.0011968355958994312,0.0037975318020307324,0.03,7.928034172112174e-08,0.0,0.0,1.5707963267948966,-0.0011882494454007878
3,solved,0,lti,5,23,23,23,34,0.009765695289458538,0.04,2.2523442803751027e-06,0.0,0.0,2.0943951023931953,-0.005000000000000001,0.6678071732657037,-0.6999273166922001,-0.1,0.0004331107375031942,0.9660079755062011,-0.25851151835622804,0.00044559023502950914,0.02086865989362538,0.7773101309671075,-0.7111686985327899,-0.10000064479898134,-0.9959099896774618,-0.09035048975606018,0.0002854145721858264,0.0005261443877206134,0.5261443877206134,0.0005261447196799999,0.52614471968,1,1.8141915903549892,0.33334369171073336,,20,0.3741689382898682,0.0014433725184859459,1.4433725184859458,0.002556627481514054,2.556627481514054,52.296269131074965,0.01,0.01,0.0001,0.17453292519943295,0.17453292519943295,0.5235987755982988,0.02,solved,1.8141915903549892,0.33334369171073336,0.009765695289458538,0.04,2.2523442803751027e-06,0.0,0.0,2.0943951023931953,-0.005000000000000001,0.7772047135404281,-0.7107548333427443,-0.1000012002043255,-0.9982125117445106,-0.059763888067103955,0.00024306340323900478,0.777200235085866,-0.710654159115431,-0.100001235829646,-0.9983150301404903,-0.058026219642368086,0.00024172217003455657,0.00010077378925293561,0.1007737892529356,0.0001007737955500265,0.1007737955500265,0.0005055561030367588,0.04,2.0322299199055528e-06,0.0,0.0,2.0943951023931953,0.0024166985315363762,0.7771618499852305,-0.7108604763375862,-0.10000102747083467,-0.9977334008542758,-0.067290380490873,0.0002559553760385785,0.7771525221624841,-0.7106574144088814,-0.10000109728168904,-0.9979777169780292,-0.06356425019859573,0.0002500240209533263,0.00020327605654994304,0.20327605654994305,0.00020327606853747204,0.20327606853747204,0.004562738185027564,0.04,1.7848964656768016e-06,0.0,0.0,2.0943951023931953,-0.001351666301064501,0.7771949228567316,-0.71096299688687,-0.10000088670156881,-0.997194307134292,-0.07485614691173686,0.00026662424432862594,0.777180451881547,-0.710657382291924,-0.10000098647787764,-0.9976047821153778,-0.06917103507384943,0.00025808398196665257,0.0003059570064025811,0.3059570064025811,0.00030595702267171583,0.3059570226717158,0.006041764236572624,0.04,1.525187117025496e-06,0.0,0.0,2.0943951023931953,-0.002527594442306064,0.7772521845907269,-0.7110651464595823,-0.10000076179431021,-0.9965887839012934,-0.0825270833277526,0.00027625994162586756,0.7772322691367031,-0.7106568757952916,-0.10000088694783221,-0.9971945481098347,-0.07485293927766777,0.00026589756797555745,0.0004087561138739841,0.4087561138739841,0.00040875613303382433,0.40875613303382435,0.006349475014751758,0.04,1.2658854046949175e-06,0.0,0.0,2.0943951023931953,-0.002523267852741181,0.7773101309671075,-0.7111686985327899,-0.10000064479898134,-0.9959099896774618,-0.09035048975606018,0.0002854145721858264,0.7772844221476464,-0.710657219968645,-0.10000079122596088,-0.996745164634201,-0.08061638790130163,0.000273459478444744,0.0005121242671245167,0.5121242671245168,0.0005121242880577757,0.5121242880577758,0.009765695289458538,0.04,2.2523442803751027e-06,0.0,0.0,2.0943951023931953,-0.005000000000000001,0.0005055561030367588,0.04,2.0322299199055528e-06,0.0,0.0,2.0943951023931953,0.0024166985315363762,0.004562738185027564,0.04,1.7848964656768016e-06,0.0,0.0,2.0943951023931953,-0.001351666301064501,0.006041764236572624,0.04,1.525187117025496e-06,0.0,0.0,2.0943951023931953,-0.002527594442306064,0.006349475014751758,0.04,1.2658854046949175e-06,0.0,0.0,2.0943951023931953,-0.002523267852741181,0.006644786424704194,0.04,1.0174801551694853e-06,0.0,0.0,2.0943951023931953,-0.002503584276819218,0.0069423554101813115,0.04,7.882297305137357e-07,0.0,0.0,2.0943951023931953,-0.0024830237292272745,0.007242125897063628,0.04,5.841763771489902e-07,0.0,0.0,2.0943951023931953,-0.0024614865178241006,0.007544356015630238,0.04,4.086740112565617e-07,0.0,0.0,2.0943951023931953,-0.00243887698599231,0.007849192622151554,0.04,2.6324813436134064e-07,0.0,0.0,2.0943951023931953,-0.0024150921240726534,0.008156782303759854,0.04,1.4782281992389435e-07,0.0,0.0,2.0943951023931953,-0.0023900249108723564,0.00846721478860704,0.04,6.094502250247626e-08,0.0,0.0,2.0943951023931953,-0.002363509285353124
4,solved,0,lti,5,23,23,23,34,0.01382246652366942,0.05,7.882276789838461e-07,0.0,0.0,2.617993877991494,-0.00426106513256643,0.6688585357918866,-0.6949273166922001,-0.1,0.0003712442184345236,0.9240011192256784,-0.3823892591772492,0.0004983104441742656,0.02056872299687932,0.7776779453801126,-0.7118606221550633,-0.1000000804448582,-0.9896278939513191,-0.14365417228707036,0.00033211141710780555,0.0007240838877463622,0.7240838877463622,0.0007240840327552422,0.7240840327552421,1,1.8142425246657363,0.2500135193266983,,19,1.0,0.001607370242098041,1.607370242098041,0.0023926297579019594,2.3926297579019593,41.11336886372558,0.01,0.01,0.0001,0.17453292519943295,0.17453292519943295,0.5235987755982988,0.02,solved,1.8142425246657363,0.2500135193266983,0.01382246652366942,0.05,7.882276789838461e-07,0.0,0.0,2.617993877991494,-0.00426106513256643,0.7774057225872996,-0.7112979537731403,-0.10000050848243752,-0.9949576968421688,-0.10029503355377747,0.00029620765230864974,0.7773977163160394,-0.7111929626998449,-0.10000053869938137,-0.9951526490344117,-0.09834184578931425,0.00029408594572056564,0.0001052958966494743,0.10529589664947431,0.00010529590098517828,0.10529590098517828,0.004820205683780749,0.05,6.485357271491609e-07,0.0,0.0,2.617993877991494,0.0014204404879091886,0.7773898057557855,-0.7114425306702005,-0.10000034766426162,-0.9938402683304287,-0.1108215941880052,0.0003087175579204127,0.7773730705466219,-0.7112295576667399,-0.10000040499623641,-0.9943108983748228,-0.1065164119522486,0.00030225464729939346,0.00021362950973301443,0.21362950973301442,0.0002136295174261353,0.21362951742613528,0.010008362064754249,0.05,5.083375363999582e-07,0.0,0.0,2.617993877991494,-0.0032939343545035187,0.7774691652648694,-0.7115805902947449,-0.10000023775224,-0.9925963381399119,-0.12145949310515516,0.00031787714065617214,0.777443222476152,-0.7112594305765665,-0.10000031599469124,-0.993378221875907,-0.11488956551222823,0.00030990171476696915,0.0003222058237630742,0.32220582376307416,0.0003222058332630283,0.32220583326302826,0.011692488124991917,0.05,3.777420625158246e-07,0.0,0.0,2.617993877991494,-0.00444549258869714,0.7775729791884932,-0.7117189567562161,-0.100000151791525,-0.9911997006628748,-0.13237464813943267,0.00032547778521195325,0.7775373051555563,-0.711289313556524,-0.10000024403882289,-0.9923474031519489,-0.12347684383519046,0.0003170080178187571,0.0004311216947308835,0.4311216947308835,0.00043112170459998076,0.4311217045999808,0.012224603911942928,0.05,2.638899215319185e-07,0.0,0.0,2.617993877991494,-0.004416793249445317,0.7776779453801126,-0.7118606221550633,-0.1000000804448582,-0.9896278939513191,-0.14365417228707036,0.00033211141710780555,0.777631895057788,-0.7113215628459908,-0.10000018015750452,-0.9912104759475383,-0.13229394425831967,0.00032354973508366144,0.0005410227082885908,0.5410227082885908,0.0005410227174773103,0.5410227174773102,0.01382246652366942,0.05,7.882276789838461e-07,0.0,0.0,2.617993877991494,-0.00426106513256643,0.004820205683780749,0.05,6.485357271491609e-07,0.0,0.0,2.617993877991494,0.0014204404879091886,0.010008362064754249,0.05,5.083375363999582e-07,0.0,0.0,2.617993877991494,-0.0032939343545035187,0.011692488124991917,0.05,3.777420625158246e-07,0.0,0.0,2.617993877991494,-0.00444549258869714,0.012224603911942928,0.05,2.638899215319185e-07,0.0,0.0,2.617993877991494,-0.004416793249445317,0.01275014338810949,0.05,1.7105673401984104e-07,0.0,0.0,2.617993877991494,-0.0043703039355784965,0.013283959947885435,0.05,1.0095322164512422e-07,0.0,0.0,2.617993877991494,-0.004320164609237936,0.013825309168123223,0.05,5.299578026424609e-08,0.0,0.0,2.617993877991494,-0.004266020896033402,0.014375221052644218,0.05,2.3798894282365652e-08,0.0,0.0,2.617993877991494,-0.004207462934681512,0.014934059966745962,0.05,8.845787461056476e-09,0.0,0.0,2.617993877991494,-0.00414407584376517,0.01550215970491986,0.05,3.0460779817716616e-09,0.0,0.0,2.617993877991494,-0.004075434516710891,0.01607971665501426,0.05,1.4585467005693187e-09,0.0,0.0,2.617993877991494,-0.004001006210630999
