k,i_ref,i_ref_mpc,ref_advanced,dist_to_ref_m,dist_to_ref_mm,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_now_0,p_now_1,p_now_2,p_now_3,p_now_4,p_now_5,p_now_6,p_now_7,tip_x,tip_y,tip_z,tip_tx,tip_ty,tip_tz,status,infeasible,pred1_err_xy_m,pred1_err_xy_mm,pred1_err_xyz_m,pred1_err_xyz_mm,tip_vessel_angle_deg,i_seg,u_seg,rho_m,rho_mm,clearance_m,clearance_mm,jac_pred_mm,jac_mpc_pred_mm,jac_actual_mm,jac_gain_actual_over_jac,jac_gain_actual_over_mpc,jac_angle_actual_deg,jac_cos_actual,jac_actual_along_pred_mm,jac_dp_pred_x_mm,jac_dp_pred_y_mm,jac_dp_pred_z_mm,mpc_dp_pred_x_mm,mpc_dp_pred_y_mm,mpc_dp_pred_z_mm,actual_dp_x_mm,actual_dp_y_mm,actual_dp_z_mm,jac_dir_pred_x,jac_dir_pred_y,jac_dir_pred_z,mpc_dir_pred_x,mpc_dir_pred_y,mpc_dir_pred_z,actual_dir_x,actual_dir_y,actual_dir_z,sqp_iters_done,sqp_converged,sqp_du_final,sqp_du_rel_final,sqp_tol_u,sqp_tol_rel_u,i_closest,frame_path,sqp_du_0,sqp_du_rel_0,sqp_du_1,sqp_du_rel_1,sqp_du_2,sqp_du_rel_2,sqp_du_3,sqp_du_rel_3,sqp_du_4,sqp_du_rel_4,sqp_du_5,sqp_du_rel_5,sqp_du_6,sqp_du_rel_6,sqp_du_7,sqp_du_rel_7,u_applied_0_vx,u_applied_0_vy,u_applied_0_vz,u_applied_0_wx,u_applied_0_wy,u_applied_0_wz,u_applied_0_dL,x_rollout_0_x,x_rollout_0_y,x_rollout_0_z,x_rollout_0_tx,x_rollout_0_ty,x_rollout_0_tz,x_pred_0_x,x_pred_0_y,x_pred_0_z,x_pred_0_tx,x_pred_0_ty,x_pred_0_tz,rollout_err_xy_0_m,rollout_err_xy_0_mm,rollout_err_xyz_0_m,rollout_err_xyz_0_mm,u_applied_1_vx,u_applied_1_vy,u_applied_1_vz,u_applied_1_wx,u_applied_1_wy,u_applied_1_wz,u_applied_1_dL,x_rollout_1_x,x_rollout_1_y,x_rollout_1_z,x_rollout_1_tx,x_rollout_1_ty,x_rollout_1_tz,x_pred_1_x,x_pred_1_y,x_pred_1_z,x_pred_1_tx,x_pred_1_ty,x_pred_1_tz,rollout_err_xy_1_m,rollout_err_xy_1_mm,rollout_err_xyz_1_m,rollout_err_xyz_1_mm,u_applied_2_vx,u_applied_2_vy,u_applied_2_vz,u_applied_2_wx,u_applied_2_wy,u_applied_2_wz,u_applied_2_dL,x_rollout_2_x,x_rollout_2_y,x_rollout_2_z,x_rollout_2_tx,x_rollout_2_ty,x_rollout_2_tz,x_pred_2_x,x_pred_2_y,x_pred_2_z,x_pred_2_tx,x_pred_2_ty,x_pred_2_tz,rollout_err_xy_2_m,rollout_err_xy_2_mm,rollout_err_xyz_2_m,rollout_err_xyz_2_mm,u_applied_3_vx,u_applied_3_vy,u_applied_3_vz,u_applied_3_wx,u_applied_3_wy,u_applied_3_wz,u_applied_3_dL,x_rollout_3_x,x_rollout_3_y,x_rollout_3_z,x_rollout_3_tx,x_rollout_3_ty,x_rollout_3_tz,x_pred_3_x,x_pred_3_y,x_pred_3_z,x_pred_3_tx,x_pred_3_ty,x_pred_3_tz,rollout_err_xy_3_m,rollout_err_xy_3_mm,rollout_err_xyz_3_m,rollout_err_xyz_3_mm,u_applied_4_vx,u_applied_4_vy,u_applied_4_vz,u_applied_4_wx,u_applied_4_wy,u_applied_4_wz,u_applied_4_dL,x_rollout_4_x,x_rollout_4_y,x_rollout_4_z,x_rollout_4_tx,x_rollout_4_ty,x_rollout_4_tz,x_pred_4_x,x_pred_4_y,x_pred_4_z,x_pred_4_tx,x_pred_4_ty,x_pred_4_tz,rollout_err_xy_4_m,rollout_err_xy_4_mm,rollout_err_xyz_4_m,rollout_err_xyz_4_mm,u_applied_5_vx,u_applied_5_vy,u_applied_5_vz,u_applied_5_wx,u_applied_5_wy,u_applied_5_wz,u_applied_5_dL,x_rollout_5_x,x_rollout_5_y,x_rollout_5_z,x_rollout_5_tx,x_rollout_5_ty,x_rollout_5_tz,x_pred_5_x,x_pred_5_y,x_pred_5_z,x_pred_5_tx,x_pred_5_ty,x_pred_5_tz,rollout_err_xy_5_m,rollout_err_xy_5_mm,rollout_err_xyz_5_m,rollout_err_xyz_5_mm,u_applied_6_vx,u_applied_6_vy,u_applied_6_vz,u_applied_6_wx,u_applied_6_wy,u_applied_6_wz,u_applied_6_dL,x_rollout_6_x,x_rollout_6_y,x_rollout_6_z,x_rollout_6_tx,x_rollout_6_ty,x_rollout_6_tz,x_pred_6_x,x_pred_6_y,x_pred_6_z,x_pred_6_tx,x_pred_6_ty,x_pred_6_tz,rollout_err_xy_6_m,rollout_err_xy_6_mm,rollout_err_xyz_6_m,rollout_err_xyz_6_mm,u_applied_7_vx,u_applied_7_vy,u_applied_7_vz,u_applied_7_wx,u_applied_7_wy,u_applied_7_wz,u_applied_7_dL,x_rollout_7_x,x_rollout_7_y,x_rollout_7_z,x_rollout_7_tx,x_rollout_7_ty,x_rollout_7_tz,x_pred_7_x,x_pred_7_y,x_pred_7_z,x_pred_7_tx,x_pred_7_ty,x_pred_7_tz,rollout_err_xy_7_m,rollout_err_xy_7_mm,rollout_err_xyz_7_m,rollout_err_xyz_7_mm,u_applied_8_vx,u_applied_8_vy,u_applied_8_vz,u_applied_8_wx,u_applied_8_wy,u_applied_8_wz,u_applied_8_dL,x_rollout_8_x,x_rollout_8_y,x_rollout_8_z,x_rollout_8_tx,x_rollout_8_ty,x_rollout_8_tz,x_pred_8_x,x_pred_8_y,x_pred_8_z,x_pred_8_tx,x_pred_8_ty,x_pred_8_tz,rollout_err_xy_8_m,rollout_err_xy_8_mm,rollout_err_xyz_8_m,rollout_err_xyz_8_mm,u_applied_9_vx,u_applied_9_vy,u_applied_9_vz,u_applied_9_wx,u_applied_9_wy,u_applied_9_wz,u_applied_9_dL,x_rollout_9_x,x_rollout_9_y,x_rollout_9_z,x_rollout_9_tx,x_rollout_9_ty,x_rollout_9_tz,x_pred_9_x,x_pred_9_y,x_pred_9_z,x_pred_9_tx,x_pred_9_ty,x_pred_9_tz,rollout_err_xy_9_m,rollout_err_xy_9_mm,rollout_err_xyz_9_m,rollout_err_xyz_9_mm
0,16,16,0,0.001345830187102888,1.345830187102888,-0.014298440416803709,-1.0000102212095772,1.081697123713572e-06,0.0,0.0,-0.04802832458604343,0.009996148967748194,0.6704446501551388,-0.6788730537476257,-0.1,-0.0005334830902072245,-0.9999997618570173,0.0003002504627117081,-0.0003186398609043825,0.016999585035105774,0.7812452051527482,-0.7081993114822848,-0.10000550793672272,-0.9870495938008655,0.16041533018955062,-0.00014566304873479035,solved,0,6.330869746285385e-07,0.0006330869746285385,6.33086979185218e-07,0.000633086979185218,2.9935908759734633,16,0.0702212699486858,0.0013440098889336066,1.3440098889336065,0.0026559901110663935,2.6559901110663935,0.654104415594084,0.6624903756792659,0.6631136452010739,1.0137733814238317,1.0009407978510916,1.6045204703984124,0.99960790899309,0.6628536443042313,-0.0998407924994892,-0.6464397903780196,8.29302458884727e-06,-0.08285863206813904,-0.657288326398997,-3.064403986119402e-05,-0.08282634486345142,-0.6579205895197449,-3.0568082315385325e-05,-0.15263739262302603,-0.9882822603955316,1.2678441531869512e-05,-0.12507145025794866,-0.9921477360709804,-4.6255826478647344e-05,-0.12490520359950705,-0.9921686792016557,-4.609780319950476e-05,8,0,0.015448467631835933,0.008318281901078894,1e-05,0.002,16,rollout_10_60_ltv_sqp_10/frames/frame_000000.png,2.0325670858317606,321.3770743651519,0.7341321262564154,0.3611689597689168,0.33185751116378676,0.16894057897661383,0.15669466436937543,0.08429316020373312,0.07711807260426536,0.04195915719582746,0.0375794065264989,0.020336284019691047,0.022800944835683012,0.012292440772483634,0.015448467631835933,0.008318281901078894,-0.014298440416803709,-1.0000102212095772,1.081697123713572e-06,0.0,0.0,-0.04802832458604343,0.009996148967748194,0.7820499974771953,-0.7105897327704844,-0.10000452782271257,-0.9979531360013099,-0.06394944722056392,-8.090324724452797e-05,0.7820499651899906,-0.7105891005073637,-0.10000452789867012,-0.9979569035104936,-0.06389062636782397,-8.122853320817068e-05,6.330869746285385e-07,0.0006330869746285385,6.33086979185218e-07,0.000633086979185218,-0.0010606459600428406,-0.02592753244087946,8.153177965822884e-07,0.0,0.0,-0.0007792374197460324,0.009999328981076057,0.7819512796918285,-0.7106160530055757,-0.10000451184561515,-0.9978151927737078,-0.06606689916044342,-7.684589946880644e-05,0.7819512369701506,-0.7106153152890681,-0.10000451174276541,-0.997834340086711,-0.06577707608298311,-7.749639711071864e-05,7.389524933593728e-07,0.0007389524933593727,7.389525005168487e-07,0.0007389525005168487,-0.07184709957367859,0.3446593054987759,5.183054877755601e-07,0.0,0.0,0.014351817738064838,0.009999060278655367,0.7818410405507504,-0.7103881588547276,-0.10000452526563071,-0.9990396471686519,-0.043815267527513524,-7.560838449108448e-05,0.7818410696386803,-0.7103880318380731,-0.10000452524268523,-0.9990486644319311,-0.0436091761032049,-7.652695280348145e-05,1.303047895892193e-07,0.00013030478958921932,1.3030479160946354e-07,0.00013030479160946353,-0.05824172493787291,0.4575189896297107,3.1137449686576653e-07,0.0,0.0,0.018903479372101326,0.009997085753415434,0.7817338092066838,-0.7100824548384421,-0.10000453486645905,-0.9998960086340601,-0.014421041557582528,-7.401398513186778e-05,0.7817338790310853,-0.7100833853919486,-0.10000453493989046,-0.9998961879814786,-0.014408594986654826,-7.517059385434978e-05,9.331694784183646e-07,0.0009331694784183646,9.331694813075356e-07,0.0009331694813075356,-0.013654414042778116,0.5224996199158775,8.118412198840608e-08,0.0,0.0,0.021517974799526315,0.009994911892561638,0.7816345113286917,-0.7097281632211511,-0.10000452702849665,-0.9998154803744849,0.019209377650045927,-7.08084458182628e-05,0.7816346251789954,-0.7097305630010079,-0.10000452739970349,-0.9998136402668465,0.01930490901800135,-7.227837553181604e-05,2.4024789807443737e-06,0.0024024789807443737,2.4024790094219442e-06,0.002402479009421944,0.05144153307868975,0.5645082487731914,-2.389958907430346e-07,0.0,0.0,0.023263277286783218,0.009993243414515773,0.7815466048384284,-0.7093324108073846,-0.10000449155254414,-0.9984141927672516,0.056294719502821146,-6.509236582232489e-05,0.7815467617688815,-0.7093367606520123,-0.10000449246350337,-0.998400853062505,0.05653080688062108,-6.691403611702025e-05,4.35267451716414e-06,0.0043526745171641405,4.352674612490212e-06,0.004352674612490212,0.13011942940819246,0.5876247624587103,-6.330082430432107e-07,0.0,0.0,0.024339944083672377,0.009992506556954982,0.7814736239404901,-0.7088952437532365,-0.10000442063806014,-0.9953125982074413,0.09671002372831945,-5.621405631928861e-05,0.7814737050039837,-0.7089020744932449,-0.10000442228145948,-0.9953010163653422,0.0968291454983178,-5.834537214640896e-05,6.831221000111457e-06,0.006831221000111457,6.8312211977892454e-06,0.006831221197789245,0.2153164457848874,0.5979862846356999,-1.0203455084995338e-06,0.0,0.0,0.025007608501267133,0.009992797858098292,0.781420244821954,-0.7084098104373618,-0.10000430977688153,-0.9900173300723646,0.14094567831148871,-4.383721006429262e-05,0.7814199492740306,-0.7084197006706376,-0.10000431309545835,-0.9900638212739339,0.14061873157169136,-4.621281673526321e-05,9.894648191057985e-06,0.009894648191057984,9.894648747568512e-06,0.009894648747568513,0.3058623942379738,0.613020403323972,-1.2308285308805982e-06,0.0,0.0,0.02597555032930028,0.009994081582107352,0.7813429352461817,-0.7082203978182797,-0.10000490259698894,-0.9873864573879928,0.1583286923589634,-9.456579900440516e-05,0.7813434976877922,-0.7082227583579747,-0.10000488223934807,-0.9873879861548405,0.15831915794379176,-9.500030166646674e-05,2.4266207401634956e-06,0.0024266207401634956,2.4267061318036033e-06,0.0024267061318036035,0.287545335639983,0.44354643387197434,-8.834140640514787e-07,0.0,0.0,0.019159989990141044,0.009999338225443789,0.7812452051527482,-0.7081993114822848,-0.10000550793672272,-0.9870495938008655,0.16041533018955062,-0.00014566304873479035,0.7812461823225828,-0.7081989946374294,-0.10000548361461338,-0.987055318821918,0.16038009975298667,-0.00014556298982887057,1.0272543735722289e-06,0.001027254373572229,1.0275422682430348e-06,0.0010275422682430348
1,17,17,1,0.0030282283826238623,3.0282283826238623,-1.000265955505838,-1.0000328420055848,-4.7038753671225226e-06,0.0,0.0,-0.2744337250333209,0.010172020005321039,0.6746680580997583,-0.6622714870301141,-0.1,-0.0005338516504884653,-0.9999994392456384,-0.0008575388272948862,-0.0003180219862917586,0.018031856658410735,0.7802378365875923,-0.7079668758734594,-0.10000747702727467,-0.9844731134112202,0.17553521005991118,-0.00028106874895500716,solved,0,4.557653219927048e-09,4.557653219927048e-06,4.5579449638473385e-09,4.5579449638473385e-06,0.92818468386592,17,0.32763614900192056,0.0030104790301251584,3.0104790301251585,0.0009895209698748417,0.9895209698748417,1.1740413039430495,0.2602900133114528,0.26029429743869303,0.2217079557290596,1.0000164590534448,14.125611096901466,0.9697630229799278,0.2524237847485834,-0.3193347082916779,-1.1297764523333886,-0.0018695447433219978,-0.12977421832960356,-0.22562954037252947,0.0009240118493542004,-0.12977500577648904,-0.2256340294849446,0.0009240634189222607,-0.2719961446153416,-0.9622970235706392,-0.001592401167695788,-0.4985754800139829,-0.8668390212211101,0.003549932006990081,-0.49857029928615654,-0.8668420004018261,0.003550071699668737,8,0,0.03618100278322024,0.01177107327517857,1e-05,0.002,17,rollout_10_60_ltv_sqp_10/frames/frame_000001.png,2.3065888234797947,364.7037153265463,0.9305768747167357,0.4034288884289378,0.28679982950986593,0.10221323525175455,0.15749933476439026,0.05387039101319938,0.15353109263567918,0.05178044403256181,0.07705290011459044,0.025624032514222638,0.05037185259056011,0.01652404859129059,0.03618100278322024,0.01177107327517857,-1.000265955505838,-1.0000328420055848,-4.7038753671225226e-06,0.0,0.0,-0.2744337250333209,0.010172020005321039,0.7811154301469717,-0.7084249455117697,-0.1000045838733038,-0.9905208892729759,0.137362164494195,-6.065758656347658e-05,0.7811154309344186,-0.7084249410226573,-0.10000458392487337,-0.9905208819337972,0.13736221741462845,-6.066324122701423e-05,4.557653219927048e-09,4.557653219927048e-06,4.5579449638473385e-09,4.5579449638473385e-06,-1.0002284864465238,-1.0000263213951823,-4.156303950369746e-06,0.0,0.0,-0.13440451692896738,0.010212921469265014,0.7809463893807224,-0.7092503703307859,-0.10000521307957456,-0.9980707476873381,0.06208679263695122,-0.00011309683447812617,0.7809463924135682,-0.709250338538395,-0.10000521309741399,-0.998070677008986,0.062087928804764665,-0.00011309977311457989,3.193672288738983e-08,3.1936722887389834e-05,3.1936727869820846e-08,3.193672786982085e-05,-0.14454706011504917,-0.8925477164497158,-2.915410858890138e-06,0.0,0.0,-0.03869945615828802,0.01028788704927868,0.7808271771797128,-0.7097946859897107,-0.10000526398130838,-0.9999232584924906,0.012388055290780105,-0.00011494290876723079,0.7808273308055612,-0.7097950935871661,-0.10000526454266276,-0.9999279836569798,0.012000597264640306,-0.0001147387413086551,4.355876339972363e-07,0.0004355876339972363,4.355879957138968e-07,0.00043558799571389683,0.05262664361295482,0.27856662419027917,-2.620762566646528e-06,0.0,0.0,0.013298307954483179,0.010339496689196473,0.780726630379218,-0.7096188240799602,-0.10000521504700818,-0.9996037318471841,0.028149025122851817,-0.00010798988839730868,0.7807266819295032,-0.7096192231034335,-0.10000521523225775,-0.9996239321786896,0.027422302148602303,-0.0001075196975115734,4.023396129212911e-07,0.0004023396129212911,4.0233965556859533e-07,0.0004023396555685953,0.10376894917240581,0.6395010170109812,-2.687172827857403e-06,0.0,0.0,0.02918956873221704,0.010367461261878885,0.7806385218613409,-0.7092033838570742,-0.1000051552502881,-0.9978768474134333,0.06512900566912763,-0.00010008385548128066,0.7806382036999425,-0.7092033341501821,-0.10000515435678554,-0.9979504689674958,0.06399102754089288,-9.940732255933283e-05,3.220208852070542e-07,0.0003220208852070542,3.220221247932215e-07,0.00032202212479322153,0.21898251147296155,0.7638650863522518,-2.9205878941799292e-06,0.0,0.0,0.034819021125726046,0.010385449455734308,0.7805727908111968,-0.7086689908676461,-0.10000505129686717,-0.9936947666118284,0.11211914644528416,-8.836653582039256e-05,0.7805717850632223,-0.7086685429197687,-0.10000504783996617,-0.9938789805562289,0.11047426995062964,-8.767774287619416e-05,1.1009933192559727e-06,0.0011009933192559726,1.1009987462348986e-06,0.0011009987462348985,0.3802745848873647,0.834823723775202,-3.3191821646950918e-06,0.0,0.0,0.03845553492962524,0.010398855380928506,0.7805340683420088,-0.7080814246511781,-0.10000503903146661,-0.9865992200702195,0.16316240927380002,-8.459789227230552e-05,0.7805352906621904,-0.7080549899666632,-0.10000498268164776,-0.9866436386986664,0.16289359698840278,-7.921890703048406e-05,2.646292901455112e-05,0.02646292901455112,2.6462989009770915e-05,0.026462989009770916,0.6162280036171698,0.929756407101238,-3.807328858882408e-06,0.0,0.0,0.04396282238835956,0.010410222695891286,0.7804353214685957,-0.7080386919605197,-0.1000062705319294,-0.985824730889796,0.16777832114518845,-0.00018686830391103306,0.7804381754702332,-0.7080001266818118,-0.1000061929564646,-0.9858505398745634,0.16762660840889468,-0.00018216026703074873,3.867073890123427e-05,0.03867073890123427,3.867081671131569e-05,0.03867081671131569,0.691853322285466,0.715827868174741,-3.8800570453835885e-06,0.0,0.0,0.035554328027738384,0.01041989181103788,0.7803358695748079,-0.7080012363692849,-0.10000706011511927,-0.9850913079129292,0.17203212652778138,-0.0002500334460364462,0.7803391457364446,-0.7079604687104537,-0.10000698870836763,-0.9851221053939114,0.1718556853866414,-0.0002467074278817244,4.089908607349645e-05,0.04089908607349645,4.0899148408878275e-05,0.040899148408878275,0.5036482814810518,0.3904228249969656,-2.638790033366276e-06,0.0,0.0,0.020700190332097974,0.010232956511963905,0.7802378365875923,-0.7079668758734594,-0.10000747702727467,-0.9844731134112202,0.17553521005991118,-0.00028106874895500716,0.7802413037300436,-0.707925330350353,-0.10000740334351349,-0.9845091124724518,0.17533319699588537,-0.00027837009109852765,4.1689945633982204e-05,0.041689945633982206,4.169001074911175e-05,0.041690010749111744
2,19,19,2,0.003036074407440991,3.036074407440991,-1.0000573150500842,-1.0000258728826548,3.525910465479337e-05,0.0,0.0,-0.34145590535065545,0.00991658876468545,0.6931887324589439,-0.6391557779733765,-0.1,-0.0005342139417822244,-0.999997811265425,-0.0019978310216424403,-0.00031741303202564354,0.019024630848938705,0.7793128504690703,-0.7076271704984562,-0.10000893827419033,-0.9667305128567529,0.25579682871238735,-0.0003129415365600024,solved,0,1.2145432692515162e-06,0.0012145432692515163,1.2145483918847383e-06,0.0012145483918847382,5.414229903578915,18,0.7453555186667393,0.0030254016834947773,3.0254016834947772,0.0009745983165052228,0.9745983165052228,1.3826581424624493,0.10014078609408836,0.10015886112966316,0.07243935290561766,1.0001804962421388,81.52073752784852,0.1474514388942675,0.014768568191579956,-0.5087342353379254,-1.28566365647486,-0.0014068164557892496,-0.09724462074067741,0.023891340106496628,0.0009298626024722978,-0.09754475544931918,0.02271446521528997,0.0009333901151431512,-0.3679392755984452,-0.9298492642477433,-0.0010174723690440036,-0.9710790631232931,0.23857751709727204,0.009285553256977984,-0.9739004053075262,0.22678437992505118,0.009319096729093273,8,0,0.36094546008807454,0.10371689471400676,1e-05,0.002,19,rollout_10_60_ltv_sqp_10/frames/frame_000002.png,2.101043711810087,332.2041795921883,1.3479431920359772,0.6415325983284119,0.6199311837435039,0.20242429860176542,0.44139499123132975,0.12786316145584922,0.4477995765144072,0.12530487934325965,0.25456236716965447,0.07143330830553993,0.39334425981046967,0.11292927783259193,0.36094546008807454,0.10371689471400676,-1.0000573150500842,-1.0000258728826548,3.525910465479337e-05,0.0,0.0,-0.34145590535065545,0.00991658876468545,0.780140291832143,-0.7079441614082441,-0.10000654363715952,-0.9848874625328452,0.17319539758936206,-0.0002009962099867712,0.7801405919668516,-0.7079429845333529,-0.1000065471646722,-0.9848777184653913,0.17325079850097652,-0.0002012192320301121,1.2145432692515162e-06,0.0012145432692515163,1.2145483918847383e-06,0.0012145483918847382,-1.000039126562538,-1.0000323106399598,3.591288646156776e-05,0.0,0.0,-0.15946698916372318,0.009924390697724751,0.7800410976650997,-0.7079360237228702,-0.10000498450038858,-0.9852798903933944,0.17094891923048894,-6.782557652314623e-05,0.78004149857441,-0.7079343370256904,-0.10000499132180687,-0.9852637523465362,0.17104190617557083,-6.814580408689076e-05,1.7336884528322891e-06,0.0017336884528322892,1.7337018726504053e-06,0.0017337018726504053,-0.3970621179433916,0.08644612826185812,3.6953380712453706e-05,0.0,0.0,-0.005460887844563954,0.00993543998890561,0.7799346122134687,-0.7079833877805737,-0.10000525304238253,-0.9860863655049842,0.1662337875369589,-8.74430571145724e-05,0.7799380239138092,-0.7079724626730941,-0.10000521722833455,-0.9882101621014112,0.15310345514834223,-8.683974986360262e-05,1.1445421471199038e-05,0.011445421471199037,1.1445477504211715e-05,0.011445477504211715,0.41323001162134826,0.9999710371473958,3.7521531528482926e-05,0.0,0.0,0.0665652002544487,0.009933910253729002,0.7798505694169742,-0.707881750928519,-0.10000622620508054,-0.9834152685922908,0.18136809310534435,-0.0001558938211273931,0.7798707368542642,-0.7077394175368577,-0.10000603091275932,-0.9837570108893927,0.17950522066929894,-0.0001388467997824362,0.00014375506915818864,0.14375506915818864,0.00014375520181115649,0.14375520181115647,0.9720472805247558,0.9999804178122981,3.54515473955165e-05,0.0,0.0,0.0782488413495203,0.009914399819832158,0.7797617915281893,-0.7078302383593913,-0.10000711092943032,-0.9803579571830581,0.19722634294821526,-0.0002131551882061176,0.7797824395759421,-0.7076846856914797,-0.10000696017324255,-0.9806910195298418,0.1955635046063387,-0.00019969878756812557,0.00014700993507987603,0.14700993507987603,0.00014701001237880877,0.14701001237880876,0.9999844068765513,0.9999950711373841,2.7010302926337325e-05,0.0,0.0,0.06713221012763172,0.00989562034515188,0.7796763369364315,-0.7077709401561084,-0.10000787826465467,-0.9763512175960216,0.21619026715546008,-0.0002613159329318176,0.7796971348647223,-0.7076242967742579,-0.10000776766871451,-0.9765559336725286,0.21526366621899987,-0.0002498298041670733,0.00014811088839702548,0.14811088839702546,0.00014811092968858885,0.14811092968858885,0.9999907251851334,0.7707410226825585,2.1931737365407344e-05,0.0,0.0,0.042583644659816094,0.00989407579853608,0.7795928518639189,-0.7077099188738006,-0.10000843758695621,-0.971779880711568,0.2358893324729956,-0.0002937169648134755,0.7795877723052267,-0.7076322830108736,-0.10000908903769051,-0.9717331683488577,0.2360816922119461,-0.0002900569508129879,7.780185813295609e-05,0.07780185813295609,7.780458544970114e-05,0.07780458544970115,0.53357279199717,0.22869135588715933,2.0373741317497723e-05,0.0,0.0,0.014483344355287591,0.009923953229633747,0.7795037224259613,-0.7076704306287557,-0.10000865737990339,-0.9688444614152705,0.24766977737397222,-0.00030159655403300746,0.7794276102598324,-0.7077378865045217,-0.10001022051904897,-0.968294574836046,0.24981097542562042,-0.0003047949820954918,0.00010170229598293678,0.10170229598293677,0.00010171430780470033,0.10171430780470032,0.20044447971880075,0.10346166503912009,2.1397823343738774e-05,0.0,0.0,0.004776555922899258,0.009955947201247671,0.7794088856678504,-0.7076497488134643,-0.10000878135156656,-0.9675525644984192,0.2526696298018031,-0.00030513661206756364,0.7792861715693731,-0.7077986740451092,-0.10001078419988577,-0.9669019262062862,0.2551481252092012,-0.00031512029979880737,0.00019297013910339232,0.1929701391033923,0.00019298053266319983,0.19298053266319984,0.12995629955081633,0.12234239122860721,2.2637075732489545e-05,0.0,0.0,0.004535258008808693,0.009983092953350346,0.7793128504690703,-0.7076271704984562,-0.10000893827419033,-0.9667305128567529,0.25579682871238735,-0.0003129415365600024,0.7791943539875085,-0.7077684769838675,-0.1000108156150879,-0.9660369469156261,0.2584037811153221,-0.0003210907040426592,0.00018441512671633076,0.18441512671633076,0.00018442468210802488,0.18442468210802487
