i_idx,j_idx,L_m,act_x,act_y,act_z,act_rx,act_ry,act_rz,pred_base_x_mm,pred_base_y_mm,pred_base_z_mm,meas_base_x_mm,meas_base_y_mm,meas_base_z_mm,pred_tip_angle_deg,meas_tip_angle_deg,err_x_mm,err_y_mm,err_z_mm,err_xy_mm,err_xyz_mm
0,0,0.035,0.6231330938292888,-0.6812511578286868,-0.1,3.140495342795073,0.0010388155820646474,0.0010383644315195939,-33.89508852360214,-2.2525395445023286,-0.016681833880435024,-29.552751911248556,-0.005333152091795323,0.0,-3.8020704561345133,-0.010344261330938973,4.34233661235358,2.247206392410533,0.016681833880435024,4.8893582222084255,4.889386680214477
0,-5,0.035,0.6239114084878722,-0.6634016427292421,-0.1,3.1386295922625767,-0.1360358558131613,0.0010350595236119863,-33.69427375617035,-3.8372896222370314,-0.018930325757965435,-29.568801674656125,-1.3802607792144441,0.0,-6.497166467064048,-2.672610283063801,4.1254720815142205,2.457028843022587,0.018930325757965435,4.8017195493696,4.801756864735187
0,-10,0.035,0.6262573124034462,-0.6456666592223823,-0.1,3.1296596830075227,-0.27284686003568587,0.0010019093093520436,-33.39072314594946,-5.3994521334627334,-0.02036550554778726,-29.531630047460347,-2.976678102948461,0.0,-9.185511159787566,-5.755764987521758,3.8590930984891103,2.422774030514273,0.02036550554778726,4.556581344137363,4.556626855422427
0,-15,0.035,0.6301182196564078,-0.628207011469336,-0.1,3.11472955682923,-0.4090644249145399,0.0010249338605752881,-32.989272554910585,-6.923981454958351,-0.021999467793289134,-29.37123600231736,-4.304829243535948,0.0,-11.853514815971911,-8.338258318107595,3.6180365525932228,2.6191522114224033,0.021999467793289134,4.466558720368458,4.466612897832396
0,-20,0.035,0.6355014533111126,-0.6111432725953839,-0.1,3.0939513657272237,-0.5445668586822437,0.0009793884094924264,-32.494726135017046,-8.403730727198827,-0.0231146194965803,-29.20019914776289,-5.811104469128245,0.0,-14.500038259661627,-11.255333739495052,3.294526987254156,2.592626258070582,0.0231146194965803,4.192328587286904,4.192392308624932
0,-25,0.035,0.64234095639817,-0.5946171969914911,-0.1,3.067212109893556,-0.678947307868559,0.0009999905818106245,-31.914635582691925,-9.827189506372125,-0.024475130585670066,-28.753314632318407,-7.188669617947156,0.0,-17.114702986617043,-14.036886883765561,3.161320950373518,2.6385198884249697,0.024475130585670066,4.11773449276233,4.117807230177467
0,-30,0.035,0.6505818191627641,-0.5787444253202686,-0.1,3.034662672415146,-0.812088947865784,0.0009104714198477035,-31.257276347834054,-11.185984108586693,-0.02512157848636526,-28.426891912373094,-8.644166270716708,0.0,-19.690671605814263,-16.913687238335775,2.8303844354609606,2.5418178378699854,0.02512157848636526,3.804196889412233,3.8042798355430363
0,-35,0.035,0.6602106344160429,-0.5636895352993903,-0.1,2.996306338408144,-0.9437083838519417,0.0010272376807012435,-30.530019943310943,-12.476273170902768,-0.026745035336545372,-28.02419053572684,-10.17208575364346,0.0,-22.227670053148504,-19.949644583638477,2.5058294075840997,2.3041874172593095,0.026745035336545372,3.404182820262362,3.4042878801130434
0,-40,0.035,0.6710760400735737,-0.54951234177758,-0.1,2.952246583034204,-1.0735233858527566,0.0009605977470386368,-29.74526624770228,-13.687447277029928,-0.02732218252665988,-27.56510895833831,-11.685972162507236,0.0,-24.709782356715884,-22.974068994564735,2.1801572893639687,2.0014751145226923,0.02732218252665988,2.959558825301581,2.959684939664777
0,-45,0.035,0.6831590281101062,-0.5363099894199099,-0.1,2.9026116305704686,-1.2012500249324138,0.0009029956094299844,-28.909200057980396,-14.821258269930828,-0.027768204257732687,-26.711125175796756,-13.091804196517371,0.0,-27.14344751232745,-26.110656476707785,2.19807488218364,1.7294540734134576,0.027768204257732687,2.79688122374423,2.7970190655232803
0,-50,0.035,0.6963643825364658,-0.5242176096783753,-0.1,2.8474177048953027,-1.3267154792230582,0.0009302550954501231,-28.03309379119579,-15.872738648145583,-0.028489018022333782,-25.865586672609947,-14.62187324565403,0.0,-29.51915969650543,-29.479574931988726,2.1675071185858417,1.2508654024915542,0.028489018022333782,2.5025489734010513,2.502711127641089
0,-55,0.035,0.7105382620309378,-0.513335648291749,-0.1,2.7868339901750585,-1.4496249637856562,0.0009413209618248922,-27.132610209616207,-16.83448016335418,-0.029065951346373894,-24.995980606630116,-16.089702300174302,0.0,-31.817612624762358,-32.769045616438206,2.1366296029860927,0.7447778631798768,0.029065951346373894,2.2627152109444286,2.262901888144283
0,-60,0.035,0.7256342516796734,-0.5037272682744943,-0.1,2.720950616307411,-1.5697725321170604,0.0008747087481043215,-26.21298612058938,-17.7121181021086,-0.029130497921997893,-24.05372572273315,-17.291745144496346,0.0,-34.04689926385011,-35.71160940921506,2.159260397856227,0.42037295761225557,0.029130497921997893,2.199799738440276,2.199992607976465
0,-65,0.035,0.7414872977500756,-0.4954592270765314,-0.1,2.649816760926019,-1.6869678983877607,0.0007792323801348084,-25.291662480557818,-18.499821999200616,-0.029062384893814984,-22.886851271256816,-18.546653931211587,0.0,-36.18395144343418,-39.020026051868655,2.4048112093010032,-0.04683193201096905,0.029062384893814984,2.405267174813566,2.4054427460347814
0,-70,0.035,0.7580294119587647,-0.4886063598818588,-0.1,2.5737525465602844,-1.8008854714629683,0.000846767243781368,-24.37338291916237,-19.204567852357005,-0.02943385671197695,-21.885644856353082,-19.827718552204807,0.0,-38.23570552611203,-42.17560827368787,2.4877380628092887,-0.6231506998478007,0.02943385671197695,2.5645969398466724,2.5647658403432967
0,-75,0.035,0.7750673124842242,-0.48322816184901357,-0.1,2.492719918735694,-1.911448706813244,0.0007793391589341281,-23.476560411559145,-19.822895825373003,-0.029139078434844177,-20.56269203786899,-20.72340570331647,0.0,-40.176733295895495,-45.223035102199965,2.9138683736901516,-0.9005098779434652,0.029139078434844177,3.0498437565661365,3.0499829549290065
0,-80,0.035,0.7925375626922913,-0.47937318413944857,-0.1,2.406953838743415,-2.0183484797652786,0.0007657036024634516,-22.60340193694121,-20.36398952188346,-0.029028901035565966,-19.459463853713327,-21.650795797943463,0.0,-42.01650749240796,-48.05119536355283,3.1439380832278854,-1.2868062760599992,0.029028901035565966,3.3970894988619347,3.397213525872839
0,-85,0.035,0.810261194643643,-0.47703613234844583,-0.1,2.316576865349392,-2.121417292854891,0.0007531881881360139,-21.77427417090225,-20.825194880407725,-0.028875446238793838,-18.144234593716877,-22.478026773838483,0.0,-43.72371077385641,-51.08957693927345,3.630039577185374,-1.6528318934307604,0.028875446238793838,3.988613869488257,3.988718389566951
0,-90,0.035,0.828108458725632,-0.476266382543282,-0.1,2.2218411335649226,-2.220403703541096,0.0006838776443451327,-20.994896575014046,-21.21412239888988,-0.02839701622156687,-17.187029322659747,-23.18542544486548,0.0,-45.29758098697394,-53.45098184854364,3.8078672523543,-1.971303045975599,0.02839701622156687,4.2878769467680575,4.287970977182011
