x_src,y_src,z_src,rx,ry,rz,L
9.675231028415720580e-02,-1.354008539324809968e-01,-3.328700286308707078e-04,1.592863635632158411e-05,2.784008744300670335e-06,4.357180878916567558e-03,1.480872445221708689e-01
3.898306495161078106e-02,-6.647291733750557152e-02,-2.525712472726251100e-04,1.161086367277026001e-05,1.137385336568891115e-06,1.774989295926126306e-03,1.057921939543430501e+00
-2.037350265712825279e-04,4.230366017772520053e-04,1.532211977190417462e-01,-6.512248161858349635e-03,-4.151683703476886599e-06,-9.201063468413811936e-06,-4.109563527815969855e-04
