s,px,py,pz,qw,qx,qy,qz
0.000000000000000000e+00,7.981328220229531034e-01,-7.099273166922001055e-01,-1.000000000000000056e-01,-1.591549349476097951e-07,9.999998986788191102e-01,3.183098539322571177e-04,3.183098539322571177e-04
2.388888888888888746e-03,7.957439341022441992e-01,-7.099288375055505806e-01,-1.000015208138345241e-01,-6.097150678850803281e-05,9.815870067254430786e-01,-1.910153834020227037e-01,2.604112875520853848e-04
4.777777777777777492e-03,7.935293717260154533e-01,-7.090330126082927675e-01,-1.000026864475170030e-01,-1.077323490287750976e-04,9.410511569919868258e-01,-3.382641945833056440e-01,2.073178515830490800e-04
7.166666666666666671e-03,7.916871691102004283e-01,-7.075121315902143104e-01,-1.000034444644543746e-01,-1.420237411672590957e-04,8.950018530755367019e-01,-4.460623680616693232e-01,1.631558398927794357e-04
9.555555555555554983e-03,7.902489226103434072e-01,-7.056047152819363566e-01,-1.000038394592663443e-01,-1.665259853684481818e-04,8.523520392735282059e-01,-5.229684090814833430e-01,1.285229023950760629e-04
1.194444444444444330e-02,7.891667367055501536e-01,-7.034750054943339492e-01,-1.000039467630349371e-01,-1.836769695868352122e-04,8.169441324044020014e-01,-5.767167764967026100e-01,1.024697140892382455e-04
1.433333333333333334e-02,7.883669474593378856e-01,-7.012239774461230812e-01,-1.000038406124793694e-01,-1.953373921398987220e-04,7.899240500536248710e-01,-6.132046558566527361e-01,8.382067576240936197e-05
1.672222222222222165e-02,7.877745983649576678e-01,-6.989096929760684196e-01,-1.000035846677329449e-01,-2.028011829647196945e-04,7.712514467238561489e-01,-6.365305646194919786e-01,7.143689430144047655e-05
1.911111111111110997e-02,7.873215272634371820e-01,-6.965641617834715804e-01,-1.000032311439810612e-01,-2.068973701537848422e-04,7.605228071607602613e-01,-6.493111833501862273e-01,6.448392255983664281e-05
2.149999999999999828e-02,7.869469734556835405e-01,-6.942048187811795668e-01,-1.000028236029649326e-01,-2.081792834557207961e-04,7.570888983257911820e-01,-6.533118342826720326e-01,6.228512237440675479e-05
