k,status,infeasible,solver_mode,rollout_steps,i_ref,i_ref_mpc,idx_ref_0,idx_ref_terminal,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_now_x,p_now_y,p_now_z,p_now_qw,p_now_qx,p_now_qy,p_now_qz,p_now_L,tip_x,tip_y,tip_z,tip_tx,tip_ty,tip_tz,pred1_err_xy_m,pred1_err_xy_mm,pred1_err_xyz_m,pred1_err_xyz_mm,sqp_iters_done,sqp_du_final,sqp_du_rel_final,frame_path,i_seg,u_seg,rho_m,rho_mm,clearance_m,clearance_mm,tip_vessel_angle_deg,trust_vx,trust_vy,trust_vz,trust_wx,trust_wy,trust_wz,trust_dL,sqp_status_0,sqp_du_0,sqp_du_rel_0,u_applied_0_vx,u_applied_0_vy,u_applied_0_vz,u_applied_0_wx,u_applied_0_wy,u_applied_0_wz,u_applied_0_dL,x_rollout_0_x,x_rollout_0_y,x_rollout_0_z,x_rollout_0_tx,x_rollout_0_ty,x_rollout_0_tz,x_pred_0_x,x_pred_0_y,x_pred_0_z,x_pred_0_tx,x_pred_0_ty,x_pred_0_tz,rollout_err_xy_0_m,rollout_err_xy_0_mm,rollout_err_xyz_0_m,rollout_err_xyz_0_mm,u_applied_1_vx,u_applied_1_vy,u_applied_1_vz,u_applied_1_wx,u_applied_1_wy,u_applied_1_wz,u_applied_1_dL,x_rollout_1_x,x_rollout_1_y,x_rollout_1_z,x_rollout_1_tx,x_rollout_1_ty,x_rollout_1_tz,x_pred_1_x,x_pred_1_y,x_pred_1_z,x_pred_1_tx,x_pred_1_ty,x_pred_1_tz,rollout_err_xy_1_m,rollout_err_xy_1_mm,rollout_err_xyz_1_m,rollout_err_xyz_1_mm,u_applied_2_vx,u_applied_2_vy,u_applied_2_vz,u_applied_2_wx,u_applied_2_wy,u_applied_2_wz,u_applied_2_dL,x_rollout_2_x,x_rollout_2_y,x_rollout_2_z,x_rollout_2_tx,x_rollout_2_ty,x_rollout_2_tz,x_pred_2_x,x_pred_2_y,x_pred_2_z,x_pred_2_tx,x_pred_2_ty,x_pred_2_tz,rollout_err_xy_2_m,rollout_err_xy_2_mm,rollout_err_xyz_2_m,rollout_err_xyz_2_mm,u_applied_3_vx,u_applied_3_vy,u_applied_3_vz,u_applied_3_wx,u_applied_3_wy,u_applied_3_wz,u_applied_3_dL,x_rollout_3_x,x_rollout_3_y,x_rollout_3_z,x_rollout_3_tx,x_rollout_3_ty,x_rollout_3_tz,x_pred_3_x,x_pred_3_y,x_pred_3_z,x_pred_3_tx,x_pred_3_ty,x_pred_3_tz,rollout_err_xy_3_m,rollout_err_xy_3_mm,rollout_err_xyz_3_m,rollout_err_xyz_3_mm,u_applied_4_vx,u_applied_4_vy,u_applied_4_vz,u_applied_4_wx,u_applied_4_wy,u_applied_4_wz,u_applied_4_dL,x_rollout_4_x,x_rollout_4_y,x_rollout_4_z,x_rollout_4_tx,x_rollout_4_ty,x_rollout_4_tz,x_pred_4_x,x_pred_4_y,x_pred_4_z,x_pred_4_tx,x_pred_4_ty,x_pred_4_tz,rollout_err_xy_4_m,rollout_err_xy_4_mm,rollout_err_xyz_4_m,rollout_err_xyz_4_mm,u_applied_5_vx,u_applied_5_vy,u_applied_5_vz,u_applied_5_wx,u_applied_5_wy,u_applied_5_wz,u_applied_5_dL,x_rollout_5_x,x_rollout_5_y,x_rollout_5_z,x_rollout_5_tx,x_rollout_5_ty,x_rollout_5_tz,x_pred_5_x,x_pred_5_y,x_pred_5_z,x_pred_5_tx,x_pred_5_ty,x_pred_5_tz,rollout_err_xy_5_m,rollout_err_xy_5_mm,rollout_err_xyz_5_m,rollout_err_xyz_5_mm,u_applied_6_vx,u_applied_6_vy,u_applied_6_vz,u_applied_6_wx,u_applied_6_wy,u_applied_6_wz,u_applied_6_dL,x_rollout_6_x,x_rollout_6_y,x_rollout_6_z,x_rollout_6_tx,x_rollout_6_ty,x_rollout_6_tz,x_pred_6_x,x_pred_6_y,x_pred_6_z,x_pred_6_tx,x_pred_6_ty,x_pred_6_tz,rollout_err_xy_6_m,rollout_err_xy_6_mm,rollout_err_xyz_6_m,rollout_err_xyz_6_mm,u_applied_7_vx,u_applied_7_vy,u_applied_7_vz,u_applied_7_wx,u_applied_7_wy,u_applied_7_wz,u_applied_7_dL,x_rollout_7_x,x_rollout_7_y,x_rollout_7_z,x_rollout_7_tx,x_rollout_7_ty,x_rollout_7_tz,x_pred_7_x,x_pred_7_y,x_pred_7_z,x_pred_7_tx,x_pred_7_ty,x_pred_7_tz,rollout_err_xy_7_m,rollout_err_xy_7_mm,rollout_err_xyz_7_m,rollout_err_xyz_7_mm,u_applied_8_vx,u_applied_8_vy,u_applied_8_vz,u_applied_8_wx,u_applied_8_wy,u_applied_8_wz,u_applied_8_dL,x_rollout_8_x,x_rollout_8_y,x_rollout_8_z,x_rollout_8_tx,x_rollout_8_ty,x_rollout_8_tz,x_pred_8_x,x_pred_8_y,x_pred_8_z,x_pred_8_tx,x_pred_8_ty,x_pred_8_tz,rollout_err_xy_8_m,rollout_err_xy_8_mm,rollout_err_xyz_8_m,rollout_err_xyz_8_mm,u_applied_9_vx,u_applied_9_vy,u_applied_9_vz,u_applied_9_wx,u_applied_9_wy,u_applied_9_wz,u_applied_9_dL,x_rollout_9_x,x_rollout_9_y,x_rollout_9_z,x_rollout_9_tx,x_rollout_9_ty,x_rollout_9_tz,x_pred_9_x,x_pred_9_y,x_pred_9_z,x_pred_9_tx,x_pred_9_ty,x_pred_9_tz,rollout_err_xy_9_m,rollout_err_xy_9_mm,rollout_err_xyz_9_m,rollout_err_xyz_9_mm,u_plan_0_vx,u_plan_0_vy,u_plan_0_vz,u_plan_0_wx,u_plan_0_wy,u_plan_0_wz,u_plan_0_dL,u_plan_1_vx,u_plan_1_vy,u_plan_1_vz,u_plan_1_wx,u_plan_1_wy,u_plan_1_wz,u_plan_1_dL,u_plan_2_vx,u_plan_2_vy,u_plan_2_vz,u_plan_2_wx,u_plan_2_wy,u_plan_2_wz,u_plan_2_dL,u_plan_3_vx,u_plan_3_vy,u_plan_3_vz,u_plan_3_wx,u_plan_3_wy,u_plan_3_wz,u_plan_3_dL,u_plan_4_vx,u_plan_4_vy,u_plan_4_vz,u_plan_4_wx,u_plan_4_wy,u_plan_4_wz,u_plan_4_dL,u_plan_5_vx,u_plan_5_vy,u_plan_5_vz,u_plan_5_wx,u_plan_5_wy,u_plan_5_wz,u_plan_5_dL,u_plan_6_vx,u_plan_6_vy,u_plan_6_vz,u_plan_6_wx,u_plan_6_wy,u_plan_6_wz,u_plan_6_dL,u_plan_7_vx,u_plan_7_vy,u_plan_7_vz,u_plan_7_wx,u_plan_7_wy,u_plan_7_wz,u_plan_7_dL,u_plan_8_vx,u_plan_8_vy,u_plan_8_vz,u_plan_8_wx,u_plan_8_wy,u_plan_8_wz,u_plan_8_dL,u_plan_9_vx,u_plan_9_vy,u_plan_9_vz,u_plan_9_wx,u_plan_9_wy,u_plan_9_wz,u_plan_9_dL,u_plan_10_vx,u_plan_10_vy,u_plan_10_vz,u_plan_10_wx,u_plan_10_wy,u_plan_10_wz,u_plan_10_dL,u_plan_11_vx,u_plan_11_vy,u_plan_11_vz,u_plan_11_wx,u_plan_11_wy,u_plan_11_wz,u_plan_11_dL
0,solved,0,ltv_oneshot,10,18,18,18,29,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.039999999999999994,0.6641328220229529,-0.7079273166922003,-0.1,0.0005162896479176669,0.9986459504084212,-0.052018069911262725,0.0003458042335589113,0.02123243473843557,0.7769021365049902,-0.7101738735466653,-0.10000247302172603,-0.9998494273382313,-0.01735220370409406,0.00015387664646020698,0.004439666689342749,4.439666689342749,0.00443966707878585,4.43966707878585,1,1.8156572542479321,26.206755112025245,,16,0.10553101258505071,0.0013388390563594517,1.3388390563594517,0.0026611609436405486,2.6611609436405486,4.506128464763167,0.01,0.01,0.0001,0.17453292519943295,0.17453292519943295,0.5235987755982988,0.02,solved,1.8156572542479321,26.206755112025245,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.039999999999999994,0.7813328360389296,-0.7099477343845028,-0.10000428891897925,-0.9999988141748191,-0.0015394263656677736,-4.2607751746446824e-05,0.7813328162755081,-0.709891531407439,-0.10000433259029914,-0.9999999959502028,-6.354895006563059e-05,-6.372695860341867e-05,5.6202980538609395e-05,0.05620298053860939,5.62029975055378e-05,0.0562029975055378,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.04000000000000002,0.7805328727950275,-0.7099666937746848,-0.10000405209500088,-0.9999951201511011,-0.003124042077869749,-5.922907604712663e-06,0.7805328089106762,-0.7098489517829546,-0.10000415538497527,-0.9999999977960569,-4.685484167321615e-05,-4.7037328147064816e-05,0.00011774200906136013,0.11774200906136013,0.00011774205436726599,0.117742054367266,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.04000000000000001,0.7797329424408014,-0.7099886745000977,-0.10000379033012827,-0.999988417334299,-0.004812936175309017,2.902785130471828e-05,0.7797328017741962,-0.7098040438362905,-0.10000396748720214,-0.9999999990574071,-3.060801902629976e-05,-3.079504666531519e-05,0.0001846307173928534,0.1846307173928534,0.00018463080238581136,0.18463080238581137,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.03999999999999999,0.7789330533115126,-0.710013619554151,-0.10000350701297636,-0.9999783195194644,-0.006584575250046006,6.212732474308908e-05,0.7789327949115826,-0.7097567824968766,-0.10000376961254384,-0.9999999997772819,-1.4827760212846995e-05,-1.5019107541453918e-05,0.0002568371872605407,0.2568371872605407,0.0002568373215061217,0.2568373215061217,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.04000000000000001,0.7781332133609359,-0.7100414367741821,-0.10000320528627615,-0.9999645634215868,-0.008418028064915999,9.329830478813101e-05,0.7781327883666472,-0.7097071438365509,-0.10000356213671822,-0.9999999999998476,4.757270133382071e-07,2.8012640818087335e-07,0.00033429320778359913,0.3342932077835991,0.0003342933982484347,0.33429339824843474,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.039999999999999994,0.7773334298436905,-0.7100720047370682,-0.10000288779348569,-0.9999470141207022,-0.010293393033750967,0.0001225191611205826,0.7773327821820253,-0.709655109426758,-0.100003346088929,-0.9999999997690411,1.5296800891180117e-05,1.5097207838496823e-05,0.00041689581339258617,0.4168958133925862,0.00041689606529563147,0.41689606529563145,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.020255770883192033,0.776928563689186,-0.7101004788831075,-0.10000268805900273,-0.999926616530519,-0.01211372199607714,0.00013890007310589348,0.776927660987785,-0.7096007615054732,-0.10000322325397534,-0.9999999991278261,2.963415342903093e-05,2.943067622054422e-05,0.0004997181929642278,0.4997181929642278,0.0004997184795593334,0.49971847955933346,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.0012558673221652178,0.776903709966612,-0.7101251215821937,-0.10000261110027502,-0.999903890752326,-0.013863203957360053,0.00014434125268844995,0.7769025383049096,-0.7095440908635781,-0.10000319730880165,-0.9999999981187769,4.347650729014049e-05,4.32693829724434e-05,0.000581031899955672,0.5810318999556721,0.0005810321956712337,0.5810321956712337,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,6.202825818652672e-05,0.7769027661608089,-0.7101494920218433,-0.10000254154935914,-0.9998781817484945,-0.01560767176160508,0.0001491492751714986,0.7769012928732241,-0.7094849946412193,-0.10000317792285647,-0.9999999967827545,5.68260078788549e-05,5.6615330943773856e-05,0.0006644990138687109,0.6644990138687109,0.0006644993185878503,0.6644993185878503,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,4.807045823496625e-05,0.7769021365049902,-0.7101738735466653,-0.10000247302172603,-0.9998494273382313,-0.01735220370409406,0.00015387664646020698,0.7769003271018123,-0.709423456499558,-0.10000315828650169,-0.99999999515912,6.9683525100172e-05,6.94691739570868e-05,0.0007504192285177211,0.7504192285177211,0.0007504195414013046,0.7504195414013046,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.039999999999999994,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.04000000000000002,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.04000000000000001,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.03999999999999999,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.04000000000000001,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.039999999999999994,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.020255770883192033,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.0012558673221652178,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,6.202825818652672e-05,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,4.807045823496625e-05,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,4.84486746138894e-05,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,4.864244738325789e-05
1,solved,0,ltv_oneshot,10,23,23,23,34,0.02,0.02,1.0985549028371238e-06,0.0,0.0,1.0471975511965976,-0.005000000000000001,0.6673824947545842,-0.7039273166922008,-0.1,0.00047731497408073497,0.98773789449206,-0.15612003602620592,0.0003978768452832133,0.020884107394117713,0.7772642395035442,-0.7106508093365066,-0.10000139221725934,-0.9986274647788922,-0.05237493879800388,0.00022885625998302238,0.0005894127627516666,0.5894127627516667,0.0005894136584222104,0.5894136584222104,1,1.8144003761982284,0.9999666733431398,,20,0.8726944928112673,0.0012767980536489293,1.2767980536489292,0.002723201946351071,2.723201946351071,50.278678959086875,0.01,0.01,0.0001,0.17453292519943295,0.17453292519943295,0.5235987755982988,0.02,solved,1.8144003761982284,0.9999666733431398,0.02,0.02,1.0985549028371238e-06,0.0,0.0,1.0471975511965976,-0.005000000000000001,0.7770028824357808,-0.7102205980309393,-0.10000237323101793,-0.99978353106218,-0.02080541543775171,0.00016032872935576806,0.7770014365468082,-0.7101232280528873,-0.10000241975806227,-0.9998176226071865,-0.019097025772015976,0.00015852689519648354,9.738071277601786e-05,0.09738071277601786,9.738072389097928e-05,0.09738072389097928,0.02,0.02,1.0985549028371236e-06,0.0,0.0,1.0471975511965976,0.004174206206624908,0.7769203252863316,-0.7102711063354371,-0.10000220949205149,-0.9997040502659938,-0.02432657621538113,0.00017196338105621007,0.7769172109850085,-0.7100756835516664,-0.10000230267609056,-0.9997827618756675,-0.02084232273054089,0.00016321598659387157,0.0001954475972976558,0.1954475972976558,0.00019544761951144804,0.19544761951144804,0.02,0.02,1.0985549028371236e-06,0.0,0.0,1.0471975511965976,-0.00017773085502880096,0.7769249283875582,-0.7103198953097122,-0.10000207737319135,-0.9996129458269933,-0.027819521085689213,0.0001810570168204822,0.7769199338507115,-0.7100263065025743,-0.10000221690276744,-0.999744838789859,-0.022588251972126536,0.00016788651629151978,0.0002936312876295414,0.29363128762954144,0.0002936313207808137,0.29363132078081366,0.02,0.02,1.0985549028371236e-06,0.0,0.0,1.0471975511965976,-0.0015920188584595714,0.776957945306746,-0.7103679072621979,-0.1000019569894415,-0.9995099359387865,-0.03130258991880699,0.00018927233753538805,0.7769508605355776,-0.7099761041860554,-0.10000214164555943,-0.9997038454564872,-0.024334987356384917,0.00017253949292487394,0.0003918671260226331,0.39186712602263307,0.00039186716952957425,0.39186716952957423,0.02,0.02,1.0985549028371236e-06,0.0,0.0,1.0471975511965976,-0.001826953988198775,0.7769957950688114,-0.7104156783608381,-0.10000183998100504,-0.99939475284598,-0.034786334496840605,0.00019727188429169234,0.7769864082585664,-0.7099255469501643,-0.10000206842102521,-0.9996597729165142,-0.026082695843187155,0.0001771723883985896,0.0004902212887417728,0.4902212887417728,0.0004902213419675722,0.4902213419675722,0.02,0.02,1.0985549028371236e-06,0.0,0.0,1.0471975511965976,-0.0020493309534256906,0.7770382254947431,-0.7104631920559777,-0.10000172631430286,-0.9992673449977837,-0.03827180645928167,0.00020506443718507457,0.7770263247309069,-0.7098746209890292,-0.1000019954694644,-0.999612610593925,-0.027831559320417348,0.00018178941655400016,0.0005886913699289527,0.5886913699289528,0.0005886914314590692,0.5886914314590692,0.02,0.02,1.0985549028369273e-06,0.0,0.0,1.0471975511965976,-0.002271185741986889,0.7770852249723429,-0.7105104256832985,-0.1000016160065721,-0.99912764825783,-0.041759995983308484,0.0002126552421294576,0.7770705982691071,-0.709823308563943,-0.10000192541633045,-0.999562346859514,-0.029581751141737368,0.00018638693366985237,0.0006872727814767962,0.6872727814767962,0.0006872728511248284,0.6872728511248284,0.015132174426945462,0.02,1.0985547065747707e-06,0.0,0.0,1.0471975511965976,-0.0027688179501372382,0.7771423076294501,-0.7105572443945207,-0.1000015220944635,-0.9989750849234292,-0.04526291687618264,0.00021922154797382855,0.7771247429923339,-0.709771516697635,-0.10000186865039597,-0.9995089681103837,-0.03133346751954972,0.00019099768881382023,0.0007859239976806219,0.7859239976806219,0.0007859240740881429,0.7859240740881429,0.0035238034623850034,0.02,9.022921475503523e-07,0.0,0.0,1.0471975511965976,-0.002822447797159273,0.7772006114052534,-0.7106042062071475,-0.10000145515480854,-0.9988078813741237,-0.04881358268086928,0.0002241668855188174,0.7771798855125527,-0.7097196122861515,-0.10000183620486473,-0.9994524607791587,-0.03308686145229059,0.00019555490604620618,0.0008848366898423719,0.8848366898423718,0.0008848367718909241,0.884836771890924,0.0038276586922529345,0.02,6.825482240964291e-07,0.0,0.0,1.0471975511965976,-0.0030820872781217013,0.7772642395035442,-0.7106508093365066,-0.10000139221725934,-0.9986274647788922,-0.05237493879800388,0.00022885625998302238,0.7772401373932374,-0.7096672650150335,-0.10000180515521703,-0.9993928090697023,-0.0348421174977524,0.0002000700938169037,0.0009838395926283759,0.9838395926283758,0.0009838396792877008,0.9838396792877008,0.02,0.02,1.0985549028371238e-06,0.0,0.0,1.0471975511965976,-0.005000000000000001,0.02,0.02,1.0985549028371236e-06,0.0,0.0,1.0471975511965976,0.004174206206624908,0.02,0.02,1.0985549028371236e-06,0.0,0.0,1.0471975511965976,-0.00017773085502880096,0.02,0.02,1.0985549028371236e-06,0.0,0.0,1.0471975511965976,-0.0015920188584595714,0.02,0.02,1.0985549028371236e-06,0.0,0.0,1.0471975511965976,-0.001826953988198775,0.02,0.02,1.0985549028371236e-06,0.0,0.0,1.0471975511965976,-0.0020493309534256906,0.02,0.02,1.0985549028369273e-06,0.0,0.0,1.0471975511965976,-0.002271185741986889,0.015132174426945462,0.02,1.0985547065747707e-06,0.0,0.0,1.0471975511965976,-0.0027688179501372382,0.0035238034623850034,0.02,9.022921475503523e-07,0.0,0.0,1.0471975511965976,-0.002822447797159273,0.0038276586922529345,0.02,6.825482240964291e-07,0.0,0.0,1.0471975511965976,-0.0030820872781217013,0.004160366906415254,0.02,4.502110965462007e-07,0.0,0.0,1.0471975511965976,-0.0033707403626103633,0.0045480286460270304,0.02,2.1792294041844553e-07,0.0,0.0,1.0471975511965976,-0.0037146047555553187
2,solved,0,ltv_oneshot,10,23,23,23,34,-0.005759399164922789,0.03,3.1215222115905813e-06,0.0,0.0,1.5707963267948966,0.011969670733086935,0.6684612681438615,-0.6979273166922003,-0.1,0.0004091967832472381,0.9511546476359768,-0.30871418844120596,0.00046764683370501675,0.0203708734674996,0.7778277844415366,-0.7113927141538575,-0.10000054821760994,-0.9939624861758413,-0.10972004799625408,0.00029519966183983126,0.0011022871451687162,1.1022871451687162,0.0011022873542335012,1.1022873542335012,1,1.814270703806278,0.5000309954245749,,20,0.2734106310924408,0.001313451772181689,1.313451772181689,0.002686548227818311,2.686548227818311,52.28666088074526,0.01,0.01,0.0001,0.17453292519943295,0.17453292519943295,0.5235987755982988,0.02,solved,1.814270703806278,0.5000309954245749,-0.005759399164922789,0.03,3.1215222115905813e-06,0.0,0.0,1.5707963267948966,0.011969670733086935,0.7770286795817567,-0.710739681628843,-0.10000118315608804,-0.9983093275719519,-0.05812423641982267,0.0002441791345530026,0.7770241867757632,-0.7106382158159085,-0.10000122711295807,-0.9984337456788122,-0.05594641253654646,0.00023326823068297396,0.0001015652327332991,0.1015652327332991,0.00010156524224544356,0.10156524224544355,-0.0004303700268799505,0.03,2.9510132358265937e-06,0.0,0.0,1.5707963267948966,0.0023686329360070356,0.7769852887995256,-0.7108200032235924,-0.10000104694053757,-0.9979649601195727,-0.06376420423908315,0.00025422685976207856,0.7769758238907238,-0.7106160582898404,-0.10000113389241497,-0.998226702932485,-0.059526407745351104,0.00023734673838103547,0.00020416444475403328,0.20416444475403328,0.00020416446327006001,0.20416446327006002,0.007035502937171198,0.03,2.7008976195615924e-06,0.0,0.0,1.5707963267948966,-0.005000000000000002,0.7770893393170347,-0.7108916120580281,-0.10000096463162145,-0.9975968207813639,-0.06928575091457755,0.00026055156559237624,0.7770745014601294,-0.7105855065767128,-0.1000010969852221,-0.9980056715322377,-0.06312385729820773,0.00024130744464662956,0.00030646488818263524,0.30646488818263523,0.0003064649167625403,0.3064649167625403,0.007172568658887783,0.03,2.4002385159784967e-06,0.0,0.0,1.5707963267948966,-0.005,0.7771937321802753,-0.710963114727287,-0.10000088797494791,-0.9971939061311728,-0.07486148893732344,0.000266550071985231,0.7771730988808782,-0.71055489370977,-0.10000105958067072,-0.9977703633262069,-0.06674010789036564,0.0002450850291690969,0.00040874213409758994,0.4087421340975899,0.00040874217012094107,0.40874217012094105,0.00730985053950193,0.03,2.0677551594483536e-06,0.0,0.0,1.5707963267948966,-0.004999999999999999,0.777298475263358,-0.7110345645287096,-0.10000081697419655,-0.9967548713379178,-0.08049628788441698,0.000272214915321263,0.7772716174400246,-0.710524246991245,-0.10000102338040807,-0.9975204743624227,-0.07037642628259314,0.0002486995337274592,0.000511023807388865,0.511023807388865,0.0005110238490733441,0.5110238490733441,0.007447068520525313,0.03,1.7204435506463716e-06,0.0,0.0,1.5707963267948966,-0.004999999999999999,0.77740357738949,-0.7111060123243131,-0.10000075166196097,-0.9962782525824322,-0.08619493259057784,0.00027753738698526876,0.7773700563063152,-0.7104935462541109,-0.10000099366480517,-0.997255678627158,-0.07403409936504593,0.00025214498426243825,0.0006133827110101967,0.6133827110101967,0.0006133827587498649,0.6133827587498649,0.007584503740512547,0.03,1.3747287395603166e-06,0.0,0.0,1.5707963267948966,-0.005000000000000001,0.7775090483049724,-0.7111775065427087,-0.10000069208125395,-0.9957624670587883,-0.09196210842503709,0.0002825084377873533,0.7774684167245385,-0.7104628130735237,-0.10000096363463404,-0.9969756359057608,-0.07771432409690585,0.00025542213109539403,0.0007158475258212065,0.7158475258212065,0.0007158475773274512,0.7158475773274512,0.00772196335775346,0.03,1.0456419792476277e-06,0.0,0.0,1.5707963267948966,-0.005,0.7776148986482713,-0.7112490931106643,-0.10000063829669888,-0.9952058110776212,-0.09780240877675785,0.0002871146084670746,0.7775666983576869,-0.7104320396502416,-0.10000092182195144,-0.9966799826856081,-0.08141833502990187,0.0002585242244813287,0.000818473961223659,0.818473961223659,0.0008184740103312485,0.8184740103312484,0.007859547222965788,0.03,7.461036929024949e-07,0.0,0.0,1.5707963267948966,-0.004999999999999999,0.7777211399204129,-0.7113208154246904,-0.10000059031210815,-0.994606465713956,-0.10372026549862179,0.00029135011415906833,0.7776649014463493,-0.7104012327085572,-0.10000090131478812,-0.9963683471620964,-0.08514721614837016,0.00026144914409742195,0.0009213007857241808,0.9213007857241808,0.0009213008382166272,0.9213008382166272,0.007997433678357067,0.03,4.849258935204492e-07,0.0,0.0,1.5707963267948966,-0.004999999999999999,0.7778277844415366,-0.7113927141538575,-0.10000054821760994,-0.9939624861758413,-0.10972004799625408,0.00029519966183983126,0.7777630280708571,-0.710370413719568,-0.10000087031854618,-0.9960403292714021,-0.08890215220804673,0.00026419253248697195,0.0010243493376246846,1.0243493376246846,0.0010243493882661047,1.0243493882661048,-0.005759399164922789,0.03,3.1215222115905813e-06,0.0,0.0,1.5707963267948966,0.011969670733086935,-0.0004303700268799505,0.03,2.9510132358265937e-06,0.0,0.0,1.5707963267948966,0.0023686329360070356,0.007035502937171198,0.03,2.7008976195615924e-06,0.0,0.0,1.5707963267948966,-0.005000000000000002,0.007172568658887783,0.03,2.4002385159784967e-06,0.0,0.0,1.5707963267948966,-0.005,0.00730985053950193,0.03,2.0677551594483536e-06,0.0,0.0,1.5707963267948966,-0.004999999999999999,0.007447068520525313,0.03,1.7204435506463716e-06,0.0,0.0,1.5707963267948966,-0.004999999999999999,0.007584503740512547,0.03,1.3747287395603166e-06,0.0,0.0,1.5707963267948966,-0.005000000000000001,0.00772196335775346,0.03,1.0456419792476277e-06,0.0,0.0,1.5707963267948966,-0.005,0.007859547222965788,0.03,7.461036929024949e-07,0.0,0.0,1.5707963267948966,-0.004999999999999999,0.007997433678357067,0.03,4.849258935204492e-07,0.0,0.0,1.5707963267948966,-0.004999999999999999,0.008135091059547487,0.03,2.716202000560612e-07,0.0,0.0,1.5707963267948966,-0.005000000000000002,0.008273200320790857,0.03,1.093506930247141e-07,0.0,0.0,1.5707963267948966,-0.005
