node_index,s_m,insertion_m,position_error_m,position_error_mm,tangent_error_rad,tangent_error_deg,feasible,solver_success,termination_reason,function_evaluations,objective_value,jacobian_condition,jacobian_effective_rank,minimum_joint_margin_rad,minimum_state_margin,minimum_clearance_m,contact_active,source_magnet_lumen_distance_m,source_magnet_lumen_exclusion_radius_m,source_magnet_lumen_margin_m,source_magnet_lumen_segment_index,source_magnet_lumen_constraint_satisfied,delta_q_norm_rad,delta_insertion_m,attempt_count,chain_rule_relative_error,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,magnet_pose_x,magnet_pose_y,magnet_pose_z,magnet_pose_rx,magnet_pose_ry,magnet_pose_rz,tip_x,tip_y,tip_z,tip_tangent_x,tip_tangent_y,tip_tangent_z,desired_x,desired_y,desired_z,desired_tangent_x,desired_tangent_y,desired_tangent_z
0,0.0,0.025,0.0,0.0,0.5866058696732553,33.61004056987874,1,1,fixed_initial_state_feasible_and_committed,1,3.890897655596555e-07,16455144.30411726,5,4.226776597179587,0.025,nan,0,0.24100707699785096,0.2109370956932547,0.03006998130459626,56,1,0.0,0.0,1,0.009606262749006628,-0.85634357,-1.94584002,-1.76176286,-1.0331945,1.56234264,-2.05640871,0.24557497783369636,-0.6700279629478505,-0.016566991220873295,-3.077932948039142,0.5753726959665791,0.045033578217205016,0.5005820546791916,-0.6695089513990475,-0.016558422038837062,-0.999433944674365,0.03363749698597587,0.0005559039099070523,0.5005820546791916,-0.6695089513990475,-0.016558422038837062,-0.8137334712067719,0.5812381937190447,0.0
1,0.00025,0.025176462825261828,3.13699105571088e-05,0.031369910557108804,0.5776727586269853,33.09821100900577,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,25,0.006617803655660524,15937007.283756804,5,4.227118542534521,0.024823537174738175,nan,0,0.24041404483910325,0.2109370956932547,0.029476949145848558,51,1,0.0033118774486562107,0.00017646282526182638,1,nan,-0.8545757600517343,-1.9448129204373514,-1.763215759330385,-1.0348196066297044,1.5637281478715883,-2.0560667646450645,0.24616800999281985,-0.6678637754072491,-0.01656699122116162,-3.0760339039433466,0.572766874610666,0.04619045638512382,0.5004099398357533,-0.6693654333206791,-0.016558531378111124,-0.999093590529355,0.04256408537282194,0.0005440583945740244,0.5003786213113899,-0.6693636418506178,-0.016558422038837062,-0.8137334712067613,0.5812381937190595,0.0
2,0.0005,0.025380407206749004,3.6256758260898616e-05,0.036256758260898615,0.5688495185613421,32.59267659161369,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,27,0.008799191323218892,15348971.801492535,5,4.2274533190811,0.024619592793251,nan,0,0.23979311841419962,0.2109370956932547,0.028856022720944924,47,1,0.0031799141316726886,0.00020394438148717622,1,nan,-0.8528281715069765,-1.943849364357556,-1.764577946073272,-1.036356902100681,1.5650692080568191,-2.055731988098487,0.24678893641811894,-0.6657922652402172,-0.01656699122107963,-3.074234680717291,0.5702076249751452,0.047256506550556604,0.5002113785754331,-0.6692205201916361,-0.01655848389365622,-0.9986791540342814,0.051377559486743926,0.0005419211733351889,0.5001751879435882,-0.669218332302188,-0.016558422038837062,-0.8137334712067509,0.5812381937190743,0.0
3,0.00075,0.02558933197866079,3.7142358954319554e-05,0.037142358954319554,0.5601947038772048,32.09679223774477,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,28,0.009222324939922063,14765084.504866434,5,4.227776273751459,0.02441066802133921,nan,0,0.23916093797366336,0.2109370956932547,0.028223842280408667,43,1,0.003045755020050006,0.00020892477191178718,1,nan,-0.8511086113428848,-1.942947719531978,-1.7658551738515587,-1.037817347108916,1.5663491545220765,-2.0554090334281274,0.24742111685905901,-0.6638142059917512,-0.016566991196189873,-3.0725375529983388,0.5676990440431414,0.04826587518822614,0.500008817594196,-0.6690754491101532,-0.016558405017866182,-0.9981970930150262,0.060018914571772705,0.0005416548508420068,0.4999717545757865,-0.6690730227537582,-0.016558422038837062,-0.8137334712067331,0.581238193719099,0.0
4,0.001,0.025799819483332955,3.741706157824901e-05,0.037417061578249006,0.5517069470846507,31.610479595997926,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,24,0.009352643117777514,14053038.107319923,5,4.228092735881973,0.024200180516667048,nan,0,0.23852570225527972,0.2109370956932547,0.027588606562025025,39,1,0.0029196977464663403,0.00021048750467216396,1,nan,-0.8494189063018895,-1.942102327528862,-1.7670568823807338,-1.0392087153018177,1.5675635214554466,-2.055092571297613,0.24805635257785183,-0.6619232722141529,-0.01656699120476829,-3.0709368518400635,0.5652504342212488,0.04923654270630828,0.4998056457048215,-0.668930342518369,-0.016558350303371102,-0.9976517181245812,0.06848910799379844,0.0005398233833176212,0.49976832120798487,-0.6689277132053284,-0.016558422038837062,-0.8137334712067098,0.5812381937191318,0.0
5,0.00125,0.02601132245802731,3.760297254169714e-05,0.037602972541697144,0.5433875576316745,31.133813692216734,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,21,0.009436654557631262,13659584.878934495,5,4.2284007649176765,0.023988677541972692,nan,0,0.23789302258225128,0.2109370956932547,0.02695592688899659,38,1,0.002799374281837141,0.0002115029746943553,1,nan,-0.8477611776029194,-1.9413085290814525,-1.7681886171058323,-1.0405318237790575,1.5687176421328188,-2.0547845422619098,0.24869311128822782,-0.6601158497416948,-0.016566990350545208,-3.0694274826549353,0.5628604693154242,0.050164819637319336,0.4996023797423894,-0.6687852892007563,-0.016558301832456483,-0.9970474134856335,0.07678649787352022,0.0005375927158621119,0.49956488784018316,-0.6687824036568987,-0.016558422038837062,-0.8137334712067126,0.5812381937191279,0.0
6,0.0015,0.02622374885894192,3.776532656658209e-05,0.03776532656658209,0.5352272940154279,30.666265027291644,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,25,0.009513048358610159,13000837.59169079,5,4.228703370076396,0.023776251141058084,nan,0,0.23727039268157799,0.2109370956932547,0.02633329698832329,38,1,0.0026879083929562363,0.00021242640091460874,1,nan,-0.8461343186192957,-1.940565441640635,-1.7692509751921623,-1.0417951026600691,1.5698176213665969,-2.054481937103191,0.2493322128175608,-0.658386179158899,-0.016566991220744454,-3.067999351797575,0.5605297519905442,0.051054276759042276,0.4993990922227903,-0.6686401913188657,-0.016558257957740477,-0.9963876270727048,0.08492002302138002,0.0005350761375404008,0.4993614544723815,-0.6686370941084689,-0.016558422038837062,-0.8137334712067158,0.5812381937191234,0.0
7,0.00175,0.02643705479197515,3.7924363951374726e-05,0.037924363951374725,0.5272270879131935,30.207886982398804,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,19,0.00958665446612397,12642808.344105305,5,4.228999256923292,0.023562945208024853,nan,0,0.23665792192017474,0.2109370956932547,0.02572082622692004,38,1,0.0025811640765913105,0.00021330593303323098,1,nan,-0.8445379529809073,-1.9398681181484896,-1.7702505986664543,-1.0429972297621686,1.5708644542090489,-2.054186050256294,0.24997236114873292,-0.6567314142123404,-0.0165669906380016,-3.066652049685566,0.5582549207580937,0.05190396136559328,0.49919579854375806,-0.6684951131245328,-0.01655821436442834,-0.9956763719027852,0.09288852905636923,0.0005325450690002157,0.4991580211045798,-0.6684917845600391,-0.016558422038837062,-0.813733471206726,0.5812381937191089,0.0
8,0.002,0.026651217413499986,3.8078587963148184e-05,0.03807858796314818,0.5193821774244886,29.7584067207381,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,24,0.009658965479263502,12035127.876116546,5,4.229287316566019,0.023348782586500017,nan,0,0.2360565393221811,0.2109370956932547,0.025119443628926402,38,1,0.002480841692899483,0.00021416262152483545,1,nan,-0.8429729853523233,-1.9392150004302666,-1.7711896240513911,-1.0441460950734376,1.571861575334136,-2.0538979906135673,0.25061125706042564,-0.6551471627755343,-0.016566991220195615,-3.0653777923441377,0.5560337391542107,0.05272040658928211,0.4989924996666328,-0.6683500256354529,-0.016558182234153784,-0.9949170406230197,0.10069658429681085,0.0005293287144206605,0.49895458773677814,-0.6683464750116094,-0.016558422038837062,-0.813733471206736,0.581238193719095,0.0
9,0.0022500000000000003,0.02686621297790483,3.8228670852206055e-05,0.038228670852206055,0.5116907574196086,29.317720815995987,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,17,0.00972984645538773,11697503.528407427,5,4.229568418636232,0.023133787022095172,nan,0,0.2354631800622138,0.2109370956932547,0.024526084368959117,38,1,0.0023855810881650815,0.00021499556440484485,1,nan,-0.8414375576257074,-1.9386037169438333,-1.7720706581691685,-1.0452418275437576,1.5728123235587907,-2.053616888543354,0.2512507126298581,-0.6536305923796468,-0.016566990868854214,-3.0641742208408536,0.5538637739967941,0.05350048644772472,0.4987891949806315,-0.6682049426683774,-0.0165581466102123,-0.994113121454022,0.1083458569729509,0.0005263361452837926,0.49875115436897643,-0.6682011654631795,-0.016558422038837062,-0.8137334712067438,0.5812381937190841,0.0
10,0.0025000000000000005,0.027082016980039047,3.8376250911364744e-05,0.03837625091136474,0.5041495142181135,28.88563940826859,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,25,0.009799326214113868,11137762.64766888,5,4.229842970060908,0.022917983019960956,nan,0,0.23487730630847448,0.2109370956932547,0.02394021061521978,37,1,0.0022956739082701178,0.0002158040021342164,1,nan,-0.8399314243171007,-1.9380304481502126,-1.7728994120320185,-1.0462873034913696,1.573716653494745,-2.0533423371186785,0.2518880097810555,-0.6521778877023758,-0.016566991229971517,-3.063038453209427,0.5517442582729878,0.054249712512029154,0.4985858870841951,-0.6680598555957233,-0.01655812321948717,-0.9932678009183445,0.11583955503256459,0.0005226362917436859,0.4985477210011747,-0.6680558559147498,-0.016558422038837062,-0.8137334712067485,0.5812381937190774,0.0
11,0.0027500000000000007,0.027298609689030827,3.851911222897334e-05,0.03851911222897334,0.49675673042191393,28.462064097893656,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,22,0.009867514650417715,10831998.876849754,5,4.230110998191826,0.022701390310969176,nan,0,0.23429802346609283,0.2109370956932547,0.02336092777283813,37,1,0.0022101522308279873,0.00021659270899178004,1,nan,-0.8384542181913043,-1.9374937914847183,-1.7736770130464576,-1.0472842120348005,1.574579384917691,-2.0530743089877603,0.25252451885236493,-0.6507864269665096,-0.016566991215999805,-3.0619661027214984,0.5496735672146631,0.054964814268939885,0.49838257250011236,-0.6679147751826034,-0.016558093255466914,-0.9923842909503738,0.12317933818478145,0.0005193450522455775,0.4983442876333731,-0.6679105463663201,-0.016558422038837062,-0.8137334712067389,0.5812381937190909,0.0
