k,status,infeasible,solver_mode,rollout_steps,i_ref,i_ref_mpc,idx_ref_0,idx_ref_terminal,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_now_x,p_now_y,p_now_z,p_now_qw,p_now_qx,p_now_qy,p_now_qz,p_now_L,tip_x,tip_y,tip_z,tip_tx,tip_ty,tip_tz,pred1_err_xy_m,pred1_err_xy_mm,pred1_err_xyz_m,pred1_err_xyz_mm,sqp_iters_done,sqp_du_final,sqp_du_rel_final,frame_path,i_seg,u_seg,rho_m,rho_mm,clearance_m,clearance_mm,tip_vessel_angle_deg,trust_vx,trust_vy,trust_vz,trust_wx,trust_wy,trust_wz,trust_dL,rollout_steps_used,rollout_steps_next,rollout_adaptation_reason,adapt_pred_err_xy_mm,adapt_pred_err_xyz_mm,adapt_clearance_mm,adapt_tip_vessel_angle_deg,cond_H_beam,lambda_min_H_beam,lambda_max_H_beam,num_negative_H_beam,num_near_zero_H_beam,stationarity_norm,cond_H_mpc,lambda_min_H_mpc,lambda_max_H_mpc,num_negative_H_mpc,num_near_zero_H_mpc,valid_H_mpc,norm_H_mpc,norm_H_track,norm_H_effort,norm_H_smooth,qp_reg,sqp_status_0,sqp_du_0,sqp_du_rel_0,sqp_status_1,sqp_du_1,sqp_du_rel_1,sqp_status_2,sqp_du_2,sqp_du_rel_2,sqp_status_3,sqp_du_3,sqp_du_rel_3,sqp_status_4,sqp_du_4,sqp_du_rel_4,u_applied_0_vx,u_applied_0_vy,u_applied_0_vz,u_applied_0_wx,u_applied_0_wy,u_applied_0_wz,u_applied_0_dL,x_rollout_0_x,x_rollout_0_y,x_rollout_0_z,x_rollout_0_tx,x_rollout_0_ty,x_rollout_0_tz,x_pred_0_x,x_pred_0_y,x_pred_0_z,x_pred_0_tx,x_pred_0_ty,x_pred_0_tz,rollout_err_xy_0_m,rollout_err_xy_0_mm,rollout_err_xyz_0_m,rollout_err_xyz_0_mm,u_applied_1_vx,u_applied_1_vy,u_applied_1_vz,u_applied_1_wx,u_applied_1_wy,u_applied_1_wz,u_applied_1_dL,x_rollout_1_x,x_rollout_1_y,x_rollout_1_z,x_rollout_1_tx,x_rollout_1_ty,x_rollout_1_tz,x_pred_1_x,x_pred_1_y,x_pred_1_z,x_pred_1_tx,x_pred_1_ty,x_pred_1_tz,rollout_err_xy_1_m,rollout_err_xy_1_mm,rollout_err_xyz_1_m,rollout_err_xyz_1_mm,u_applied_2_vx,u_applied_2_vy,u_applied_2_vz,u_applied_2_wx,u_applied_2_wy,u_applied_2_wz,u_applied_2_dL,x_rollout_2_x,x_rollout_2_y,x_rollout_2_z,x_rollout_2_tx,x_rollout_2_ty,x_rollout_2_tz,x_pred_2_x,x_pred_2_y,x_pred_2_z,x_pred_2_tx,x_pred_2_ty,x_pred_2_tz,rollout_err_xy_2_m,rollout_err_xy_2_mm,rollout_err_xyz_2_m,rollout_err_xyz_2_mm,u_applied_3_vx,u_applied_3_vy,u_applied_3_vz,u_applied_3_wx,u_applied_3_wy,u_applied_3_wz,u_applied_3_dL,x_rollout_3_x,x_rollout_3_y,x_rollout_3_z,x_rollout_3_tx,x_rollout_3_ty,x_rollout_3_tz,x_pred_3_x,x_pred_3_y,x_pred_3_z,x_pred_3_tx,x_pred_3_ty,x_pred_3_tz,rollout_err_xy_3_m,rollout_err_xy_3_mm,rollout_err_xyz_3_m,rollout_err_xyz_3_mm,u_applied_4_vx,u_applied_4_vy,u_applied_4_vz,u_applied_4_wx,u_applied_4_wy,u_applied_4_wz,u_applied_4_dL,x_rollout_4_x,x_rollout_4_y,x_rollout_4_z,x_rollout_4_tx,x_rollout_4_ty,x_rollout_4_tz,x_pred_4_x,x_pred_4_y,x_pred_4_z,x_pred_4_tx,x_pred_4_ty,x_pred_4_tz,rollout_err_xy_4_m,rollout_err_xy_4_mm,rollout_err_xyz_4_m,rollout_err_xyz_4_mm,u_plan_0_vx,u_plan_0_vy,u_plan_0_vz,u_plan_0_wx,u_plan_0_wy,u_plan_0_wz,u_plan_0_dL,u_plan_1_vx,u_plan_1_vy,u_plan_1_vz,u_plan_1_wx,u_plan_1_wy,u_plan_1_wz,u_plan_1_dL,u_plan_2_vx,u_plan_2_vy,u_plan_2_vz,u_plan_2_wx,u_plan_2_wy,u_plan_2_wz,u_plan_2_dL,u_plan_3_vx,u_plan_3_vy,u_plan_3_vz,u_plan_3_wx,u_plan_3_wy,u_plan_3_wz,u_plan_3_dL,u_plan_4_vx,u_plan_4_vy,u_plan_4_vz,u_plan_4_wx,u_plan_4_wy,u_plan_4_wz,u_plan_4_dL
0,solved,0,sqp_full,1,18,18,18,22,-0.16159050565186595,-0.24999948694633864,-5.5231255468089824e-09,0.0,0.0,-6.283185266911293,0.09857145394294675,0.6589010119099158,-0.7149273064311269,-0.1,0.0005526138285220272,0.9980064983680015,0.0631081855203585,0.0002841716471086472,0.017971429078858937,0.7801613969604746,-0.7099217053779728,-0.1000048065967189,-0.9999996310847397,0.000856673426566171,-6.277757971220803e-05,1.504061922853186e-05,0.01504061922853186,1.504061954032684e-05,0.01504061954032684,5,0.13465390981383188,0.010707343776828386,,18,0.4199721277940607,0.0009725575162655658,0.9725575162655657,0.0030274424837344344,3.0274424837344345,23.25505825143025,0.05,0.05,0.0001,0.5235987755982988,0.5235987755982988,2.0943951023931953,0.08,1,2,good:increase,0.01504061922853186,0.01504061954032684,3.0274424837344345,23.25505825143025,3.9274529556707924,2.3853017503991558e-09,9.660905705338967e-09,0,0,8.809616872550732e-15,4719028.234435957,2.0010000029825584e-06,9.442775511181127,0,0,True,9.57317029048933,9.572854374893298,0.07745966744054612,2.4819347291981716e-07,1e-09,solved,4.1917985716415735,93.73146553967491,solved,4.191616812445391,0.9997399005985899,solved,4.191472409380601,0.5000236214405837,solved,0.14060974461228637,0.011184121062009004,solved,0.13465390981383188,0.010707343776828386,-0.16159050565186595,-0.24999948694633864,-5.5231255468089824e-09,0.0,0.0,-6.283185266911293,0.09857145394294675,0.7801613969604746,-0.7099217053779728,-0.1000048065967189,nan,nan,nan,0.780161675950776,-0.7099066673464797,-0.10000480353417433,nan,nan,nan,1.504061922853186e-05,0.01504061922853186,1.504061954032684e-05,0.01504061954032684,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.16159050565186595,-0.24999948694633864,-5.5231255468089824e-09,0.0,0.0,-6.283185266911293,0.09857145394294675,0.09020795599935752,0.009821341790401995,-2.7305655353868973e-09,0.0,0.0,0.0007019914538654697,0.04538707651777521,-0.09399533656210834,0.25000005262805874,-1.550672429777054e-09,0.0,0.0,6.283185345007265,0.041102514285499804,0.04654256827356632,0.24999928383840525,-7.496317975613462e-10,0.0,0.0,6.283185337374939,0.032735289334572905,0.22817949013402022,0.2499995018040091,-2.6496190073780883e-10,0.0,0.0,6.283185321870526,0.022779017724729598
1,solved,0,sqp_full,2,20,20,20,24,-0.1597920440006425,0.259821341790402,0.0,0.0,0.0,6.283185307179586,0.08655479061284393,0.6488252642986607,-0.6997308785427577,-0.1,0.0005126401520069599,0.9980464719939203,-0.06247282293062103,0.00035119174683425437,0.020300033531439148,0.7778379576621809,-0.7095218456155743,-0.10000420369735823,-0.9995088980071645,0.031336271147349645,3.025034811194951e-05,1.1682654508851362e-05,0.011682654508851361,1.1682664746153208e-05,0.011682664746153208,5,0.15813583227695033,0.0112169861958175,,20,0.7561558003522286,0.00014240464641147792,0.14240464641147793,0.0038575953535885223,3.8575953535885223,47.48868560251137,0.05,0.05,0.0001,0.5235987755982988,0.5235987755982988,2.0943951023931953,0.08,2,1,bad:tip_angle,0.019113337468351962,0.019113372461807686,3.8575953535885223,47.48868560251137,4.213195944261835,2.465024643847236e-09,1.070695142638884e-08,0,0,1.459199444213313e-14,4717381.36005926,2.001000019905467e-06,9.43948019538026,0,0,True,9.570561179236568,9.570245173162807,0.07745966744054612,2.4819347291981716e-07,1e-09,solved,2.1003411222240564,0.1669395050636592,solved,2.1002108673209507,0.1645749930487702,solved,2.09965752523686,0.15816196967859905,solved,0.1581346675675811,0.011225925585781598,solved,0.15813583227695033,0.0112169861958175,-0.1597920440006425,0.259821341790402,0.0,0.0,0.0,6.283185307179586,0.08655479061284393,0.7784303075090403,-0.7099134112895171,-0.1000041919988346,nan,nan,nan,0.778430534149188,-0.7099250917454422,-0.10000417653281295,nan,nan,nan,1.1682654508851362e-05,0.011682654508851361,1.1682664746153208e-05,0.011682664746153208,-0.3439953365621083,0.5000000526280587,0.0,0.0,0.0,6.283185307179586,0.02987543201616655,0.7778379576621809,-0.7095218456155743,-0.10000420369735823,nan,nan,nan,0.7778343341246524,-0.7095030788991604,-0.1000041671229863,nan,nan,nan,1.9113337468351964e-05,0.019113337468351962,1.9113372461807685e-05,0.019113372461807686,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.1597920440006425,0.259821341790402,0.0,0.0,0.0,6.283185307179586,0.08655479061284393,-0.3439953365621083,0.5000000526280587,0.0,0.0,0.0,6.283185307179586,0.02987543201616655,0.22208673370167753,0.4999992838384052,0.0,0.0,0.0,6.283185307179586,0.02519253929761876,0.47817949013402017,0.49999950180400904,0.0,0.0,0.0,6.283185307179586,0.018554179908481298,0.47817949013402017,0.49999950180400904,0.0,0.0,0.0,6.283185307179586,0.014796638749187267
2,solved,0,sqp_full,1,23,23,23,27,0.3605306610117412,0.7499992838384054,4.925977991786417e-06,0.0,0.0,6.283185307179586,0.03041937854790822,0.6560358775188956,-0.6847308928659896,-0.1,0.0004895770615303481,0.9921543542551943,-0.12501740357602298,0.00038268769162010384,0.020908421102397313,0.7772917643610874,-0.7084332571400767,-0.10000303769859452,-0.9938937727535058,0.11034107969542624,0.00012088610490834122,3.133163381797031e-05,0.031331633817970314,3.1331634000159774e-05,0.03133163400015977,5,0.155104439095101,0.010940234494337054,,21,0.9507148399081548,6.229835179065863e-05,0.06229835179065864,0.003937701648209341,3.9377016482093414,55.96863016198453,0.05,0.05,0.0001,0.5235987755982988,0.5235987755982988,2.0943951023931953,0.08,1,1,bad:tip_angle,0.031331633817970314,0.03133163400015977,3.9377016482093414,55.96863016198453,320.2478322418082,2.419166063473547e-09,8.066574708845322e-07,0,0,3.3655116694605344e-14,4705222.175848491,2.0010001271821194e-06,9.415150172292957,0,0,True,9.548788883323834,9.548472161218262,0.07745966744054612,2.4819347291981716e-07,1e-09,solved,0.16127827886087243,0.011415298482642324,solved,0.15109561226577864,0.010692927793235146,solved,0.158534013754612,0.011208773368965539,solved,0.14682439922633816,0.010369369994581124,solved,0.155104439095101,0.010940234494337054,0.3605306610117412,0.7499992838384054,4.925977991786417e-06,0.0,0.0,6.283185307179586,0.03041937854790822,0.7772917643610874,-0.7084332571400767,-0.10000303769859452,nan,nan,nan,0.7772833467989975,-0.7084634368671491,-0.10000303431975048,nan,nan,nan,3.133163381797031e-05,0.031331633817970314,3.1331634000159774e-05,0.03133163400015977,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3605306610117412,0.7499992838384054,4.925977991786417e-06,0.0,0.0,6.283185307179586,0.03041937854790822,0.6281794901340203,0.7499995018040092,4.925977991786416e-06,0.0,0.0,6.283185307179586,0.029371260049486158,0.5710244107429058,0.7499995018040092,4.925977991781491e-06,0.0,0.0,6.283185307179586,-0.004999999999999999,0.4392155988630621,0.7499995018040092,4.925973065823449e-06,0.0,0.0,6.283185307179586,0.03414832585370146,0.5382936965241771,0.7499995018040092,4.92596789355716e-12,0.0,0.0,6.283185307179586,0.022322794589565452
3,solved,0,sqp_full,1,24,24,24,28,0.8781789343054878,0.9999995251269943,9.38373729973766e-06,0.0,0.0,6.28318478040969,0.01340928117917207,0.6735994562050054,-0.6647309023634498,-0.1,0.00046458183623219887,0.9823466575378527,-0.18706859246982271,0.0004126733404732275,0.021176606725980755,0.7771886793384527,-0.7072029481010135,-0.10000390238786559,-0.9747021754927223,0.22350762104594507,0.00011146361019008882,9.961548769891824e-05,0.09961548769891823,9.961553888119847e-05,0.09961553888119846,5,0.19522232326891675,0.013672434697700707,,23,0.18016954764316684,0.0001638849622457976,0.1638849622457976,0.0038361150377542023,3.8361150377542024,70.21350353694143,0.05,0.05,0.0001,0.5235987755982988,0.5235987755982988,2.0943951023931953,0.08,1,1,bad:tip_angle,0.09961548769891823,0.09961553888119846,3.8361150377542024,70.21350353694143,354.5712251442696,2.1694574728887746e-09,8.045843165749911e-07,0,0,8.659590477863088e-14,4695453.466333483,2.001000358777439e-06,9.395604070756068,0,0,True,9.533754936996305,9.533437708077454,0.07745966744054612,2.4819347291981716e-07,1e-09,solved,0.1697012257721673,0.0119489908800951,solved,0.16882695697399874,0.01187434737633238,solved,0.17576194322195568,0.012345305835814831,solved,0.1921876514967612,0.013481122694973844,solved,0.19522232326891675,0.013672434697700707,0.8781789343054878,0.9999995251269943,9.38373729973766e-06,0.0,0.0,6.28318478040969,0.01340928117917207,0.7771886793384527,-0.7072029481010135,-0.10000390238786559,nan,nan,nan,0.7771954691343581,-0.7071035642790853,-0.10000380140718312,nan,nan,nan,9.961548769891824e-05,0.09961548769891823,9.961553888119847e-05,0.09961553888119846,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8781789343054878,0.9999995251269943,9.38373729973766e-06,0.0,0.0,6.28318478040969,0.01340928117917207,0.6059385898354613,1.000004292458753,9.38377424254743e-06,0.0,0.0,6.283185263999688,0.03076773500874167,0.6891980331943278,1.0000106227694954,-8.364718020891064e-09,0.0,0.0,6.283185288408358,-0.004999650694951654,0.7882833153654529,0.9000180166884048,-5.850475603070599e-09,0.0,0.0,6.283185304235521,0.06980514243165231,0.7882894271012015,0.500008927960047,-2.685714664941591e-09,0.0,0.0,6.275652062739901,0.012818187631139158
4,solved,0,sqp_full,1,25,25,25,29,0.5548098624762148,0.9999999999999986,4.099454780290049e-05,0.0,0.0,6.283185307179586,-0.004999999999999943,0.6846956534545297,-0.6447309023634498,-0.1,0.0004377531166578093,0.9686620866961532,-0.24838151231902503,0.00044103035876296364,0.021076606725980756,0.7773679714766397,-0.7069253066681233,-0.10000585064213734,-0.9579332704018272,0.2869910257013389,2.4983057305636664e-05,3.829679961175589e-05,0.03829679961175589,3.829726298186081e-05,0.03829726298186081,5,0.32233613115046433,0.02452218004390192,,23,0.4345548476321396,0.0003748563570318404,0.3748563570318404,0.0036251436429681596,3.6251436429681596,66.45073888518618,0.05,0.05,0.0001,0.5235987755982988,0.5235987755982988,2.0943951023931953,0.08,1,1,bad:tip_angle,0.03829679961175589,0.03829726298186081,3.6251436429681596,66.45073888518618,305.8535681624033,1.902713568562258e-09,6.124370909520237e-07,0,0,4.931510372441326e-13,4606648.077861498,2.001000200196256e-06,9.217903726034557,0,0,True,9.420275238519826,9.419954105537315,0.07745966744054612,2.4819347291981716e-07,1e-09,solved,2.103028611878705,0.1475217697560065,solved,1.6804375441215058,0.12469476484187884,solved,1.3003128878058787,0.09956006663607916,solved,1.0389819632611264,0.07763953142089323,solved,0.32233613115046433,0.02452218004390192,0.5548098624762148,0.9999999999999986,4.099454780290049e-05,0.0,0.0,6.283185307179586,-0.004999999999999943,0.7773679714766397,-0.7069253066681233,-0.10000585064213734,nan,nan,nan,0.777378731905337,-0.7068885526474622,-0.1000060390337476,nan,nan,nan,3.829679961175589e-05,0.03829679961175589,3.829726298186081e-05,0.03829726298186081,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5548098624762148,0.9999999999999986,4.099454780290049e-05,0.0,0.0,6.283185307179586,-0.004999999999999943,0.9024966537814549,0.9999999999999988,4.099451604847746e-05,0.0,0.0,6.283185307179586,0.04719414974304889,0.9999999999999994,0.9500240613773283,9.240027943747434e-06,0.0,0.0,6.283185307179586,-0.0049999999999996965,0.9999999999999994,0.3375551246924517,9.239986949365659e-06,0.0,0.0,6.283185307179586,0.08832800300098942,0.9999999999999993,0.3086246984756076,9.239977247389941e-12,0.0,0.0,2.490408593735603,0.06548656002838135
5,solved,0,sqp_full,1,25,25,25,29,0.9549188551461534,0.999999999999992,4.072471643608235e-05,0.0,0.0,6.283185307179586,0.007579743641547997,0.7037940305574527,-0.62473090236345,-0.1,0.0004091967855223469,0.9511546491378763,-0.30871418381382326,0.00046764683171426745,0.021228201598811714,0.7773556006913784,-0.7065284958346763,-0.10000729738581354,-0.9290470432333575,0.36996160703473585,-2.7921884219124758e-05,1.810385513345276e-05,0.01810385513345276,1.8104693562696137e-05,0.018104693562696138,5,0.4713937860022015,0.03859502585038073,,23,0.8302881388228563,0.0004100150667718998,0.4100150667718998,0.0035899849332281003,3.5899849332281004,61.41538707527569,0.05,0.05,0.0001,0.5235987755982988,0.5235987755982988,2.0943951023931953,0.08,1,1,bad:tip_angle,0.01810385513345276,0.018104693562696138,3.5899849332281004,61.41538707527569,498.4339931560086,1.9286505540907507e-09,1.011048396393585e-06,0,0,2.1289426006611044e-13,4522385.098770202,2.001000085155009e-06,9.049292967742918,0,0,True,9.398352849845569,9.398030805686366,0.07745966744054612,2.4819347291981716e-07,1e-09,solved,2.0069863199951086,0.17092057267701286,solved,0.2397086437431532,0.02118497779397733,solved,2.0848834908873,0.18403655865481347,solved,1.5694984446101892,0.1343547453365654,solved,0.4713937860022015,0.03859502585038073,0.9549188551461534,0.999999999999992,4.072471643608235e-05,0.0,0.0,6.283185307179586,0.007579743641547997,0.7773556006913784,-0.7065284958346763,-0.10000729738581354,nan,nan,nan,0.7773604095055686,-0.7065110423285306,-0.10000747162216476,nan,nan,nan,1.810385513345276e-05,0.01810385513345276,1.8104693562696137e-05,0.018104693562696138,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9549188551461534,0.999999999999992,4.072471643608235e-05,0.0,0.0,6.283185307179586,0.007579743641547997,0.9999999999999953,0.9999999999999977,1.2002823848506127e-05,0.0,0.0,6.283185307179586,0.04734195862588461,0.9999999999999957,0.22961599086763862,1.200279164901535e-05,0.0,0.0,6.283185307179586,0.003949043165842347,0.9999999999999962,0.3104904233651145,8.525127451157872e-06,0.0,0.0,5.019432823585165,0.06983240786599247,0.9999999999999994,0.10566020690107412,2.1695938816254835e-06,0.0,0.0,-0.7150923930738057,0.07494143837345264
6,solved,0,sqp_full,1,26,26,26,30,0.9999999999999929,0.9999999999999977,2.4979335116319778e-05,0.0,0.0,6.283185307179586,0.012267965988343815,0.7237940305574526,-0.6047309023634501,-0.1,0.00037902554161865684,0.9298934387206773,-0.3678285014632032,0.0004924177162683102,0.02147356091857859,0.7772099844628204,-0.7062891315820495,-0.10000847241213719,-0.9094610191936,0.4157891832941369,-9.80965487638516e-05,4.878034140757139e-06,0.004878034140757139,4.879044830585155e-06,0.004879044830585155,5,0.8686689521134924,0.06673218706285698,,24,0.11303365383700542,0.0002846435898641141,0.2846435898641141,0.003715356410135886,3.715356410135886,64.00871057795413,0.05,0.05,0.0001,0.5235987755982988,0.5235987755982988,2.0943951023931953,0.08,1,1,bad:tip_angle,0.004878034140757139,0.004879044830585155,3.715356410135886,64.00871057795413,714.5099044572119,1.2397414572568809e-09,9.571585406219764e-07,0,0,3.777425695312588e-13,4308649.980868865,2.0010000337877567e-06,8.621608757298215,0,0,True,9.528536031276568,9.528218180742993,0.07745966744054612,2.4819347291981716e-07,1e-09,solved,2.522038689274267,0.2389896995588831,solved,2.1017763452608156,0.18149443653358038,solved,1.4643233232809256,0.11957860855859219,solved,1.613380280762985,0.12584598167987102,solved,0.8686689521134924,0.06673218706285698,0.9999999999999929,0.9999999999999977,2.4979335116319778e-05,0.0,0.0,6.283185307179586,0.012267965988343815,0.7772099844628204,-0.7062891315820495,-0.10000847241213719,nan,nan,nan,0.7772061394180755,-0.706292133389503,-0.10000857171662081,nan,nan,nan,4.878034140757139e-06,0.004878034140757139,4.879044830585155e-06,0.004879044830585155,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9999999999999929,0.9999999999999977,2.4979335116319778e-05,0.0,0.0,6.283185307179586,0.012267965988343815,0.9999999999999931,0.21568594870124586,2.4979335116309213e-05,0.0,0.0,6.283185307179586,0.05819447298095711,0.9999999999999933,0.2648442714838665,2.497932454602467e-05,0.0,0.0,6.283185307179586,0.012912795838430474,0.9999999999999941,0.13485282948788782,1.4409018331797547e-05,0.0,0.0,-1.4998258852892172,0.09999999999999705,0.9499999999999931,-0.14433979309893824,4.4543560493432315e-06,0.0,0.0,-6.283185307179586,0.05250032680520172
7,solved,0,sqp_full,1,26,26,26,30,1.0,0.2609431430218034,2.860623200836249e-05,0.0,0.0,6.283185307179586,0.005578852202563266,0.7437940305574526,-0.599512039503014,-0.1,0.00034735845706249655,0.9049623637287496,-0.42549116806216536,0.0005152452530604973,0.021585137962629855,0.7772257000824061,-0.7060226992169809,-0.1000089282138029,-0.8834795855030076,0.4684696480362545,-0.00010425076334560133,6.853855662143272e-05,0.06853855662143271,6.854167369161136e-05,0.06854167369161136,5,2.4744425819439013,0.20167041492565085,,24,0.37904138228298967,0.0003069550695015221,0.30695506950152207,0.003693044930498478,3.6930449304984783,60.642732163782185,0.05,0.05,0.0001,0.5235987755982988,0.5235987755982988,2.0943951023931953,0.08,1,1,bad:tip_angle,0.06853855662143271,0.06854167369161136,3.6930449304984783,60.642732163782185,807.2640626084676,9.978417997661692e-10,8.861482313806258e-07,0,0,4.632023851718008e-13,4239564.858885759,2.0010001181588803e-06,8.48336978357264,0,0,True,9.14530252428671,9.144971546424348,0.07745966744054612,2.4819347291981716e-07,1e-09,solved,0.5180833271264021,0.040312736029745444,solved,2.492449330615272,0.19292080797493927,solved,2.126871887502994,0.17889028992135314,solved,2.214073811058932,0.18919482403845495,solved,2.4744425819439013,0.20167041492565085,1.0,0.2609431430218034,2.860623200836249e-05,0.0,0.0,6.283185307179586,0.005578852202563266,0.7772257000824061,-0.7060226992169809,-0.1000089282138029,nan,nan,nan,0.7772511959104974,-0.7059590792791179,-0.10000827454056803,nan,nan,nan,6.853855662143272e-05,0.06853855662143271,6.854167369161136e-05,0.06854167369161136,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.2609431430218034,2.860623200836249e-05,0.0,0.0,6.283185307179586,0.005578852202563266,1.0,0.17920131814760942,2.860621754322414e-05,0.0,0.0,6.283185307179586,0.06886119527754911,1.0,0.08934062105202968,1.4141049544897713e-05,0.0,0.0,-3.7056003265155812,-0.0029055023005752348,1.0,0.005673120533467517,1.4141035079759368e-05,0.0,0.0,-6.283185307179586,0.09999999999999999,0.700000023341269,-0.29735191390652066,1.4141035079744904e-05,0.0,0.0,-6.283185307179586,0.020274514344622317
