step,mag_x,mag_y,mag_z,pred_x,pred_y,pred_z,meas_x,meas_y,meas_z,meas_ref_err_xy,meas_ref_idx,meas_ref_x,meas_ref_y,meas_ref_z,raw_model_err_xy,nom_corr_resid_xy,pred0_current_resid_xy,nom_ref_err_xy,pred_ref_err_xy,one_step_pred_err_xy,pred_meas_err_xy,pred_meas_err_x,pred_meas_err_y,pred_meas_err_z,model_bias_x,model_bias_y,model_bias_z,i_ref,N_nodes_active,using_upgraded_nodes,left_wall_tan_x,left_wall_tan_y,right_wall_tan_x,right_wall_tan_y,dist_left_center_mm,dist_right_center_mm,dist_left_edge_mm,dist_right_edge_mm,closest_distance_mm,beam_left_wall_angle_deg,beam_right_wall_angle_deg,err_to_center,jac_prev_step,jac_dx_pred_x,jac_dx_pred_y,jac_dx_pred_z,jac_dx_real_x,jac_dx_real_y,jac_dx_real_z,jac_dx_pred_x_mm,jac_dx_pred_y_mm,jac_dx_pred_z_mm,jac_dx_real_x_mm,jac_dx_real_y_mm,jac_dx_real_z_mm,jac_pred_xy_mm,jac_real_xy_mm,jac_gain_real_over_pred,jac_cos_xy,jac_err_x_mm,jac_err_y_mm,jac_err_z_mm,jac_err_xy_mm,jac_err_xyz_mm,jac_interpretation,case,run_id,run_name,meas_ref_err_xy_mm,raw_model_err_xy_mm,nom_corr_resid_xy_mm,pred0_current_resid_xy_mm,nom_ref_err_xy_mm,pred_ref_err_xy_mm,one_step_pred_err_xy_mm,pred_meas_err_xy_mm,err_to_center_mm,jac_gain_abs_err_from_1,jac_angle_xy_deg
0,0.6728748493429851,-0.6812714410713427,-0.0999797189949723,0.811467279710721,-0.6821314655047466,-0.1000096142180436,0.8126316956834889,-0.6816650568073164,-0.100009868526107,0.001280026131884,79,0.8114751957596867,-0.6822136685320831,-0.1000106050625085,0.0006594451128103,8.137232243909324e-12,0.0012543530725739,0.0012800261288449,8.25833005789788e-05,,0.0012543530725739,0.0011644159727679,0.0004664086974301,-2.543080634132e-07,-0.0006066469827512,0.0002585484386498,-6.215871930490002e-06,74,8,False,-0.4091433882713318,-10.0,-1.2183314561843872,-10.0,4.126001553387596,2.767771851530938,4.126001553387596,2.767771851530938,2.767771851530938,5.1871185302734375,9.790451049804688,0.0006690215470425,,,,,,,,,,,,,,,,,,,,,,,,CC,0,Proper-Research,1.2800261318839998,0.6594451128102999,8.137232243909324e-09,1.2543530725739,1.2800261288449002,0.0825833005789788,,1.2543530725739,0.6690215470424999,,
1,0.6724608517675039,-0.68829540992161,-0.0999779948040492,0.8110687364463296,-0.6822093841813892,-0.1000096245495714,0.8117545215876625,-0.6824428434590553,-0.100010427357581,,-1,,,,,,,,,,0.0007244339130668,0.0006857851413328,-0.000233459277666,-8.028080096672552e-07,,,,78,8,False,-0.8504629731178284,-10.0,-3.44271469116211,-10.0,3.299396722868096,3.623956508076162,3.299396722868096,3.623956508076162,3.299396722868096,8.201766967773438,22.337814331054688,0.0006690215470425,0.0,-0.0011644159727679,-0.0004664086974302,2.543080634170608e-07,-0.0008771740958264,-0.0007777866517388,-5.588314740540001e-07,-1.164415972767909,-0.4664086974302399,0.000254308063417,-0.8771740958264385,-0.7777866517388876,-0.000558831474054,1.2543530725739105,1.1723423007006613,0.93461906810689,0.9412660384205104,0.2872418769414707,-0.3113779543086477,-0.000813139537471,0.4236320647664637,0.4236328451550997,mixed_noise_backlash_delay_or_constraints,CC,0,Proper-Research,,,,,,,,0.7244339130668,0.6690215470424999,0.06538093189311,19.734730372373637
2,0.6712472423027592,-0.6803155387620191,-0.0999733324725856,0.8106551265584195,-0.682065857126537,-0.1000095880726878,0.810983883779382,-0.6818639875546754,-0.1000109176592127,,-1,,,,,,,,,,0.0003857883284633,0.0003287572209624,0.0002018695718616,-1.329586524920212e-06,,,,82,8,False,-1.408623218536377,-10.0,-6.723541259765625,-10.0,3.7531476996452966,3.201935003941003,3.7531476996452966,3.201935003941003,3.201935003941003,9.590774536132812,35.48780822753906,0.0006690215470425,,,,,,,,,,,,,,,,,,,,,,,,CC,0,Proper-Research,,,,,,,,0.38578832846329997,0.6690215470424999,,
3,0.6712697407748952,-0.6791103477410264,-0.0999721924381124,0.8102515260016813,-0.6819411013545332,-0.1000095609248225,0.8106538433211008,-0.6815111263792865,-0.1000111275856369,,-1,,,,,,,,,,0.000588844380837,0.0004023173194195,0.0004299749752467,-1.5666608144115912e-06,,,,84,8,False,-1.7042356729507446,-10.0,-8.220876693725586,-10.0,4.023170567111265,2.950573280336016,4.023170567111265,2.950573280336016,2.950573280336016,10.324615478515623,40.076171875,0.0006690215470425,,,,,,,,,,,,,,,,,,,,,,,,CC,0,Proper-Research,,,,,,,,0.588844380837,0.6690215470424999,,
4,0.6718821310455426,-0.6791440459787804,-0.099997895648054,0.8098557922531645,-0.6817797650024651,-0.1000100820230652,0.810069804267271,-0.6815559378704907,-0.1000114994197319,,-1,,,,,,,,,,0.0003096768108686,0.0002140120141065,0.0002238271319743,-1.4173966666197746e-06,,,,86,8,False,-2.2552666664123535,-10.0,-10.742300987243652,-10.0,3.806474501634853,3.190600988519577,3.806474501634853,3.190600988519577,3.190600988519577,13.789474487304688,48.129913330078125,0.0006690215470425,,,,,,,,,,,,,,,,,,,,,,,,CC,0,Proper-Research,,,,,,,,0.3096768108686,0.6690215470424999,,
5,0.6732846936228748,-0.6751278615009271,-0.0999766017045178,0.8087996080109172,-0.6811424124912592,-0.1000111956140599,0.8099048651185767,-0.6810533819820398,-0.1000116041614308,0.0011090046697291,93,0.8087998567154694,-0.6811474446555252,-0.1000123076805191,0.0009226155057499,2.629464917366832e-12,0.0011088370960622,0.0011090046695998,5.038306377632763e-06,0.0018982632693272,0.0011088370960622,0.0011052571076595,8.903050921937883e-05,-4.085473709614096e-07,-0.0006313236313107,0.0006727925713017,-9.156376618038586e-06,88,8,False,-2.412867784500122,-10.0,-11.386322975158691,-10.0,4.213478059524277,2.800033522946137,4.213478059524277,2.800033522946137,2.800033522946137,13.540084838867188,48.68354797363281,0.000709918097788,,,,,,,,,,,,,,,,,,,,,,,,CC,0,Proper-Research,1.1090046697290998,0.9226155057498999,2.629464917366832e-09,1.1088370960622,1.1090046695998,0.005038306377632763,1.8982632693272,1.1088370960622,0.709918097788,,
6,0.6731641607988229,-0.6756446737064868,-0.1000129221054392,0.8084965305248806,-0.6808662484967155,-0.1000112262838175,0.808926182621937,-0.6808286144844669,-0.1000122270928667,,-1,,,,,,,,,,0.000431297163662,0.0004296520970564,3.7634012248655146e-05,-1.0008090492036326e-06,,,,94,8,False,-3.5165483951568604,-10.0,-13.89678192138672,-10.0,3.7361731046071327,3.1245181456851014,3.7361731046071327,3.1245181456851014,3.1245181456851014,19.11187744140625,53.99895477294922,0.000709918097788,5.0,-0.0011052571076594,-8.903050921942645e-05,4.085473709553766e-07,-0.0009786824966396,0.0002247674975729,-6.229314359340599e-07,-1.10525710765949,-0.0890305092194264,0.0004085473709553,-0.9786824966396824,0.2247674975729419,-0.000622931435934,1.1088370960622178,1.0041612705109095,0.9055985529085931,0.9535070807166952,0.1265746110198078,0.3137980067923683,-0.0010314788068894,0.3383641843069075,0.3383657564976219,mixed_noise_backlash_delay_or_constraints,CC,0,Proper-Research,,,,,,,,0.431297163662,0.709918097788,0.09440144709140685,17.539943988154914
7,0.6740072496934785,-0.663720008766454,-0.0999849780639201,0.8082094710116206,-0.680554411328808,-0.1000110789534658,0.8083923162179181,-0.6796492893695785,-0.1000125663483492,,-1,,,,,,,,,,0.0009234057236911,0.0001828452062975,0.0009051219592295,-1.4873948833010742e-06,,,,100,8,False,-4.466058254241943,-10.0,-14.6741943359375,-10.0,4.108871299300517,2.6208328613302,4.108871299300517,2.6208328613302,2.6208328613302,18.4891357421875,50.15013122558594,0.000709918097788,,,,,,,,,,,,,,,,,,,,,,,,CC,0,Proper-Research,,,,,,,,0.9234057236911,0.709918097788,,
8,0.67545155612574,-0.6613478303832627,-0.0999715164397423,0.8079357632404323,-0.6802384538657535,-0.100011327008332,0.8079587436287731,-0.6795899229009764,-0.1000128423382611,,-1,,,,,,,,,,0.0006489379866543,2.2980388340809732e-05,0.0006485309647771,-1.515329929133169e-06,,,,101,8,False,-5.471071243286133,-10.0,-15.273014068603516,-10.0,3.8201065489341777,2.9034672637327503,3.8201065489341777,2.9034672637327503,2.9034672637327503,23.504119873046875,51.60597229003906,0.000709918097788,,,,,,,,,,,,,,,,,,,,,,,,CC,0,Proper-Research,,,,,,,,0.6489379866542999,0.709918097788,,
9,0.6779358227804972,-0.6578868850999794,-0.0999897043566705,0.8076714955992534,-0.6799190734265375,-0.1000131450553412,0.8076543871117392,-0.679477193290589,-0.1000130360388801,,-1,,,,,,,,,,0.000442211210725,-1.71084875142391e-05,0.0004418801359484,1.090164610251243e-07,,,,103,8,False,-6.301559925079346,-10.0,-15.43697452545166,-10.0,3.6635499146628945,3.0616367391152153,3.6635499146628945,3.0616367391152153,3.0616367391152153,26.317855834960938,51.165557861328125,0.000709918097788,,,,,,,,,,,,,,,,,,,,,,,,CC,0,Proper-Research,,,,,,,,0.44221121072499997,0.709918097788,,
