run,num_rows,infeasible_count,mean_sqp_iters,sqp_converged_count,mean_sqp_du_rel_final,mean_pred1_xy_mm,max_pred1_xy_mm,mean_rollout_xy_mm,max_rollout_xy_mm,mean_final_rollout_xy_mm,max_final_rollout_xy_mm,mean_dist_to_ref_mm,min_dist_to_ref_mm,max_dist_to_ref_mm,min_clearance_mm,mean_clearance_mm,mean_jac_angle_deg,max_jac_angle_deg,mean_jac_gain
LTI contact,22,0,1.0,0,293.05507504022165,0.03414392744501609,0.3061922925473522,0.5585876626567423,5.377966076151587,1.3179455010589995,5.377966076151587,1.865123410247356,0.2878261499467694,3.0356014767861716,0.9926219983130034,2.162607664195887,1.3915262178082253,5.682992464142688,0.9763861345751162
LTV full SQP,22,0,8.0,0,0.282413588473611,0.07631392613085897,0.2625105623739549,0.22268140088955277,1.4284411349251134,0.12943308637747883,0.2591930792522436,1.2726646940550541,0.4606157953636975,3.036074407440991,0.9745983165052228,2.7888097595741885,13.817760184499026,81.52073752784852,0.2658589032214293
LTV one-shot SQP,22,0,1.0,0,291.7829079939816,0.03460139409027098,0.3482346199850469,0.5813188509081046,5.756175443783178,1.3538213467657318,5.756175443783178,1.7309733083883065,0.1567347477350157,3.0248251518550267,0.9929592329548316,2.2928707277266733,1.5928006619114043,7.409866072911496,0.9785769823398893
LTI no contact,22,0,1.0,0,125.87223328391238,0.6434137358952632,1.413526403968275,0.5507040430410788,2.2914070464943506,0.7585105122973755,2.2914070464943506,1.3332323899976481,0.5002523704326605,3.025158952193636,0.9886833917153256,2.7309063415015817,26.367347954253397,71.8640326913007,0.3115041837070986
