i_idx,j_idx,L_m,act_x,act_y,act_z,act_rx,act_ry,act_rz,pred_base_x_mm,pred_base_y_mm,pred_base_z_mm,meas_base_x_mm,meas_base_y_mm,meas_base_z_mm,pred_tip_angle_deg,meas_tip_angle_deg,err_x_mm,err_y_mm,err_z_mm,err_xy_mm,err_xyz_mm
0,0,0.015,0.7751507753273436,-0.8377315202392569,0.1700399019756401,-2.655427441093944,-1.6778441696322295,-0.0006017511344303412,-13.993147715313768,-0.041785795110118276,-0.36176586545888967,-12.627429423796315,10.655600019198681,0.0,-0.17109392652865432,40.15918648630752,1.3657182915174526,10.697385814308799,0.36176586545888967,10.784212985283649,10.790279155488596
0,5,0.015,0.7751221414574458,-0.8377624222478038,0.1700343907197267,-2.726077351501144,-1.5603648861727402,-0.0005233485763888671,-13.99341931273153,-0.03469321282199158,-0.3551844872621361,-12.542865748056542,10.724008410482991,0.0,-0.14205038491989963,40.53005762724736,1.4505535646749876,10.758701623304983,0.3551844872621361,10.8560474512272,10.861856300066222
0,10,0.015,0.7751481031019698,-0.8377401885810025,0.17004395555129506,-2.7915302084197653,-1.4400266372372825,-0.0005320078634406044,-13.993782051316002,-0.027463970073701324,-0.34580567688796554,-12.367893114219779,10.820937551213708,0.0,-0.11244762479553755,41.1833720471923,1.6258889370962224,10.84840152128741,0.34580567688796554,10.969563820081584,10.97501307375125
0,15,0.015,0.7751391354944347,-0.83774590918001,0.1700468103654389,-2.8516856025015196,-1.3168213710926107,-0.00042878442858512315,-13.99422429550467,-0.019889367996910802,-0.33373465820790255,-12.30126402895097,10.888331195150547,0.0,-0.08143188590095386,41.51329052798195,1.6929602665537014,10.90822056314746,0.33373465820790255,11.038812903496583,11.043856624408512
0,20,0.015,0.7751600095865744,-0.8377238866466831,0.1700259602770304,-2.906345945570424,-1.191271870782041,-0.0003723046228070201,-13.994730088406108,-0.01219322243994211,-0.3191165709344986,-12.235378603023078,10.869961694882882,0.0,-0.04992022020302518,41.61801139702822,1.7593514853830299,10.882154917322824,0.3191165709344986,11.02345741107266,11.028075474876736
0,25,0.015,0.7751407439460816,-0.8377573595237485,0.17004429526054848,-2.955592936385563,-1.063306936703185,-0.0003691421020186477,-13.995292431073459,-0.004281881617103283,-0.30179770042280124,-12.153767345936823,11.027621938642408,0.0,-0.01752973284324007,42.2187627236155,1.8415250851366374,11.031903820259512,0.30179770042280124,11.184548115084663,11.188619145838524
0,30,0.015,0.7751678331191151,-0.8377288539591938,0.1700382870012177,-2.999140865264416,-0.9334080898724684,-0.0003393013878008733,-13.995885121372567,0.003579623874153286,-0.28216449035613944,-12.105629907395935,10.85790102235707,0.0,0.014654116833807296,41.88986762273368,1.890255213976632,10.854321398482917,0.28216449035613944,11.017683867107914,11.021296411727068
0,35,0.015,0.7751582796385182,-0.8377244554594934,0.1700394592499301,-3.03697758582307,-0.80168397491991,-0.0003102445575742358,-13.996492976922871,0.011507494091309111,-0.26025682072515804,-12.198228577750964,10.954397085232511,0.0,0.04710685003234483,41.92483681403085,1.798264399171908,10.942889591141203,0.26025682072515804,11.089661286677584,11.09271477438997
0,40,0.015,0.7751520180431531,-0.8377402592855504,0.17004825949603075,-3.0690658359648717,-0.6684271114610639,-0.00029357331338493236,-13.997097340412827,0.019385479142440258,-0.23620867839633858,-12.253307100041672,11.01417735555255,0.0,0.07935255442830935,41.95153338808745,1.7437902403711538,10.99479187641011,0.23620867839633858,11.132216886496034,11.134722598598369
0,45,0.015,0.7751340355002285,-0.8377640845364837,0.17006610775984193,-3.0953017615434817,-0.5338818542841756,-0.00028073495009697704,-13.997677682820948,0.027143025525251236,-0.21024493992039356,-12.427192710181817,10.826416379744353,0.0,0.11110263372408961,41.06196586270833,1.5704849726391295,10.799273354219103,0.21024493992039356,10.912869834669157,10.914894913062342
0,50,0.015,0.7751388600826797,-0.8377446612034212,0.1700205750057162,-3.115618097943358,-0.3983810505639234,-0.0001649925403655815,-13.998212010095257,0.03473011375242821,-0.18273854464062284,-12.466287891824397,10.835188773318917,0.0,0.14215278748785107,40.995826748580114,1.5319241182708605,10.80045865956649,0.18273854464062284,10.908560801551447,10.910091298281701
0,55,0.015,0.7751351194580093,-0.8377523624335271,0.17003216728173134,-3.1300214796578465,-0.2621083323974787,-0.00010101713189952274,-13.998689292617506,0.04203197802561043,-0.15361225463876785,-12.647056587433232,10.694576107260032,0.0,0.1720337995956241,40.21844441812972,1.351632705184274,10.652544129234421,0.15361225463876785,10.737951731825325,10.739050429148087
0,60,0.015,0.7751380142192756,-0.837749304715736,0.17003454654520173,-3.1384812183549315,-0.12532547526529614,-8.178970868224486e-05,-13.999090951001676,0.04900905110830819,-0.12324305982515214,-12.90477361411591,10.4767336754504,0.0,0.20058447541954627,39.07139009868003,1.0943173368857666,10.427724624342092,0.12324305982515214,10.48498790056141,10.485712189771101
0,65,0.015,0.7751496488043613,-0.8377391776728252,0.17003666280379004,-3.140927581199863,0.011685521482814631,-8.550114622976427e-05,-13.999404149857638,0.055602739908509426,-0.09186366518172691,-13.095886679985819,10.215314017462957,0.0,0.22756579780223105,37.95564142917079,0.9035174698718198,10.159711277554447,0.09186366518172691,10.199807697286777,10.200221369882675
