i_idx,j_idx,L_m,cmd_x,cmd_y,cmd_z,cmd_rx,cmd_ry,cmd_rz,act_x,act_y,act_z,act_rx,act_ry,act_rz,pred_base_x_mm,pred_base_y_mm,pred_base_z_mm,meas_base_x_mm,meas_base_y_mm,meas_base_z_mm,pred_tip_angle_deg,meas_tip_angle_deg,err_x_mm,err_y_mm,err_z_mm,err_xy_mm,err_xyz_mm
0,0,0.015,0.6731328220229531,-0.6812731669220016,-0.1,-3.1426596953947454,-0.0010003396494852076,-0.0010003396494852076,0.673140880812439,-0.6812583550670883,-0.1,3.140550963763449,0.0010378962165038786,0.0009888948227380998,-13.999999986253835,-0.0004318884773801837,-0.00036324230694105976,-14.025834709956285,0.1398288092327888,0.0,-0.001767527642190196,0.5711772750943543,-0.025834723702451018,0.14026069771016897,0.00036324230694105976,0.14262011173367306,0.1426205743078429
0,5,0.015,0.6737226438187325,-0.6947823070478887,-0.1,-3.1385304580424087,-0.1380321427487494,-0.0009990173478947222,0.6737413565940615,-0.6947841367116568,-0.1,3.1385545076687658,0.1380458878498213,0.001080989632260381,-13.99994732929435,0.034905690538128295,-0.00037264377892220205,-13.94541891128774,1.0080806861235105,0.0,0.1428537234913637,4.134574280283101,0.054528418006610097,0.9731749955853823,0.00037264377892220205,0.974701451934341,0.9747015231681432
0,10,0.015,0.6754876203060609,-0.7081886344603758,-0.1,-3.1294948445408703,-0.2747991233531087,-0.0009961333129397782,0.6754911966340266,-0.7081945021954504,-0.1,-3.129514230520665,-0.27479533874233475,-0.0010350754421490046,-13.99979077904127,0.06956862395079019,-0.00036701112943617905,-13.785325698434525,2.1099480257604912,0.0,0.2847153784575401,8.702008954502872,0.214465080606744,2.0403794018097012,0.00036701112943617905,2.0516196952966137,2.0516197281236455
0,15,0.015,0.6784143189481475,-0.7213901189128924,-0.1,-3.1145023165678065,-0.41104061078344717,-0.000991353162397732,0.6784208865100235,-0.7213748201386211,-0.1,-3.1144992507713893,-0.4110410679414609,-0.0009925045304665237,-13.999541174091881,0.10302252100922993,-0.0003633717223868327,-13.49873681526856,2.584570534492671,0.0,0.4216316109617431,10.839092838753016,0.5008043588233205,2.4815480134834407,0.0003633717223868327,2.531577679835254,2.5315777059136573
0,20,0.015,0.6824804658011374,-0.7342862891374803,-0.1,-3.093581664092766,-0.5464973050791495,-0.0009846860780043957,0.6824696759123069,-0.7342895066755482,-0.1,-3.093570930379514,-0.5465015201381469,-0.0009733310363893724,-13.999214226915146,0.13481817925134912,-0.00035642791055417447,-13.34091510331419,3.5989790412817015,0.0,0.5517648175115553,15.097283595837343,0.6582991236009552,3.4641608620303526,0.00035642791055417447,3.526154876654833,3.5261548946689105
0,25,0.015,0.6876551150322724,-0.74677899749181,-0.1,-3.0667727902129003,-0.680911393511382,-0.0009761447740476102,0.6876783234264503,-0.746768199112832,-0.1,-3.0668132180678644,-0.6809789450197178,-0.001045475556280344,-13.998829184815737,0.16456149234644488,-0.0003356839686785914,-13.025435023146635,4.275352623242366,0.0,0.6735023751334471,18.171433330245343,0.9733941616691024,4.1107911308959215,0.0003356839686785914,4.224464453137707,4.22446446647475
0,30,0.015,0.6938988844363652,-0.7587731669220015,-0.1,-3.0341269126014554,-0.8140270776406208,-0.0009657455689535997,0.6939070809247576,-0.758767696278619,-0.1,-3.034135434039547,-0.8140329470117523,-0.0010151631759353088,-13.99841292818227,0.1915893048457548,-0.00032544089177370596,-12.89885956092363,4.670943827052339,0.0,0.7841298352607013,19.906358713503995,1.0995533672586415,4.4793545222065845,0.00032544089177370596,4.612335042368713,4.612335053850075
0,35,0.015,0.7011642551581595,-0.7701775145564137,-0.1,-2.995706328670801,-0.9455910422980549,-0.0009535083078439432,0.7011516810941038,-0.770187450311384,-0.1,-2.995717212530523,-0.9455672533102452,-0.0009908201646971703,-13.997989752165726,0.21561483535463033,-0.000309597147691363,-12.69515429494187,5.151191138587171,0.0,0.8824726548866448,22.085356199013564,1.3028354572238565,4.935576303232541,0.000309597147691363,5.104634528899232,5.104634538287797
0,40,0.015,0.7093959333395116,-0.7809052464234152,-0.1,-2.951584268014994,-1.0753529212992117,-0.0009394563150736178,0.7093955030895922,-0.7809071337640551,-0.1,-2.951590900603725,-1.0753411868103282,-0.0009450859295656703,-13.99757793359593,0.23666330805116992,-0.00028466229006256764,-12.453766210221874,5.677963785289726,0.0,0.968633068225657,24.509342499356414,1.5438117233740543,5.441300477238555,0.00028466229006256764,5.656068026537844,5.656068033701179
0,45,0.015,0.7185312709390382,-0.7908747180059165,-0.1,-2.901844873754163,-1.2030658106714156,-0.0009236163866632072,0.718533400262067,-0.7908661507727933,-0.1,-2.9018227478693865,-1.203108105135484,-0.0009003850945031167,-13.997202133953769,0.2543507369335187,-0.0002653447010737883,-12.243939614419261,6.124264270895676,0.0,1.0410380496456098,26.573628668515884,1.7532625195345077,5.869913533962157,0.0002653447010737883,6.1261582054821755,6.126158211228664
0,50,0.015,0.7285007425215397,-0.8000100556054432,-0.1,-2.8465829396779267,-1.32848670756722,-0.000906018712152587,0.7285134774168325,-0.8000007145044716,-0.1,-2.846576586133958,-1.3284914212602719,-0.0009243150765625598,-13.996877326373617,0.2686983022946534,-0.0002489186384906435,-12.035020882561417,6.591814940523637,0.0,1.09977301070303,28.71036586300463,1.9618564438122001,6.323116638228984,0.0002489186384906435,6.620474660232124,6.620474664911583
