s,px,py,pz,qw,qx,qy,qz
0.000000000000000000e+00,7.981328220229531034e-01,-7.112731669220015984e-01,-1.000000000000000056e-01,-1.591549349476097951e-07,9.999998986788191102e-01,3.183098539322571177e-04,3.183098539322571177e-04
2.222222222222222220e-03,7.959106007013634354e-01,-7.112745816320950043e-01,-1.000014147105437456e-01,8.537930495822099901e-06,9.993512788116803991e-01,3.601287600505331116e-02,3.069632020739780425e-04
4.444444444444444441e-03,7.936941430189836666e-01,-7.114345350379179811e-01,-1.000027767398464495e-01,1.482695738009969712e-05,9.977235139333388014e-01,6.743666050564592340e-02,2.938443776951435264e-04
6.666666666666666227e-03,7.914921331946488392e-01,-7.117335712434488260e-01,-1.000040752979112213e-01,2.179425577719183417e-05,9.954174005839364625e-01,9.562489572542495764e-02,2.783113923050062962e-04
8.888888888888888881e-03,7.893105518530476594e-01,-7.121566232043363698e-01,-1.000052973064856493e-01,3.061359389905160745e-05,9.924784493090132997e-01,1.224191931841295961e-01,2.604997714857314466e-04
1.111111111111111154e-02,7.871549364162475637e-01,-7.126966161776335795e-01,-1.000064297185646878e-01,3.988520301642280039e-05,9.887493251979484477e-01,1.495817950492941140e-01,2.385782954290256762e-04
1.333333333333333245e-02,7.850321576177131666e-01,-7.133539446595563716e-01,-1.000074516209129016e-01,5.045165634953954650e-05,9.838718172504431481e-01,1.788748160905266893e-01,2.117628891417996798e-04
1.555555555555555511e-02,7.829521409273795252e-01,-7.141361219975612684e-01,-1.000083375009476333e-01,6.327363397374348615e-05,9.772366281285970180e-01,2.121521550853582017e-01,1.781374069102119654e-04
1.777777777777777776e-02,7.809299567880030324e-01,-7.150575569662600550e-01,-1.000090515398856933e-01,7.399057062426397393e-05,9.712842522379045995e-01,2.379219909568270896e-01,1.486579621878602946e-04
2.000000000000000042e-02,7.789593207696920985e-01,-7.160846231621567082e-01,-1.000096150294580016e-01,7.736316457023666767e-05,9.692632952552150405e-01,2.460256878334581565e-01,1.393270120776852767e-04
