k,stage,controller,solver_mode,inverse_sequence_mode,rollout_steps_used,was_applied,ref_idx,ref_s_mm,ref_x_mm,ref_y_mm,ref_z_mm,pred_x_mm,pred_y_mm,pred_z_mm,nl_x_mm,nl_y_mm,nl_z_mm,actual_x_mm,actual_y_mm,actual_z_mm,linearisation_err_xy_mm,linearisation_err_xyz_mm,execution_err_xy_mm,execution_err_xyz_mm,plant_vs_nl_err_xy_mm,plant_vs_nl_err_xyz_mm,tracking_pred_xy_mm,tracking_nl_xy_mm,tracking_actual_xy_mm,pred_step_mm,actual_step_mm,local_gain,direction_error_deg,u_plan_vx,u_applied_vx,u_plan_vy,u_applied_vy,u_plan_vz,u_applied_vz,u_plan_wx,u_applied_wx,u_plan_wy,u_applied_wy,u_plan_wz,u_applied_wz,u_plan_dL,u_applied_dL
0,0,lti,lti,,10,1,33,13.333333333336268,784.7994940934122,-709.9358049527636,-100.00848826326231,784.832833753789,-709.9356095013302,-100.00000439205982,784.8328373997792,-709.9360612678468,-100.00000431982191,784.8328373997792,-709.9360612678742,-100.00000431984299,0.0004517812288068531,0.0004517812345821214,0.0004517812562284688,0.00045178126200036656,2.7422508708241367e-11,3.4588662132188654e-11,0.03334023328204993,0.03334429151908231,0.0333442915192931,0.3001027838163608,0.30011195823386044,1.000029438237628,0.08623521670606071,0.0010202786530073915,0.0010202786530073915,-0.01724884120358263,-0.01724884120358263,0.0,0.0,0.0,0.0,0.0,0.0,0.0008725887328333396,0.0008725887328333396,0.029998827140396388,0.029998827140396388
0,1,lti,lti,,10,1,34,13.737373737376704,784.3954538531232,-709.9360621727807,-100.00874548336117,784.5328229363687,-709.9359726991463,-100.00000465134265,784.5328272017347,-709.9368824918935,-100.00000464675455,784.5328272017347,-709.9368824918688,-100.00000464670664,0.000909802745705672,0.0009098027457172408,0.0009098027210589917,0.0009098027210708035,2.4646951146678475e-11,5.387456608483167e-11,0.1373691123843387,0.13737579784004986,0.13737579783990267,0.30001103726678685,0.30001132201921177,0.9999997837350989,0.08747336925557181,0.0005883979571449827,0.0005883979571449827,-0.0007551223654981173,-0.0007551223654981173,0.0,0.0,0.0,0.0,0.0,0.0,4.18372808927919e-05,4.18372808927919e-05,0.03000108175366436,0.03000108175366436
0,2,lti,lti,,10,1,35,14.14141414141725,783.991413612834,-709.9363193927978,-100.00900270346003,784.2328292318701,-709.9361639684191,-100.00000489132873,784.2328340037989,-709.937547352772,-100.0000049724461,784.232834003799,-709.9375473528189,-100.00000497244659,0.0013833925831125392,0.001383392585490761,0.001383392630075077,0.0013833926324533271,4.696256517349678e-11,4.696507696249543e-11,0.24141566906754797,0.24142351389068506,0.24142351389103492,0.2999937654732184,0.2999939346851702,0.9999993179480354,0.09045125881022432,0.0003226304204570415,0.0003226304204570415,-0.0003974477715550841,-0.0003974477715550841,0.0,0.0,0.0,0.0,0.0,0.0,2.2106974671312008e-05,2.2106974671312008e-05,0.029999370456930415,0.029999370456930415
0,3,lti,lti,,10,1,36,14.545454545457687,783.5873733725449,-709.9365766128149,-100.00925992355889,783.9328271525989,-709.936356816397,-100.00000513445424,783.9328324749858,-709.9382393274639,-100.0000053073241,783.9328324749858,-709.9382393274457,-100.00000530729017,0.0018825185907342143,0.0018825185986714502,0.0018825185725266295,0.0018825185804607497,1.8207657603852567e-11,3.85077204077141e-11,0.34545384997709555,0.3454631037886155,0.34546310378852785,0.30000214125484453,0.300002326856353,0.9999992346443223,0.09532552216931935,0.0001431128085121998,0.0001431128085121998,-0.00040078682426841045,-0.00040078682426841045,0.0,0.0,0.0,0.0,0.0,0.0,2.1073798111189306e-05,2.1073798111189306e-05,0.030000207934201835,0.030000207934201835
0,4,lti,lti,,10,1,36,14.545454545457687,783.5873733725449,-709.9365766128149,-100.00925992355889,783.6328269664309,-709.9365471011848,-100.00000538015183,783.6328328803676,-709.9389536344972,-100.00000565073826,783.6328328803675,-709.9389536344163,-100.00000565077984,0.0024065405789971614,0.0024065405942092495,0.0024065404980618743,0.002406540513278638,8.093533464212195e-11,9.099036318864849e-11,0.045453603466467964,0.04552161117046938,0.04552161116613227,0.30000024651516133,0.3000004450092373,0.9999991360957265,0.10008082053008517,-8.492414332187889e-06,-8.492414332187889e-06,-0.0003954979341711392,-0.0003954979341711392,0.0,0.0,0.0,0.0,0.0,0.0,1.9794265362398658e-05,1.9794265362398658e-05,0.030000018623859467,0.030000018623859467
0,5,lti,lti,,10,1,37,14.949494949498234,783.1833331322557,-709.9368338328319,-100.00951714365775,783.3328271014581,-709.9367316154495,-100.00000562806282,783.3328336447544,-709.9396858167515,-100.00000600249845,783.3328336447544,-709.9396858167557,-100.00000600256851,0.002954208548434453,0.002954208572163657,0.0029542085526532906,0.002954208576391376,4.218847493575595e-12,7.019584402367964e-11,0.1494940041481393,0.14952771331639064,0.14952771331647113,0.29999992171551204,0.30000012909919577,0.9999990249411229,0.1045969666468273,-0.00018206449026648272,-0.00018206449026648272,-0.00038354230468257193,-0.00038354230468257193,0.0,0.0,0.0,0.0,0.0,0.0,1.803317791291583e-05,1.803317791291583e-05,0.029999986504144073,0.029999986504144073
0,6,lti,lti,,10,1,38,15.353535041818123,782.7792931862787,-709.9366055905158,-100.0097743637566,783.0328264776758,-709.9367292743009,-100.00000585446247,783.0328334183545,-709.9401873957489,-100.0000063675333,783.0328334183545,-709.9401873956843,-100.00000636757653,0.00345812841327937,0.0034581284513406614,0.00345812834866452,0.0034581283867322265,6.461498003318411e-11,7.774232311393495e-11,0.25353332156607367,0.2535655311941645,0.25356553119325176,0.30000062379143544,0.30000064570184776,0.9999986622869734,0.09624148661829023,-0.00043527421956480463,-0.00043527421956480463,5.196476612903477e-06,5.196476612903477e-06,0.0,0.0,0.0,0.0,0.0,0.0,-3.17232297190037e-06,-3.17232297190037e-06,0.03000006238009243,0.03000006238009243
0,7,lti,lti,,10,1,39,15.75757186437977,782.375273126989,-709.9329341446092,-100.01003158385546,782.7328221312981,-709.9361106394149,-100.00000600346428,782.732828547661,-709.9398174523773,-100.0000067619681,782.732828547661,-709.939817452407,-100.00000676193292,0.00370681851560141,0.003706818593205429,0.003706818545466364,0.003706818623063187,2.986499936241671e-11,4.613662155723289e-11,0.3575631141515213,0.3576216698940435,0.3576216698946183,0.3000049842163241,0.3000050987866653,1.0000000383071082,0.04749592543241458,-0.0008353239468644763,-0.0008353239468644763,0.0012874820095696178,0.0012874820095696178,0.0,0.0,0.0,0.0,0.0,0.0,-7.02094552100097e-05,-7.02094552100097e-05,0.03000043462314572,0.03000043462314572
0,8,lti,lti,,10,1,39,15.75757186437977,782.375273126989,-709.9329341446092,-100.01003158385546,782.4327876273384,-709.9332846905321,-100.00000586797329,782.4327907501362,-709.9361256226837,-100.00000694665279,782.4327907501363,-709.9361256227231,-100.00000694663609,0.0028409338679515907,0.0028409340727345057,0.002840933907364606,0.0028409341121411794,3.9413073743322954e-11,4.280318559155713e-11,0.05751556861308272,0.0576060978092083,0.0576060978115027,0.3000478121124868,0.300060509814185,1.000038155814444,0.16532468730877448,-0.0014597544513048394,-0.0014597544513048394,0.005880363804935119,0.005880363804935119,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003049148822550848,-0.0003049148822550848,0.030003450322233637,0.030003450322233637
0,9,lti,lti,,10,1,40,16.16160234922933,781.9713907325436,-709.9219989727909,-100.01028880395432,782.1327951429136,-709.9261530496202,-100.00000517768123,782.1327952711353,-709.9255168544644,-100.0000058870933,782.1327952711353,-709.9255168544273,-100.00000588711775,0.0006361951688109383,0.0006361955643383918,0.0006361952058923866,0.0006361956014470998,3.708144902248023e-11,4.442572944295246e-11,0.16145785840636726,0.16144287091548137,0.16144287091467333,0.300077241746085,0.30018299983002344,1.0002853638625344,0.6634913618605411,-0.002312452230946886,-0.002312452230946886,0.014839568686864077,0.014839568686864077,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007603042759339706,-0.0007603042759339706,0.029999248253502715,0.029999248253502715
