node_index,s_m,insertion_m,position_error_m,position_error_mm,tangent_error_rad,tangent_error_deg,feasible,solver_success,termination_reason,function_evaluations,objective_value,jacobian_condition,jacobian_effective_rank,minimum_joint_margin_rad,minimum_state_margin,minimum_clearance_m,contact_active,source_magnet_lumen_distance_m,source_magnet_lumen_exclusion_radius_m,source_magnet_lumen_margin_m,source_magnet_lumen_segment_index,source_magnet_lumen_constraint_satisfied,delta_q_norm_rad,delta_insertion_m,attempt_count,chain_rule_relative_error,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,magnet_pose_x,magnet_pose_y,magnet_pose_z,magnet_pose_rx,magnet_pose_ry,magnet_pose_rz,tip_x,tip_y,tip_z,tip_tangent_x,tip_tangent_y,tip_tangent_z,desired_x,desired_y,desired_z,desired_tangent_x,desired_tangent_y,desired_tangent_z
0,0.0,0.037,0.000419645899192399,0.419645899192399,0.017408654253073447,0.997442415703579,1,1,fixed_initial_state_feasible_and_committed,1,0.044026031981036204,6306892.939459873,5,4.309003517179586,0.013000000000000005,nan,0,0.2577124707770632,0.2577124707770632,0.0,10,1,0.0,0.0,1,0.008522422306310232,-0.70356781,-1.97418179,-1.74700725,-1.00891139,1.56476402,-1.83646852,0.5242060394493895,-0.6742805561719054,0.28254602772557713,-3.063635234461207,0.681618523766045,0.029004415263236997,0.5253140219715052,-0.6703566096099932,0.02043002114584927,-0.01082900010508759,-0.013629504227662605,0.9998484732054314,0.525575,-0.670028,0.020433,0.0,0.0,1.0
1,0.00025,0.03714610345835436,0.00010394638991502642,0.10394638991502643,0.00013173937118181922,0.007548109964425625,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,29,0.0067885111729025565,4394082.907570968,5,4.310210877329688,0.012853896541645642,nan,0,0.2577124707786639,0.2577124707770632,1.6006640457533194e-12,10,1,0.00573200936467237,0.000146103458354363,1,nan,-0.6984773898323882,-1.972974429849899,-1.7484686287368083,-1.009733279963114,1.5663994719165966,-1.836469722683506,0.5270810906250479,-0.670828181797705,0.282587232262682,-3.0634972200603454,0.673426747944196,0.029304398893678505,0.525574483974802,-0.6700311714824438,0.020579103284972672,-2.496404876266821e-05,-0.0001293524572088973,0.999999991322369,0.525575,-0.670028,0.020683,0.0,0.0,1.0
2,0.0005,0.037352890117255406,0.00014710989045173245,0.14710989045173245,6.216499423781991e-06,0.00035617918032821626,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,22,0.013012631589902025,4341326.039601846,5,4.310238943534719,0.012647109882744596,nan,0,0.25771247078274534,0.2577124707770632,5.682121440031551e-12,10,1,6.151011980105678e-05,0.0002067866589010453,1,nan,-0.6984461473473274,-1.972946363644867,-1.7485030696476187,-1.009757039749139,1.5664158372062822,-1.8364686439692888,0.5270865095935807,-0.670795535355984,0.28258737663729144,-3.0634795615681605,0.6733745715570036,0.02933423445178622,0.525574969751847,-0.6700280355540673,0.02078589011695444,-4.224662640140683e-06,4.5603985479622e-06,0.9999999999806776,0.525575,-0.670028,0.020933,0.0,0.0,1.0
3,0.00075,0.03758497335696844,0.00016502665110045556,0.16502665110045556,3.4301489137330497e-06,0.00019653305585828765,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,21,0.01638438971278831,4190317.0282665514,5,4.310239840872284,0.012415026643031561,nan,0,0.2577124707806922,0.2577124707770632,3.628986000592249e-12,10,1,5.994908479382475e-06,0.00023208323971303513,1,nan,-0.6984460920759746,-1.9729454663073023,-1.7485034198941107,-1.009761595596158,1.5664160572045358,-1.8364724127680565,0.5270858543785463,-0.6707948828532357,0.2825873839549197,-3.063478762690209,0.6733682447012985,0.02933961138699649,0.5255750479238183,-0.6700279819753022,0.02101797335684245,-1.52025917560995e-06,3.0748804324791154e-06,0.999999999994117,0.525575,-0.670028,0.021183,0.0,0.0,1.0
4,0.001,0.037827512913029784,0.00017248709010977197,0.17248709010977198,4.182716398068801e-06,0.00023965199650950392,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,18,0.01789616630539214,4044889.7290443825,5,4.310241568605579,0.012172487086970218,nan,0,0.2577124707910753,0.2577124707770632,1.401206928264287e-11,10,1,3.3878383570841062e-06,0.00024253955606134275,1,nan,-0.6984468613430125,-1.9729437385740074,-1.7485060062473015,-1.0097606820822458,1.5664154433097541,-1.836472408606099,0.5270843348176497,-0.6707945631859529,0.2825873945726698,-3.0634790499178077,0.6733695406808374,0.029339983771128206,0.5255749914947265,-0.6700280311532479,0.02126051291291325,-4.105531959410614e-06,7.998430326848576e-07,0.9999999999912524,0.525575,-0.670028,0.021433,0.0,0.0,1.0
5,0.00125,0.038074420940382755,0.00017557905974055463,0.17557905974055463,4.260272996722101e-06,0.000244095662285728,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,13,0.018545332160362367,3908248.3007244533,5,4.310243400051748,0.011925579059617247,nan,0,0.2577124708458534,0.2577124707770632,6.879019576189194e-11,10,1,3.2476125217548135e-06,0.0002469080273529711,1,nan,-0.6984470285821983,-1.972941907127838,-1.7485082950482551,-1.0097620066904103,1.5664158345885406,-1.836472544721459,0.5270831559653241,-0.67079368084642,0.2825874062277858,-3.0634778713190345,0.6733693312404616,0.029342163343481158,0.5255750021396285,-0.6700280010426496,0.02150742094027558,-3.726916866606702e-06,2.0640074321875957e-06,0.999999999990925,0.525575,-0.670028,0.021683,0.0,0.0,1.0
6,0.0015,0.03832313594989827,0.00017686405023534604,0.17686405023534604,4.431736611629917e-06,0.00025391980376000226,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,13,0.01881776823171127,3774262.0658807033,5,4.310245052819727,0.01167686405010173,nan,0,0.2577124709776106,0.2577124707770632,2.005473564992144e-10,10,1,2.9611071341021515e-06,0.0002487150095155169,1,nan,-0.6984475370818563,-1.9729402543598584,-1.748510361225991,-1.0097631950437127,1.566416115446334,-1.8364726780873306,0.5270818460168911,-0.6707930816407528,0.28258741721158664,-3.063476752724957,0.6733696863471194,0.02934417316952172,0.5255750004131875,-0.6700280025630683,0.02175613594978371,-3.989169802330212e-06,1.930485032087876e-06,0.9999999999901799,0.525575,-0.670028,0.021933,0.0,0.0,1.0
7,0.00175,0.03857260194405131,0.0001773980560807103,0.1773980560807103,4.495831218112477e-06,0.00025759215420100484,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,13,0.018931574079820827,3645931.2469633627,5,4.310246709591525,0.011427398055948695,nan,0,0.257712470820224,0.2577124707770632,4.316080826072266e-11,10,1,2.967584411941103e-06,0.000249465994153035,1,nan,-0.6984480398320868,-1.9729385975880607,-1.7485124304963344,-1.0097643987521447,1.5664163597506175,-1.8364728138383195,0.5270805333247351,-0.6707924808556892,0.2825874279226121,-3.06347566168877,0.6733700338461772,0.02934622989275121,0.5255750020572065,-0.6700280005406929,0.022005601943932043,-3.9980250647888485e-06,2.0562725858048195e-06,0.9999999999898938,0.525575,-0.670028,0.022183,0.0,0.0,1.0
8,0.002,0.038822380428062464,0.00017761957379606392,0.1776195737960639,3.629587636387441e-06,0.00020796005293786444,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,15,0.018978969768639213,3522397.78532829,5,4.310248333441381,0.011177619571937539,nan,0,0.25771247086120375,0.2577124707770632,8.414052787841797e-11,10,1,4.617968813772302e-06,0.00024977848401115665,1,nan,-0.698447419928536,-1.9729369737382052,-1.7485144779622177,-1.009765511899497,1.5664127724416883,-1.8364727469931657,0.5270796332636577,-0.6707917357016822,0.28258743718256857,-3.063478231646357,0.6733696510336967,0.02935099913116383,0.5255750210323109,-0.6700280133093056,0.02225538042794782,-3.2786412479165363e-06,1.557094857038933e-06,0.999999999993413,0.525575,-0.670028,0.022433,0.0,0.0,1.0
9,0.0022500000000000003,0.039072287969148654,0.00017771203099459403,0.17771203099459404,4.702892403915739e-06,0.0002694558862485059,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,13,0.018998647461116333,3656965.1259693815,5,4.310250247307792,0.010927712030851348,nan,0,0.2577124707780828,0.2577124707770632,1.0195733146645125e-12,10,1,3.4267969956290835e-06,0.00024990754108619034,1,nan,-0.6984479797562734,-1.9729350598717945,-1.7485168672649807,-1.0097669071974482,1.5664130750532148,-1.836472886449661,0.5270781326690324,-0.6707910282191176,0.2825874496164455,-3.0634769535419006,0.6733700430981823,0.02935336532658714,0.5255750012683721,-0.6700280015809434,0.022505287969016966,-4.207446006468005e-06,2.1010967194431746e-06,0.9999999999889414,0.525575,-0.670028,0.022683000000000002,0.0,0.0,1.0
10,0.0025000000000000005,0.03932224951942602,0.00017775048072705957,0.17775048072705957,4.8974293394432936e-06,0.00028060203161364337,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,13,0.019006863855092673,3534455.9391963976,5,4.3102519092944585,0.010677750480573983,nan,0,0.25771247097615946,0.2577124707770632,1.990962394948781e-10,10,1,2.972735049934894e-06,0.0002499615502773653,1,nan,-0.6984484770712857,-1.9729333978851276,-1.7485189452005825,-1.009768100950583,1.5664133323336904,-1.8364730227420647,0.5270768225062777,-0.6707904211452611,0.28258746067790025,-3.0634758563946494,0.6733703798731342,0.029355403513432524,0.5255750016051363,-0.6700280009450034,0.022755249519282702,-4.368196541937548e-06,2.214460775044379e-06,0.9999999999880076,0.525575,-0.670028,0.022933000000000002,0.0,8.925733145653689e-14,1.0
11,0.0027500000000000007,0.0395722335567147,0.00017776644345014856,0.17776644345014855,0.008924923006289838,0.5113604207396184,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,13,0.019010281238359905,3416670.2925895993,5,4.310253574199963,0.010427766443285302,nan,0,0.25771247084505267,0.2577124707770632,6.798944740538104e-11,10,1,2.9851007809707746e-06,0.0002499840372886808,1,nan,-0.6984489869475552,-1.9729317329796239,-1.7485210253141388,-1.009769306852745,1.5664136133965978,-1.836473160123785,0.5270755037758867,-0.6707898160205036,0.28258747144160895,-3.0634747294599296,0.6733707288413697,0.029357439960516374,0.525575001029024,-0.6700280019434055,0.023005233556563455,-4.498795388468973e-06,2.2263272952256633e-06,0.9999999999874022,0.525575,-0.670028,0.023183000000000002,0.0,0.008927029626918836,0.9999601532771394
