N_sqp,Np,adaptive_rollout_enabled,controller_kind,error,final_i_ref,final_infeasible,final_status,final_tip,hierarchical_mpc_enabled,hierarchy_policy,inverse_kp,inverse_sequence_mode,jacobian_variant,log_csv_path,max_jac_cond,mean_jac_cond,mean_sqp_iters,n_steps,num_infeasible_steps,plant_contact,python_success,rollout_steps,run_name,solver_mode
50,15,False,mpc,,99,0,solved,"[0.7619663026911371, -0.7074949343837231, -0.09997747676623285]",False,,nan,,contact,experiment2_sim_v/bends_p30_m60_jac_contact_plant_contact_1_ctrl_mpc_sqp_full_rollout10_Np15_sqp50_bends_30_-60/log.csv,1500047347089579.5,115539761324440.62,0.6428571428571429,28,0,True,True,10,bends_p30_m60_jac_contact_plant_contact_1_ctrl_mpc_sqp_full_rollout10_Np15_sqp50_bends_30_-60,sqp_full
50,15,False,mpc,,72,1,primal infeasible,"[0.7638944185612228, -0.7120086426112437, -0.1003830870599016]",False,,nan,,no_contact,experiment2_sim_v/bends_p30_m60_jac_no_contact_plant_contact_1_ctrl_mpc_sqp_full_rollout10_Np15_sqp50_bends_30_-60/log.csv,408030188827908.56,45978064295602.91,0.0,17,1,True,True,10,bends_p30_m60_jac_no_contact_plant_contact_1_ctrl_mpc_sqp_full_rollout10_Np15_sqp50_bends_30_-60,sqp_full
