s,px,py,pz,qw,qx,qy,qz
0.000000000000000000e+00,7.981328220229531034e-01,-7.112731669220015984e-01,-1.000000000000000056e-01,-1.591549349476097951e-07,9.999998986788191102e-01,3.183098539322571177e-04,3.183098539322571177e-04
1.666666666666666557e-03,7.964661560317608524e-01,-7.112742279545716251e-01,-1.000010610329078037e-01,8.298088012682656398e-06,9.996182754190735542e-01,2.762640243946455285e-02,2.920061500752507656e-04
3.333333333333333114e-03,7.948020337096919352e-01,-7.113662808185238218e-01,-1.000020332510339061e-01,1.641226563992948477e-05,9.987146030786789863e-01,5.068598439074949863e-02,2.689133224606078763e-04
4.999999999999999237e-03,7.931439308474520500e-01,-7.115350169425103122e-01,-1.000029257036681163e-01,2.192404970865975054e-05,9.975834085934250917e-01,6.947862872229300379e-02,2.501386203550477771e-04
6.666666666666666227e-03,7.914933553221802365e-01,-7.117660527183410357e-01,-1.000037524066167971e-01,2.602408561295376196e-05,9.964088478701311757e-01,8.467202670847399915e-02,2.347380332809378349e-04
8.333333333333333218e-03,7.898505866795431096e-01,-7.120472792606352685e-01,-1.000045247117541947e-01,2.864777944372778049e-05,9.952998340188887738e-01,9.684105707228549131e-02,2.219152980647645125e-04
9.999999999999998473e-03,7.882151808114806757e-01,-7.123685655752607371e-01,-1.000052517050144807e-01,3.082221682537238512e-05,9.943175774209891404e-01,1.064542597566203591e-01,2.118049010232780493e-04
1.166666666666666546e-02,7.865862893257528077e-01,-7.127213967359128377e-01,-1.000059427722804622e-01,3.263585888952328658e-05,9.934937393555410834e-01,1.138865547272007867e-01,2.035893254121837496e-04
1.333333333333333245e-02,7.849628566217402570e-01,-7.130985486884546809e-01,-1.000066045987293567e-01,3.433081293905556160e-05,9.928382902273635846e-01,1.194658503649305425e-01,1.971709527894400214e-04
1.499999999999999944e-02,7.833437637160062250e-01,-7.134939162797410139e-01,-1.000072434571023239e-01,3.603367026180115157e-05,9.922468048468181534e-01,1.242829053621270496e-01,1.908077660225536345e-04
