case,n_steps,final_step,final_i_ref,final_meas_ref_idx,mean_meas_ref_err_xy_mm,median_meas_ref_err_xy_mm,p95_meas_ref_err_xy_mm,max_meas_ref_err_xy_mm,mean_one_step_pred_err_xy_mm,median_one_step_pred_err_xy_mm,p95_one_step_pred_err_xy_mm,max_one_step_pred_err_xy_mm,mean_pred_meas_err_xy_mm,median_pred_meas_err_xy_mm,max_pred_meas_err_xy_mm,mean_raw_model_err_xy_mm,median_raw_model_err_xy_mm,p95_raw_model_err_xy_mm,max_raw_model_err_xy_mm,mean_nom_corr_resid_xy_mm,mean_err_to_center_mm,median_err_to_center_mm,p95_err_to_center_mm,max_err_to_center_mm,min_closest_distance_mm,mean_closest_distance_mm,mean_jac_pred_xy_mm,mean_jac_real_xy_mm,mean_jac_gain_real_over_pred,median_jac_gain_real_over_pred,p05_jac_gain_real_over_pred,p95_jac_gain_real_over_pred,mean_jac_gain_abs_err_from_1,mean_jac_cos_xy,mean_jac_angle_xy_deg,median_jac_angle_xy_deg,p95_jac_angle_xy_deg,max_jac_angle_xy_deg,mean_jac_err_xy_mm,median_jac_err_xy_mm,max_jac_err_xy_mm,mean_jac_err_xyz_mm,median_jac_err_xyz_mm,max_jac_err_xyz_mm
CC,47.0,24.0,160.0,165.0,1.1490488171383468,1.1182877199681,1.3625192946755298,1.7838691925455,0.4621734199958163,0.38627310401770004,0.9180676289708499,1.7370139915665002,1.0944320966463956,1.1077947135369,1.5751211902015,1.0499288608153814,1.1085299750713,1.9398949161219696,2.323056326023,0.0002862052319034893,0.41313739356085644,0.323114838909,0.9575543666919597,1.5065090561085002,1.931831599889392,2.9623095981014993,1.095474427038886,1.0262521178067756,0.9222624424988833,0.871079035780429,0.4857184289056512,1.4795110570283667,0.24422510609350578,0.9141764075756094,20.0408669158481,17.852368934118914,42.00239010072548,60.42348112694265,0.4889190936736829,0.4091451272637298,1.737013991566597,0.5027375751025176,0.4091458979616527,1.7370143395294482
No CC,54.0,25.0,161.0,166.0,1.2513030682768962,1.23169439713435,1.5748168295922846,1.7688105679535,0.7221097988738723,0.73965261399775,1.1278261837349,1.6611598985454,1.2454314404674502,1.23169478931585,1.7189280707931,5.118076112184151,3.50088894023495,12.000306138983674,12.163547884480499,1.4254171086105803e-07,0.620710074261615,0.5899591326665,1.1976198172906543,1.3614791218112001,2.078439147847348,2.751822775196798,1.2445843522571463,0.9483814006254238,0.755415242117415,0.6747133332864359,0.29929978140490343,1.4378671709061337,0.3982192754917706,0.8620311388540236,27.490694794094978,26.420030109215546,51.35826482717446,61.63211675528216,0.7367036592633044,0.7450739600210043,1.6611598985455056,0.7367066820902723,0.7450742636792305,1.6611604815394632
BC_minus_NoBC,-7.0,-1.0,-1.0,-1.0,-0.10225425113854936,-0.11340667716624986,-0.21229753491675485,0.015058624591999914,-0.259936378878056,-0.3533795099800499,-0.20975855476405003,0.07585409302110024,-0.15099934382105462,-0.12390007577895013,-0.14380688059159996,-4.06814725136877,-2.39235896516365,-10.060411222861704,-9.840491558457499,0.0002860626901926282,-0.20757268070075852,-0.2668442937575,-0.24006545059869455,0.14502993429730004,-0.14660754795795605,0.21048682290470122,-0.14910992521826016,0.07787071718135186,0.16684720038146839,0.1963657024939931,0.18641864750074777,0.04164388612223302,-0.15399416939826482,0.05214526872158576,-7.449827878246879,-8.567661175096632,-9.355874726448981,-1.2086356283395148,-0.24778456558962147,-0.33592883275727453,0.07585409302109136,-0.23396910698775475,-0.3359283657175778,0.07585385798998501
