case,run_id,run_name,n_steps,final_step,final_i_ref,final_meas_ref_idx,mean_meas_ref_err_xy_mm,median_meas_ref_err_xy_mm,p95_meas_ref_err_xy_mm,max_meas_ref_err_xy_mm,mean_one_step_pred_err_xy_mm,median_one_step_pred_err_xy_mm,p95_one_step_pred_err_xy_mm,max_one_step_pred_err_xy_mm,mean_pred_meas_err_xy_mm,median_pred_meas_err_xy_mm,max_pred_meas_err_xy_mm,mean_raw_model_err_xy_mm,median_raw_model_err_xy_mm,p95_raw_model_err_xy_mm,max_raw_model_err_xy_mm,mean_nom_corr_resid_xy_mm,mean_err_to_center_mm,median_err_to_center_mm,p95_err_to_center_mm,max_err_to_center_mm,min_closest_distance_mm,mean_closest_distance_mm,mean_jac_pred_xy_mm,mean_jac_real_xy_mm,mean_jac_gain_real_over_pred,median_jac_gain_real_over_pred,p05_jac_gain_real_over_pred,p95_jac_gain_real_over_pred,mean_jac_gain_abs_err_from_1,mean_jac_cos_xy,mean_jac_angle_xy_deg,median_jac_angle_xy_deg,p95_jac_angle_xy_deg,max_jac_angle_xy_deg,mean_jac_err_xy_mm,median_jac_err_xy_mm,max_jac_err_xy_mm,mean_jac_err_xyz_mm,median_jac_err_xyz_mm,max_jac_err_xyz_mm
CC,0,Proper-Research,22,21.0,161.0,166.0,1.1353839162394908,1.1189429387851,1.2681808463122652,1.3073069404407,0.40459969175939003,0.35171144479474997,0.7550090499942551,0.8474890606951,1.0805024574034454,1.1065319218556,1.2689453475552,1.0504606802297316,0.85991205098125,2.00791423245473,2.323056326023,0.00030984674518778443,0.3547612941520958,0.3095216773918,0.7512082657073349,0.7607195189987,2.629573771567607,3.0160634748162454,1.0838836488734787,0.9539152960479411,0.8799328989744906,0.8322751807554286,0.538482600994131,1.183033356951767,0.20747876442423047,0.9179810330621129,19.291345851286348,15.449877593470964,40.30713557287625,60.42348112694265,0.4330745269415714,0.3844801615826619,1.002571230584076,0.434507846090503,0.3844812901962814,1.0026073795725494
CC,1,Proper-Research,25,24.0,160.0,165.0,1.16107392992934,1.1182877199681,1.5542765272129593,1.7838691925455,0.5122375315057522,0.4155939289578,0.93884466511105,1.7370139915665002,1.106690179180192,1.1156498740569,1.5751211902015,1.0494608597307529,1.1396747427938,1.7687922430095597,1.8754713456598,0.0002654007002133097,0.46450836104056586,0.3672577389273,1.1260917185254793,1.5065090561085002,1.931831599889392,2.9150061865925228,1.1056163579336176,1.0895468368457553,0.9593007930827269,0.9233825989874274,0.4837668351403406,1.5398745539113776,0.2763781550541219,0.9108473602749192,20.69669784733963,18.10615347752585,42.08765963441828,57.07351160669612,0.5377830895642806,0.45658281478467394,1.737013991566597,0.5624385879880306,0.46735273341073647,1.7370143395294482
No CC,0,Proper-Research,28,27.0,166.0,171.0,1.2359476795590396,1.23169439713435,1.50263388434252,1.6287518108646,0.7068114142612922,0.72912572840115,1.03701931732195,1.5029525568855,1.23014695907395,1.23169478931585,1.5283032474133,5.229721612397832,3.67835007959725,11.99234590788048,12.010691226658,1.3272038146605848e-07,0.6070448964617359,0.5944608988384501,1.112151534093295,1.2889001627816,2.148625861494793,2.7629252577571606,1.223022223041231,0.9323868790402765,0.7614517580054883,0.6759874770618397,0.33724195891381115,1.3827150303881781,0.39070843367629426,0.8557145956164933,28.19879780520766,26.50306606189301,51.45917679397274,53.2668994235917,0.7208493349010984,0.7346131997698147,1.5029525568856126,0.7208527468375384,0.7346165909860941,1.5029533038045635
No CC,1,Proper-Research,26,25.0,161.0,166.0,1.267839640742281,1.2159370126577,1.668910527711625,1.7688105679535,0.7386830488708331,0.74877238505485,1.1303165468729,1.6611598985454,1.2618916511989116,1.2159370669429999,1.7189280707931,4.997842496569415,3.2170952475804,12.055560382400024,12.163547884480499,1.53118527132596e-07,0.6354264195845616,0.5879465356453499,1.2391113249353,1.3614791218112001,2.078439147847348,2.739866255516408,1.267871451810335,0.9656554839373825,0.7488958049582952,0.5810207561852507,0.27767745995038495,1.4498601842076821,0.40633098465248507,0.8688530055505561,26.725943542093287,24.371061842148467,44.90459364562943,61.63211675528216,0.7538263295744868,0.7520888782934069,1.6611598985455056,0.7538289321632248,0.7520890127857474,1.6611604815394632
