k,status,infeasible,solver_mode,rollout_steps,solver_mode_used,N_sqp_used,rollout_steps_used,rollout_steps_next,rollout_adaptation_reason,hierarchy_enabled,hierarchy_solver_mode,hierarchy_rollout_steps,hierarchy_N_sqp,hierarchy_confidence,hierarchy_risk,hierarchy_level,hierarchy_reason,i_ref,i_ref_mpc,idx_ref_0,idx_ref_terminal,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_now_x,p_now_y,p_now_z,p_now_qw,p_now_qx,p_now_qy,p_now_qz,p_now_L,tip_x,tip_y,tip_z,tip_tx,tip_ty,tip_tz,pred1_err_xy_m,pred1_err_xy_mm,pred1_err_xyz_m,pred1_err_xyz_mm,sqp_iters_done,sqp_du_final,sqp_du_rel_final,frame_path,i_seg,u_seg,rho_m,rho_mm,clearance_m,clearance_mm,tip_vessel_angle_deg,trust_vx,trust_vy,trust_vz,trust_wx,trust_wy,trust_wz,trust_dL,adapt_pred_err_xy_mm,adapt_pred_err_xyz_mm,adapt_clearance_mm,adapt_tip_vessel_angle_deg,cond_H_beam,lambda_min_H_beam,lambda_max_H_beam,num_negative_H_beam,num_near_zero_H_beam,stationarity_norm,cond_H_mpc,lambda_min_H_mpc,lambda_max_H_mpc,num_negative_H_mpc,num_near_zero_H_mpc,valid_H_mpc,norm_H_mpc,norm_H_track,norm_H_effort,norm_H_smooth,qp_reg,path_idx_nearest,curvature_local_1pm,curvature_max_ahead_1pm,curvature_mean_ahead_1pm,curvature_lookahead_points,sqp_status_0,sqp_du_0,sqp_du_rel_0,sqp_status_1,sqp_du_1,sqp_du_rel_1,sqp_status_2,sqp_du_2,sqp_du_rel_2,sqp_status_3,sqp_du_3,sqp_du_rel_3,sqp_status_4,sqp_du_4,sqp_du_rel_4,u_applied_0_vx,u_applied_0_vy,u_applied_0_vz,u_applied_0_wx,u_applied_0_wy,u_applied_0_wz,u_applied_0_dL,x_rollout_0_x,x_rollout_0_y,x_rollout_0_z,x_rollout_0_tx,x_rollout_0_ty,x_rollout_0_tz,x_pred_0_x,x_pred_0_y,x_pred_0_z,x_pred_0_tx,x_pred_0_ty,x_pred_0_tz,rollout_err_xy_0_m,rollout_err_xy_0_mm,rollout_err_xyz_0_m,rollout_err_xyz_0_mm,u_applied_1_vx,u_applied_1_vy,u_applied_1_vz,u_applied_1_wx,u_applied_1_wy,u_applied_1_wz,u_applied_1_dL,x_rollout_1_x,x_rollout_1_y,x_rollout_1_z,x_rollout_1_tx,x_rollout_1_ty,x_rollout_1_tz,x_pred_1_x,x_pred_1_y,x_pred_1_z,x_pred_1_tx,x_pred_1_ty,x_pred_1_tz,rollout_err_xy_1_m,rollout_err_xy_1_mm,rollout_err_xyz_1_m,rollout_err_xyz_1_mm,u_applied_2_vx,u_applied_2_vy,u_applied_2_vz,u_applied_2_wx,u_applied_2_wy,u_applied_2_wz,u_applied_2_dL,x_rollout_2_x,x_rollout_2_y,x_rollout_2_z,x_rollout_2_tx,x_rollout_2_ty,x_rollout_2_tz,x_pred_2_x,x_pred_2_y,x_pred_2_z,x_pred_2_tx,x_pred_2_ty,x_pred_2_tz,rollout_err_xy_2_m,rollout_err_xy_2_mm,rollout_err_xyz_2_m,rollout_err_xyz_2_mm,u_applied_3_vx,u_applied_3_vy,u_applied_3_vz,u_applied_3_wx,u_applied_3_wy,u_applied_3_wz,u_applied_3_dL,x_rollout_3_x,x_rollout_3_y,x_rollout_3_z,x_rollout_3_tx,x_rollout_3_ty,x_rollout_3_tz,x_pred_3_x,x_pred_3_y,x_pred_3_z,x_pred_3_tx,x_pred_3_ty,x_pred_3_tz,rollout_err_xy_3_m,rollout_err_xy_3_mm,rollout_err_xyz_3_m,rollout_err_xyz_3_mm,u_applied_4_vx,u_applied_4_vy,u_applied_4_vz,u_applied_4_wx,u_applied_4_wy,u_applied_4_wz,u_applied_4_dL,x_rollout_4_x,x_rollout_4_y,x_rollout_4_z,x_rollout_4_tx,x_rollout_4_ty,x_rollout_4_tz,x_pred_4_x,x_pred_4_y,x_pred_4_z,x_pred_4_tx,x_pred_4_ty,x_pred_4_tz,rollout_err_xy_4_m,rollout_err_xy_4_mm,rollout_err_xyz_4_m,rollout_err_xyz_4_mm,u_plan_0_vx,u_plan_0_vy,u_plan_0_vz,u_plan_0_wx,u_plan_0_wy,u_plan_0_wz,u_plan_0_dL,u_plan_1_vx,u_plan_1_vy,u_plan_1_vz,u_plan_1_wx,u_plan_1_wy,u_plan_1_wz,u_plan_1_dL,u_plan_2_vx,u_plan_2_vy,u_plan_2_vz,u_plan_2_wx,u_plan_2_wy,u_plan_2_wz,u_plan_2_dL,u_plan_3_vx,u_plan_3_vy,u_plan_3_vz,u_plan_3_wx,u_plan_3_wy,u_plan_3_wz,u_plan_3_dL,u_plan_4_vx,u_plan_4_vy,u_plan_4_vz,u_plan_4_wx,u_plan_4_wy,u_plan_4_wz,u_plan_4_dL,beam_eig_logged,beam_eig_failed,beam_eig_lambda_min,beam_eig_lambda_max,beam_eig_cond,beam_soft_direction_index,beam_soft_direction_absmax,beam_soft_dir_0,beam_soft_dir_1,beam_soft_dir_2,beam_soft_dir_3,beam_soft_dir_4,beam_soft_dir_5,beam_soft_dir_6,beam_soft_dir_7,beam_soft_dir_8,beam_soft_dir_9,beam_soft_dir_10,beam_soft_dir_11,beam_soft_dir_12,beam_soft_dir_13,beam_soft_dir_14,beam_soft_dir_15,beam_soft_dir_16,beam_soft_dir_17,beam_soft_dir_18,beam_soft_dir_19,beam_stiff_direction_index,beam_stiff_direction_absmax,beam_stiff_dir_0,beam_stiff_dir_1,beam_stiff_dir_2,beam_stiff_dir_3,beam_stiff_dir_4,beam_stiff_dir_5,beam_stiff_dir_6,beam_stiff_dir_7,beam_stiff_dir_8,beam_stiff_dir_9,beam_stiff_dir_10,beam_stiff_dir_11,beam_stiff_dir_12,beam_stiff_dir_13,beam_stiff_dir_14,beam_stiff_dir_15,beam_stiff_dir_16,beam_stiff_dir_17,beam_stiff_dir_18,beam_stiff_dir_19
0,solved,0,lti,2,lti,1,2,2,neutral:hold,True,lti,2,1,1.0,0.0,0,easy|hold,18,18,18,22,-0.049999752275111546,-0.04999999982580981,3.580346726782243e-09,0.0,0.0,-2.0943951024000595,0.09855993148492656,0.6601328308503988,-0.710295361393569,-0.1,0.0005399766932408578,0.9997909079294087,0.020439038287552374,0.00030750729950829224,0.018887601478810547,0.7792456379523757,-0.7098180376264068,-0.10000416979040481,-0.9999567545148886,0.00929994949133836,6.2856284310709415e-06,0.00022976323839160522,0.22976323839160523,0.00022976325937774044,0.22976325937774045,1,4.192605474279092,93.74950843116166,,19,0.45143555981085803,0.000622149953596418,0.622149953596418,0.0033778500464035823,3.3778500464035823,35.396727193554455,0.05,0.05,0.0001,0.5235987755982988,0.5235987755982988,2.0943951023931953,0.08,0.24170448481352674,0.24170449375214062,3.3778500464035823,35.396727193554455,2.833617280096626,1.8741783826540967e-09,5.49406597908185e-09,0,0,1.2338218494987947e-17,4719137.629126817,2.0010000000006916e-06,9.442994395886025,0,0,True,9.573279073175048,9.572963166334441,0.07745966744054612,2.4819347291981716e-07,1e-09,16,70.64066035580598,233.18519139449108,142.05205494697663,10,solved,4.192605474279092,93.74950843116166,,nan,nan,,nan,nan,,nan,nan,,nan,nan,-0.049999752275111546,-0.04999999982580981,3.580346726782243e-09,0.0,0.0,-2.0943951024000595,0.09855993148492656,0.7801617293823684,-0.7098751262823303,-0.10000430552474468,nan,nan,nan,0.7801616574561259,-0.7101048895094638,-0.10000420732247779,nan,nan,nan,0.00022976323839160522,0.22976323839160523,0.00022976325937774044,0.22976325937774045,-0.04999980635260848,0.03159776475737015,3.58072372127687e-09,0.0,0.0,0.08217953145538656,0.045820142455600794,0.7792456379523757,-0.7098180376264068,-0.10000416979040481,nan,nan,nan,0.7792452461684367,-0.7100597417936947,-0.1000041040560439,nan,nan,nan,0.00024170448481352676,0.24170448481352674,0.00024170449375214063,0.24170449375214062,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.049999752275111546,-0.04999999982580981,3.580346726782243e-09,0.0,0.0,-2.0943951024000595,0.09855993148492656,-0.04999980635260848,0.03159776475737015,3.58072372127687e-09,0.0,0.0,0.08217953145538656,0.045820142455600794,0.005324608361470683,0.04999998076721718,3.5813823122081368e-09,0.0,0.0,2.0943951062174895,0.040378339219276305,0.03557241520651298,0.04999997450791457,3.168706298654216e-09,0.0,0.0,2.0943951012528847,0.03253182271518104,0.02264934027578564,0.05000001002357266,1.8402999634625946e-09,0.0,0.0,2.0943945801721875,0.02319472470718756,True,False,1.874178382654096e-09,5.494065979081854e-09,2.931453072946822,0,0.8015888178373312,-0.8015888178373312,1.0189063552416351e-05,2.7550888352897657e-06,-0.5023518069446562,-0.00018946496187496062,-0.0001899429114082535,-0.2597626145670955,-0.0002401151379763744,-0.00023521681973400613,-0.1428827643228754,-0.00021369550806428852,-0.00021083545320731058,-0.11861664002081472,-0.00017126988014281506,-0.00017812013317167834,-0.05102671444612721,-0.00013016532428676984,-0.00013300288560820145,-0.020910644355727138,-9.030846395502533e-05,1,0.4341950079225729,-0.0003849605995454433,0.4341950079225729,0.2173975265066596,-0.00026468785748728197,0.4143809338297307,0.20747721682469983,-0.00017376290752051652,0.3829959303961388,0.191763023619256,-0.00010543270226424681,0.3412151964039182,0.17083965000363016,-5.724538885287929e-05,0.2902587413580445,0.14532635746419273,-2.7005798885656165e-05,0.23156132722884,0.11593455465852412,-9.949082736396841e-06,0.16674718410792416
1,solved,0,sqp_full,1,sqp_full,5,1,1,bad:tip_angle,True,sqp_full,1,5,0.0,1.0,2,hard:sqp_du_rel_bad|escalate,21,21,21,25,-0.14469957011201168,0.3000004910193021,3.3220143334598647e-07,0.0,0.0,6.283185307179586,0.07241357123959892,0.6572388394481585,-0.7042953515731829,-0.1,0.0005196026294875079,0.9991014267858741,-0.04237868401522541,0.00034080592119838777,0.020335872903602524,0.7777984110983791,-0.7097123041981487,-0.1000035326200097,-0.9998621478582811,0.016603598392050646,7.616206638450014e-05,6.34833733050038e-06,0.00634833733050038,6.348360698973933e-06,0.006348360698973933,5,0.15711108569425775,0.011170283947718377,,20,0.6372780069310897,0.0002964865861723722,0.29648658617237217,0.003703513413827628,3.7035134138276278,48.33305786617799,0.05,0.05,0.0001,0.5235987755982988,0.5235987755982988,2.0943951023931953,0.08,0.00634833733050038,0.006348360698973933,3.7035134138276278,48.33305786617799,4.734956052700445,2.4832589503419962e-09,1.2131617602614418e-08,0,0,7.153114221136674e-15,4719332.596239105,2.001000001419532e-06,9.443384531773692,0,0,True,9.574140917175288,9.573825023041127,0.07745966744054612,2.4819347291981716e-07,1e-09,19,220.4595377007706,233.18519139449108,105.78861612966908,10,solved,4.686062486998688,1.000161669047541,solved,4.685708205655978,0.5000339118822598,solved,0.1438971090345258,0.010237835928191625,solved,0.14472722220743525,0.010293852478076014,solved,0.15711108569425775,0.011170283947718377,-0.14469957011201168,0.3000004910193021,3.3220143334598647e-07,0.0,0.0,6.283185307179586,0.07241357123959892,0.7777984110983791,-0.7097123041981487,-0.1000035326200097,nan,nan,nan,0.7777980739450551,-0.7097186435762332,-0.10000351539495667,nan,nan,nan,6.34833733050038e-06,0.00634833733050038,6.348360698973933e-06,0.006348360698973933,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.14469957011201168,0.3000004910193021,3.3220143334598647e-07,0.0,0.0,6.283185307179586,0.07241357123959892,0.022625704664410357,0.30000104122904986,3.3220143334598647e-07,0.0,0.0,6.283185307179586,0.02360104468698127,0.2726159986413011,0.30000098696520566,3.3220143334598647e-07,0.0,0.0,6.283185307179586,0.014264836311870732,0.27260815057185483,0.3000014802354277,3.3220143334598647e-07,0.0,0.0,6.283185307179586,0.008827751471656079,0.09719076822011591,0.2999981298017393,3.3220143334598647e-07,0.0,0.0,6.283185307179586,0.0024326415182457715,True,False,2.4832589503419946e-09,1.2131617602614416e-08,4.8853614726501435,3,0.5540304778947777,-0.5390073775040611,0.0012876701312087959,0.00010198584344173713,-0.5540304778947777,-0.005358031123342416,-0.00015326612285057674,-0.2082634705492247,-0.006729593105892622,-0.0003339148753656064,-0.45990423684470655,-0.00655935381513182,-0.00027439289199429655,-0.3387941769810078,-0.0062814060383404435,-0.00029044844674810786,0.11593510666696265,-0.004300521536579902,-0.00019709693287879823,-0.13461378437202995,-0.002535152501157782,2,0.4891171296978463,0.0004637024142325548,-0.003501847862316098,-0.4891171296978463,0.0002959753199480564,-0.003325444591750765,-0.46413462566211366,0.00018064901651311825,-0.003049638863252539,-0.42724536056003104,0.00011255765324783897,-0.002711130649223274,-0.3795955757303801,5.69330037752686e-05,-0.0023086264461105103,-0.32252956388970605,2.1718099398891303e-05,-0.0018498702502906493,-0.25750885435700865,9.413956412498096e-06,-0.0013233762747181064
2,solved,0,sqp_full,1,sqp_full,5,1,1,bad:tip_angle,True,sqp_full,1,5,0.0,1.0,2,easy|downgrade_held,23,23,23,27,-0.22737429533558962,0.5500010412290499,6.5841582359610315e-06,0.0,0.0,6.283185307179586,0.029371635230413244,0.6526913535414467,-0.693295330748602,-0.1,0.0004971779315394319,0.9944689487568396,-0.10502915701317418,0.0003727595376169282,0.02092330560821079,0.777226609276977,-0.7091755372358288,-0.10000337883309743,-0.9984438643810006,0.05576594173810757,9.706696716579707e-05,1.606109495672769e-05,0.016061094956727688,1.606110035971059e-05,0.01606110035971059,5,0.15336078953902382,0.01086814388177399,,21,0.32247436130628165,0.0004641344328972461,0.4641344328972461,0.003535865567102754,3.535865567102754,59.1067941699474,0.05,0.05,0.0001,0.5235987755982988,0.5235987755982988,2.0943951023931953,0.08,0.016061094956727688,0.01606110035971059,3.535865567102754,59.1067941699474,241.9121685938302,2.4845552105223558e-09,6.251353558279457e-07,0,0,7.522262927130837e-15,4711582.755368127,2.0010000180070967e-06,9.427877178333548,0,0,True,9.563044568737158,9.56272830415318,0.07745966744054612,2.4819347291981716e-07,1e-09,21,227.27348749472696,227.27348749472696,64.5481862119294,10,solved,0.14259607587260406,0.010133580949988154,solved,0.14407377659006754,0.010233323277145105,solved,0.14566227793366643,0.010339558285851567,solved,0.14881217945180722,0.010555158763267883,solved,0.15336078953902382,0.01086814388177399,-0.22737429533558962,0.5500010412290499,6.5841582359610315e-06,0.0,0.0,6.283185307179586,0.029371635230413244,0.777226609276977,-0.7091755372358288,-0.10000337883309743,nan,nan,nan,0.777224539934276,-0.7091596100078216,-0.10000336565904444,nan,nan,nan,1.606109495672769e-05,0.016061094956727688,1.606110035971059e-05,0.01606110035971059,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.22737429533558962,0.5500010412290499,6.5841582359610315e-06,0.0,0.0,6.283185307179586,0.029371635230413244,0.3376533063016015,0.5500009869652057,6.584158235961032e-06,0.0,0.0,6.283185307179586,0.012855440567533518,0.5226081505718548,0.5500014802354277,6.584158235954448e-06,0.0,0.0,6.283185307179586,0.011989843613167359,0.34719076822011585,0.5499981298017392,6.584151651822879e-06,0.0,0.0,6.283185307179586,0.01613283897802947,0.2501591722452558,0.5499981298017392,6.584144738470903e-12,0.0,0.0,6.283185307179586,0.029140309088368684,True,False,2.4845552105222727e-09,6.251353558279464e-07,251.60855881988556,0,0.5446293656473691,-0.5446293656473691,0.014293601799234628,-0.001409595248590003,-0.4107103962486565,-0.032084477641042795,0.0032608886882130386,-0.4105583590754897,-0.04766904755669557,0.0021438636312627784,-0.46675478070188975,-0.05745233075233789,-0.0030312883954227475,-0.31796306691855186,-0.06380575617185003,-0.0032949195948155765,0.14728797522340045,-0.059948705340528624,-0.003347596272887985,0.028466417342082214,-0.049656840460724286,2,0.6266018976873821,-0.00010960299886237396,-0.0016772439839599894,0.6266018976873821,-6.496350063404952e-05,-0.0014106591941712887,0.5238433216411399,-3.448792286262117e-05,-0.0011219102860639874,0.4202886704588901,-1.527272668350301e-05,-0.00083875364485068,0.31620059224673625,-6.3345066428438975e-06,-0.0005765355406252709,0.21175701083505466,-2.123642821473304e-06,-0.0002887565665318837,0.10713081864047201,4.077666679253258e-07,-5.571555023262932e-06
3,solved,0,lti,2,lti,1,2,1,bad:tip_angle,True,lti,2,1,1.0,0.0,0,easy|downgrade_allowed,23,23,23,27,0.3876533063016015,0.6000009869652058,6.064912406690833e-06,0.0,0.0,6.283185307179586,0.015448442083134489,0.6718965826789158,-0.6692952814045893,-0.1,0.00044653837685792894,0.9734636201954204,-0.22884097976642576,0.00043213313514159086,0.021468488043974474,0.7768697315804286,-0.7072988007591471,-0.10000200740640552,-0.9807674510888359,0.1951798174144397,0.00021391300490479598,3.339365514402973e-05,0.03339365514402973,3.339365515343605e-05,0.03339365515343605,1,0.15401332342560756,0.010902940820375493,,23,0.12312126267606081,0.00016508985385414764,0.16508985385414765,0.0038349101461458523,3.834910146145852,71.87341538394142,0.05,0.05,0.0001,0.5235987755982988,0.5235987755982988,2.0943951023931953,0.08,0.17274720025896192,0.1727492407770418,3.834910146145852,71.87341538394142,3.6247733376667366,2.4485971886990402e-09,9.138087138048682e-09,0,0,1.314169169545846e-14,4724036.12443873,2.0009999999910524e-06,9.45279628495963,0,0,True,9.583554032486582,9.583238448608059,0.07745966744054612,2.4819347291981716e-07,1e-09,21,227.27348749472696,227.27348749472696,64.5481862119294,10,solved,0.15401332342560756,0.010902940820375493,,nan,nan,,nan,nan,,nan,nan,,nan,nan,0.3876533063016015,0.6000009869652058,6.064912406690833e-06,0.0,0.0,6.283185307179586,0.015448442083134489,0.7769842901355675,-0.7082463952049284,-0.10000222772641248,nan,nan,nan,0.7769754663819899,-0.7082786019988806,-0.10000222693380739,nan,nan,nan,3.339365514402973e-05,0.03339365514402973,3.339365515343605e-05,0.03339365515343605,0.5726081505718549,0.6000014802354278,6.0649124066847665e-06,0.0,0.0,6.283185307179586,0.011810679705049723,0.7768697315804286,-0.7072988007591471,-0.10000200740640552,nan,nan,nan,0.7768691563575937,-0.7071260545165946,-0.10000116776854641,nan,nan,nan,0.00017274720025896192,0.17274720025896192,0.0001727492407770418,0.1727492407770418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3876533063016015,0.6000009869652058,6.064912406690833e-06,0.0,0.0,6.283185307179586,0.015448442083134489,0.5726081505718549,0.6000014802354278,6.0649124066847665e-06,0.0,0.0,6.283185307179586,0.011810679705049723,0.33504631438800336,0.5999981298017393,6.064906341796923e-06,0.0,0.0,6.283185307179586,0.0025816783701265436,0.3001591722452558,0.5999981298017393,6.064893908770475e-12,0.0,0.0,6.283185307179586,0.009584603654724359,0.3001591722452558,0.5999981298017393,6.0648875406385585e-18,0.0,0.0,6.283185307179586,0.006784086072906301,True,False,2.4485971886990386e-09,9.13808713804869e-09,3.731968320564738,3,0.8133852262858355,0.48111137138314064,-0.005588373447339774,8.272391073388748e-05,0.8133852262858355,0.014687558334204634,0.0003522939829254013,0.28777506787505164,0.023530783537755395,-2.2543395696307274e-05,0.04296593617891535,0.019891146974400586,-2.2112895143489586e-05,0.11592530196527268,0.014978729004521294,0.00020904420754753282,-0.05451379677595306,0.010232953204880779,4.3337895534092834e-05,0.021348344853608977,0.006450513218727607,1,0.4862907966001063,0.02612043615839071,-0.4862907966001063,-0.0006357439259381208,0.017695415361231755,-0.4629449610194554,-0.0006852199517024277,0.011279621081047162,-0.4272644416819151,-0.0007704389563850337,0.006639458659926602,-0.3805515550564743,-0.0005908298488153503,0.00355241673099736,-0.3236035846382715,-0.00032579262855547117,0.0016283233619160177,-0.2588745247179131,-0.0003767602602095613,0.000522622449340732,-0.18748154580585438
4,solved,0,lti,3,lti,1,3,1,bad:tip_angle,True,lti,3,1,1.0,0.0,0,easy|hold,25,25,25,29,0.3531984509960786,0.6499981298017393,1.1427667926535333e-05,0.0,0.0,6.283185307179586,0.017663136852886407,0.6929669185886477,-0.630295393616485,-0.1,0.0003576552796097443,0.913340379546438,-0.4071964697224183,0.0005081518173356166,0.022412825087402572,0.7761132849102088,-0.7064737866782792,-0.10000646796319045,-0.9485808266202838,0.3165350116342649,4.216722480952741e-05,6.813625248537694e-06,0.006813625248537694,6.813667630505239e-06,0.006813667630505239,1,0.15236819074791325,0.01078309402479336,,23,1.0,0.000816955376739017,0.816955376739017,0.003183044623260983,3.183044623260983,64.67513267862671,0.05,0.05,0.0001,0.5235987755982988,0.5235987755982988,2.0943951023931953,0.08,0.09353459650303421,0.09353468138127947,3.183044623260983,64.67513267862671,206.62695941295416,2.4828678815147966e-09,5.335901369227808e-07,0,0,2.0246478617523925e-14,4745695.705686043,2.000999999999309e-06,9.496137107074492,0,0,True,9.627068263617744,9.626754117452231,0.07745966744054612,2.4819347291981716e-07,1e-09,23,159.40073685048702,159.40073685048702,25.33648494655665,10,solved,0.15236819074791325,0.01078309402479336,,nan,nan,,nan,nan,,nan,nan,,nan,nan,0.3531984509960786,0.6499981298017393,1.1427667926535333e-05,0.0,0.0,6.283185307179586,0.017663136852886407,0.7765708993072823,-0.7070238939133285,-0.1000037946373855,nan,nan,nan,0.776567949723438,-0.7070300360175423,-0.10000381866968636,nan,nan,nan,6.813625248537694e-06,0.006813625248537694,6.813667630505239e-06,0.006813667630505239,0.3501591722452558,0.6499981298017393,1.1427644499875532e-11,0.0,0.0,6.283185307179586,0.01673997187511966,0.776301226102578,-0.706740658862889,-0.10000539646488382,nan,nan,nan,0.7762888234724022,-0.7067722712673046,-0.1000053157397752,nan,nan,nan,3.395834725386329e-05,0.033958347253863284,3.3958443202790185e-05,0.033958443202790185,0.3501591722452558,0.6499981298017393,1.1427621073263761e-17,0.0,0.0,6.283185307179586,0.012813743443398968,0.7761132849102088,-0.7064737866782792,-0.10000646796319045,nan,nan,nan,0.7760829639121619,-0.7065622703367729,-0.10000659397157131,nan,nan,nan,9.353459650303421e-05,0.09353459650303421,9.353468138127947e-05,0.09353468138127947,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3531984509960786,0.6499981298017393,1.1427667926535333e-05,0.0,0.0,6.283185307179586,0.017663136852886407,0.3501591722452558,0.6499981298017393,1.1427644499875532e-11,0.0,0.0,6.283185307179586,0.01673997187511966,0.3501591722452558,0.6499981298017393,1.1427621073263761e-17,0.0,0.0,6.283185307179586,0.012813743443398968,0.3501591722452558,0.6499981298017393,1.1427597646700014e-23,0.0,0.0,6.283185307179586,0.01285783206495548,0.3501591722452558,0.6499981298017393,1.1427585647735082e-29,0.0,0.0,6.283185307179586,0.012672092261498175,True,False,2.48286788151476e-09,5.335901369227812e-07,214.90879192381593,3,0.5249832136680914,-0.4381595039174481,0.013228235520124408,-0.0037498260796109796,-0.5249832136680914,-0.02139566294270153,0.0024426187227189673,-0.3834975320253268,-0.050267616262546215,-0.0036672368963758368,-0.4353876690184832,-0.0535153918461923,0.009795663260379972,-0.3613349052422954,-0.0629524929942204,-0.004419062953037769,-0.14925307546789926,-0.058351239938986874,0.0019817110847785784,-0.13583937386767644,-0.06024175591053538,2,0.6264738987549031,-7.921919675524041e-05,-0.0016538551359251464,0.6264738987549031,-5.602627390019492e-05,-0.0013900295924999333,0.5238057265224974,-3.0872140226151266e-05,-0.001094932331222263,0.4203151429443512,-2.116126110972515e-05,-0.000851792739671393,0.31630093014668326,1.9827910613223278e-06,-0.0005520066828958883,0.21191842478986186,-4.596187318170905e-06,-0.0002886802352586786,0.1073358821592137,3.5378485092737665e-06,-1.4939118819833995e-06
