vessel,magnet_placement,case,n_steps,final_i_ref,final_i_ref_mpc,total_ref_advancements,mean_tracking_err_xy_mm,median_tracking_err_xy_mm,max_tracking_err_xy_mm,mean_tracking_err_xyz_mm,median_tracking_err_xyz_mm,max_tracking_err_xyz_mm,mean_tip_step_xy_mm,max_tip_step_xy_mm,min_clearance_mm,mean_clearance_mm,mean_vessel_tip_angle_deg,max_vessel_tip_angle_deg,mean_jac_pred_mm,mean_jac_mpc_pred_mm,mean_jac_actual_mm,mean_jac_gain_actual_over_jac,median_jac_gain_actual_over_jac,mean_jac_gain_abs_error,mean_jac_angle_actual_deg,median_jac_angle_actual_deg,max_jac_angle_actual_deg,mean_u_trans_norm,mean_u_rot_norm,mean_u_dL_abs,solver_success_rate,n_infeasible
60$^\circ$,Above-patient,BC,236,27.0,27.0,11.0,0.2684389375973945,0.02536833419805235,4.0761869378593145,0.3994989580417152,0.045133103856832404,5.5182060918165865,0.12138519430858753,0.6875523555269396,0.999493577357825,1.5872369517944345,42.87588832589712,56.32490771506774,0.43621570347946886,0.4362160647171215,0.16507177509780413,0.8756406495332624,1.0000440566169702,0.3639453598550357,42.15689168108062,18.56448136852034,177.0321910376166,0.30826641714553626,0.036887121707459086,0.0064681770717565645,1.0,0.0
60$^\circ$,In-plane,BC,188,40.0,40.0,23.999999999999996,0.015672454005248197,0.0059798579968214,0.2391850629583214,0.048025571330269676,0.014280990347457001,1.0845347582369016,0.12340818461213998,0.5659231843393343,2.6067337900725605,3.337818064407192,19.910301631485176,45.70262807750834,0.14827455508237947,0.14827423073933313,0.12653807553923394,0.9429581267019099,1.000011358076129,0.08920885337080323,14.527092584760547,5.970235780463039,95.71768774990753,0.06426826471587749,0.002389376727716846,0.010099143344584584,1.0,0.0
60$^\circ$,In-plane,nonBC,187,40.0,40.0,24.000000000000004,0.07106607784551784,0.0348468623919365,0.5146286464260788,0.07106664282516598,0.0348470864696691,0.5146296702203821,0.12330445360534062,0.5658986137617803,2.6067285978679706,3.3016430281279225,19.684386939617525,45.7028615458966,0.17042886931898285,0.1704288020253691,0.12645163510052285,0.8446796887368517,0.9435195949210629,0.18686075614084188,18.52496705340437,13.820420908092656,64.68400190086416,0.06277741388423044,0.002406517947016241,0.010151972961857372,1.0,0.0
60$^\circ$,In-plane,Weighted advancement,161,40.0,40.0,24.0,0.03199144625190561,0.0158146854731075,0.5295851545575831,0.09817270178882465,0.0374321714050726,0.803525548061638,0.11342714983343768,0.6219528572709575,0.9957752383971216,1.4892362337928056,13.291447804209321,41.31653972449124,0.17072443922527852,0.17072412127277642,0.11346709434531344,0.8473838377602338,0.9690708171672052,0.1797830157293246,27.15830712028778,19.154473629521984,105.64598588914058,0.07977548692038029,0.003082656557738085,0.009976033501976065,1.0,0.0
