run_name,run_dir,bend_angle_deg,jacobian_variant,solver_mode,rollout_steps,n_steps,success,num_infeasible_steps,final_status,final_i_ref,max_i_ref,final_p_now_L_mm,mean_pred_err_xy_mm,max_pred_err_xy_mm,mean_clearance_mm,min_clearance_mm,mean_tip_vessel_angle_deg,max_tip_vessel_angle_deg,mean_cond_H_beam,max_cond_H_beam,mean_cond_H_mpc,max_cond_H_mpc,max_abs_u0_vx,max_abs_u0_vy,max_abs_u0_wz_rad_s,max_u0_dL
bend_m30_jac_contact_plant_contact_1_lti_rollout3_Np10_sqp1,run_experiment_3/bend_m30_jac_contact_plant_contact_1_lti_rollout3_Np10_sqp1,-30.0,contact,lti,3,7,True,0,solved,40.0,40.0,41.4741557220158,0.37149804479130505,1.0859266027115235,1.5848036623230823,0.987329279071138,23.67570648380434,32.95556696551166,1500.5847450272165,4967.702906063547,19544807.78843375,23815834.45719233,0.2017446458414407,0.3500037897489156,6.283185307179588,0.0998336538891871
bend_m30_jac_contact_plant_contact_1_lti_rollout5_Np10_sqp1,run_experiment_3/bend_m30_jac_contact_plant_contact_1_lti_rollout5_Np10_sqp1,-30.0,contact,lti,5,5,True,0,solved,40.0,40.0,43.361184131269,0.5049873341557958,1.9034082803295496,1.5441797455360304,0.98181107190424,24.01914077242634,32.76579077978476,1595.1212779511866,5207.028811587871,19687255.865505394,23660731.69637736,0.106372758425656,0.2500208795094551,6.283185296388715,0.0998336538891871
bend_m30_jac_contact_plant_contact_1_lti_rollout10_Np10_sqp1,run_experiment_3/bend_m30_jac_contact_plant_contact_1_lti_rollout10_Np10_sqp1,-30.0,contact,lti,10,4,True,0,solved,45.0,45.0,44.3465193549275,1.2515220928645354,3.5389797418949644,1.1738943870270275,0.9833018992417768,20.924667229586156,31.650292103300963,44106.70984195986,172716.05842051038,18190644.086788043,20131555.26658294,0.1377141786636966,0.1648974189963882,4.188820439339956,0.0998336538891871
bend_m30_jac_no_contact_plant_contact_1_lti_rollout3_Np10_sqp1,run_experiment_3/bend_m30_jac_no_contact_plant_contact_1_lti_rollout3_Np10_sqp1,-30.0,no_contact,lti,3,10,True,0,solved,40.0,40.0,39.4561026900826,1.3155180746203912,1.8003241394449527,1.4059477693380333,0.985986222891888,24.53019190708806,32.955569255692815,5.216627388019625,6.85689283952532,17328210.668603078,18010652.879293524,0.3138455537340333,0.4553055799781941,6.283185620355545,0.0998336518547115
bend_m30_jac_no_contact_plant_contact_1_lti_rollout5_Np10_sqp1,run_experiment_3/bend_m30_jac_no_contact_plant_contact_1_lti_rollout5_Np10_sqp1,-30.0,no_contact,lti,5,7,True,0,solved,43.0,43.0,42.0229237935287,2.992325426907932,4.106826065836002,1.3847928448948288,0.9801966186286089,23.819332614825687,32.76579126080927,5.686630123909696,7.0680216789815296,17263863.19842419,17866120.279210135,0.1148296849151351,0.2687753358203528,6.283200864833779,0.0998336518547115
bend_m30_jac_no_contact_plant_contact_1_lti_rollout10_Np10_sqp1,run_experiment_3/bend_m30_jac_no_contact_plant_contact_1_lti_rollout10_Np10_sqp1,-30.0,no_contact,lti,10,4,True,0,solved,45.0,45.0,41.9974680670349,3.1469865446107037,3.9829429202627207,1.1710810195291197,0.9815232545799398,22.11048272267,31.65030116659341,40.55022195353038,143.27555435561524,18155677.697846986,21275401.2064028,0.050001630351858,0.1148903152822915,4.188820382939787,0.0998336518547115
bend_m30_jac_contact_plant_contact_1_ltv_oneshot_rollout3_Np10_sqp1,run_experiment_3/bend_m30_jac_contact_plant_contact_1_ltv_oneshot_rollout3_Np10_sqp1,-30.0,contact,ltv_oneshot,3,7,True,0,solved,40.0,40.0,41.4737119473115,0.4333956437102046,1.1991413477267177,1.584199337944683,0.9870931342284608,23.813433889451183,33.86596797249574,11649.623133063116,62566.12513714725,19254872.160580028,22986077.303589135,0.2828751901902522,0.3500147579422013,6.283185303447865,0.0998341927571705
bend_m30_jac_contact_plant_contact_1_ltv_oneshot_rollout5_Np10_sqp1,run_experiment_3/bend_m30_jac_contact_plant_contact_1_ltv_oneshot_rollout5_Np10_sqp1,-30.0,contact,ltv_oneshot,5,5,True,0,solved,40.0,40.0,43.363089160896806,0.5632704956798411,2.133253999508324,1.5536191234362426,0.9887232920607496,23.584432731792955,32.82533946066297,15529.256740499002,66732.62817440624,19308523.173711218,22707966.16708111,0.1968609841272188,0.2500077236452356,6.283185352124006,0.0998341927571705
bend_m30_jac_contact_plant_contact_1_ltv_oneshot_rollout10_Np10_sqp1,run_experiment_3/bend_m30_jac_contact_plant_contact_1_ltv_oneshot_rollout10_Np10_sqp1,-30.0,contact,ltv_oneshot,10,4,True,0,solved,45.0,45.0,44.3541023979802,0.9457630011149499,1.9400836379298736,1.1674572378369954,0.9868934266997064,20.494337618066385,31.785489291229972,76850.85169329788,165602.8765773134,18457561.965443667,19524613.299021725,0.1468419020572302,0.2000005335445816,4.188790290762289,0.0998341927571705
bend_m30_jac_no_contact_plant_contact_1_ltv_oneshot_rollout3_Np10_sqp1,run_experiment_3/bend_m30_jac_no_contact_plant_contact_1_ltv_oneshot_rollout3_Np10_sqp1,-30.0,no_contact,ltv_oneshot,3,12,True,0,solved,40.0,40.0,38.586444701445,2.483571764037192,4.293509709443031,1.3350896838777893,0.983872203781553,24.057681314878938,33.024971727232995,15.507002108301142,49.24293359614607,17107956.495317783,17395909.883411575,0.1361722183937252,0.3466629965552931,6.283185439141573,0.0998341899979996
bend_m30_jac_no_contact_plant_contact_1_ltv_oneshot_rollout5_Np10_sqp1,run_experiment_3/bend_m30_jac_no_contact_plant_contact_1_ltv_oneshot_rollout5_Np10_sqp1,-30.0,no_contact,ltv_oneshot,5,6,True,0,solved,40.0,40.0,41.3194134635905,2.849150372089845,3.7225466543659222,1.4566354289358874,0.9843650799150964,24.68698242476327,32.832756898957236,27.235791495009362,122.0443957592873,17254192.89927057,17791893.013119485,0.1031523943362479,0.2000005885170966,6.28318537118497,0.0998341899979996
bend_m30_jac_no_contact_plant_contact_1_ltv_oneshot_rollout10_Np10_sqp1,run_experiment_3/bend_m30_jac_no_contact_plant_contact_1_ltv_oneshot_rollout10_Np10_sqp1,-30.0,no_contact,ltv_oneshot,10,4,True,0,solved,45.0,45.0,42.3540429925399,3.2128352510561804,3.868060080235221,1.1619902128970117,0.982477975334575,22.023373830710348,31.785475669323944,80.16262933815209,202.2976313093475,17875421.374415178,20118484.815084483,0.049999985929628,0.123032866144866,4.188790243511204,0.0998341899979996
