N_sqp,Np,bend_angle_deg,error,final_i_ref,final_infeasible,final_status,final_tip,jacobian_variant,log_csv_path,max_jac_cond,mean_jac_cond,mean_sqp_iters,n_steps,num_infeasible_steps,plant_contact,rollout_steps,run_name,solver_mode,success
1,10,-30.0,,40,0,solved,"[0.7592286781279293, -0.7040128692804204, -0.10002689155363405]",no_contact,run_experiment_3/bend_m30_jac_no_contact_plant_contact_1_lti_rollout3_Np10_sqp1/log.csv,14434.780916930016,9152.388219722558,1.0,10,0,True,3,bend_m30_jac_no_contact_plant_contact_1_lti_rollout3_Np10_sqp1,lti,True
1,10,-30.0,,43,0,solved,"[0.7568847561009143, -0.7026641427746494, -0.10002575680222017]",no_contact,run_experiment_3/bend_m30_jac_no_contact_plant_contact_1_lti_rollout5_Np10_sqp1/log.csv,13504.732529505656,8336.863422856575,1.0,7,0,True,5,bend_m30_jac_no_contact_plant_contact_1_lti_rollout5_Np10_sqp1,lti,True
1,10,-30.0,,45,0,solved,"[0.7569152452537665, -0.7026851641399217, -0.10002594393477118]",no_contact,run_experiment_3/bend_m30_jac_no_contact_plant_contact_1_lti_rollout10_Np10_sqp1/log.csv,70767.61970718259,25560.408392237707,1.0,4,0,True,10,bend_m30_jac_no_contact_plant_contact_1_lti_rollout10_Np10_sqp1,lti,True
1,10,-30.0,,40,0,solved,"[0.7600316047809552, -0.7044753665443169, -0.10002669017097592]",no_contact,run_experiment_3/bend_m30_jac_no_contact_plant_contact_1_ltv_oneshot_rollout3_Np10_sqp1/log.csv,42845.216919883336,11419.997572364096,1.0,12,0,True,3,bend_m30_jac_no_contact_plant_contact_1_ltv_oneshot_rollout3_Np10_sqp1,ltv_oneshot,True
1,10,-30.0,,40,0,solved,"[0.7575187294279945, -0.7030308418128227, -0.10002185300438088]",no_contact,run_experiment_3/bend_m30_jac_no_contact_plant_contact_1_ltv_oneshot_rollout5_Np10_sqp1/log.csv,13504.732529505656,8966.79287396129,1.0,6,0,True,5,bend_m30_jac_no_contact_plant_contact_1_ltv_oneshot_rollout5_Np10_sqp1,ltv_oneshot,True
1,10,-30.0,,45,0,solved,"[0.756575427426509, -0.7024909758718471, -0.10002441412889289]",no_contact,run_experiment_3/bend_m30_jac_no_contact_plant_contact_1_ltv_oneshot_rollout10_Np10_sqp1/log.csv,48552.88762868,20077.73047771636,1.0,4,0,True,10,bend_m30_jac_no_contact_plant_contact_1_ltv_oneshot_rollout10_Np10_sqp1,ltv_oneshot,True
1,10,-30.0,,40,0,solved,"[0.7573936905283789, -0.702955425669443, -0.10002492439040418]",contact,run_experiment_3/bend_m30_jac_contact_plant_contact_1_lti_rollout3_Np10_sqp1/log.csv,13504.78293254997,10390.239070448722,1.0,7,0,True,3,bend_m30_jac_contact_plant_contact_1_lti_rollout3_Np10_sqp1,lti,True
1,10,-30.0,,40,0,solved,"[0.7556695610952066, -0.7019673292958504, -0.10002756359242586]",contact,run_experiment_3/bend_m30_jac_contact_plant_contact_1_lti_rollout5_Np10_sqp1/log.csv,13504.78293254997,10398.225826048696,1.0,5,0,True,5,bend_m30_jac_contact_plant_contact_1_lti_rollout5_Np10_sqp1,lti,True
1,10,-30.0,,45,0,solved,"[0.7547871612680055, -0.7014504105104573, -0.10002673693637136]",contact,run_experiment_3/bend_m30_jac_contact_plant_contact_1_lti_rollout10_Np10_sqp1/log.csv,14899.270974705389,11266.665356023334,1.0,4,0,True,10,bend_m30_jac_contact_plant_contact_1_lti_rollout10_Np10_sqp1,lti,True
1,10,-30.0,,40,0,solved,"[0.7573952981200678, -0.70295476088574, -0.10002422005237642]",contact,run_experiment_3/bend_m30_jac_contact_plant_contact_1_ltv_oneshot_rollout3_Np10_sqp1/log.csv,13504.78293254997,10237.193116670273,1.0,7,0,True,3,bend_m30_jac_contact_plant_contact_1_ltv_oneshot_rollout3_Np10_sqp1,ltv_oneshot,True
1,10,-30.0,,40,0,solved,"[0.7556709796070863, -0.7019600420043131, -0.10002456696610768]",contact,run_experiment_3/bend_m30_jac_contact_plant_contact_1_ltv_oneshot_rollout5_Np10_sqp1/log.csv,13504.78293254997,9701.638417522101,1.0,5,0,True,5,bend_m30_jac_contact_plant_contact_1_ltv_oneshot_rollout5_Np10_sqp1,ltv_oneshot,True
1,10,-30.0,,45,0,solved,"[0.754781957243101, -0.7014442877746269, -0.10001887481690994]",contact,run_experiment_3/bend_m30_jac_contact_plant_contact_1_ltv_oneshot_rollout10_Np10_sqp1/log.csv,13504.78293254997,9748.66347821907,1.0,4,0,True,10,bend_m30_jac_contact_plant_contact_1_ltv_oneshot_rollout10_Np10_sqp1,ltv_oneshot,True
1,10,-60.0,,25,0,solved,"[0.7737720533022163, -0.7099488760369125, -0.10001551178543813]",no_contact,run_experiment_3/bend_m60_jac_no_contact_plant_contact_1_lti_rollout3_Np10_sqp1/log.csv,315229861.9301292,191077020.58730614,1.0,100,0,True,3,bend_m60_jac_no_contact_plant_contact_1_lti_rollout3_Np10_sqp1,lti,True
