simulation_sample,time_s,reference_index,reference_time_s,reference_path_s_m,reference_is_terminal_hold,qp_status,qp_success,qp_iterations,qp_solve_time_s,qp_objective,qp_primal_residual,qp_dual_residual,beam_position_error_m,beam_position_error_mm,beam_tangent_error_rad,beam_tangent_error_deg,beam_feasible,desired_x,desired_y,desired_z,achieved_x,achieved_y,achieved_z,desired_tangent_x,desired_tangent_y,desired_tangent_z,achieved_tangent_x,achieved_tangent_y,achieved_tangent_z,magnet_x,magnet_y,magnet_z,magnet_qx,magnet_qy,magnet_qz,magnet_qw,q1_actual,q1_reference,q1_error,q2_actual,q2_reference,q2_error,q3_actual,q3_reference,q3_error,q4_actual,q4_reference,q4_error,q5_actual,q5_reference,q5_error,q6_actual,q6_reference,q6_error,insertion_actual,insertion_reference,insertion_error,qd1_command,qd1_reference,qd1_error,qd1_acceleration,qd2_command,qd2_reference,qd2_error,qd2_acceleration,qd3_command,qd3_reference,qd3_error,qd3_acceleration,qd4_command,qd4_reference,qd4_error,qd4_acceleration,qd5_command,qd5_reference,qd5_error,qd5_acceleration,qd6_command,qd6_reference,qd6_error,qd6_acceleration,insertion_rate_command,insertion_rate_reference,insertion_rate_error,insertion_rate_acceleration,beam_residual_x_m,beam_residual_instantaneous_x_m,predicted_next_beam_x_m,predicted_next_beam_error_x_m,beam_residual_y_m,beam_residual_instantaneous_y_m,predicted_next_beam_y_m,predicted_next_beam_error_y_m,beam_residual_z_m,beam_residual_instantaneous_z_m,predicted_next_beam_z_m,predicted_next_beam_error_z_m,beam_residual_norm_m,predicted_next_beam_error_m,flow_e_true_y_m,flow_e_true_z_m,flow_e_hat_y_m,flow_e_hat_z_m,flow_e_true_norm_m,flow_e_hat_norm_m,flow_estimate_error_m,flow_R_local_m,flow_alpha,flow_a_over_R,flow_phase_rad,flow_instantaneous_gain,flow_low_gain_held,flow_wall_contact,flow_quadrupole_residual
0,0.0,0,0.0,0.011999995152026391,0,initial,1,0,0.0,nan,nan,nan,0.0006664439432963436,0.6664439432963436,0.08882975350722784,5.089569971151578,1,0.7861328317343406,-0.709934956123621,-0.10000763943384977,0.7861563816480238,-0.709399453955771,-0.10040365756392693,-0.9999995947153475,-0.0006366195422735063,-0.000636619744676599,-0.9960681764374943,0.07037245498689462,-0.053813617863902284,0.5836133417358463,-0.681217904709085,-0.12385767784028442,0.9996192613381715,0.026175942035129844,-0.006712429706114749,-0.005576352548273944,-0.6670321560792564,-0.7193920336390862,0.05235987755982985,-2.508695661941079,-2.4737890769011925,-0.03490658503988664,-1.7138600026865636,-1.731313295206507,0.01745329251994332,-0.507286608104841,-0.507286608104841,0.0,1.5707963233189781,1.5707963233189781,0.0,-2.2901883413268216,-2.2901883413268216,0.0,0.012,0.012,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,
1,0.009999999999999898,1,0.01,0.012000544267738028,0,riccati_dare,1,1,0.25280779134482145,0.0006639019464927666,0.9991838365030682,6.6390194649276e-06,0.0006654037679028648,0.6654037679028648,0.08868415136751055,5.081227583057703,1,0.7861322826188515,-0.7099349564731988,-0.10000763978342767,0.7861552394843033,-0.7094001729716405,-0.10040291407190209,-0.9999995947153475,-0.0006366195422733195,-0.0006366197446765989,-0.9960810837549816,0.07026957009349172,-0.05370905048850953,0.5836177583785201,-0.6812743597882913,-0.12380235824628857,0.9996208244597972,0.026136144148010566,-0.006679059348441016,-0.005522629954097852,-0.6670721560792564,-0.7193936864871476,0.052321530407891226,-2.5086556619410794,-2.473790304459506,-0.034865357481573156,-1.7138200026865635,-1.7313129475699867,0.017492944883423123,-0.507246608104841,-0.5072866493672528,4.0041262411749656e-05,1.570756323318978,1.5707959060175842,-3.9582698606155375e-05,-2.2901483413268218,-2.2901881243510562,3.978302423446323e-05,0.01200106734400419,0.012000533671994234,5.336720099568398e-07,-0.003999999999999959,-0.0003305694353766216,-0.0036694305646233377,-0.4,0.003999999999999959,-0.0002455115313661917,0.004245511531366151,0.4,0.003999999999999959,6.95272667880387e-05,0.003930472733211921,0.4,0.003999999999999959,-8.252477614042567e-06,0.004008252477614002,0.4,-0.003999999999999959,-8.346023397254447e-05,-0.003916539766027415,-0.4,0.003999999999999959,4.339512983195907e-05,0.003956604870168,0.4,0.00010673440041907841,0.00010673440041907841,0.0,0.01067344004190795,nan,0.0003862823273418536,0.7861310425300768,-1.240088774667747e-06,nan,-0.0005399553297637179,-0.7093957189300936,0.0005392375431052532,nan,nan,-0.10039317511036518,-0.00038553532693751114,nan,0.0006628847215249213,-0.00039603325919491424,0.0005354870669963369,-0.00038628232734185805,0.0005399553297636916,0.0006660245801086365,0.0006639019464927477,1.0725951899998129e-05,0.003,4.5333653660259285,0.30000000000000004,0.0,-1328.515725224722,0,0,0.0018926153852248915
2,0.019999999999999796,2,0.02,0.012002191614872941,0,riccati_dare,1,1,0.10865558311343193,0.0006539834795712074,0.9991838365030682,1.3176533815410999e-05,0.000663337221487742,0.663337221487742,0.08839263762225152,5.064525075784308,1,0.7861306352723842,-0.7099349575219321,-0.10000764083216139,0.7861529551712261,-0.7094016153020297,-0.10040142271086624,-0.9999995947153475,-0.000636619542272759,-0.0006366197446765985,-0.9961068623605375,0.07006356555557278,-0.05349967794188424,0.5836265710339075,-0.6813872664929221,-0.1236917033203487,0.9996239341418461,0.026056540614368264,-0.006612318593007594,-0.00541518465192513,-0.6671521560792564,-0.7193986450047977,0.05224648892554129,-2.5085756619410793,-2.473793987114735,-0.03478167482634431,-1.7137400026865635,-1.7313119046660115,0.017571901979448024,-0.507166608104841,-0.5072867731537802,0.00012016504893919144,1.570676323318978,1.570794654120123,-0.00011833080114498351,-2.2900683413268217,-2.290187473427236,0.00011913210041436528,0.012003202032719975,0.012002134688212743,1.0673445072321985e-06,-0.007999999999999919,-0.0006611309105924621,-0.007338869089407457,-0.4,0.007999999999999919,-0.0004910171486733972,0.008491017148673317,0.4,0.007999999999999919,0.0001390528581233998,0.00786094714187652,0.4,0.007999999999999919,-1.650474300270522e-05,0.008016504743002624,0.4,-0.007999999999999919,-0.00016691845186322964,-0.00783308154813669,-0.4,0.007999999999999919,8.67892173985437e-05,0.007913210782601375,0.4,0.00021346887157844537,0.00021346887157844537,0.0,0.010673447115936804,nan,0.0003602848591105251,0.7861282326127383,-2.4026596459059135e-06,nan,-0.0005457922790290944,-0.7093906038837436,0.0005443536381884995,nan,nan,-0.10036642863963179,-0.0003587878074703954,nan,0.0006519626883279774,-0.0003952890399055073,0.0005347687783964219,-0.00036028485911052317,0.0005457922790290707,0.0006650045649595341,0.0006539834795711865,3.6698913326227304e-05,0.003,4.5333653660259285,0.30000000000000004,0.07539822368615426,-1324.3397515755555,0,0,0.0045204637305305585
3,0.029999999999999694,3,0.03,0.012004937193431129,0,riccati_dare,1,1,0.10823987470939755,0.0006825781627868452,0.9991838365030682,2.000208510411171e-05,0.0006602335318124271,0.660233531812427,0.08795396015625806,5.0393907084153895,1,0.7861278896949387,-0.7099349592698212,-0.1000076425800509,0.7861495287059554,-0.7094037887018456,-0.10039917533404248,-0.9999995947153475,-0.0006366195422718248,-0.0006366197446765979,-0.9961454951644126,0.0697535395237262,-0.05318454839104355,0.5836397384380593,-0.6815566179007719,-0.12352568159212043,0.9996285572573094,0.02593711592339754,-0.006512207360818774,-0.005254016419460109,-0.6672721560792564,-0.7194069089532319,0.05213475287397551,-2.5084556619410794,-2.4738001246894554,-0.03465553725162396,-1.7136200026865636,-1.7313101665448443,0.017690163858280705,-0.507046608104841,-0.5072869794580569,0.00024037135321586245,1.570556323318978,1.5707925676870766,-0.0002362443680985482,-2.289948341326822,-2.290186388586627,0.0002380472598053629,0.01200640407039177,0.012004803050777729,1.6010196140416738e-06,-0.011999999999999879,-0.0009916446248436157,-0.011008355375156263,-0.4000000000000001,0.011999999999999879,-0.0007364872816266856,0.012736487281626564,0.4000000000000001,0.011999999999999879,0.00020856839674269546,0.011791431603257184,0.4000000000000001,0.011999999999999879,-2.475573503908838e-05,0.012024755735038967,0.4000000000000001,-0.011999999999999879,-0.00025036457326275903,-0.01174963542673712,-0.4000000000000001,0.011999999999999879,0.00013017705137288168,0.011869822948626997,0.4000000000000001,0.0003202037671795437,0.0003202037671795437,0.0,0.010673489560109942,nan,0.00039241401747094526,0.7861243569753091,-3.53271962960644e-06,nan,-0.0005585017342907519,-0.7093786246264194,0.000556334643401768,nan,nan,-0.10039780166140262,-0.00039015908135171806,nan,0.0006795180824070617,-0.0003937962243488062,0.0005333279025381052,-0.0003924140174709395,0.0005585017342907865,0.0006629586095202852,0.0006825781627868702,2.521174926429192e-05,0.003,4.5333653660259285,0.30000000000000004,0.15079644737230852,-1319.7363302687702,0,0,0.0034699465922412207
4,0.03999999999999959,4,0.04,0.012008781003412593,0,riccati_dare,1,1,0.1083530830219388,0.0006394552338762641,0.9991838365030682,2.639625721163716e-05,0.0006560765771100989,0.6560765771100989,0.08736622309287777,5.005715855220286,1,0.7861240458865152,-0.7099349617168658,-0.10000764502709623,0.7861449600989731,-0.7094067048822436,-0.10039615987549291,-0.9999995947153475,-0.000636619542270517,-0.0006366197446765971,-0.9961969546953,0.0693381134325005,-0.05276223537182828,0.5836571986849945,-0.6817824035919248,-0.12330424586997266,0.9996346441041702,0.02577784682889862,-0.006378725536319994,-0.005039124936620516,-0.6674321560792564,-0.7194184774037646,0.0519863213245082,-2.5082956619410792,-2.473808716493696,-0.03448694544738329,-1.7134600026865636,-1.7313077334019547,0.01784773071539103,-0.506886608104841,-0.5072872682553231,0.0004006601504821239,1.5703963233189782,1.5707896469536546,-0.000393323634676479,-2.2897883413268216,-2.290184869950829,0.0003965286240075194,0.012010673470460231,0.012008538767942232,2.1347025179994927e-06,-0.015999999999999837,-0.0013220070960399284,-0.01467799290395991,-0.3999999999999999,0.015999999999999837,-0.000981845047459237,0.016981845047459074,0.3999999999999999,0.015999999999999837,0.0002780521017611172,0.01572194789823872,0.3999999999999999,0.015999999999999837,-3.300269479325316e-05,0.01603300269479309,0.3999999999999999,-0.015999999999999837,-0.0003337723891069618,-0.015666227610892876,-0.3999999999999999,0.015999999999999837,0.00017354508230510532,0.015826454917694733,0.3999999999999999,0.00042694000684612474,0.00042694000684612474,0.0,0.010673623966658212,nan,0.00037068231967940773,0.7861193805826376,-4.665303877549043e-06,nan,-0.0005210543292295353,-0.7094168149466755,0.000518146770190242,nan,nan,-0.10037530202903844,-0.00036765700194220374,nan,0.0006353499127220991,-0.00039154666574460717,0.0005311566845178253,-0.0003706823196794076,0.0005210543292294935,0.0006598759087614032,0.0006394552338762299,2.3181426166223998e-05,0.003,4.5333653660259285,0.30000000000000004,0.2261946710584628,-1314.460009912394,0,0,0.0013547236208730866
5,0.04999999999999949,5,0.05,0.01201372304481733,0,riccati_dare,1,1,0.10808333335444331,0.0006668868299959479,0.9991838365030682,3.3064021859567955e-05,0.0006508449714825177,0.6508449714825177,0.08662691714471797,4.963356744621811,1,0.7861191038471134,-0.7099349648630658,-0.10000764817329737,0.7861392494003757,-0.7094103793812652,-0.1003923602810764,-0.9999995947153475,-0.0006366195422688354,-0.000636619744676596,-0.9962611962637314,0.06881545965510111,-0.05223084655274217,0.5836788692146695,-0.6820646096048127,-0.12302733325767672,0.9996421283916181,0.02557870237330146,-0.006211872970926268,-0.004770509801573411,-0.6676321560792564,-0.7194333479418138,0.05180119186255738,-2.5080956619410792,-2.4738197607335235,-0.03427590120755575,-1.7132600026865636,-1.7313046057455632,0.018044603058999575,-0.506686608104841,-0.5072876394812037,0.0006010313763626929,1.5701963233189782,1.5707858925314022,-0.0005895692124240348,-2.2895883413268217,-2.290182917835994,0.0005945765091723842,0.012016010264051085,0.012013341861164133,2.66840288695204e-06,-0.019999999999999796,-0.0016520193201618723,-0.018347980679837922,-0.3999999999999999,0.019999999999999796,-0.0012269425946963963,0.021226942594696194,0.3999999999999999,0.019999999999999796,0.00034746208686172565,0.01965253791313807,0.3999999999999999,0.019999999999999796,-4.124031663070168e-05,0.020041240316630498,0.3999999999999999,-0.019999999999999796,-0.0004170914973493554,-0.01958290850265044,-0.3999999999999999,0.019999999999999796,0.00021686725356085358,0.019783132746438944,0.3999999999999999,0.0005336793590854025,0.0005336793590854025,0.0,0.010673935223927882,nan,0.00037019070456220193,0.7861132740034809,-5.8298436325099345e-06,nan,-0.0005547043232910528,-0.7093839253182586,0.0005510395448072858,nan,nan,-0.10037402598121435,-0.0003663778079169844,nan,0.0006617486419723542,-0.00038852829815939395,0.0005282434131759037,-0.00037019070456219884,0.0005547043232910099,0.0006557403007550805,0.0006668868299959105,3.2193898537698404e-05,0.003,4.5333653660259285,0.30000000000000004,0.30159289474461703,-1308.197482568336,0,0,0.0049631873092590775
6,0.05999999999999939,6,0.06,0.012019763317645343,0,riccati_dare,1,1,0.10818779096007347,0.0006408520693868767,0.9991838365030682,3.946305329576095e-05,0.0006445120941497169,0.6445120941497169,0.08573292920756015,4.912135008887062,1,0.7861130635767334,-0.7099349687084215,-0.10000765201865432,0.7861323967267799,-0.709414831579503,-0.10038775652525077,-0.9999995947153475,-0.0006366195422667801,-0.0006366197446765947,-0.9963381515615142,0.0681833052296836,-0.051588027980735376,0.5837046467970003,-0.6824032183776132,-0.12269486517668948,0.9996509272216967,0.025339643919718643,-0.0060116494877246514,-0.004448170552113945,-0.6678721560792564,-0.7194515155524782,0.051579359473221786,-2.5078556619410795,-2.4738332536830816,-0.03402240825799785,-1.7130200026865636,-1.7313007846312056,0.018280781944642,-0.506446608104841,-0.5072880930019967,0.000841484897155742,1.5699563233189782,1.5707813056904507,-0.000824982371472549,-2.289348341326822,-2.29018053289875,0.0008321915719280426,0.012022414511293577,0.01201921237500982,3.202136283757609e-06,-0.023999999999999754,-0.0019813549306174215,-0.022018645069382333,-0.3999999999999999,0.023999999999999754,-0.001471537446919731,0.025471537446919486,0.3999999999999999,0.023999999999999754,0.0004167296584847403,0.023583270341515014,0.3999999999999999,0.023999999999999754,-4.945989931085743e-05,0.02404945989931061,0.3999999999999999,-0.023999999999999754,-0.0005002392386337088,-0.023499760761366045,-0.3999999999999999,0.023999999999999754,0.0002601008322597744,0.02373989916773998,0.3999999999999999,0.0006404247242492079,0.0006404247242492079,0.0,0.010674536516380654,nan,0.0003950434339429941,0.7861061384260024,-6.925150730974217e-06,nan,-0.000504610800653305,-0.7094348009581457,0.0005001677502758373,nan,nan,-0.10039807307877295,-0.0003904210601186342,nan,0.0006345426229283555,-0.0003847250674808737,0.0005245725504419654,-0.0003950434339429915,0.0005046108006532518,0.0006505303515020272,0.0006408520693868332,2.2470873171146823e-05,0.003,4.5333653660259285,0.30000000000000004,0.3769911184307713,-1300.578986316879,0,0,0.0033809746412893998
7,0.06999999999999929,7,0.07,0.012026901821896632,0,riccati_dare,1,1,0.10820437502115965,0.0006483890531220463,0.9991838365030682,4.5931156678780184e-05,0.0006370462831035009,0.6370462831035009,0.08468057086782124,4.851839317484628,1,0.7861059250753752,-0.7099349732529329,-0.10000765656316707,0.7861244023050042,-0.7094200845767042,-0.10038232469617649,-0.9999995947153475,-0.0006366195422643512,-0.0006366197446765931,-0.9964277192494653,0.0674389511780043,-0.05083097653320937,0.5837344075119981,-0.6827982086749668,-0.12230674739407105,0.999660941066414,0.025060625192046004,-0.005778054887353442,-0.004072106692390086,-0.6681521560792564,-0.7194729711877084,0.05132081510845199,-2.5075756619410794,-2.4738491886200573,-0.03372647332102208,-1.7127400026865636,-1.7312962719633127,0.018556269276749138,-0.506166608104841,-0.5072886285764728,0.0011220204716317905,1.569676323318978,1.5707758887224132,-0.0010995654034351432,-2.289068341326822,-2.2901777163238055,0.0011093749969837141,0.012029886315468528,0.012026150389887417,3.7359255811112574e-06,-0.027999999999999713,-0.0023095283575989283,-0.025690471642400785,-0.3999999999999999,0.027999999999999713,-0.0017152688465310844,0.029715268846530796,0.3999999999999999,0.027999999999999713,0.00048575261401682886,0.027514247385982883,0.3999999999999999,0.027999999999999713,-5.7648497085545605e-05,0.02805764849708526,0.3999999999999999,-0.027999999999999713,-0.0005830926319666048,-0.027416907368033108,-0.3999999999999999,0.027999999999999713,0.00030318224021402704,0.027696817759785684,0.3999999999999999,0.0007471804174951434,0.0007471804174951434,0.0,0.010675569324593662,nan,0.00041257475364610583,0.7860978706912523,-8.054384122990754e-06,nan,-0.0005001904006099666,-0.7094400298340997,0.0004949434188331603,nan,nan,-0.10041477296583796,-0.00040711640267089566,nan,0.0006409193601956089,-0.0003801169482373211,0.0005201247156531222,-0.00041257475364610697,0.0005001904006100177,0.0006442193835724718,0.0006483890531220865,3.8090498135261436e-05,0.003,4.5333653660259285,0.30000000000000004,0.4523893421169256,-1291.193672956618,0,0,0.0052657181546933015
8,0.07999999999999918,8,0.08,0.012035138557571197,0,riccati_dare,1,1,0.2530948342755437,0.0006364477347772083,0.9991838365030682,5.229375222518004e-05,0.0006284109137219283,0.6284109137219284,0.0834655947557571,4.782226314054139,1,0.7860976883430388,-0.7099349784965998,-0.10000766180683564,0.7861152665144499,-0.7094261651863382,-0.10037603702271648,-0.9999995947153475,-0.0006366195422615485,-0.0006366197446765914,-0.9965297552363234,0.06657927675688795,-0.04995644938507227,0.5837680067260798,-0.6832495554999999,-0.12186287005607446,0.9996720537403431,0.024741592323135952,-0.0055110889550578825,-0.003642317724972888,-0.6684721560792564,-0.7194977000150713,0.05102554393581493,-2.5072556619410795,-2.4738675545245865,-0.03338810741649301,-1.7124200026865635,-1.7312910708638114,0.01887106817724793,-0.5058466081048411,-0.5072892458091852,0.001442637704344163,1.569356323318978,1.5707696453839224,-0.0014133220649443778,-2.288748341326822,-2.2901744700532474,0.0014261287264254463,0.012038425839986005,0.012034156037609664,4.2698023763401705e-06,-0.031999999999999675,-0.002635862987439998,-0.029364137012559677,-0.4000000000000003,0.031999999999999675,-0.0019576340985166312,0.03395763409851631,0.4000000000000003,0.031999999999999675,0.0005543885399803976,0.03144561146001928,0.4000000000000003,0.031999999999999675,-6.57880707974734e-05,0.03206578807079715,0.4000000000000003,-0.031999999999999675,-0.000665480310390003,-0.03133451968960967,-0.4000000000000003,0.031999999999999675,0.0003460228848667839,0.03165397711513289,0.4000000000000003,0.0008539524517477367,0.0008539524517477367,0.0,0.010677203425259435,nan,0.00038565698101729356,0.7860884774807557,-9.210862283115517e-06,nan,-0.000506294787742938,-0.709434708318601,0.0005002701779988072,nan,nan,-0.10038711157129612,-0.00037944976446048495,nan,0.0006279627494748986,-0.0003746800287290807,0.0005148768089225427,-0.00038565698101729063,0.0005062947877428901,0.0006367756687363968,0.0006364477347771685,1.3933577037704373e-05,0.003,4.5333653660259285,0.30000000000000004,0.5277875658030798,-1279.6083452289831,0,0,0.002179243445236456
9,0.08999999999999908,9,0.09,0.012044473524669036,0,riccati_dare,1,1,0.10910237487405539,0.0006204076759502183,0.9991838365030682,5.8497660410977694e-05,0.0006185646670779591,0.6185646670779591,0.08208323462384128,4.703022912728215,1,0.7860883533797244,-0.7099349844394223,-0.10000766774966001,0.7861049899480556,-0.7094331037765258,-0.10036886198018152,-0.9999995947153475,-0.0006366195422583723,-0.0006366197446765893,-0.996644059624524,0.06560076330818053,-0.048960782964862226,0.5838052790646426,-0.6837572299916312,-0.12136310772745093,0.9996841323687564,0.024382483911068367,-0.005210751468920048,-0.00315880318827095,-0.6688321560792564,-0.719525679348109,0.05069352326885257,-2.5068956619410794,-2.4738883345416007,-0.03300732739947865,-1.7120600026865636,-1.7312851861077416,0.01922518342117807,-0.505486608104841,-0.5072899440952915,0.0018033359904504609,1.568996323318978,1.5707625814208108,-0.0017662581018327295,-2.288388341326822,-2.290170797057533,0.0017824557307113409,0.012048033328192601,0.012043229519786383,4.8038084062181075e-06,-0.035999999999999636,-0.002959459321972365,-0.03304054067802727,-0.4000000000000003,0.035999999999999636,-0.0021979649142109337,0.03819796491421057,0.4000000000000003,0.035999999999999636,0.0006224481102228804,0.03537755188977676,0.4000000000000003,0.035999999999999636,-7.385463897871044e-05,0.036073854638978345,0.4000000000000003,-0.035999999999999636,-0.0007471744566538027,-0.035252825543345835,-0.4000000000000003,0.035999999999999636,0.0003885049902307333,0.0356114950097689,0.4000000000000003,0.000960748820659595,0.000960748820659595,0.0,0.010679636891185933,nan,0.00036066806016455896,0.7860779851966886,-1.0368183035791567e-05,nan,-0.000504801183393111,-0.7094370687082588,0.000497915731163423,nan,nan,-0.10036124205434133,-0.00035357430468131723,nan,0.0006107719406540765,-0.0003683865380553767,0.0005088020165447925,-0.0003606680601645522,0.000504801183393124,0.0006281625056149665,0.0006204076759502251,8.693765976758085e-06,0.003,4.5333653660259285,0.30000000000000004,0.6031857894892341,-1265.388774279081,0,0,0.0010594306134745677
