k,status,infeasible,solver_mode,rollout_steps,i_ref,i_ref_mpc,idx_ref_0,idx_ref_terminal,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_now_x,p_now_y,p_now_z,p_now_qw,p_now_qx,p_now_qy,p_now_qz,p_now_L,tip_x,tip_y,tip_z,tip_tx,tip_ty,tip_tz,pred1_err_xy_m,pred1_err_xy_mm,pred1_err_xyz_m,pred1_err_xyz_mm,sqp_iters_done,sqp_du_final,sqp_du_rel_final,frame_path,i_seg,u_seg,rho_m,rho_mm,clearance_m,clearance_mm,tip_vessel_angle_deg,trust_vx,trust_vy,trust_vz,trust_wx,trust_wy,trust_wz,trust_dL,sqp_status_0,sqp_du_0,sqp_du_rel_0,sqp_status_1,sqp_du_1,sqp_du_rel_1,sqp_status_2,sqp_du_2,sqp_du_rel_2,sqp_status_3,sqp_du_3,sqp_du_rel_3,sqp_status_4,sqp_du_4,sqp_du_rel_4,u_applied_0_vx,u_applied_0_vy,u_applied_0_vz,u_applied_0_wx,u_applied_0_wy,u_applied_0_wz,u_applied_0_dL,x_rollout_0_x,x_rollout_0_y,x_rollout_0_z,x_rollout_0_tx,x_rollout_0_ty,x_rollout_0_tz,x_pred_0_x,x_pred_0_y,x_pred_0_z,x_pred_0_tx,x_pred_0_ty,x_pred_0_tz,rollout_err_xy_0_m,rollout_err_xy_0_mm,rollout_err_xyz_0_m,rollout_err_xyz_0_mm,u_applied_1_vx,u_applied_1_vy,u_applied_1_vz,u_applied_1_wx,u_applied_1_wy,u_applied_1_wz,u_applied_1_dL,x_rollout_1_x,x_rollout_1_y,x_rollout_1_z,x_rollout_1_tx,x_rollout_1_ty,x_rollout_1_tz,x_pred_1_x,x_pred_1_y,x_pred_1_z,x_pred_1_tx,x_pred_1_ty,x_pred_1_tz,rollout_err_xy_1_m,rollout_err_xy_1_mm,rollout_err_xyz_1_m,rollout_err_xyz_1_mm,u_applied_2_vx,u_applied_2_vy,u_applied_2_vz,u_applied_2_wx,u_applied_2_wy,u_applied_2_wz,u_applied_2_dL,x_rollout_2_x,x_rollout_2_y,x_rollout_2_z,x_rollout_2_tx,x_rollout_2_ty,x_rollout_2_tz,x_pred_2_x,x_pred_2_y,x_pred_2_z,x_pred_2_tx,x_pred_2_ty,x_pred_2_tz,rollout_err_xy_2_m,rollout_err_xy_2_mm,rollout_err_xyz_2_m,rollout_err_xyz_2_mm,u_applied_3_vx,u_applied_3_vy,u_applied_3_vz,u_applied_3_wx,u_applied_3_wy,u_applied_3_wz,u_applied_3_dL,x_rollout_3_x,x_rollout_3_y,x_rollout_3_z,x_rollout_3_tx,x_rollout_3_ty,x_rollout_3_tz,x_pred_3_x,x_pred_3_y,x_pred_3_z,x_pred_3_tx,x_pred_3_ty,x_pred_3_tz,rollout_err_xy_3_m,rollout_err_xy_3_mm,rollout_err_xyz_3_m,rollout_err_xyz_3_mm,u_applied_4_vx,u_applied_4_vy,u_applied_4_vz,u_applied_4_wx,u_applied_4_wy,u_applied_4_wz,u_applied_4_dL,x_rollout_4_x,x_rollout_4_y,x_rollout_4_z,x_rollout_4_tx,x_rollout_4_ty,x_rollout_4_tz,x_pred_4_x,x_pred_4_y,x_pred_4_z,x_pred_4_tx,x_pred_4_ty,x_pred_4_tz,rollout_err_xy_4_m,rollout_err_xy_4_mm,rollout_err_xyz_4_m,rollout_err_xyz_4_mm,u_plan_0_vx,u_plan_0_vy,u_plan_0_vz,u_plan_0_wx,u_plan_0_wy,u_plan_0_wz,u_plan_0_dL,u_plan_1_vx,u_plan_1_vy,u_plan_1_vz,u_plan_1_wx,u_plan_1_wy,u_plan_1_wz,u_plan_1_dL,u_plan_2_vx,u_plan_2_vy,u_plan_2_vz,u_plan_2_wx,u_plan_2_wy,u_plan_2_wz,u_plan_2_dL,u_plan_3_vx,u_plan_3_vy,u_plan_3_vz,u_plan_3_wx,u_plan_3_wy,u_plan_3_wz,u_plan_3_dL,u_plan_4_vx,u_plan_4_vy,u_plan_4_vz,u_plan_4_wx,u_plan_4_wy,u_plan_4_wz,u_plan_4_dL,u_plan_5_vx,u_plan_5_vy,u_plan_5_vz,u_plan_5_wx,u_plan_5_wy,u_plan_5_wz,u_plan_5_dL,u_plan_6_vx,u_plan_6_vy,u_plan_6_vz,u_plan_6_wx,u_plan_6_wy,u_plan_6_wz,u_plan_6_dL,u_plan_7_vx,u_plan_7_vy,u_plan_7_vz,u_plan_7_wx,u_plan_7_wy,u_plan_7_wz,u_plan_7_dL,u_plan_8_vx,u_plan_8_vy,u_plan_8_vz,u_plan_8_wx,u_plan_8_wy,u_plan_8_wz,u_plan_8_dL,u_plan_9_vx,u_plan_9_vy,u_plan_9_vz,u_plan_9_wx,u_plan_9_wy,u_plan_9_wz,u_plan_9_dL,u_plan_10_vx,u_plan_10_vy,u_plan_10_vz,u_plan_10_wx,u_plan_10_wy,u_plan_10_wz,u_plan_10_dL,u_plan_11_vx,u_plan_11_vy,u_plan_11_vz,u_plan_11_wx,u_plan_11_wy,u_plan_11_wz,u_plan_11_dL
0,solved,0,sqp_full,5,18,18,18,29,-0.04999994461060966,-0.009999993645205903,1.3348509260762636e-07,0.0,0.0,-0.4966327259121258,0.09941211422579112,0.6581752798918259,-0.7061273159780295,-0.1,0.0004993271711169907,0.9950602090571934,-0.09927131617686033,0.00036987557999754135,0.021911346771212727,0.776228419528884,-0.710423402831906,-0.10000241334502796,-0.9994122972964851,-0.03427874201132001,0.00016690920728133174,0.003957005482581693,3.957005482581693,0.003957005895191762,3.957005895191762,5,1.8144356525308885,0.258287897000232,,16,0.034753680048256366,0.0013482495700157685,1.3482495700157684,0.002651750429984232,2.651750429984232,1.481135160374094,0.01,0.01,0.0001,0.17453292519943295,0.17453292519943295,0.5235987755982988,0.02,solved,1.8157234772366047,26.20771095853365,solved,1.8149543724086965,0.9974005687860503,solved,1.807060000465634,0.49744442322582394,solved,1.8146404793092639,0.33370870289404664,solved,1.8144356525308885,0.258287897000232,-0.04999994461060966,-0.009999993645205903,1.3348509260762636e-07,0.0,0.0,-0.4966327259121258,0.09941211422579112,0.7801445889289262,-0.7099149762297776,-0.10000418481113568,-0.9999989966800219,0.0014165234808321888,-1.0008886554335176e-05,0.7801446120907076,-0.709856544641616,-0.100004220387026,-0.9999955056769099,0.002998080068982587,-1.1911399327223706e-05,5.8431592752221706e-05,0.058431592752221706,5.8431603582354816e-05,0.058431603582354816,-0.04999994997495717,0.05000001978497451,1.334850926076263e-07,0.0,0.0,2.6179933300888543,0.05112160686293031,0.7791223843837942,-0.7100141091477903,-0.10000381393377875,-0.9999774522283229,-0.006715181487024434,3.7047922730023404e-05,0.7791223239130846,-0.7098823123961074,-0.10000389055119546,-0.9999941373697523,-0.003424056259287018,3.263216611562472e-05,0.0001317967655553659,0.1317967655553659,0.00013179678782536633,0.13179678782536633,-0.03787731712139082,0.05000000629871146,1.334850926076263e-07,0.0,0.0,2.6179938782399854,0.04975595308588596,0.7781283138817735,-0.7101321952613888,-0.1000033851032587,-0.9998808327320049,-0.015437405960236955,8.265816090321756e-05,0.778127555062103,-0.7099176396513568,-0.10000350542116508,-0.9999467969428716,-0.010314915759510967,7.613518110311673e-05,0.00021455695188809184,0.21455695188809185,0.00021455698562365094,0.21455698562365094,-0.029999950156336025,0.05000000205314015,1.334850926076263e-07,0.0,0.0,2.617993878073435,0.04846063098186312,0.7771612462208262,-0.7102688642918793,-0.10000291047104537,-0.9996960710023243,-0.02465257930890174,0.00012631680075372503,0.7771589859580831,-0.7099619203139329,-0.1000030774121642,-0.9998453965171342,-0.017583207963163053,0.0001177336764165497,0.0003069522998532907,0.3069522998532907,0.0003069523452501408,0.3069523452501408,-0.02999994469306823,0.05000000121690872,1.334850926076263e-07,0.0,0.0,2.617993878039932,0.046817033404165743,0.776228419528884,-0.710423402831906,-0.10000241334502796,-0.9994122972964851,-0.03427874201132001,0.00016690920728133174,0.7762236596207315,-0.7100143609075068,-0.10000262899711455,-0.9996837458685208,-0.02514724275555878,0.00015629483561181972,0.0004090696183313965,0.40906961833139655,0.00040906967517480064,0.40906967517480064,-0.04999994461060966,-0.009999993645205903,1.3348509260762636e-07,0.0,0.0,-0.4966327259121258,0.09941211422579112,-0.04999994997495717,0.05000001978497451,1.334850926076263e-07,0.0,0.0,2.6179933300888543,0.05112160686293031,-0.03787731712139082,0.05000000629871146,1.334850926076263e-07,0.0,0.0,2.6179938782399854,0.04975595308588596,-0.029999950156336025,0.05000000205314015,1.334850926076263e-07,0.0,0.0,2.617993878073435,0.04846063098186312,-0.02999994469306823,0.05000000121690872,1.334850926076263e-07,0.0,0.0,2.617993878039932,0.046817033404165743,-0.003262430266554567,0.05000000108835995,1.334850926076263e-07,0.0,0.0,2.61799387803468,0.044957723545478764,0.030000051455647048,0.050000000823790025,1.334850926076263e-07,0.0,0.0,2.6179938780240826,0.04317562354378629,0.030000042447860364,0.05000000032109553,1.334850926076263e-07,0.0,0.0,2.6179938780041785,0.04200653356849682,0.02887092377464777,0.0499999996885884,1.334850926076263e-07,0.0,0.0,2.6179938779793104,0.041430493485313684,0.02418647161558307,0.0499999999930506,1.334850926076263e-07,0.0,0.0,2.617993877991256,0.04114753235009239,0.01000004964209553,0.04999999998131914,1.334850926076263e-07,0.0,0.0,2.617993877990821,0.04103414931364824,0.01000006334631444,0.04999999998528886,1.3348509260762633e-07,0.0,0.0,2.617993877990992,0.04131583979534052
1,solved,0,sqp_full,5,24,24,24,35,-0.05326243026655457,0.10000000108835994,4.0924736324921164e-05,0.0,0.0,5.235987756026175,0.09904864822749086,0.6570391171231043,-0.6961273159397319,-0.1,0.0003865821659276877,0.9354610473817084,-0.35342926123334595,0.00048650775685580997,0.027000901522024997,0.7711535642528861,-0.710886046189191,-0.10000554529160173,-0.9982481860466246,-0.059165510675944326,3.743098372553784e-05,0.0031091336190064685,3.1091336190064687,0.00310913649077566,3.10913649077566,5,1.8144085379665373,0.11299608202014816,,21,0.9644749126851792,0.00022093209755120997,0.22093209755120996,0.0037790679024487903,3.7790679024487903,22.707980661536162,0.01,0.01,0.0001,0.17453292519943295,0.17453292519943295,0.5235987755982988,0.02,solved,1.8154967416513137,0.2001203656404592,solved,1.8151428270618435,0.1707445545153376,solved,1.814523262032151,0.14588336798202262,solved,1.8144264092082572,0.12735361478967203,solved,1.8144085379665373,0.11299608202014816,-0.05326243026655457,0.10000000108835994,4.0924736324921164e-05,0.0,0.0,5.235987756026175,0.09904864822749086,0.774259978750734,-0.7107947442551279,-0.10000127424084351,-0.9985023223190235,-0.054708792310275534,0.00024569792016463217,0.7742565239433666,-0.710690206918132,-0.10000131948558089,-0.9986100998934442,-0.05270492815924171,0.00024277259834227076,0.00010459440960270509,0.1045944096027051,0.0001045944193885348,0.1045944193885348,-0.019999948544352955,0.10000000082379001,4.092473632492117e-05,0.0,0.0,5.235987756015577,0.04129831236296781,0.773453010097996,-0.7111667643431975,-0.1000004896836201,-0.997147959443722,-0.07547092631944063,0.00029369662390009215,0.7734430933117658,-0.7109400574464623,-0.10000057704836787,-0.997458497380543,-0.07124929731572364,0.00028919779542456296,0.00022692368690034397,0.22692368690034398,0.00022692370371788948,0.22692370371788947,-0.01999995755213964,0.10000000032109552,4.092473632492117e-05,0.0,0.0,5.235987755995673,0.0389625025239621,0.772701773465325,-0.7115815183139662,-0.09999972106543425,-0.9952326850385597,-0.09752839809175444,0.00033792986761997174,0.7726818479907912,-0.7112195134638141,-0.09999985729915385,-0.9958716286659524,-0.09077218087081855,0.0003322622145170323,0.000362552804525177,0.36255280452517696,0.0003625528301209322,0.3625528301209322,0.002267726311384458,0.09999999968858839,4.092473632492117e-05,0.0,0.0,5.235987755970805,0.03739416473353711,0.7719341387365432,-0.7113299509529851,-0.10000274277767991,-0.9965689207064361,-0.08276687169839045,0.0001767237141104862,0.7719160985169776,-0.7109911492309019,-0.10000212110141292,-0.9965951027520658,-0.08245092969888693,0.0002129844793983331,0.0003392816770893061,0.3392816770893061,0.000339282246647114,0.33928224664711404,0.034186471615583074,0.09999999999305059,4.092473632492117e-05,0.0,0.0,5.235987755982751,0.03777410969265557,0.7711535642528861,-0.710886046189191,-0.10000554529160173,-0.9982481860466246,-0.059165510675944326,3.743098372553784e-05,0.7711251636594285,-0.7104323937622736,-0.10000502552362746,-0.998302194692569,-0.05824709135221444,6.64906535008472e-05,0.0004545405572188284,0.4545405572188284,0.0004545408543965549,0.4545408543965549,-0.05326243026655457,0.10000000108835994,4.0924736324921164e-05,0.0,0.0,5.235987756026175,0.09904864822749086,-0.019999948544352955,0.10000000082379001,4.092473632492117e-05,0.0,0.0,5.235987756015577,0.04129831236296781,-0.01999995755213964,0.10000000032109552,4.092473632492117e-05,0.0,0.0,5.235987755995673,0.0389625025239621,0.002267726311384458,0.09999999968858839,4.092473632492117e-05,0.0,0.0,5.235987755970805,0.03739416473353711,0.034186471615583074,0.09999999999305059,4.092473632492117e-05,0.0,0.0,5.235987755982751,0.03777410969265557,0.04000004964209553,0.09999999998131913,4.092473632492117e-05,0.0,0.0,5.235987755982316,0.03853689735384985,0.027311483097626765,0.09999999998528884,4.092473632492117e-05,0.0,0.0,5.235987755982487,0.039549871059888886,0.02000006334631444,0.09999999998528884,4.092473632492117e-05,0.0,0.0,5.235987755982487,0.0398774470660059,0.02000006334631444,0.09999999998528884,4.092473632491191e-05,0.0,0.0,5.235987755982487,0.03975397905407093,6.334631444046557e-08,0.09999999998528884,4.092472706956059e-05,0.0,0.0,5.235987755982487,0.0387170890864671,-0.02478224552890757,0.09999999998528884,3.166935677373793e-05,0.0,0.0,5.235987755982487,0.03807178207874577,-0.022747508331909028,0.09999999998528884,1.5899187649437053e-05,0.0,0.0,4.188790204785889,0.036931801875125445
2,solved,0,sqp_full,5,28,28,28,39,0.0022292996906362016,0.14999999998131913,0.0005171455357494247,0.0,0.0,6.283185307179586,0.014798019644226936,0.660314163828448,-0.6811273159412823,-0.1,0.00021732232322534166,0.7804606768221763,-0.6252045631620917,0.0005821568313797874,0.030350800877943382,0.7678004684396871,-0.7089692230875598,-0.1000134314866257,-0.9997488981433965,0.022406758792133087,-0.00027896504386435946,0.0034948871781446495,3.4948871781446496,0.0034948929467130034,3.4948929467130037,5,0.05406370431473215,0.002483241732785881,,26,0.10047957891846156,0.0030068853497504993,3.0068853497504993,0.0009931146502495007,0.9931146502495007,33.3554595062757,0.01,0.01,0.0001,0.17453292519943295,0.17453292519943295,0.5235987755982988,0.02,solved,1.8145295111733624,0.11044646236495129,solved,1.814467816936334,0.09951538280737482,solved,1.283679907424813,0.06405950028920625,solved,1.2836659124083127,0.06146741562400615,solved,0.05406370431473215,0.002483241732785881,0.0022292996906362016,0.14999999998131913,0.0005171455357494247,0.0,0.0,6.283185307179586,0.014798019644226936,0.7708507867152711,-0.7107145334090026,-0.1000069998099297,-0.9986672230186072,-0.05161178854121982,-3.085255035423887e-05,0.770846839385773,-0.7106820746417826,-0.10000708160281348,-0.9986591061995569,-0.051768605128645236,-3.358178833855673e-05,3.269790481987723e-05,0.03269790481987723,3.2698007121009475e-05,0.032698007121009474,0.002762896729280883,0.14999999998528885,0.0005171455357494247,0.0,0.0,6.283185307179586,0.03646501887375484,0.7701103629580797,-0.7102913979769987,-0.10000888739472946,-0.9995063590558517,-0.03141696205357302,-0.0001127042115554775,0.7701016370062349,-0.7102278322023561,-0.10000902489745714,-0.999492672250186,-0.031849405248316275,-0.00011620460621225094,6.416190412941929e-05,0.06416190412941929,6.416205146745942e-05,0.06416205146745942,0.03876001215463689,0.14999999998528885,0.0005171455357494247,0.0,0.0,6.283185307179586,0.03753547098233123,0.7693566478854537,-0.7098602846864619,-0.10001051284256565,-0.9999237521354032,-0.012347413181231656,-0.0001769270711848917,0.7693419576138897,-0.7097760382317432,-0.10001062442275717,-0.9999082083391746,-0.013547781960978075,-0.00018027723021344828,8.551765438373684e-05,0.08551765438373685,8.551772717650654e-05,0.08551772717650653,0.07000006334631445,0.14999999998528885,0.0005171455357494247,0.0,0.0,6.283185307179586,0.037456791073015,0.7686121832089613,-0.7094343337836782,-0.10001196329981797,-0.9999881493083478,0.004862986472305951,-0.0002293587492040029,0.7685881660318895,-0.7092940183849453,-0.10001209944204215,-0.999992059204576,0.003978269509387148,-0.00023430642826462137,0.00014235601819399753,0.14235601819399754,0.00014235608329381277,0.14235608329381277,0.05000006334631445,0.14999999998528885,0.0005171455357494234,0.0,0.0,6.283185307179586,0.04123966722259117,0.7678004684396871,-0.7089692230875598,-0.1000134314866257,-0.9997488981433965,0.022406758792133087,-0.00027896504386435946,0.7677652184514137,-0.708804493917003,-0.10001351135175793,-0.9997848197732917,0.020742068754510855,-0.0002841384694300907,0.00016845848540703712,0.16845848540703712,0.00016845850433882016,0.16845850433882015,0.0022292996906362016,0.14999999998131913,0.0005171455357494247,0.0,0.0,6.283185307179586,0.014798019644226936,0.002762896729280883,0.14999999998528885,0.0005171455357494247,0.0,0.0,6.283185307179586,0.03646501887375484,0.03876001215463689,0.14999999998528885,0.0005171455357494247,0.0,0.0,6.283185307179586,0.03753547098233123,0.07000006334631445,0.14999999998528885,0.0005171455357494247,0.0,0.0,6.283185307179586,0.037456791073015,0.05000006334631445,0.14999999998528885,0.0005171455357494234,0.0,0.0,6.283185307179586,0.04123966722259117,0.02521775447109243,0.14999999998528885,0.0005171455345030792,0.0,0.0,6.283185307179586,0.04248778100458976,0.022767621846614655,0.14999999998528885,0.0005158991876494371,0.0,0.0,6.283185307179586,0.03348470831123899,0.015655802961293014,0.14999999998528885,0.000493755809026119,0.0,0.0,6.283185307179586,0.02817844175757151,0.016283840275278967,0.14999999998528885,0.00017192276757201856,0.0,0.0,6.283185307179586,0.0320461415076216,0.018482600572963664,0.14999999998528885,1.7192241513123948e-10,0.0,0.0,6.283185307179586,0.009659054845993888,0.020429106094593513,0.14999999998528885,1.7192206269118287e-16,0.0,0.0,6.283185307179586,-0.005,0.02325724455885752,0.14999999998528885,1.7192188217320656e-22,0.0,0.0,6.283185307179586,-0.005
3,solved,0,sqp_full,5,32,32,32,43,-0.024749236413966237,0.1999955270780324,0.0010171151898509935,0.0,0.0,6.283185307179586,0.02445748074799307,0.6640049905694452,-0.6611278806037634,-0.1,2.6789457352037857e-05,0.5490633774260053,-0.8357804863921984,0.0006208203391231616,0.03404196427518709,0.7642510178661871,-0.7069289468123798,-0.1000198335533199,-0.9961974923275578,0.08712237523354623,-0.0004980099904752737,0.0035133262946094586,3.5133262946094588,0.003513330236805096,3.5133302368050963,5,0.04966280893796322,0.002280592352949514,,29,0.9627712631904505,0.003020941841312174,3.0209418413121742,0.000979058158687826,0.979058158687826,28.67960821862301,0.01,0.01,0.0001,0.17453292519943295,0.17453292519943295,0.5235987755982988,0.02,solved,0.05933797475211189,0.002725421070857544,solved,0.058668429396575995,0.0026945543765118612,solved,0.05719653307165775,0.0026268313678594257,solved,0.053357774802922364,0.002450406243172264,solved,0.04966280893796322,0.002280592352949514,-0.024749236413966237,0.1999955270780324,0.0010171151898509935,0.0,0.0,6.283185307179586,0.02445748074799307,0.767322698375189,-0.7086946396785171,-0.10001455160411396,-0.9994685361288312,0.03259664893886373,-0.00032212799882142516,0.7673120095850968,-0.7086534152374779,-0.10001457043117354,-0.9994750859454329,0.03239519438179568,-0.0003224210526423476,4.258761290122594e-05,0.04258761290122594,4.2587617062742995e-05,0.04258761706274299,0.008704388613942717,0.19999552959763048,0.0010158693900612847,0.0,0.0,6.283185307179586,0.035385423468912505,0.7666358411445298,-0.7082997824369657,-0.10001582578959606,-0.9989094267723498,0.04668857249037635,-0.0003664753011920704,0.7666104179693874,-0.7081934740565266,-0.10001595819825074,-0.9989052436343289,0.04677797765427234,-0.000367486623547388,0.00010930603636536413,0.10930603636536412,0.00010930611656242361,0.10930611656242362,0.0657005271239305,0.1999943492307904,0.0009937199683527826,0.0,0.0,6.283185307179586,0.034233976036408306,0.7659759139701071,-0.7079208049031316,-0.10001704433433184,-0.9982791083854695,0.05864004780450218,-0.00040811101150846005,0.7659267434672387,-0.7076197168458178,-0.10001742724119118,-0.9980914731470731,0.06175145760248796,-0.00041074940484900184,0.0003050766405500702,0.3050766405500702,0.0003050768808464183,0.3050768808464183,0.0663393972878931,0.19999324457119333,0.0006718804099279417,0.0,0.0,6.283185307179586,0.04627348443014775,0.7650904644744991,-0.7074117085919868,-0.10001845021065421,-0.9972560039174362,0.07402876579208997,-0.0004522012013790539,0.7650182581295152,-0.7070909366038058,-0.10001871659485971,-0.9971067819866339,0.076012222636628,-0.0004553307580983854,0.00032879845598403226,0.3287984559840323,0.00032879856389289255,0.3287985638928925,0.06854626043805813,0.19999311639829723,0.0003999524067245765,0.0,0.0,6.283185307179586,0.044207805178723414,0.7642510178661871,-0.7069289468123798,-0.1000198335533199,-0.9961974923275578,0.08712237523354623,-0.0004980099904752737,0.7641522671093214,-0.7066386625673461,-0.10002001767181307,-0.9961864574652372,0.08724843899975679,-0.0005018515387092823,0.0003066213542732525,0.3066213542732525,0.0003066214095525342,0.30662140955253425,-0.024749236413966237,0.1999955270780324,0.0010171151898509935,0.0,0.0,6.283185307179586,0.02445748074799307,0.008704388613942717,0.19999552959763048,0.0010158693900612847,0.0,0.0,6.283185307179586,0.035385423468912505,0.0657005271239305,0.1999943492307904,0.0009937199683527826,0.0,0.0,6.283185307179586,0.034233976036408306,0.0663393972878931,0.19999324457119333,0.0006718804099279417,0.0,0.0,6.283185307179586,0.04627348443014775,0.06854626043805813,0.19999311639829723,0.0003999524067245765,0.0,0.0,6.283185307179586,0.044207805178723414,0.07043017856344337,0.200003791546121,0.0002000007357750504,0.0,0.0,6.283185307179586,0.018762275708947715,0.07320610048904061,0.20001175148776978,2.0000032577458248e-10,0.0,0.0,6.283185307179586,0.003129342928681189,0.073212666564714,0.2000102374633122,1.9999991577495468e-16,0.0,0.0,6.283185307179586,-0.005,0.053221914766789835,0.20000855825661396,1.9999950577616666e-22,0.0,0.0,6.283185307179586,-0.004999999999999999,0.03323295727292211,0.20000641873555292,1.9999909577821792e-28,0.0,0.0,6.283185307179586,-0.005,0.004902310533607265,0.2000036492014511,1.9999868578110792e-34,0.0,0.0,6.283185307179586,-0.005,-0.02674895752214515,0.20000209813026212,1.9999847578270166e-40,0.0,0.0,6.283185307179586,-0.005
4,solved,0,sqp_full,5,36,36,36,45,0.08657229087614884,0.250003791546121,0.0007000007357750505,0.0,0.0,6.283185307179586,0.035387261524715344,0.6743939091688375,-0.6361270654539759,-0.1,0.00016636574726000826,-0.2639199290978788,0.9645443923891747,-0.0005987136265635125,0.03510870863784006,0.7632465958986128,-0.7063532543811157,-0.1000239303867123,-0.9955964137405204,0.09374028009903054,-0.0007354141485130366,0.00031802064916722586,0.31802064916722583,0.00031803426912970764,0.3180342691297076,5,0.050022580480551915,0.0022963997487691562,,34,0.056831146181170154,0.0030261249799499942,3.0261249799499943,0.0009738750200500058,0.9738750200500058,24.96543842990601,0.01,0.01,0.0001,0.17453292519943295,0.17453292519943295,0.5235987755982988,0.02,solved,0.053797140396555934,0.002470344635081734,solved,0.053404826087806015,0.0024521753976395086,solved,0.04917473988296641,0.002257798311444513,solved,0.05445652462767006,0.0025001361003405523,solved,0.050022580480551915,0.0022963997487691562,0.08657229087614884,0.250003791546121,0.0007000007357750505,0.0,0.0,6.283185307179586,0.035387261524715344,0.7635832726993803,-0.7065446407619537,-0.10002102902294284,-0.9953021219900647,0.09681627587207801,-0.0005428520387545577,0.7635466155046927,-0.7064587312471309,-0.10002098708174618,-0.9952703402077521,0.09714244238375218,-0.0005438662196572954,9.340339747274463e-05,0.09340339747274463,9.340340688923234e-05,0.09340340688923233,0.12320610048904058,0.25001175148776983,0.0004000003000001208,0.0,0.0,6.283185307179586,0.012466371296288315,0.7633489414618406,-0.706410540178995,-0.10002189034446134,-0.9951870273999461,0.0979920101308554,-0.0005885961034851982,0.7632839872908547,-0.7064400646923874,-0.10002186369845124,-0.9954221280340348,0.09557425498064549,-0.0005905972300769666,7.134943040790879e-05,0.07134943040790878,7.134943538349042e-05,0.07134943538349042,0.12321266656471397,0.25001023746331225,0.00010000029999968501,0.0,0.0,6.283185307179586,0.015483585311645157,0.7630584931562091,-0.7062439822349896,-0.100022783660195,-0.9949995325263944,0.09987754803364585,-0.000636923106392494,0.7629245199246694,-0.7060324951885517,-0.10002283948192581,-0.9949942402670121,0.09993023492056041,-0.0006403000802927257,0.0002503509488303085,0.2503509488303085,0.0002503509550537033,0.2503509550537033,0.10322191476678981,0.250008558256614,1.0000009499958969e-10,0.0,0.0,6.283185307179586,-0.004999999999999999,0.7631525075509799,-0.7062987735328721,-0.10002337526095308,-0.9953431715600545,0.09639242549936552,-0.0006863928329474588,0.7629653947259241,-0.7060228378411438,-0.10002374410915792,-0.9953394079546909,0.0964312467929557,-0.000691096492082913,0.00033339423400817627,0.33339423400817625,0.0003333944380443333,0.33339443804433333,0.0832329572729221,0.25000641873555296,9.999988999991286e-17,0.0,0.0,6.283185307179586,-0.005,0.7632465958986128,-0.7063532543811157,-0.1000239303867123,-0.9955964137405204,0.09374028009903054,-0.0007354141485130366,0.7630039839743062,-0.7060178994984655,-0.10002459924137051,-0.995593021592757,0.0937762522074253,-0.0007415374121630472,0.0004139123616577199,0.4139123616577199,0.00041391290206953555,0.41391290206953557,0.08657229087614884,0.250003791546121,0.0007000007357750505,0.0,0.0,6.283185307179586,0.035387261524715344,0.12320610048904058,0.25001175148776983,0.0004000003000001208,0.0,0.0,6.283185307179586,0.012466371296288315,0.12321266656471397,0.25001023746331225,0.00010000029999968501,0.0,0.0,6.283185307179586,0.015483585311645157,0.10322191476678981,0.250008558256614,1.0000009499958969e-10,0.0,0.0,6.283185307179586,-0.004999999999999999,0.0832329572729221,0.25000641873555296,9.999988999991286e-17,0.0,0.0,6.283185307179586,-0.005,0.05490231053360727,0.25000364920145113,9.999968500065277e-23,0.0,0.0,6.283185307179586,-0.005,0.023251042477854852,0.25000209813026214,9.999948000180708e-29,0.0,0.0,6.283185307179586,-0.005,-0.01674895752214515,0.25000209813026214,9.999927500337287e-35,0.0,0.0,6.283185307179586,-0.005,-0.056748957522145156,0.25000209813026214,9.999907000534667e-41,0.0,0.0,6.283185307179586,-0.005000000000000001,-0.07674895752214515,0.25000209813026214,9.999886500772435e-47,0.0,0.0,6.283185307179586,-0.005,-0.07674895752214515,0.25000209813026214,9.999866001050124e-53,0.0,0.0,6.283185307179586,-0.005,-0.07674895752214515,0.25000209813026214,9.999855501192216e-59,0.0,0.0,6.283185307179586,-0.005
