run,num_rows,infeasible_count,mean_sqp_iters,sqp_converged_count,mean_sqp_du_rel_final,mean_pred1_xy_mm,max_pred1_xy_mm,mean_rollout_xy_mm,max_rollout_xy_mm,mean_final_rollout_xy_mm,max_final_rollout_xy_mm,mean_dist_to_ref_mm,min_dist_to_ref_mm,max_dist_to_ref_mm,min_clearance_mm,mean_clearance_mm,mean_jac_angle_deg,max_jac_angle_deg,mean_jac_gain
LTI contact,12,0,1.0,0,119.59525069970779,0.008556020585740563,0.0768755056194388,0.7194519854903355,8.118321513484835,1.3808826430788503,8.118321513484835,2.4736389284654217,0.8174429603713254,3.0917311829189194,0.988018158265232,1.5477641588762145,3.773904213643563,37.71622716289514,0.9854359547703891
LTV full SQP,29,24,2.206896551724138,0,0.7817064939660708,0.001836118952477284,0.0037879743840196,1.2407574393692897,11.98820702373186,4.062926769586259,11.98221677914544,3.4796741077100792,0.3924127006953989,3.872987616971933,0.1278474760939827,0.528013727532227,2.6169943853127426,5.334801801023656,0.977041550187927
LTV one-shot SQP,12,0,1.0,0,117.7174436072796,0.009158313254048011,0.0841972083477852,0.7165379869348492,8.306940402338128,1.3777836847719565,8.306940402338128,2.475474262998579,0.8289814080589542,3.0930317779533243,0.9881146237950204,1.545975020970948,4.403217871593976,45.52756950188891,1.0046494037804339
LTI no contact,29,0,1.0,0,253.84384822593873,0.6546035546070184,2.080594501041935,1.2332684856318663,7.404128803754807,2.065044609196237,7.404128803754807,1.610960900383036,0.5082601734623559,3.037668878998388,0.987024635420569,2.440091363831243,27.653337508291987,82.01854151381801,0.3396612188750928
