s,px,py,pz,qw,qx,qy,qz
0.000000000000000000e+00,7.981328220229531034e-01,-7.099273166922001055e-01,-1.000000000000000056e-01,-1.591549349476097951e-07,9.999998986788191102e-01,3.183098539322571177e-04,3.183098539322571177e-04
2.222222222222222220e-03,7.959106007013634354e-01,-7.099287314022935114e-01,-1.000014147105437456e-01,-1.416550115399775695e-05,9.990455771837679633e-01,-4.367921251373513281e-02,2.467854751195386180e-04
4.444444444444444441e-03,7.936968581880695650e-01,-7.097347868353043321e-01,-1.000025077380970601e-01,-2.563526102394409167e-05,9.968073291525476609e-01,-7.984430316011158213e-02,1.874659285853371446e-04
6.666666666666666227e-03,7.915029699564721799e-01,-7.093810562069184922e-01,-1.000033291629060656e-01,-3.497011650702096220e-05,9.940292100238974360e-01,-1.091142018233877270e-01,1.391287270306520172e-04
8.888888888888888881e-03,7.893336629715671515e-01,-7.088989997237796770e-01,-1.000039268619383886e-01,-4.234072081908229053e-05,9.911781732044252502e-01,-1.325360974970243022e-01,1.001531886395584431e-04
1.111111111111111154e-02,7.871895110923244898e-01,-7.083151468738183576e-01,-1.000043431196301763e-01,-4.822319922406794298e-05,9.885374200956659196e-01,-1.509760310132305106e-01,6.931536640252872932e-05
1.333333333333333245e-02,7.850685945000805965e-01,-7.076518337203218101e-01,-1.000046152986801967e-01,-5.273169952658322504e-05,9.862721093481350287e-01,-1.651281970542408661e-01,4.559565813026294009e-05
1.555555555555555511e-02,7.829675603824866048e-01,-7.069280055530956508e-01,-1.000047764641710940e-01,-5.604111621749115733e-05,9.844737684649560450e-01,-1.755317500427442945e-01,2.811997812795158570e-05
1.777777777777777776e-02,7.808822776983257441e-01,-7.061599770863147274e-01,-1.000048557814405686e-01,-5.792826234293361646e-05,9.833979353145025915e-01,-1.814621093627401538e-01,1.814151991019338300e-05
2.000000000000000042e-02,7.788064043537190617e-01,-7.053668683541545192e-01,-1.000048883527674404e-01,-5.852905352405479841e-05,9.830476473788662961e-01,-1.833502640667664940e-01,1.496239064618510321e-05
