step,mag_x,mag_y,mag_z,pred_x,pred_y,pred_z,meas_x,meas_y,meas_z,err_xy,i_ref,left_wall_tan_x,left_wall_tan_y,right_wall_tan_x,right_wall_tan_y,dist_left_center_mm,dist_right_center_mm,dist_left_edge_mm,dist_right_edge_mm,closest_distance_mm,beam_left_wall_angle_deg,beam_right_wall_angle_deg
0,0.6058745518588868,-0.711285717197339,-0.09999867999628387,0.8567550723899212,-0.7113064492509006,-0.10003465737319031,0.8604651110885735,-0.7146072252246933,-0.1,0.004965834187189994,78,-2.7054660320281982,-10.0,-3.7973480224609375,-10.0,8.362060582110871,12.36694991552099,8.362060582110871,12.36694991552099,8.362060582110871,15.037673950195312,20.692428588867188
1,0.6290078686958342,-0.6922658693842089,-0.09998957064253669,0.8525365781531645,-0.7114176333743298,-0.10003579192405893,0.8551646200088946,-0.7132279945008072,-0.1,0.003191239791010625,85,-3.986539840698242,-10.0,-5.672342300415039,-10.0,6.488381314196033,13.928475139660804,6.488381314196033,13.928475139660804,6.488381314196033,22.894027709960938,30.722518920898438
2,0.6377189314670595,-0.668221114318269,-0.10001903621663705,0.8477414560286409,-0.7113236407033073,-0.10000757993321767,0.8517342865039024,-0.7123414253692227,-0.1,0.004120507351085428,93,-4.561622142791748,-10.0,-4.552113056182861,-10.0,9.222229953540932,11.168884135004191,9.222229953540932,11.168884135004191,9.222229953540932,20.437881469726562,20.392776489257812
3,0.6431436359365876,-0.6547579922795352,-0.10001682167886766,0.8435498160852721,-0.711288692004172,-0.09987883939186426,0.8480234705860854,-0.7118667608687417,-0.1,0.004510847836585905,100,-4.643449306488037,-10.0,-5.651528358459473,-10.0,12.019648401765949,8.750548245957589,12.019648401765949,8.750548245957589,8.750548245957589,15.468994140625,20.034515380859375
4,0.6388536985375167,-0.6592380236718282,-0.10000710694141399,0.8402959362841654,-0.709976213436719,-0.09947682148059693,0.8440037154123944,-0.7138036703520682,-0.1,0.005328888486596821,106,-4.636991024017334,-10.0,-6.547845840454102,-10.0,9.279960843173171,11.486878914034946,9.279960843173171,11.486878914034946,9.279960843173171,17.20770263671875,25.5467529296875
5,0.6336575128760961,-0.6579914808392642,-0.10001070334137357,0.8372316559470269,-0.7085806761521398,-0.09930103878548827,0.8404288095222615,-0.7131269204977564,-0.1,0.005557888864819653,111,-4.547695159912109,-10.0,-6.777800559997559,-10.0,7.765926948389051,13.162043553559215,7.765926948389051,13.162043553559215,7.765926948389051,17.152206420898438,26.826263427734375
6,0.6489509338066555,-0.6411480046490178,-0.10000625015244763,0.8315433064847668,-0.7095361361939204,-0.09945157178059738,0.8359107781139907,-0.7115210519938733,-0.1,0.004797363772425249,121,-5.886054992675781,-10.0,-6.777793884277344,-10.0,12.122104840794464,8.603087500327433,12.122104840794464,8.603087500327433,8.603087500327433,15.768966674804688,19.416290283203125
7,0.6320952424500463,-0.6516453553140277,-0.0999820022596738,0.8291392492023558,-0.7060303170589924,-0.09927283820500145,0.8316451935893171,-0.7127903134542449,-0.1,0.007209529009191195,124,-6.92307710647583,-10.0,-6.7777605056762695,-10.0,5.291278471843043,15.418945424554295,5.291278471843043,15.418945424554295,5.291278471843043,24.895904541015625,24.329238891601562
8,0.6437613104129054,-0.6259762467786275,-0.10000850051136423,0.8245296509387433,-0.7074528119241437,-0.09970053550357805,0.8286724613750236,-0.7098406182075648,-0.1,0.004781683506684489,133,-6.923069477081299,-10.0,-6.777768611907959,-10.0,11.588075951617725,9.012547330859206,11.588075951617725,9.012547330859206,9.012547330859206,17.080825805664062,16.514205932617188
9,0.6152306703256323,-0.6227428598058141,-0.10000366934696359,0.8212738551040073,-0.7075489618652778,-0.09977337985963515,0.8248281761440763,-0.711598506544792,-0.1,0.005388136056862203,137,-7.075867176055908,-10.0,-6.777790069580078,-10.0,7.369981848295879,13.098444234551494,7.369981848295879,13.098444234551494,7.369981848295879,24.663070678710938,23.508926391601562
