timestamp,commanded_length_mm,measured_length_mm,commanded_angle_value,detected_angle_deg,pt1_x,pt1_y,pt2_x,pt2_y,roi_x,roi_y,roi_w,roi_h,image_file




2025-12-12 14:19:33,33.0,33.20465850830078,-90.0,31.293040111457678,370.0,96.0,308.0,198.0,135,20,384,207,focused_image.jpg
2025-12-12 14:19:35,33.0,33.20465850830078,-80.0,29.566586855331895,367.0,94.0,308.0,198.0,135,20,384,207,focused_image.jpg
2025-12-12 14:19:36,33.0,33.20465850830078,-70.0,28.68614815056057,365.0,92.0,307.0,198.0,135,20,384,207,focused_image.jpg
2025-12-12 14:19:38,33.0,33.20465850830078,-60.0,24.64166529391586,358.0,89.0,308.0,198.0,135,20,384,207,focused_image.jpg
2025-12-12 14:19:39,33.0,33.20465850830078,-50.0,22.50982665017148,354.0,87.0,308.0,198.0,135,20,384,207,focused_image.jpg
2025-12-12 14:19:41,33.0,33.20465850830078,-40.0,17.835019785972143,345.0,83.0,308.0,198.0,135,20,384,207,focused_image.jpg
2025-12-12 14:19:42,33.0,33.20465850830078,-30.0,14.149477030589942,337.0,80.0,307.0,199.0,135,20,384,207,focused_image.jpg
2025-12-12 14:19:44,33.0,33.20465850830078,-20.0,10.304852339248974,329.0,78.0,307.0,199.0,135,20,384,207,focused_image.jpg
2025-12-12 14:19:45,33.0,33.20465850830078,-10.0,6.03325886251217,320.0,76.0,307.0,199.0,135,20,384,207,focused_image.jpg
2025-12-12 14:19:47,33.0,33.20465850830078,0.0,1.8476096561016364,311.0,75.0,307.0,199.0,135,20,384,207,focused_image.jpg
2025-12-12 14:19:48,33.0,33.20465850830078,10.0,-2.3278147571213883,301.0,76.0,306.0,199.0,135,20,384,207,focused_image.jpg
2025-12-12 14:19:50,33.0,33.20465850830078,20.0,-7.009383508599038,291.0,77.0,306.0,199.0,135,20,384,207,focused_image.jpg
2025-12-12 14:19:51,33.0,33.20465850830078,30.0,-11.218842754456237,282.0,78.0,306.0,199.0,135,20,384,207,focused_image.jpg
2025-12-12 14:19:53,33.0,33.20465850830078,40.0,-15.172914397057488,273.0,81.0,305.0,199.0,135,20,384,207,focused_image.jpg
2025-12-12 14:19:55,33.0,33.20465850830078,50.0,-19.622249886565534,264.0,84.0,305.0,199.0,135,20,384,207,focused_image.jpg
2025-12-12 14:19:56,33.0,33.20465850830078,60.0,-24.249204445439762,255.0,88.0,305.0,199.0,135,20,384,207,focused_image.jpg
2025-12-12 14:19:58,33.0,33.20465850830078,70.0,-28.460173163103534,247.0,92.0,305.0,199.0,135,20,384,207,focused_image.jpg
2025-12-12 14:19:59,33.0,33.20465850830078,80.0,-33.16321944442629,239.0,98.0,305.0,199.0,135,20,384,207,focused_image.jpg
2025-12-12 14:20:01,33.0,33.20465850830078,90.0,-38.58539585289218,231.0,104.0,306.0,198.0,135,20,384,207,focused_image.jpg
2025-12-12 14:20:19,35.0,35.05329132080078,-90.0,34.32105421582109,381.0,94.0,310.0,198.0,135,20,384,207,focused_image.jpg
2025-12-12 14:20:20,35.0,35.05329132080078,-80.0,32.053486052890214,376.0,91.0,309.0,198.0,135,20,384,207,focused_image.jpg
