step,mag_x,mag_y,mag_z,pred_x,pred_y,pred_z,meas_x,meas_y,meas_z,err_xy,i_ref,left_wall_tan_x,left_wall_tan_y,right_wall_tan_x,right_wall_tan_y,dist_left_center_mm,dist_right_center_mm,dist_left_edge_mm,dist_right_edge_mm,closest_distance_mm,beam_left_wall_angle_deg,beam_right_wall_angle_deg
0,0.6058815737713237,-0.7112806617168683,-0.0999982218773097,0.7615450971802177,-0.7129981406437658,-0.10003907744126361,0.7672246450983582,-0.710868952063269,-0.1,0.006065534483107969,66,-1.0955146551132202,-10.0,-2.727266311645508,-10.0,14.079029684941133,5.2442495115860766,14.079029684941133,5.2442495115860766,5.2442495115860766,10.378738403320312,19.381927490234375
1,0.5945096352430012,-0.7027530513214904,-0.09999009308677292,0.7563468961747285,-0.7106426069455657,-0.10035459285472953,0.7616411492184758,-0.712548819927283,-0.1,0.005626967497941973,74,-1.7266178131103516,-10.0,-3.4848546981811523,-10.0,11.286156649016448,8.451883501385282,11.286156649016448,8.451883501385282,8.451883501385282,14.824737548828125,24.241256713867188
2,0.5910030522324625,-0.6842190346286731,-0.09997588841046018,0.7519142681111833,-0.709111510335671,-0.0999614509743145,0.7564702325102459,-0.7124700580166253,-0.1,0.005660093120326684,81,-2.777759075164795,-10.0,-3.955629587173462,-10.0,10.671713757714087,9.110297367040516,10.671713757714087,9.110297367040516,9.110297367040516,18.481369018554688,24.539276123046875
3,0.5875280831951339,-0.680416179175422,-0.10000650032503672,0.747636058764562,-0.7072628725789388,-0.10339808588430624,0.7510071670998966,-0.7131466000065851,-0.1,0.006781048580522038,88,-4.500016689300537,-10.0,-4.557106018066406,-10.0,8.135787723733756,11.338223794521127,8.135787723733756,11.338223794521127,8.135787723733756,28.557586669921875,28.829010009765625
4,0.5837704685190468,-0.6716703658563589,-0.09999139046742839,0.7439124527242199,-0.7067428639447622,-0.10024504564866718,0.7473765251171514,-0.7127718033232753,-0.1,0.006953265964513079,94,-5.10959529876709,-10.0,-5.33335542678833,-10.0,7.527509649891613,11.64442092640229,7.527509649891613,11.64442092640229,7.527509649891613,30.88079833984375,31.88818359375
5,0.5817671175538317,-0.6610044724480885,-0.10000122182077287,0.7409985155052965,-0.7056402384240285,-0.10130722127073699,0.7442211109731803,-0.7126304547418271,-0.1,0.007697288205546384,99,-5.384613990783691,-10.0,-6.5435333251953125,-10.0,7.749881633788505,11.204485186394777,7.749881633788505,11.204485186394777,7.749881633788505,29.826675415039062,34.72479248046875
6,0.5662740426521718,-0.6646329210883914,-0.10001191916053775,0.7382832079026332,-0.702584428636581,-0.10124811939753031,0.7393711630153255,-0.7128464892041979,-0.1,0.010319570408726865,104,-7.403839111328125,-10.0,-10.13941764831543,-10.0,4.368158280779539,13.732468360348093,4.368158280779539,13.732468360348093,4.368158280779539,37.65704345703125,46.53802490234375
7,0.5776886605779666,-0.6479668579195722,-0.10000091228464883,0.7370862237100257,-0.7015869050283536,-0.107381434730737,0.7378026057467238,-0.7123535264444522,-0.1,0.01079042816296439,106,-8.750012397766113,-10.0,-11.541595458984375,-10.0,3.462712550585252,14.326812224270498,3.462712550585252,14.326812224270498,3.462712550585252,42.971710205078125,50.87907409667969
