step,mag_x,mag_y,mag_z,pred_x,pred_y,pred_z,meas_x,meas_y,meas_z,meas_ref_err_xy,meas_ref_idx,meas_ref_x,meas_ref_y,meas_ref_z,raw_model_err_xy,nom_corr_resid_xy,pred0_current_resid_xy,nom_ref_err_xy,pred_ref_err_xy,one_step_pred_err_xy,pred_meas_err_xy,pred_meas_err_x,pred_meas_err_y,pred_meas_err_z,model_bias_x,model_bias_y,model_bias_z,i_ref,N_nodes_active,using_upgraded_nodes,left_wall_tan_x,left_wall_tan_y,right_wall_tan_x,right_wall_tan_y,dist_left_center_mm,dist_right_center_mm,dist_left_edge_mm,dist_right_edge_mm,closest_distance_mm,beam_left_wall_angle_deg,beam_right_wall_angle_deg,err_to_center,jac_prev_step,jac_dx_pred_x,jac_dx_pred_y,jac_dx_pred_z,jac_dx_real_x,jac_dx_real_y,jac_dx_real_z,jac_dx_pred_x_mm,jac_dx_pred_y_mm,jac_dx_pred_z_mm,jac_dx_real_x_mm,jac_dx_real_y_mm,jac_dx_real_z_mm,jac_pred_xy_mm,jac_real_xy_mm,jac_gain_real_over_pred,jac_cos_xy,jac_err_x_mm,jac_err_y_mm,jac_err_z_mm,jac_err_xy_mm,jac_err_xyz_mm,jac_interpretation
10,0.6384915507850323,-0.6963947044152232,-0.10000846169740057,0.8082657227811318,-0.6811594613533701,-0.1000133647868025,0.8082401079039184,-0.6822982905578009,-0.10001266462715917,0.0017421230554004392,97,0.8082095680955134,-0.680556435207819,-0.10001268316197845,0.0008179654752780667,1.671949080668056e-12,0.0011391172366350408,0.001742123053728554,0.000605635105434865,0.0036641210981214496,0.0011391172366350408,-2.561487721342015e-05,-0.001138829204430758,7.001596433325874e-07,-0.0005372357829461771,0.0006168024256348881,-8.029436104783905e-06,92,8,False,-4.802983283996582,-10.0,-14.874998092651367,-10.0,2.2278580146092963,4.720329623504995,2.2278580146092963,4.720329623504995,2.2278580146092963,30.266586303710938,60.699974060058594,0.0012449373919933302,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
11,0.62350590417351,-0.6814294667571905,-0.09997112385104853,0.8079874299365986,-0.680513602269226,-0.10001372690095102,0.8082605007562784,-0.6804470520912066,-0.10001265068026133,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0002810633358427321,0.0002730708196798659,6.655017801937557e-05,1.0762206896913762e-06,nan,nan,nan,97,8,False,-4.752444744110107,-10.0,-14.84548568725586,-10.0,3.4859293621151437,3.2719212035176497,3.4859293621151437,3.2719212035176497,3.2719212035176497,24.048873901367188,54.66529846191406,0.0012449373919933302,10,2.5614877213459927e-05,0.0011388292044307456,-7.001596433389247e-07,2.0392852359996105e-05,0.001851238466594296,1.3946897844951955e-08,0.025614877213459928,1.1388292044307455,-0.0007001596433389247,0.020392852359996105,1.851238466594296,1.3946897844951955e-05,1.1391172366350295,1.8513507848664923,1.6252504340204363,0.9999337099293735,-0.005222024853463822,0.7124092621635504,0.0007141065411838766,0.7124284008656481,0.7124287587598754,direction_ok_jac_not_sensitive_enough
12,0.6115514984469779,-0.666460349271397,-0.10000903950346907,0.8076790642136903,-0.6799606910598932,-0.100012808017253,0.8077528052657091,-0.6795522620282,-0.10001297342305461,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0004150325489437306,7.374105201884973e-05,0.00040842903169324707,-1.6540580161095164e-07,nan,nan,nan,102,8,False,-6.029067039489746,-10.0,-15.418679237365723,-10.0,3.6889490101895035,3.035223435174885,3.6889490101895035,3.035223435174885,3.035223435174885,26.208511352539062,52.156471252441406,0.0012449373919933302,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
13,0.6203896344184742,-0.6514734983482889,-0.09999740801666285,0.8074056751528906,-0.6795796731781092,-0.10001180304645955,0.8077123965213122,-0.6793736201515267,-0.1000129990549923,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0003695075744964028,0.0003067213684215808,0.0002060530265824978,-1.1960085327389347e-06,nan,nan,nan,103,8,False,-6.140688419342041,-10.0,-15.426779747009277,-10.0,3.775128600044809,2.9510885069387314,3.775128600044809,2.9510885069387314,2.9510885069387314,25.507720947265625,51.002685546875,0.0012449373919933302,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
14,0.631567306642923,-0.6387909091682551,-0.10000372155092796,0.8071473594715926,-0.6792654504323441,-0.1000112359762532,0.8074459105058617,-0.6793241828622916,-0.10001316867947731,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00030427326269440435,0.00029855103426912333,-5.87324299474723e-05,-1.932703224113985e-06,nan,nan,nan,104,8,False,-6.9090657234191895,-10.0,-15.380626678466797,-10.0,3.60558292127439,3.1264743095583754,3.60558292127439,3.1264743095583754,3.1264743095583754,27.790634155273438,50.11912536621094,0.0012449373919933302,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
15,0.6376510126184044,-0.6292737679408927,-0.10001464911641886,0.8068874618525649,-0.6789365861018202,-0.10001083653869573,0.8073090822185247,-0.6791668679344716,-0.10001325570510301,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000480409674591784,0.00042162036595982944,-0.00023028183265139113,-2.4191664072803487e-06,nan,nan,nan,105,8,False,-7.322368621826172,-10.0,-15.27928352355957,-10.0,3.6044850643063455,3.136041279577171,3.6044850643063455,3.136041279577171,3.136041279577171,28.481033325195312,49.06410217285156,0.0012449373919933302,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
16,0.6416012393335231,-0.6201484744225463,-0.09997908939923789,0.806629164951561,-0.6786069367966462,-0.10001050995536324,0.8070121120821923,-0.678921305932749,-0.10001344463420744,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0004954558089201791,0.0003829471306312504,-0.00031436913610283224,-2.934678844199179e-06,nan,nan,nan,107,8,False,-8.185622215270996,-10.0,-14.917682647705078,-10.0,3.537458811254851,3.22195343651822,3.537458811254851,3.22195343651822,3.22195343651822,30.395599365234375,47.25738525390625,0.0012449373919933302,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
17,0.6447054766001986,-0.6111829992237983,-0.09999307361339063,0.8063725625212916,-0.6782766050890482,-0.1000102043515321,0.8068641587035664,-0.6788219320643174,-0.10001353877246963,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0007341990985988849,0.0004915961822747894,-0.0005453269752692114,-3.3344209375285594e-06,nan,nan,nan,107,8,False,-8.600403785705566,-10.0,-14.665679931640625,-10.0,3.4869161725965796,3.2808434735192122,3.4869161725965796,3.2808434735192122,3.2808434735192122,31.383438110351562,46.39790344238281,0.0012449373919933302,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
18,0.6476332764009284,-0.6020985358729314,-0.0999779533832783,0.8061197679300319,-0.6779434166023939,-0.10000990233028685,0.8067252529972376,-0.6788238711176898,-0.10001362720358485,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0010685561848186157,0.0006054850672057022,-0.0008804545152959475,-3.7248732979999755e-06,nan,nan,nan,108,8,False,-8.981380462646484,-10.0,-14.4044771194458,-10.0,3.378170384921077,3.3933578104116577,3.378170384921077,3.3933578104116577,3.378170384921077,32.95758056640625,46.25987243652344,0.0012449373919933302,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
19,0.6505641818608078,-0.592798416935073,-0.09998475233557919,0.8058718399521252,-0.6776069327941341,-0.10000961005966634,0.8065491237675552,-0.6787400997021996,-0.10001373928727621,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001320144161892245,0.0006772838154299743,-0.0011331669080655304,-4.129227609867003e-06,nan,nan,nan,109,8,False,-9.44482421875,-10.0,-14.078356742858887,-10.0,3.2936407324923493,3.4849891038726355,3.2936407324923493,3.4849891038726355,3.2936407324923493,33.41651916503906,44.665374755859375,0.0012449373919933302,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
