target_index,length_mm,theta_target_deg,theta_target_rad,image_file,center_px_x,center_px_y,width_px,height_px,points_per_edge,base_px_x,base_px_y,tip_px_x,tip_px_y,depth_scale,target_px_x,target_px_y,target_mm_x,target_mm_y
0,36.592498779296875,39.36248958807096,0.6870050450938247,focused_image.jpg,298.72077922077926,116.90259740259734,100.0,50.0,3,336.027961736571,198.33406916850623,364.78521617852164,98.04323570432356,1.5,248.72077922077926,91.90259740259734,57.966827392578125,101.8198471069336
1,30.05476188659668,19.316980973352514,0.3371449195301004,focused_image.jpg,298.72077922077926,116.90259740259734,100.0,50.0,3,336.027961736571,198.33406916850623,364.78521617852164,98.04323570432356,1.5,298.72077922077926,91.90259740259734,44.66033172607422,102.01556396484375
2,28.66547203063965,-6.8008622008890995,-0.11869743737994282,focused_image.jpg,298.72077922077926,116.90259740259734,100.0,50.0,3,336.027961736571,198.33406916850623,364.78521617852164,98.04323570432356,1.5,348.72077922077926,91.90259740259734,31.36223030090332,102.21116638183594
3,22.1661434173584,-8.859462938456574,-0.15462679823447897,focused_image.jpg,298.72077922077926,116.90259740259734,100.0,50.0,3,336.027961736571,198.33406916850623,364.78521617852164,98.04323570432356,1.5,348.72077922077926,116.90259740259734,31.295150756835938,95.65023040771484
4,15.648126602172852,-12.676255656981482,-0.2212423980388838,focused_image.jpg,298.72077922077926,116.90259740259734,100.0,50.0,3,336.027961736571,198.33406916850623,364.78521617852164,98.04323570432356,1.5,348.72077922077926,141.90259740259734,31.227336883544922,89.01728057861328
5,18.186960220336914,33.46893327832257,0.5841430828370285,focused_image.jpg,298.72077922077926,116.90259740259734,100.0,50.0,3,336.027961736571,198.33406916850623,364.78521617852164,98.04323570432356,1.5,298.72077922077926,141.90259740259734,44.67139434814453,88.81532287597656
6,27.904029846191406,57.12317088361334,0.9969874110984114,focused_image.jpg,298.72077922077926,116.90259740259734,100.0,50.0,3,336.027961736571,198.33406916850623,364.78521617852164,98.04323570432356,1.5,248.72077922077926,141.90259740259734,58.124027252197266,88.61323547363281
7,31.886430740356445,46.99430602509827,0.8202053698277737,focused_image.jpg,298.72077922077926,116.90259740259734,100.0,50.0,3,336.027961736571,198.33406916850623,364.78521617852164,98.04323570432356,1.5,248.72077922077926,116.90259740259734,58.04499816894531,95.25260162353516
8,36.592498779296875,39.36248958807096,0.6870050450938247,focused_image.jpg,298.72077922077926,116.90259740259734,100.0,50.0,3,336.027961736571,198.33406916850623,364.78521617852164,98.04323570432356,1.5,248.72077922077926,91.90259740259734,57.966827392578125,101.8198471069336
