angle_deg,cos_wrapper_success,der_wrapper_success,cos_bvp_direct_success,cos_wrapper_tip_x,cos_wrapper_tip_y,cos_wrapper_tip_z,der_wrapper_tip_x,der_wrapper_tip_y,der_wrapper_tip_z,cos_bvp_direct_tip_x,cos_bvp_direct_tip_y,cos_bvp_direct_tip_z,tipdiff_cos_wrapper_vs_der_wrapper,tipdiff_cos_wrapper_vs_cos_bvp_direct,tipdiff_der_wrapper_vs_cos_bvp_direct,cos_bvp_direct_B_tip
-90.0,True,False,True,0.7842400467398,-0.7061900982199981,-0.1000072640700992,0.7837328764346829,-0.7078037511110254,-0.1014663811539728,0.7842970477587022,-0.7059994805072259,-0.1000071988227362,0.0022338576578567,0.0001989578669859,0.0023880734432537,0.0333677398902618
-85.0,True,False,True,0.7842410299734549,-0.7061852643699839,-0.1000069998360364,0.7837401282348466,-0.7077396325331344,-0.1013930190112783,0.7842989161819712,-0.7059926481414577,-0.1000069198392342,0.0021419645404382,0.0002011264055949,0.0022990148649704,0.0344292494100488
-80.0,True,False,True,0.7842212706909845,-0.706226002822337,-0.1000067825879972,0.7837525230071525,-0.7076484688700823,-0.101244301401442,0.7842784248237913,-0.7060341887499515,-0.1000066560652806,0.0019428296018219,0.0002001480683644,0.0021010090445106,0.0354603991530313
-75.0,True,False,True,0.7841819695242321,-0.7063111653257202,-0.1000064868964193,0.7837531323781021,-0.7076564690529432,-0.101251685022596,0.7842370488882378,-0.7061224660671541,-0.1000064093276642,0.0018826209894227,0.0001965735296004,0.0020342202205217,0.0364523452745824
-70.0,True,False,True,0.7841252695870378,-0.7064387701841117,-0.1000063089195419,0.7837243655384057,-0.7077453701780942,-0.101241762989665,0.7841770902804194,-0.7062553693457791,-0.1000061806934755,0.0018423556550971,0.000190581395224,0.0019878948118519,0.03739799003978
-65.0,True,False,True,0.7840537451146695,-0.7066068222994213,-0.1000060937944849,0.7836650923242671,-0.7079081147868583,-0.1011496449527615,0.784101440126208,-0.7064304964267486,-0.1000059706168548,0.0017754217473443,0.0001826626471727,0.001918787744646,0.0382917460752855
-60.0,True,False,True,0.7839704611660643,-0.706812856398416,-0.1000058533352415,0.7836208524990358,-0.7080503926096627,-0.1011076517587853,0.7840133649485252,-0.7066452732135855,-0.1000057791202976,0.0016934231191087,0.0001729880455269,0.0018282641635399,0.0391292736192983
-55.0,True,False,True,0.7838785997191958,-0.7070545142205071,-0.1000057525765871,0.7835730322179223,-0.7082265511172348,-0.1010917532644296,0.7839163270593236,-0.7068970223423161,-0.1000056059107689,0.0016267880867279,0.0001619477242819,0.0017507753097795,0.0399072301890535
-50.0,True,False,True,0.783781447879875,-0.7073292504900847,-0.100005597962222,0.7835124900653909,-0.7084614734670771,-0.1010736178628623,0.7838138396091847,-0.7071829979110366,-0.100005450500839,0.0015795359077163,0.0001497967381178,0.0016930129379983,0.0406230509918823
-45.0,True,False,True,0.7836822948391803,-0.7076343383211228,-0.1000053937805308,0.7834105964405934,-0.7088351836872169,-0.1010304927854488,0.7837093529813298,-0.7075003986171385,-0.1000053123225117,0.0016020853856608,0.0001366455048487,0.0017093570825092,0.0412747677921582
-40.0,True,False,True,0.7835842167507869,-0.7079672718064353,-0.1000052655560054,0.783402679767781,-0.7089464800169176,-0.1010392054183659,0.7836061671179749,-0.707846369071327,-0.1000051907287558,0.0014355612263686,0.0001228791909781,0.0015234295430464,0.041860865943939
-35.0,True,False,True,0.7834902043920988,-0.7083251088464282,-0.1000052519726963,0.7833049629688419,-0.7093741926433234,-0.1009165579540043,0.7835073663892209,-0.7082179885164093,-0.1000050850927131,0.0014019164701813,0.000108486529567,0.0014861217663921,0.0423801790114249
-30.0,True,False,True,0.7834029466035276,-0.7087050220334786,-0.1000050668766444,0.7832612673431254,-0.7097410365422736,-0.1009534106326519,0.7834157661685615,-0.7086122723710401,-0.1000049948295127,0.0014116497280912,9.363143874207828e-05,0.0014823869187785,0.0428318025354604
-25.0,True,False,True,0.7833248578070555,-0.7091040812371684,-0.1000050687780847,0.783223218361516,-0.7101024954405124,-0.1009678757924708,0.7833338742855329,-0.7090261568555317,-0.100004919380383,0.0013907403946386,7.844442910280251e-05,0.0014484593658847,0.0432150409178046
-20.0,True,False,True,0.7832580249750669,-0.709519309847757,-0.1000050682466225,0.7831946192157003,-0.7105116129776754,-0.1009628894590922,0.7832638586916437,-0.7094565104545372,-0.1000048582790723,0.0013806184364347,6.307012069317578e-05,0.0014268353728625,0.0435293563811025
-15.0,True,False,True,0.7832042214776904,-0.7099474717868559,-0.1000049948442673,0.7831469482746227,-0.7110244776076032,-0.100683355585151,0.7832075222259111,-0.7099001463097162,-0.1000048111430858,0.001274125210678,4.7440799650098165e-05,0.001314615012405,0.0437743382717637
-10.0,True,False,True,0.7831648151608994,-0.7103855014774706,-0.1000048781964675,0.7831347725358986,-0.7112360351288021,-0.1005721865778148,0.783166287981654,-0.7103538016294129,-0.1000047776808453,0.0010228141820052,3.17342034916379e-05,0.0010494198526451,0.0439496904054235
-5.0,True,False,True,0.7831408105119351,-0.7108302296303817,-0.1000049064359159,0.7831328749644901,-0.7113929096845353,-0.1004712921011056,0.7831411818288896,-0.7108141715722341,-0.1000047576201509,0.0007308812522906,1.6063039995032627e-05,0.0007434118835112,0.0440552088382896
0.0,True,False,True,0.7831328239444717,-0.7112780895594668,-0.100004924665396,0.783138527210698,-0.7116118638814378,-0.1004573660286619,0.7831328238073753,-0.7112779170564233,-0.1000047516426001,0.0005622641838555,2.44323979016308e-07,0.0005625058161626,0.0440907746885905
