target_index,length_mm,theta_target_deg,theta_target_rad,image_file,base_px_x,base_px_y,tip_px_x,tip_px_y,depth_scale,target_px_x,target_px_y,target_mm_x,target_mm_y
0,38.017860412597656,23.853920399951562,0.4163294504877974,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,264.9545454545455,67.55194805194793,46.44731140136719,109.36475372314453
1,37.116943359375,20.408480123741185,0.35619517348710344,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,274.0454545454546,67.55194805194793,44.01337432861328,109.3359603881836
2,36.35706329345703,16.801842708409453,0.2932474756639465,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,283.1363636363637,67.55194805194793,41.579898834228516,109.30716705322266
3,35.74713134765625,13.052886219654681,0.22781584142116995,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,292.2272727272728,67.55194805194793,39.146888732910156,109.27838134765625
4,35.294837951660156,9.186807655831444,0.16034004134168076,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,301.31818181818187,67.55194805194793,36.714351654052734,109.24961853027344
5,35.006160736083984,5.234604003267378,0.09136107489509177,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,310.409090909091,67.55194805194793,34.28227996826172,109.22084045410156
6,35.857879638671875,25.431870718966195,0.44386987898749763,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,264.9545454545455,76.64285714285703,46.518768310546875,106.97760009765625
7,34.89683532714844,21.807256314948773,0.3806084235221816,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,274.0454545454546,76.64285714285703,44.080379486083984,106.94898986816406
8,34.083614349365234,17.9896371501641,0.3139783995094531,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,283.1363636363637,76.64285714285703,41.642452239990234,106.92037963867188
9,33.42890930175781,13.999628536440042,0.2443396120170337,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,292.2272727272728,76.64285714285703,39.204994201660156,106.89176940917969
10,32.942081451416016,9.866332048672774,0.17219997934437734,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,301.31818181818187,76.64285714285703,36.768009185791016,106.86316680908203
